08年 9月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉2歳ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｎホクセツアイアン, 44,小牧太, 1.6, 47, -12,  -9, 9, 74.3, ⑦⑬,14, 8,Ｎエｰシンワンダｰズ, 55,田中健, 1.8, 49,   5, -24, 9, 57.5, ⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｐシェリアク, 43,田中克, 1.7, 46, -14,  -7,13,137.9, ⑪⑩,15, 9,Ｌパレスシュガｰ, 56,田嶋翔, 2.3, 41,   1, -26,16,148.5, ⑨⑬
,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｅピイエフドルチェ, 59,芹沢純, 1.8, 44, -17,  -6,10, 77.4, ⑭⑮,16, 3,Ｏクリノスレンダｰ, 50,安藤光, 3.8, 23,*  8, -54,12, 68.2, ②⑨
,,,,,,,,,,,,,,,,,,,,,,,,17, 8,Ｑマルカネルソン, 27,中村将, 3.8, 19,  -9, -40,16,276.3, ④⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
単勝:400円 複勝:04=120円 07=110円 03=200円 枠連:220円,,,,,,,,,,,,単勝:200円 複勝:05=140円 07=170円 枠連:0円,,,,,,,,,,,,単勝:710円 複勝:15=150円 18=110円 10=370円 枠連:380円,,,,,,,,,,,,単勝:750円 複勝:16=190円 02=680円 01=110円 枠連:530円,,,,,,,,,,,
馬連:230円 ワイド:04-07=130円 03-04=400円 03-07=350円,,,,,,,,,,,,馬連:350円 ワイド:05-07=160円 04-05=620円 04-07=650円,,,,,,,,,,,,"馬連:380円 ワイド:15-18=220円 10-15=1,020円 10-18=510円",,,,,,,,,,,,"馬連:12,570円 ワイド:02-16=2,720円 01-16=290円 01-02=1,250円",,,,,,,,,,,
"馬単:810円 3連複:580円 3連単:3,030円",,,,,,,,,,,,"馬単:540円 3連複:1,880円 3連単:4,840円",,,,,,,,,,,,"馬単:1,210円 3連複:1,950円 3連単:11,340円",,,,,,,,,,,,"馬単:23,800円 3連複:6,230円 3連単:58,580円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
