08年10月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳴滝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅナリタカｰビン, 49,角田晃,, 64,*  1,*  4, 1,  2.6,②②②, 1,13, アグネスヘルメス,,北沢伸,,,,, 1,  2.2,③②②, 1,10,Ｌブラックティｰ, 61,浜中俊,, 82,*  9,* 13, 6, 11.5, ②②, 1,12,Ｃシルバｰブレイズ, 80,安藤勝,, 80,* -3,  10, 1,  2.1,③②③
 2, 9,Ｃケイアイゲンブ, 58,岩田康, 0.6, 62,  -3,*  7, 3,  3.5,⑥⑩⑥, 2, 4, テイケイプリオｰル,,植野貴,193.8,,,, 2,  3.2,①①①, 2, 6,Ｄテイエムヨカドｰ, 71,和田竜, 1.2, 72,   2,*  9, 4,  5.4, ⑧⑦, 2,11,Ｄアヴェンティｰノ, 78,浜中俊, 0.1, 78,* -3,   7, 4,  5.9,②②②
 3, 6,Ｄシルクフォｰチュン, 51,田島裕, 0.8, 60,  -1,*  2, 4,  7.7,⑤⑥⑤, 3, 2, デンコウニンジャ,,岩崎祐,196.0,,,,10, 48.6,⑧④④, 3, 8,Ｃミキノセレナｰデ, 73,幸英明, 1.3, 70,   6,   4, 3,  5.4, ⑤③, 3,10,Ａモンテクリスエス, 83,福永祐, 0.4, 82,  -9,* 20, 2,  4.9,⑩⑩⑩
 4, 4,Ｆハｰドイチオｰ, 48,浜中俊, 1.2, 56,   0,  -4, 8, 58.0,③③③, 4, 9, トｰワヒヨシマル,,小坂忠,196.4,,,, 4, 12.4,⑦⑦⑦, 4,14,Ｍレディマハロ, 59,藤岡佑, 1.5, 68,   6,   3,12, 78.5, ⑤③, 4, 9,Ｉエテルノ, 72,上村洋, 0.6, 74,  -5,   4, 8, 48.3,①②④
 5, 2,Ａダンツフロント, 62,藤岡佑, 1.4, 53,*  1,  -9, 2,  3.4,①①①, 5,10, ヤマカツマドンナ,,高田潤,196.5,,,, 8, 39.5,④③③, 5,12,Ｊニホンピロコナユキ, 64,酒井学, 1.5, 70,   5,   4,10, 34.0, ⑦⑥, 5, 5,Ｇフライングメリッサ, 76,鮫島良, 0.8, 77,  -7,  12, 5, 11.6,⑦⑥⑧
 6, 1,Ｂシャイニｰコｰト, 59,和田竜, 1.9, 51,   0, -10, 5, 19.4,③③③, 6, 5, コアレスファルコン,,白坂聡,197.2,,,, 9, 40.2,⑤⑥⑤, 6, 1,Ｅヴァイスハイト, 70,角田晃, 1.5, 70,   2,   7, 5,  6.5, ⑩⑧, 6, 3,Ｂエイシンテンリュｰ, 80,武豊  , 0.8, 68,* -2,  -5, 3,  5.7,⑤①①
 7,11,Ｈニシノゲルニカ, 46,小牧太, 2.0, 50,  -1,  -8, 6, 38.2,⑥⑤⑥, 7,12, ハルノドトウｰ,,柴田大,198.5,,,,13, 81.3,⑩⑨⑧, 7, 9,Ｇキアｰロ, 69,福永祐, 1.6, 68,   0,   7, 8, 19.7, ⑩⑧, 7, 1,Ｌアグネスモナク, 66,北村友, 0.9, 73,  -6,   6,11,252.7,③⑤⑤
 8, 7,Ｋウォリナｰイモン, 39,太宰啓, 2.6, 47,  -5,  -6, 9, 70.5,⑪⑪⑪, 8, 3, シゲルケｰプタウン,,林満明,200.5,,,,11, 62.7,⑥⑤⑥, 8, 5,Ａアグネスシャイン, 75,田中克, 1.7, 68,* 10,  -4, 1,  4.6, ①①, 8, 6,Ｈハギノメトロポリス, 72,小牧太, 1.0, 78, -10,* 16,10, 70.3,⑫⑫⑪
 9, 8,Ｉタガノパルファン, 46,石橋守, 2.8, 47,  -3, -12, 7, 39.9,⑧⑨⑧, 9, 8, サンダｰホｰラｰ,,南井大,201.3,,,, 7, 37.9,⑫⑫⑫, 9,15,Ｈフジヤマロマン, 68,池添謙, 1.7, 67,   1,   5,11, 54.2, ⑨⑪, 9, 7,Ｊオドゥｰルゲラン, 69,岩田康, 1.1, 75, -10,  13, 7, 48.2,⑩⑪⑪
