08年 4月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 4月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2200m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白鷺特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａトｰセンベルファム, 62,藤田伸,, 58,*  0,*  7, 1,  2.9, ①①, 1, 9, フサイチシャナオｰ,,白浜雄,,,,, 2,  5.2,①①①, 1, 9,Ｂマイネエスポワｰル, 67,川島信,, 72,  -7,* 11, 3,  5.4, ⑪⑨, 1, 4,Ｉアヴェンティｰノ, 75,浜中俊,, 78,   4,*  7, 3,  5.5,④⑦④
 2,14,Ｂミコノス, 60,田中克, 0.4, 56,  -2,   6, 2,  3.7, ⑤⑤, 2, 2, マルブツファｰスト,,植野貴,200.1,,,,11, 78.8,⑤④③, 2, 8,Ｅノｰブルマン, 64,上村洋, 0.0, 73,   4,  -1, 8, 17.5, ②③, 2, 1,Ｂアメジストリング, 83,熊沢重, 0.2, 78,   4,*  6, 4,  7.1,⑪⑨⑧
 3, 5,Ｃマイネアクトナイン, 58,浜中俊, 0.5, 53,*  0,   3, 4,  8.8, ②②, 3,10, キクノインプルｰブ,,北沢伸,200.2,,,,13,113.8,⑧⑦⑨, 3,13,Ａサンマルハッピｰ, 69,田村太, 0.0, 73,* 14, -10, 2,  5.2, ①①, 3, 9,Ｋクリティカルライト, 74,四位洋, 0.4, 73,   4,   1, 7, 15.0,②⑤④
 4, 1,Ｊタニノジュレップ, 44,鮫島良, 0.8, 53,  -1,   2, 9, 35.3, ⑤⑤, 4, 4, フィｰルドカイザｰ,,熊沢重,200.2,,,, 5, 11.3,③③③, 4,14,Ｄメイショウロｰラン, 66,飯田祐, 0.1, 72,   2,   1, 4,  5.9, ⑤③, 4, 3,Ｄタイカｰリアン, 80,上村洋, 0.5, 75,   4,   2, 5,  7.7,④⑦⑧
 5,16,Ｄビッグロｰズ, 56,田村太, 0.9, 50,  -1,   1, 7, 20.4, ②②, 5, 8, フュノンガルウ,,横山義,200.3,,,, 3,  6.2,⑤④⑤, 5,12,Ｆコスモジャイロ, 63,船曳文, 0.2, 70,*  8,  -7, 5,  7.6, ②②, 5,12,Ｅミスタｰシｰザ, 77,赤木高, 0.5, 73,   4,   0, 9, 27.1,②⑤④
 6, 4,Ｉウォｰタｰルフラン, 45,熊沢重, 1.2, 48,  -6,   2,12,105.2, ⑨⑨, 6, 6, マｰブルジｰン,,岩崎祐,200.3,,,, 4, 11.3,⑪⑫⑫, 6, 1, フサイチサガントス,---,鮫島克, 0.2, 71, -14,* 15, 7, 16.2, ⑮⑭, 6, 6,Ｇデンコウミサイル, 76,秋山真, 0.5, 73,   3,   4, 8, 17.2,⑦⑨⑩
 7, 2,Ｆテイクザロマン, 54,鮫島克, 1.7, 43,  -3,  -5, 8, 27.4, ⑦⑦, 7, 3, ルｰルシャガｰル,,金折知,200.4,,,, 8, 18.5,⑫⑪⑦, 7, 4,Ｃウィッシュアウェイ, 66,浜中俊, 0.7, 63,  -1,  -5, 1,  4.4, ⑥⑥, 7, 5,Ｊマヤノリバティ, 74,柴山雄, 0.7, 70,*  6,  -6,11, 76.1,⑪③②
 8, 9,Ｇスノｰスマイル, 50,飯田祐, 1.7, 43,  -4,  -4,14,138.6, ⑦⑦, 8,11, テイエムヘネシｰ,,出津孝,200.5,,,,10, 33.3,②②②, 8,15,Ｌエｰティｰドン, 56,鮫島良, 0.8, 63,  -3,  -3, 6, 12.9, ⑦⑦, 8,10,Ａウォｰゲｰム, 84,高田潤, 0.8, 69,*  5,  -9, 1,  3.2,④③①
