08年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,南武特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａフェイマステイル, 61,柴田善,, 62,*  0,*  6, 1,  1.8, ③③, 1,12, ボンバルディエｰレ,---,横山典,, 69,  -8,* 17, 1,  3.7, ⑦⑦, 1,16,Ｂオｰロマイスタｰ, 79,吉田豊,, 80,  -4,* 17, 2,  5.0, ⑤⑤, 1,15,Ｋドリｰムノクタｰン, 75,吉田隼,, 75,* 11,  -1, 5, 12.8,①①①
 2, 8,Ｇディパｰチャｰズ, 49,横山典, 0.3, 59,*  1,*  3, 3,  5.2, ②②, 2, 4, フェｰズシックス,---,後藤浩, 0.4, 69, -13,* 22, 3,  5.6, ⑮⑭, 2, 9,Ａヒカルダイヤモンド, 80,横山典, 0.0, 79,* -3,  15, 1,  1.9, ③②, 2, 3,Ａダイバｰシティ, 84,横山典, 0.2, 80,   5,  18, 1,  1.8,⑥⑥⑥
 3, 6,Ｂノボジュピタｰ, 57,内田博, 0.3, 60,*  1,*  3, 2,  5.2, ①①, 3, 9, ランドオウジ,---,村田一, 0.4, 70, -10,* 16, 5,  8.8, ⑫⑨, 3, 3,Ｌコアレスカポｰテ, 65,藤田伸, 0.1, 79,  -5,* 17, 7, 25.2, ⑤⑤, 3,13,Ｊマルモコウテイ, 75,武豊  , 0.3, 82,   2,* 22, 9, 43.1,⑪⑪⑩
 4, 1,Ｄハニｰインチｰフ, 54,幸英明, 1.3, 52,  -1,  -4,10,105.2, ③⑤, 4,15, ティアップシンゲキ,---,江田照, 0.5, 65,* -5,   8,11, 76.8, ③②, 4,12,Ｏマチカネエベッサン, 62,田中勝, 0.3, 75,*  0,   8,12,148.1, ①①, 4, 5,Ｃマイネルｰチェ, 80,藤田伸, 0.3, 79,   5,  17, 7, 28.3,⑦⑦⑥
 5, 2,Ｋノボレインボｰ, 41,福永祐, 1.4, 49,  -6,   1, 8, 55.4, ⑭⑬, 5,14, アイスジャッカ,---,北村宏, 0.8, 61,* -5,   5,10, 73.7, ③②, 5,18,Ｒケイアイアストン, 61,柴山雄, 0.5, 72,* -1,   7,16,276.9, ②②, 5, 1,Ｉビｰビｰファルコン, 75,田中勝, 0.4, 79,   5,  13, 8, 33.6,⑤⑤⑤
 6, 9,Ｃヨイチラブソング, 56,江田照, 1.4, 50,  -1,  -5, 5, 14.2, ⑥⑤, 6, 6, ザゴｰルデンボｰイ,---,岩田康, 1.8, 57, -13,   8, 6,  9.3, ⑬⑬, 6,11,Ｃセイウンバリュｰ, 76,後藤浩, 0.5, 73,* -2,  10, 5, 16.1, ④④, 6, 2,Ｆショウナンラヴァｰ, 77,吉田豊, 0.6, 79,   0,* 22,10, 45.6,⑪⑬⑭
 7,11,Ｅカントリｰドｰタｰ, 50,岩田康, 1.5, 49,  -4,  -3, 6, 33.4, ⑨⑨, 7,16, ミラクルシｰカｰ,---,内田博, 2.2, 52,  -6,  -6, 4,  6.4, ⑥⑤, 7, 1,Ｅウインプレミアム, 71,内田博, 0.5, 75,  -6,  15, 4,  9.5, ⑨⑨, 7, 9,Ｌシルクマンハッタン, 74,福永祐, 0.6, 70,* 10,  -7,12, 87.2,④②②
 8,13,Ｈハバナシガｰ, 48,伊藤工, 1.6, 48,  -4,  -3, 9, 61.2, ⑨⑫, 8, 2, ショウナンアッパｰ,---,柴田善, 2.5, 51, -10,  -2, 9, 64.7, ⑪⑨, 8,14,Ｈナリタスレンダｰ, 69,幸英明, 0.5, 78, -10,* 20, 6, 18.2, ⑮⑯, 8, 8,Ｅサムズアップ, 78,岩田康, 0.6, 77,   2,  18, 4,  9.5,⑨⑩⑩
