08年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朝日ﾁｬﾚﾝｼﾞｶｯﾌﾟ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃテｰオｰティアラ, 58,鮫島良,, 65,  -8,*  6, 1,  1.4, ⑨⑨, 1, 9, ビコｰフェザｰ,,岩崎祐,,,,, 6, 15.9,⑦⑤③, 1, 4,Ａマルティンスタｰク, 80,吉田隼,, 77,   6,*  4, 1,  2.1, ④④, 1, 7,Ｂドリｰムジャｰニｰ, 90,池添謙,, 96,  13,* 21, 1,  1.7,⑨⑥⑤
 2, 2,Ｊレッドジｰル, 39,岩田康, 0.0, 62,* -2,  -4, 4, 12.8, ①①, 2, 5, ゼットコマンダｰ,,熊沢重,198.6,,,, 2,  3.4,②②①, 2, 2,Ｇヴァリアントレディ, 67,和田竜, 0.2, 76,*  9,  -4, 6, 17.8, ①①, 2, 8,Ｃトｰホウアラン, 88,岩田康, 0.1, 89,* 15,   9, 4,  8.5,②②②
 3, 7,Ｇラルｰチェ, 45,福永祐, 0.5, 58,  -9,*  0, 7, 31.5, ⑩⑩, 3, 8, ホｰプフルスタｰ,,白浜雄,201.3,,,, 3,  7.6,⑧⑨⑤, 3, 8,Ｃイコｰルパｰトナｰ, 72,赤木高, 0.2, 76,   6,*  2, 3,  6.3, ⑥⑥, 3,12,Ｄキャプテンベガ, 86,福永祐, 0.2, 92,  14,  14, 3,  6.9,⑤⑤③
 4,11,Ｆナリタシリカ, 46,和田竜, 0.7, 57,  -6,  -7, 8, 66.4, ③④, 4,11, マキハタサｰメット,,出津孝,201.8,,,, 5, 12.1,①①②, 4, 9,Ｋプリティｰキャット, 63,幸英明, 0.3, 76,*  8,  -3,10, 42.6, ②②, 4, 2,Ａニルヴァｰナ, 92,武豊  , 0.5, 86,* 16,   1, 2,  5.5,①①①
 5,10,Ｅテンシノマズル, 46,中村将, 0.9, 54,  -6,  -8, 9,108.9, ⑦⑦, 5, 6, アフリカンビｰト,,高田潤,203.0,,,, 4,  7.7,⑤⑦④, 5,14,Ｅスズカエンジェル, 69,内田博, 0.3, 74,*  7,  -4, 7, 19.9, ③②, 5,11,Ｇサンバレンティン, 84,佐藤哲, 0.6, 88,  11,  14,10, 80.3,⑦⑧⑧
 6, 1,Ａラガｰシｰキング, 59,佐藤哲, 1.0, 52,  -5, -13, 2,  6.1, ③④, 6,10, フォレストロバリｰ,,小坂忠,204.2,,,, 9, 49.9,⑩⑧⑥, 6, 7,Ｄプリンセスドルチェ, 71,吉田豊, 0.4, 75,   4,*  4, 2,  5.1, ⑪⑩, 6, 9,Ｅアドマイヤメイン, 86,川田将, 0.7, 85,   9,  14, 5, 13.8,⑩⑨⑧
 7, 4,Ｂテイエムプレストン, 58,小牧太, 1.2, 49,* -4, -19, 6, 23.0, ②②, 7, 7, シゲルケｰプタウン,,林満明,206.0,,,,10, 61.8,⑨⑩⑦, 7, 3,Ｆレゼルブ, 68,角田晃, 0.5, 73,   5,  -1, 5, 15.8, ⑦⑦, 7, 3,Ｊホワイトピルグリム, 79,吉田隼, 1.0, 80,  14,   0, 6, 20.8,③③③
 8,12,Ｋマｰブルデイビｰ, 30,渡辺薫, 1.5, 47,  -6, -17,10,120.3, ⑦⑦, 8, 2, マンテンパレｰド,,佐久間,213.4,,,,11, 80.6,⑤⑪⑧, 8,12,Ｊビビッドビビアン, 65,福永祐, 0.7, 71,   2,*  2, 9, 34.2, ⑪⑬, 8, 1,Ｈメイショウカチドキ, 81,小牧太, 1.3, 81,   8,   9, 8, 53.0,⑩⑪⑪
