08年 3月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,あざみ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄメイショウアｰチャ, 59,藤岡康,, 72,   3,*  4, 4, 13.7, ②②, 1,16,Ｎブラストダッシュ, 43,太宰啓,, 68,*  6,  -6, 6, 17.1,②②②, 1, 2,Ａリワｰドアルコン, 78,宮崎北,, 75,   4,*  8, 1,  2.7, ③②, 1, 3,Ｏヒルノラディアン, 52,松田大,, 68,   7,  -6, 5, 14.3,⑥⑥⑤
 2, 6,Ｂオウシュウバラッド, 64,和田竜, 0.2, 71,*  4,*  1, 1,  1.6, ②③, 2, 2,Ｋナムラアルマダ, 48,赤木高, 0.4, 62,*  4, -10, 7, 27.6,④②③, 2, 5,Ｃパレスワｰルド, 71,田中健, 0.0, 78,* 11,   4, 7, 13.2, ①①, 2,10,Ａオリジナルフェイト, 86,中舘英, 0.0, 65,*  9, -13, 1,  1.7,④②②
 3,15,Ｉザドリｰムジュエル, 52,浜中俊, 1.2, 61,*  7, -10, 8, 78.2, ①①, 3,14,Ｃメジロラフィキ, 61,和田竜, 0.4, 63,   3,  -7, 2,  3.5,④④③, 3, 7,Ｂスニｰカｰブルｰス, 75,中舘英, 0.6, 69,   2,   6, 2,  3.8, ⑤④, 3, 5,Ｂアドマイヤナサ, 71,上村洋, 0.0, 67,   4,  -1, 6, 14.4,⑩⑨⑧
 4, 1,Ｆテイエムカイザｰ, 56,芹沢純, 1.4, 57,   2,  -8, 3,  7.9, ④④, 4,18,Ｇマイネソシオ, 56,藤岡康, 0.4, 64,   2,* -1, 3,  8.3,⑩⑩⑨, 4,11,Ｄホトダｰ, 69,西田雄, 0.7, 67,  -4,   8, 5,  9.3, ⑧⑧, 4, 7,Ｇホワイトピルグリム, 63,赤木高, 0.1, 65,   3,  -1, 8, 29.4,⑥⑨⑨
 5,13,Ｊカシノマルス, 45,西田雄, 1.8, 48, -17,*  0,13,304.0, ⑫⑫, 5,10,Ｍステラポラリス, 45,大野拓, 0.5, 62,   3,  -7, 8, 28.9,⑩⑥⑤, 5, 1,Ｈマックスオネスティ, 61,赤木高, 0.7, 67,  -6,* 10,11,108.0, ⑩⑧, 5, 6,Ｄマイネルインゼル, 69,藤岡康, 0.1, 63,* 11, -17, 2,  9.5,①①①
 0, 9,Ｌサンライトオｰジャ, 39,二本柳, 1.9, 47, -12,  -3,12,275.6, ⑩⑨, 6, 5,Ｈリノｰンランプ, 54,的場勇, 0.6, 61,*  7, -17, 4, 10.3,①①①, 6, 6,Ｅカシノダンク, 67,浜中俊, 0.8, 66,   5,   0, 8, 25.1, ②③, 6, 9,Ｋイエロｰタキオン, 56,鮫島良, 0.2, 65,   1,*  2, 7, 14.7,⑫⑪⑩
 6, 7,Ｃマイディスカバリｰ, 62,小林慎, 2.2, 49,   2, -15, 5, 20.3, ④⑧, 7,13,Ｌメイショウベｰネ, 46,浜中俊, 0.6, 63,  -1,*  0,13,153.8,⑫⑫⑩, 7,12,Ｆプラグマティック, 63,渡辺薫, 0.9, 66,   1,   2, 4,  8.5, ⑤⑤, 7,15,Ｆチョウサンデイ, 65,太宰啓, 0.2, 65,   8, -13, 3, 11.0,⑥④③
 7, 8,Ａエリモリリパット, 65,中舘英, 2.2, 47,  -1, -13, 2,  3.8, ⑥⑤, 8,12,Ｂマｰチインパクト, 62,菊沢隆, 0.8, 60,   3, -10, 5, 11.8,⑨⑧⑦, 8, 4,Ｇコアレススイフト, 62,的場勇, 1.1, 63, -11,*  9, 9, 42.9, ⑪⑪, 8, 1,Ｐスリｰラスカル, 47,渡辺薫, 0.4, 65,   0,*  2,11, 39.0,⑬⑭⑭
 8, 3,Ｇユｰリカランチ, 54,草野太, 2.2, 48,   0, -14, 7, 58.8, ⑥⑤, 9, 4,Ｄマイネルヴォランテ, 60,石橋脩, 0.9, 58,*  4, -16,10, 40.1,⑥④⑤, 9, 9,Ｋキタサンコンバット, 59,上村洋, 1.3, 64,   2,  -1, 6, 10.5, ⑤⑤, 9,11,Ｅロｰドニュｰスタｰ, 68,安藤光, 0.5, 60,   6, -13, 4, 11.5,⑥⑥⑤
 9, 5,Ｅナスノギンガ, 57,安部幸, 2.3, 46,  -6, -10, 6, 32.3, ⑨⑨,10, 6,Ｊトップオブオアフ, 49,西田雄, 0.9, 62,  -4,*  5,15,248.2,⑯⑭⑫,10, 8,Ｍマリｰンチャチャ, 53,二本柳, 1.3, 59, -12,   8,12,197.3, ⑬⑬,10, 4,Ｉマイサイドキック, 61,和田竜, 0.6, 59,   8, -18, 9, 36.4,③④⑤
10,16,Ｈマイネテオリア, 53,大野拓, 2.7, 43,   0, -18, 9, 90.4, ⑥⑤,11,15,Ｆスプリングバレル, 56,鮫島良, 0.9, 59,   0,  -7,12,118.5,⑦⑪⑩,11,10,Ｌクｰルラスカル, 58,菊沢隆, 1.5, 59,  -9,   4,13,292.4, ⑪⑪,11, 2,Ｊシゲルアコガレ, 58,中村将, 0.6, 62,  -1,*  2,13,162.1,⑬⑮⑭
11, 2,Ｎヤマニンアミティエ, 36,宮崎北, 3.2, 39, -24,  -6,14,331.2, ⑬⑬,12, 1,Ａミッキｰハンタｰ, 66,中舘英, 1.9, 50,   3, -25, 1,  2.3,⑦⑧⑦,12,13,Ｉカノｰプス, 61,藤岡康, 1.9, 57,   4,  -9, 3,  7.8, ③⑤,12,16,Ｌスタｰルｰセント, 53,大野拓, 0.7, 60,   1,  -5,14,213.4,⑩⑪⑩
12, 4, マルモアメｰジング,---,田中健, 4.8,  8, -28, -19,15,358.5, ⑭⑭,13, 9,Ｉジャスティス, 52,渡辺薫, 2.1, 50,  -6, -10,11, 55.3,⑮⑮⑮,13,14,Ｊニホンピロコテツ, 59,和田竜, 2.0, 55,  -6,  -3,10, 53.5, ⑧⑩,13,14,Ｍフィｰルドグランデ, 53,武英智, 0.9, 57,   1,  -8,15,236.3,⑮⑪⑬
13,10,Ｋグランディブルｰ, 41,高山太, 5.4, -6, -40, -18,11,227.3, ⑮⑮,14, 3,Ｑハクサンレジェンド, 35,安部幸, 2.5, 45,  -4, -19,18,478.8,⑬⑬⑭,14, 3,Ｎクリノトレジャｰ, 38,大野拓, 2.1, 51, -23,   7,14,413.2, ⑭⑭,14, 8,Ｃメイショウラダック, 69,飯田祐, 1.9, 46,   6, -32,12, 41.8,④⑥⑩
14,12, モグ,---,的場勇, 6.8,-35, -68, -12,10,121.3, ⑯⑯,15,17,Ｅメテオスクライドｰ, 58,高橋亮, 2.6, 42,   3, -37, 9, 32.0,②⑥⑫,,,,,,,,,,,,,15,13,Ｎゴｰルデンエッグ, 52,安部幸, 2.0, 48,  -5,  -9,16,270.1,⑯⑯⑯
,,,,,,,,,,,,16,11, ホッカイハウラｰ,---,安藤光, 3.3, 39, -15,  -4,14,183.1,⑱⑱⑱,,,,,,,,,,,,,16,12,Ｈギンザグリングラス, 62,菊沢隆, 2.3, 43,* 10, -45,10, 37.3,②②④
,,,,,,,,,,,,17, 8,Ｐチョウスタｰ, 39,船曳文, 3.4, 38, -11, -14,17,457.1,⑰⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 7,Ｏドリｰムオブワイ, 42,二本柳, 3.4, 39,  -4, -27,16,300.7,⑭⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,370円 複勝:11=210円 06=110円 15=1,270円 枠連:760円",,,,,,,,,,,,"単勝:1,710円 複勝:16=360円 02=580円 14=180円 枠連:490円",,,,,,,,,,,,"単勝:270円 複勝:02=130円 05=250円 07=130円 枠連:1,120円",,,,,,,,,,,,"単勝:1,430円 複勝:03=290円 10=120円 05=310円 枠連:670円",,,,,,,,,,,
"馬連:780円 ワイド:06-11=310円 11-15=5,070円 06-15=1,240円",,,,,,,,,,,,"馬連:9,450円 ワイド:02-16=3,630円 14-16=990円 02-14=1,480円",,,,,,,,,,,,"馬連:1,290円 ワイド:02-05=540円 02-07=280円 05-07=530円",,,,,,,,,,,,"馬連:1,090円 ワイド:03-10=560円 03-05=1,720円 05-10=580円",,,,,,,,,,,
"馬単:3,040円 3連複:10,970円",,,,,,,,,,,,"馬単:16,310円 3連複:12,280円",,,,,,,,,,,,"馬単:2,180円 3連複:1,510円",,,,,,,,,,,,"馬単:3,380円 3連複:4,560円 3連単:30,590円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 8R  芝1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■11R  芝1200m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴鹿特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅナリタシャトル, 57,藤岡康,, 63,  -1,*  4, 5, 28.5,⑤⑤④, 1, 6,Ｉプリムロｰズヒル, 61,的場勇,, 64,  -7,*  9, 2,  3.3, ⑥⑦, 1, 5,Ａサンタドレス, 74,浜中俊,, 83,*  3,* 12, 1,  1.5, ①①, 1,18,Ｎキッスアンドライド, 62,船曳文,, 75,* 12,   0, 8, 19.2, ②②
 2,11,Ａグロッケンライン, 65,和田竜, 0.0, 63,*  0,*  3, 3,  4.2,⑤③③, 2, 7,Ｄジョウノナンシｰ, 67,藤岡康, 0.3, 63,*  5,  -2, 1,  2.3, ②②, 2, 1,Ｉキルシュブリュｰテ, 61,安部幸, 0.8, 73,  -6,* 11, 5, 16.0, ⑥④, 2,15,Ａアイアムエンジェル, 73,中舘英, 0.1, 74,* 13,  -2, 2,  5.2, ①①
 3, 2,Ｂザナドゥ, 65,中舘英, 0.4, 57,*  2,  -2, 2,  2.8,①①①, 3,13,Ｊハギノエアロ, 59,安部幸, 0.5, 59,  -6,   3, 6, 39.1, ⑥⑤, 3, 3,Ｂロｰズオットｰ, 71,菊沢隆, 0.9, 72, -10,* 13, 2,  6.2, ⑩⑨, 3,11,Ｍミスズアロハ, 65,大野拓, 0.5, 69,   1,   4,11, 41.7, ⑦⑥
 4, 1,Ｄメイケイパッション, 59,田嶋翔, 0.5, 58,  -1,   0, 1,  2.4,③⑤④, 4, 2,Ｃフィリアルドｰタｰ, 67,中舘英, 0.7, 57,*  5,  -6, 4,  8.5, ①①, 4, 2,Ｄベタｰデイズ, 67,川島信, 0.9, 71,  -1,   6, 4, 15.3, ③②, 4,12,Ｃスプリングタピアン, 72,石橋脩, 0.6, 68,*  8,  -3, 3,  6.4, ④③
 5, 9,Ｉトｰホウミラクル, 50,太宰啓, 0.8, 56,  -1,  -2,15,497.0,⑮⑤⑦, 5, 1,Ｂブラックプラネット, 68,鮫島良, 0.7, 58,  -3,   0, 3,  5.4, ③③, 5,11,Ｈアンソロジｰ, 62,松田大, 1.0, 71,  -4,   7, 6, 21.0, ⑥⑦, 5, 6,Ｋアサヒカレンダｰ, 68,梶晃啓, 0.7, 66,  -4,*  7,17,148.9, ⑭⑭
 6, 7,Ｈコスモレッドホｰク, 50,大野拓, 0.8, 58,  -3,*  4,11,125.5,⑬⑬⑩, 6, 8,Ｍサチノオリｰブ, 46,菊沢隆, 0.8, 55, -17,*  8,10, 78.8, ⑪⑩, 6, 4,Ｆヤマニンファビュル, 64,渡辺薫, 1.3, 67,  -9,   7, 7, 24.3, ⑩⑨, 6, 4,Ｄベレッツァ, 71,浜中俊, 0.7, 66,   1,   2, 1,  4.1, ⑦⑥
 7,15,Ｍリアルパラダイス, 42,西田雄, 0.9, 56,  -3,   1, 7, 49.9,⑩⑪⑩, 7,10,Ｋワンダｰカルメン, 55,田中健, 0.9, 56,  -4,  -1,11,102.1, ⑤⑥, 7,15,Ｃマヤラブハｰト, 67,芹沢純, 1.5, 64,  -2,  -2, 3, 14.1, ③④, 7,14,Ｌラドランファｰマ, 67,津村明, 0.7, 66,  -6,*  8,14, 60.0, ⑮⑭
 8, 3,Ｋニホンピロカフラｰ, 49,上野翔, 1.0, 56,  -2,  -1,16,771.3,⑦⑨⑧, 8,11,Ｈメイショウワカナ, 61,石橋脩, 1.0, 54,  -1,  -4, 7, 61.2, ③③, 8,12,Ｋケイエスバウアｰ, 59,船曳文, 1.5, 63,  -6,   2,10, 35.1, ⑥⑨, 8, 8,Ｅクインズプレイヤｰ, 70,二本柳, 0.8, 65,  -2,   3, 6, 12.1, ⑪⑩
 9, 4,Ｆエスジｰビンゴ, 57,千田輝, 1.0, 55,*  1,  -7, 8, 57.2,②②②, 9, 5,Ｌムソウ, 54,古川吉, 1.0, 56, -12,   3, 8, 70.7, ⑩⑨, 9, 8,Ｍコスモプリマ, 49,大野拓, 1.8, 60,  -6,  -2,12,127.4, ⑥⑦, 9, 9,Ｑロマンスオｰラ, 56,田辺裕, 0.9, 63,  -3,   3,18,238.9, ⑪⑩
10,12,Ｃパイロット, 63,浜中俊, 1.1, 52,  -2,  -3, 4, 10.5,⑦⑨⑩,10, 3,Ｇウエストリリｰ, 61,嘉藤貴, 1.3, 52, -21,   8,12,142.3, ⑬⑪,10,14,Ｅシルキｰイリス, 66,的場勇, 1.9, 58,  -2,  -7,11, 61.1, ③④,10,13,Ｆヤマニンエマイユ, 70,鮫島良, 1.0, 62,   1,  -2, 5,  7.9, ⑦⑧
11,10,Ｇトｰセンステｰジ, 51,安部幸, 1.4, 51,*  0,  -9,10,124.7,③③⑥,11,12,Ｎエプソムメアラス, 35,宮崎北, 2.5, 38, -19,  -5,13,391.7, ⑫⑫,11, 6,Ｇメイクユｰハッピｰ, 63,津村明, 2.0, 61, -25,* 14, 9, 27.6, ⑮⑮,11,16,Ｒドリｰムモア, 47,伊藤直, 1.0, 62, -13,* 11,13, 56.8, ⑰⑯
12, 6,Ｏテｰジュパッタｰ, 29,嘉藤貴, 1.9, 49,  -4,  -7,12,147.3,⑩⑫⑬,,,,,,,,,,,,,12,10,Ｏカネコメスパｰクｰ, 35,藤岡康, 2.7, 48, -21,   0,15,232.5, ⑬⑬,12, 3,Ｇブライティアミラ, 69,丸田恭, 1.1, 61,  -2,  -1, 9, 21.8, ⑪⑩
13,14,Ｌデルマリゲル, 46,伊藤直, 2.0, 48,  -2, -11, 9, 61.2,⑦⑧⑧,,,,,,,,,,,,,13, 7,Ｌスズカエルムス, 59,上村洋, 2.8, 48, -20,  -1,14,179.5, ⑬⑬,13, 1,Ｏウエスタンダンサｰ, 57,和田竜, 1.3, 58,*  9, -14, 4,  7.0, ③③
14, 8,Ｊサイレントキララ, 49,宮崎北, 2.1, 48,  -4,  -7, 6, 47.6,⑫⑬⑬,,,,,,,,,,,,,14,13,Ｊリンダムｰン, 60,赤木高, 2.9, 45, -17,  -6,13,171.9, ⑫⑫,14, 5,Ｉレオリリｰ, 69,嘉藤貴, 1.4, 57,  -7,   1,12, 54.7, ⑮⑯
15,13,Ｎオｰラノツバサ, 30,二本柳, 2.3, 46,  -7,  -3,13,162.8,⑬⑮⑮,,,,,,,,,,,,,15, 9,Ｎタツグレｰス, 48,中舘英, 3.1, 43,*  1, -26, 8, 26.3, ②②,15,17,Ｐタイキミュｰズ, 57,田嶋翔, 1.4, 57,   5, -11,10, 22.8, ⑤⑤
