08年11月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北國新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃダンツフロント, 58,藤岡佑,, 67,* -2,*  6, 1,  3.2, ④②, 1, 5, ウォｰタｰルｰク,,北沢伸,,,,, 3,  5.0,③②②, 1,13,Ａリリｰハｰバｰ, 77,池添謙,, 74,*  7,   5, 1,  1.8, ④③, 1, 5,Ａピエナポパイ, 87,幸英明,, 82,  10,* 14, 1,  3.3,⑬⑫⑪
 2, 1,Ｆナムララピス, 56,小牧太, 1.1, 58,  -4,  -2, 4,  7.0, ③③, 2, 2, マヤノスタｰダム,,植野貴,196.2,,,, 2,  4.1,⑤④③, 2, 1,Ｅキアｰロ, 70,渡辺薫, 0.1, 74,   2,  10,10, 30.4, ⑩⑩, 2,10,Ｄタカオセンチュリｰ, 84,鮫島良, 0.0, 83,* 14,   5, 5,  7.1,②②②
 3,13,Ｇマルブツワｰキング, 53,角田晃, 1.2, 59,  -7,*  1, 7, 17.7, ⑩⑥, 3,13, ショウリュウケン,,佐久間,196.4,,,, 9, 52.9,⑥⑥⑤, 3,15,Ｈオメガロンド, 67,武幸四, 0.2, 72,  -3,* 14,11, 68.6, ⑫⑫, 3, 9,Ｉマルブツフラッシュ, 80,上村洋, 0.0, 82,* 15,   4, 6, 13.5,①①①
 4,11,Ｅシュンハレン, 56,川島信, 1.3, 57,  -8,*  2, 8, 18.6, ⑫⑧, 4,11, トｰワヒヨシマル,,小坂忠,196.4,,,, 4,  6.8,⑦⑦⑦, 4,12,Ｂユメイッポ, 75,赤木高, 0.4, 70,*  8,   0, 3,  6.8, ①①, 4, 1,Ｆナムラハンタｰ, 82,小林徹, 0.2, 81,* 13,   6, 2,  4.5,③③③
 5,10,Ｄマｰブルアロｰ, 57,長谷川, 1.4, 58,  -5,  -2, 6, 15.5, ⑧⑤, 5, 1, テイエムノブシオｰ,,出津孝,196.6,,,, 5, 11.4,①①①, 5, 9,Ｇキタサンコンバット, 68,上村洋, 0.4, 71,   6,   2, 4, 11.8, ③④, 5, 7,Ｂキクノプログレッソ, 85,芹沢純, 0.4, 79,  10,   9, 9, 28.6,⑭⑩⑨
 6,15,Ｈシンゼンライク, 49,飯田祐, 1.6, 55,* -1,  -8, 9, 22.6, ②①, 6, 8, トロフィｰディｰル,,西谷誠,196.6,,,, 1,  2.4,④⑤⑥, 6, 6,Ｋホシシャトル, 61,秋山真, 0.6, 68,   4,   2, 9, 28.9, ⑦⑤, 6, 6,Ｊピイラニハイウェイ, 80,藤岡佑, 0.5, 78,  11,   6, 3,  5.7,⑥⑦④
 7, 7,Ｂハｰドイチオｰ, 60,佐藤哲, 2.4, 48,  -6, -10, 3,  5.5, ⑨⑫, 7, 6, ダイゴフウジン,,林満明,197.1,,,,10, 78.8,②③④, 7, 3,Ｉスタｰアイル, 65,小牧太, 0.7, 67,  -9,* 15, 2,  5.7, ⑮⑭, 7, 8,Ｏトｰセンゴライアス, 76,熊沢重, 0.5, 79,  10,   8, 7, 24.0,⑨⑨⑦
 8,12,Ｎエｰシンウィンマン, 34,武幸四, 2.5, 48,  -8,  -9,10, 39.0, ⑬⑨, 8,10, シアトルシｰフェア,,白浜雄,200.5,,,,13,134.9,⑩⑨⑨, 8, 8,Ｃフォレストジャガｰ, 73,藤岡康, 0.9, 66,*  8,  -4, 8, 26.3, ②②, 8, 3,Ｅプラチナメｰン, 83,小牧太, 0.7, 77,  12,   4, 4,  6.5,⑤⑤⑤
