08年 1月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 1月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,許波多特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａアンジェロバンダム, 78,武豊  ,, 74,*  3,*  7, 1,  1.2, ②②, 1,12, ニホンピロザプラウ,,南井大,,,,, 2,  3.8,⑥③③, 1,11,Ａキャプテンベガ, 78,安藤勝,, 77,   9,*  0, 1,  1.5, ⑨⑧, 1,10,Ｍロｰドアンセム, 74,藤岡佑,, 79,  12,* -6, 7, 29.8,⑥⑥⑥
 2, 6,Ｇグレｰトメモリｰ, 60,藤田伸, 1.0, 65,*  3,  -2, 3, 12.5, ①①, 2, 1, ナイトフライヤｰ,,小坂忠,196.9,,,, 1,  2.1,⑤②①, 2, 9,Ｈグッドキララ, 69,川田将, 0.2, 73,* 16, -17, 7, 24.4, ①①, 2, 6,Ｂブラックシャンツェ, 83,藤田伸, 0.0, 78,* 14,* -9, 2,  5.8,③③②
 3, 2,Ｂヴェンダバｰル, 67,大下智, 1.1, 64,   0,   0, 2, 12.1, ④③, 3,13, シュトラｰレン,,北沢伸,197.6,,,, 7, 32.2,⑥⑥⑤, 3,15,Ｋエイワンキセキ, 68,藤田伸, 0.4, 72,   5,* -1,10, 39.3, ⑮⑪, 3, 1,Ｉシルバｰブレイズ, 76,安藤勝, 0.4, 76,  11,* -5, 3,  6.7,⑩⑪⑪
 4,11,Ｆエシャペ, 61,小原義, 1.4, 62,   0,  -3, 6, 35.4, ④③, 4, 7, フサイチシャナオｰ,,白浜雄,198.0,,,, 3,  7.8,④⑤④, 4, 2,Ｃホウショウルｰプ, 70,福永祐, 0.4, 71,* 13, -15, 3, 12.2, ③②, 4, 7,Ｄレｰザｰズエッジ, 82,幸英明, 0.7, 74,  12, -13,10, 36.6,⑫⑨⑧
 5, 4,Ｌロジュマン, 45,小林徹, 1.4, 61,  -3,   0,13,432.0, ⑧⑧, 5,14, エムテイクラウン,,植野貴,198.8,,,,12,103.6,⑧⑦⑥, 5, 8,Ｄバクシンヒロイン, 70,小牧太, 0.5, 73,   4,*  0, 6, 21.3, ⑭⑬, 5, 5,Ｊスズカストロング, 76,生野賢, 0.7, 73,  12, -13,14, 89.2,⑧⑨⑧
 6,10,Ｋチアズアブソｰブ, 47,池添謙, 1.6, 61,  -3,  -1, 8, 79.0, ⑧⑧, 6, 5, トウショウズシオウ,,林満明,198.8,,,, 5, 11.5,①①②, 6, 3,Ｏサクラアｰバン, 46,幸英明, 0.7, 70,  10, -12,13,179.9, ⑨⑧, 6,13,Ａミヤビランベリ, 85,武豊  , 1.0, 70,* 16, -30, 1,  2.4,①①①
 7, 3,Ｈシｰシャトｰ, 60,石橋守, 1.9, 59,  -9,   3,10,156.8, ⑪⑩, 7, 8, マンノダイヤモンド,,今村康,199.2,,,,14,154.3,⑪⑩⑩, 7, 6,Ｊスナｰクトモクン, 68,和田竜, 0.9, 68,   7,  -9, 9, 34.2, ⑫⑪, 7,14,Ｐテイエムサッカｰ, 70,和田竜, 1.1, 71,* 14, -23,16,237.7,⑦⑥④
 8, 1,Ｄメイショウシシリｰ, 64,武幸四, 1.9, 58,  -8,   1, 7, 35.8, ⑩⑩, 8,11, アザンクｰル,,黒岩悠,199.4,,,, 9, 41.8,⑨⑦⑧, 8,12,Ｇショウナンライジン, 69,武豊  , 1.2, 64,  11, -21, 4, 17.8, ⑥③, 8,15,Ｃデンコウミサイル, 82,池添謙, 1.3, 67,  10, -14, 6, 13.7,⑬⑭⑬
