08年 3月 1日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月 1日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沈丁花賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｂキアｰロ, 62,田中健,, 60,*-11,*  8, 3,  6.3,③②②, 1, 2,Ｂオブコｰス, 65,藤岡康,, 67,* -9,* 10,12, 42.0,③⑤③, 1, 7,Ｄエｰシンエフダンズ, 69,藤岡康,, 79,* 12,   7, 2,  5.3, ①①, 1,15,Ａシンワラヴ, 75,中舘英,, 71,  -1,* 13, 3,  6.2,⑦④④
 2,10,Ｍクリノソｰニャ, 48,中村将, 0.1, 57,*-10,*  7, 7, 14.7,②②②, 2,17,Ｊナリタダイコク, 58,佐藤哲, 0.1, 65,* -9,   9, 4,  7.6,⑥⑤⑦, 2,12,Ｃカリスマダンディｰ, 69,中舘英, 0.1, 76,   7,*  9, 1,  1.9, ③③, 2,14,Ｇナムラハｰン, 59,上村洋, 0.0, 75,*  0,* 11, 5, 15.9,③③②
 3,12,Ａハイパｰラッシュ, 65,佐藤哲, 0.3, 57,*-11,   6, 1,  4.0,⑤②②, 3, 3,Ｄポｰラｰライツ, 64,中舘英, 0.1, 69, -12,* 14, 3,  5.5,⑰⑬⑪, 3,14,Ｆアクロスザスタｰ, 64,佐藤哲, 0.2, 77,*  9,   7, 6, 15.0, ③③, 3, 2,Ｋイマカツタイガｰ, 58,鮫島良, 0.5, 70,  -2,* 11, 4, 14.8,⑧⑥⑥
 4, 3,Ｎレディｰファｰスト, 47,上村洋, 0.6, 57, -12,   5, 8, 16.5,③⑤⑤, 4, 7,Ｎマｰチインパクト, 47,菊沢隆, 0.2, 65, -10,* 10,17,275.0,⑥⑨⑦, 4, 1,Ａアサクサアンデス, 72,荻野琢, 0.9, 67,  -5,* 10, 3,  5.6, ⑦⑦, 4, 5,Ｂタガノクリスエス, 73,北村友, 0.6, 67,  -2,   9, 1,  1.6,③⑥⑥
 5, 5,Ｄコｰニングストｰン, 58,中舘英, 0.8, 51, -12,   3, 5,  8.8,⑤⑤⑤, 5,13,Ｅメイショウジギｰ, 63,浜中俊, 0.2, 64,* -9,   7, 2,  4.6,④⑤③, 5, 4,Ｉカシノダンク, 60,西田雄, 1.0, 66,  -2,   7, 7, 30.5, ⑥⑥, 5, 4,Ｏシュウボンバｰ, -2,石橋脩, 0.6, 66,*  0,   7,12, 86.2,③④④
 6, 4,Ｅホッコｰティアラ, 57,的場勇, 0.9, 55, -15,*  8, 6,  9.6,⑪⑪⑫, 6, 8,Ｌマイネルザパｰム, 53,赤木高, 0.3, 60,* -7,   2,14, 94.5,①①①, 6, 8,Ｂパレスワｰルド, 69,田中健, 1.1, 68,* 10,  -2, 5, 12.7, ②②, 6,12,Ｅメイショウラダック, 65,飯田祐, 0.8, 66,*  1,   4,11, 82.8,②②②
 7, 6,Ｊメイショウタマヒメ, 52,川島信, 1.1, 51, -14,   4,15,221.3,⑦⑨⑧, 7, 1,Ａシャイニングデイ, 65,川島信, 0.4, 58,* -8,   2, 1,  3.6,②②②, 7,15,Ｅエイシンダンベリｰ, 68,浜中俊, 1.3, 64,   7,  -2, 4,  9.5, ③⑤, 7, 3,Ｃメイショウアサガオ, 70,浜中俊, 1.0, 66,  -4,* 11, 2,  5.2,⑭⑪⑨
 8, 2,Ｃワイルドエキサイト, 62,太宰啓, 1.1, 51, -15,   5, 2,  4.9,⑭⑪⑩, 8, 4,Ｈマルイチポケット, 60,安藤光, 0.4, 65, -13,* 13, 6, 11.0,⑭⑯⑯, 8,11,Ｋマルタｰズマゼル, 59,北村友, 1.4, 61, -12,* 11, 9, 60.9, ⑩⑪, 8, 7,Ｉチャｰミングシチｰ, 59,小林徹, 1.1, 66,  -5,* 12, 8, 49.5,⑬⑫⑨
 9,14,Ｆサマｰナイトスタｰ, 57,藤岡康, 1.4, 49, -12,  -1,10, 25.2,⑦⑤⑤, 9,14,Ｃブラボｰデイジｰ, 65,北村友, 0.6, 60, -11,   3, 5,  9.4,⑪⑧⑦, 9, 3,Ｈテイエムフッカツ, 60,田辺裕, 1.8, 55, -12,   7,13,209.1, ⑩⑩, 9, 8,Ｄルティラｰレ, 67,田中健, 1.3, 66,  -3,   5,10, 70.4,⑨⑧⑧
10,15,Ｈマッキｰサマンサ, 54,野元昭, 2.0, 44, -12,  -6,11, 37.9,⑦⑤⑧,10,18,Ｆヤマニンリュバン, 61,的場勇, 0.8, 55,* -9,  -3, 8, 25.1,⑧③⑥,10,10,Ｏブラックスティング, 14,中村将, 1.9, 56, -13,   6,12,170.3, ⑩⑫,10,10,Ｌステルスワン, 57,太宰啓, 1.3, 62,*  1,  -1, 7, 47.4,①①①
11, 7,Ｐオｰロラストｰム, 45,石橋脩, 2.0, 44, -16,   0,12, 51.5,⑬⑬⑬,11,10,Ｋハｰマジェスティ, 56,小林慎, 0.8, 58, -12,   3,13, 58.2,⑪⑨⑬,11, 6,Ｊマイティマイロｰド, 60,宮崎北, 2.0, 55,  -4,  -1,10,147.0, ⑦⑧,11,11,Ｆマイネルエルマス, 60,田辺裕, 2.0, 54,  -4,   0, 6, 27.4,⑩⑨⑨
12, 1,Ｉエンシャントアｰツ, 53,赤木高, 2.0, 46, -18,   4,14,117.8,⑭⑮⑮,12,11,Ｍマイネルヴォランテ, 50,石橋脩, 0.8, 58, -12,   3, 9, 26.3,⑯⑨⑪,12,13,Ｇシルクフラッグ, 61,南田雅, 2.2, 54,  -5,  -1, 8, 58.4, ⑦⑧,12, 1,Ｊニュｰロザリオ, 59,安藤光, 2.1, 59,  -7,   6,14,196.4,⑯⑮⑭
