08年12月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,仲冬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂムｰンストｰン, 64,内田博,, 60,   0,*  4, 2,  4.0, ⑥④, 1,12, グリュｰエント,,西谷誠,,,,, 1,  1.6,①①①, 1,10,Ｏシベリアンバｰド, 45,吉田豊,, 71,  -4,* 17, 4,  7.0, ⑧⑧, 1, 4,Ｃガブリン, 86,内田博,, 84,   3,* 17, 4,  7.5, ⑥⑤
 2, 7,Ａアポロクリｰド, 65,勝浦正, 0.7, 56,*  4,  -6, 1,  1.7, ③②, 2, 1, サトノスロｰン,,山本康,196.0,,,, 2,  6.6,③②②, 2, 1,Ａセイコｰスペシャル, 80,柴田善, 0.2, 69, -11,* 22, 1,  3.0, ⑭⑫, 2, 7,Ｄリボンノキシ, 85,勝浦正, 0.3, 82,   1,* 16, 9, 29.8, ⑧⑦
 3, 4,Ｈジェイケイヘイロｰ, 49,江田照, 0.7, 53,  -2,  -1, 3,  7.3, ⑦⑦, 3, 4, オンワｰドアリｰテ,,横山義,196.6,,,,11, 56.3,⑥④④, 3,16,Ｉコアレスカポｰテ, 62,内田博, 0.2, 69,*  6,   6, 2,  3.8, ④④, 3,10,Ｆファイナルスコアｰ, 84,三浦皇, 0.3, 80,   3,  14, 5,  8.6, ⑦⑧
 4,15,Ｄアクセルボｰイ, 55,三浦皇, 0.8, 55,*  7, -10, 7, 30.2, ①①, 4,14, マイネルプログレス,,宗像徹,196.6,,,, 7, 20.5,②③③, 4, 4,Ｆトｰホウカラブラン, 66,小野次, 0.5, 67,*  6,   3,10,109.8, ①①, 4, 2,Ｅアウトクラトｰル, 85,ペリエ, 0.4, 80,*  7,  10, 6,  9.4, ②②
 5, 9,Ｋロｰズブリット, 41,蛯名正, 1.1, 49,  -5,  -2, 8, 58.9, ⑫⑧, 5,13, アポロノサトリ,,平沢健,196.8,,,, 4, 14.5,⑤⑤⑤, 5, 7,Ｄベルモントエアロ, 71,田辺裕, 0.7, 64,   3,   5, 8, 22.9, ⑥⑥, 5, 6,Ｉラインストｰム, 81,小林淳, 0.4, 81,   0,* 16, 8, 27.3, ⑩⑩
 6, 5,Ｅエイシンワｰルド, 51,吉田豊, 1.2, 48,  -7,*  0, 9, 90.5, ⑬⑪, 6,11, バシケｰン,,蓑島靖,198.7,,,,12, 63.0,⑬⑧⑥, 6,15,Ｅキングオブハイシｰ, 68,松岡正, 0.8, 64,   3,   4, 6, 17.7, ⑦⑦, 6, 9,Ｇトウショウガナｰ, 84,蛯名正, 0.6, 79,   5,  10, 2,  5.8, ⑤④
 7,13,Ｎラッキｰフラワｰ, 36,木幡初, 1.6, 49,*  6, -14,15,362.1, ②③, 7, 6, ヨシカツゾｰ,,大庭和,199.1,,,,10, 43.3,⑦⑨⑨, 7,14,Ｃマルタｰズマガン, 71,吉田隼, 1.1, 62,*  6,  -2, 9, 31.5, ③③, 7, 8,Ａスリｰセブンスピン, 87,吉田隼, 0.7, 78,   5,   9, 1,  2.6, ④③
 8, 8,Ｍマキシムギンガ, 38,田辺裕, 1.7, 42,  -5,  -7,14,268.8, ⑪⑨, 8, 8, モリノミヤコ,,五十嵐,199.1,,,, 6, 20.2,⑧⑦⑧, 8, 3,Ｊシルクランサム, 55,木幡初, 1.1, 61,   3,   1,11,132.9, ⑤⑤, 8,13,Ｂアントニオマグナム, 86,小野次, 0.7, 78,*  8,   6,10, 35.4, ①①
