08年 3月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝3200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾞﾗｯﾄﾞｽﾄｰﾝS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆプライドオブキング, 48,内田博,, 57,* -6,*  1, 2,  3.8, ③②, 1, 7, コスモラバンジン,,宗像徹,,,,, 4,  6.3,②①①, 1, 5,Ｂアポロラムセス, 69,勝浦正,, 71,  -8,* 13, 1,  3.1, ④④, 1, 4,Ｄタｰタンフィｰルズ, 82,武豊  ,, 81,  -2,* 18, 4,  7.3, ⑥④
 2, 8,Ｂスイｰトグラｰツ, 60,蛯名正, 0.2, 58,  -6,*  1, 3,  9.0, ④④, 2, 4, ゴｰルデンシャイン,,西谷誠,218.7,,,, 1,  2.1,⑥⑤③, 2, 6,Ｆタカラシャフト, 62,北村宏, 0.0, 70,  -6,* 12, 2,  3.4, ③③, 2,12,Ａワｰルドハンタｰ, 85,岩田康, 0.0, 80,  -1,  17, 2,  5.2, ⑤④
 3, 9,Ａバイヨン, 62,横山典, 0.3, 56,  -7,*  1, 1,  1.6, ⑤⑤, 3, 8, ダイタクアルビン,,横山義,218.7,,,, 5, 16.5,⑥⑤④, 3, 9,Ａシルクファラオ, 70,内田博, 0.8, 62,* -4,   2, 3,  3.4, ①②, 3,10,Ｂマルタｰズマッシブ, 84,勝浦正, 0.1, 80,  -7,* 21, 3,  5.5, ⑬⑮
 4,12,Ｈヒロノグレガ, 45,三浦皇, 0.4, 55,* -4,  -4, 5, 20.4, ①①, 4, 6, ランドブラザｰ,,宇田登,219.2,,,,10, 73.7,⑨②②, 4, 8,Ｃコスモミネルヴァ, 66,福永祐, 1.0, 62, -15,* 11, 5, 15.6, ⑩⑨, 4,15,Ｉオネストジョン, 79,古川吉, 0.1, 82,  -2,  17, 7, 11.2, ⑥⑦
 5,14,Ｃエプソムスティｰヴ, 53,川田将, 1.1, 48,  -7,  -6, 4, 18.1, ⑤⑥, 5,10, ブラックコンドル,,高田潤,219.3,,,, 3,  5.8,⑥③④, 5,10,Ｋドリｰムスカイラブ, 54,松岡正, 1.1, 61,  -9,   5, 4, 13.5, ⑤⑤, 5, 1,Ｅウォｰタｰバロン, 82,横山典, 0.2, 78,  -4,* 18, 8, 13.4, ⑧⑦
 6, 5,Ｄエクサイズタックス, 49,柄崎将, 1.4, 46, -10,  -6,12,244.3, ⑦⑥, 6, 2, バリトンヴォイス,,石神深,221.4,,,,12,148.8,①⑨⑨, 6,12,Ｄサンクスヘヴン, 64,石橋脩, 1.3, 59,* -3,  -2,10, 35.5, ②①, 6, 6,Ｇグリｰンアラモｰド, 81,川田将, 0.2, 78,*  3,  12, 1,  4.7, ②②
 7, 6,Ｍクレｰジｰエッグ, 29,小野次, 1.4, 46, -16,*  0, 9, 82.7, ⑩⑨, 7,11, ウォｰライクトニｰ,,山本康,221.8,,,, 2,  5.4,⑫⑩⑪, 7, 4,Ｇジファｰル, 61,蛯名正, 1.3, 60,  -9,   4, 6, 17.1, ⑤⑤, 7, 5,Ｍメジロファルカル, 78,松岡正, 0.5, 77,*  3,   9, 6,  9.6, ②②
 8,11,Ｅバｰドダムｰル, 49,木幡初, 1.6, 44, -13,  -5, 7, 29.9, ⑧⑧, 8, 1, シャコｰバニラ,,浜野谷,221.8,,,,11, 99.5,③⑤⑦, 8, 2,Ｉチャｰムキャップ, 60,小野次, 1.4, 57, -12,   5, 8, 26.4, ⑦⑦, 8, 3,Ｃビッグホワイト, 84,田辺裕, 0.7, 73,  -3,  14,14, 71.9, ⑧⑦
 9, 3,Ｇメイクアフェイブル, 46,後藤浩, 1.6, 44,* -4, -13,10, 98.3, ②②, 9,14, マチカネリュウセイ,,穂苅寿,221.9,,,, 7, 20.7,⑨⑧⑦, 9, 7,Ｈマルタｰズウディｰ, 60,鷹野宏, 1.4, 58, -12,   5,11,187.9, ⑦⑦, 9, 2,Ｆミスタｰケビン, 81,北村宏, 0.8, 74,  -6,  15, 5,  9.4, ⑬⑪
10,16,Ｋキタサンフシチョウ, 35,武士沢, 1.9, 42, -18,  -4,11,146.1, ⑪⑪,10,12, メモリｰオブヨｰク,,蓑島靖,222.1,,,, 8, 31.4,⑭⑬⑫,10, 1,Ｊバｰニングブライト, 58,吉田豊, 1.6, 58, -16,   8, 9, 31.9, ⑪⑨,10,13,Ｊアグネスボゾン, 78,福永祐, 1.1, 71,  -6,  13,11, 35.8, ⑬⑪
11, 7,Ｊバシケｰン, 36,大庭和, 2.5, 38, -15, -10,13,263.1, ⑨⑨,11, 5, シャｰディｰナイス,,高野和,222.4,,,,13,156.2,③③⑥,11,11,Ｅスズノカイソク, 63,田中勝, 3.4, 40, -14, -11, 7, 25.3, ⑨⑪,11,14,Ｋジョウノデイリｰ, 78,武士沢, 1.1, 71,  -5,  11,15,266.1, ⑪⑪
12, 2,Ｉロマンフィｰルズ, 38,石橋脩, 4.7, 16, -32, -15,14,461.5, ⑬⑫,12, 9, ドゥｰワンズベスト,,柴田大,222.6,,,,14,235.0,⑪⑩⑩,12, 3, クｰルウインド,---,戸崎圭, 3.9, 36, -20, -10,12,350.4, ⑫⑫,12, 7,Ｎスペｰスフライト, 77,戸崎圭, 1.2, 71,  -2,   9,12, 41.9, ⑧⑦
13,13,Ｎゲゼルシャフト, 22,高山太, 4.8, 16, -26, -21,15,699.7, ⑫⑫,13,13, メイショウオオナミ,,五十嵐,223.6,,,, 9, 69.3,⑬⑭⑬,,,,,,,,,,,,,13, 9,Ｏサｰチエネミｰ, 74,横山義, 1.3, 70,  -9,  14,16,314.3, ⑯⑯
14, 1,Ｌテツキチダイオｰ, 33,北村宏, 6.6, -2, -45, -19, 6, 24.0, ⑭⑭,14, 3, オｰトゼウス,,矢原洋,224.3,,,, 6, 17.4,③⑫⑭,,,,,,,,,,,,,14,16,Ｈエイシンイｰデン, 80,木幡初, 1.5, 68,*  2,   1,13, 50.5, ④④
15, 4, タイムトゥブギ,---,田中勝,11.0,-40, -45, -57, 8, 77.1, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｌオヤマハリケｰン, 78,内田博, 1.6, 66,  -6,   7,10, 33.1, ⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｐハナイチリン, 74,田中勝, 2.6, 59,*  5, -11, 9, 26.6, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
単勝:380円 複勝:10=120円 08=160円 09=110円 枠連:420円,,,,,,,,,,,,単勝:630円 複勝:07=180円 04=120円 08=360円 枠連:420円,,,,,,,,,,,,単勝:310円 複勝:05=110円 06=120円 09=120円 枠連:500円,,,,,,,,,,,,"単勝:730円 複勝:04=210円 12=210円 10=230円 枠連:1,420円",,,,,,,,,,,
