08年10月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小名浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａアドバンスヘイロｰ, 63,三浦皇,, 68,   2,*  2, 1,  2.0, ④③, 1, 1,Ａケｰジｰハッピｰ, 73,三浦皇,, 68,   3,* 10, 1,  1.9,⑥④④, 1,11,Ａレイクエルフ, 73,岩部純,, 73,   0,*  7, 2,  3.6, ⑦⑦, 1, 7,Ｆヒシポラリス, 72,菊沢隆,, 73,   4,* 13, 3,  6.5,⑦⑥②
 2,13,Ｄコスモクラッベ, 52,津村明, 0.5, 63,*  7,  -9, 3,  6.3, ②①, 2, 5,Ｇアｰスマリン, 67,野元昭, 0.0, 71,   1,* 14, 5, 12.4,⑭⑧⑥, 2, 5,Ｂセンザイイチグウ, 71,丸田恭, 0.3, 67,  -6,*  8, 1,  3.6, ⑪⑪, 2, 4,Ｅロックリヴァｰ, 73,三浦皇, 0.2, 69,*  6,   9, 4,  6.9,③③②
 3,15,Ｅマッドマックス, 48,的場勇, 0.6, 59,*  5,  -9, 6, 28.0, ③③, 3,13,Ｄブリズデロｰトンヌ, 70,中舘英, 0.2, 69,   2,* 10, 2,  6.6,⑫⑦⑥, 3, 8,Ｊイサミチェリｰ, 62,千葉直, 0.4, 67,  -9,*  9, 9, 24.1, ⑮⑬, 3, 8,Ｃマイネルビスタ, 75,木幡初, 0.2, 71,   3,* 13, 2,  6.0,⑨⑦⑦
 4, 6,Ｂカネコメリッチ, 53,中舘英, 0.7, 59,   2,  -7, 2,  4.1, ④⑤, 4,14,Ｂナッシュビル, 72,菊沢隆, 0.6, 66,*  5,   1, 6, 13.3,②①①, 4,15,Ｃウィッシュアウェイ, 68,三浦皇, 0.6, 64,   2,  -4, 3,  6.7, ④③, 4, 1,Ｈティズインパルス, 70,赤木高, 0.6, 66,*  7,   3,10, 40.6,①①①
 5, 1,Ｍファｰストメジャｰ, 34,石橋脩, 0.8, 60,*  8, -14, 4,  9.4, ①②, 5, 2,Ｅシアトルレイナ, 69,丸田恭, 0.7, 65,   1,   8, 4, 10.4,⑦⑧⑨, 5, 1,Ｆヒシエンジェル, 64,郷原洋, 0.6, 64,  -2,   0, 7, 16.7, ⑨⑦, 5,10,Ｇタイインテンスリｰ, 71,太宰啓, 0.6, 67,   5,   7, 5, 12.9,⑤⑤⑥
 6,11,Ｊデルマオシリス, 37,伊藤直, 1.0, 52,  -2,  -8,15,278.6, ⑦⑥, 6, 3,Ｆヴィッテリア, 69,黛弘人, 0.9, 68,   1,   9, 7, 18.7,⑬⑪⑩, 6, 3,Ｄマルサンテクニカル, 66,古川吉, 0.9, 61,  -7,   2, 8, 17.0, ⑭⑬, 6,13,Ｌフェアｰムｰラン, 57,宮崎北, 0.6, 65,*  6,   3, 8, 36.9,②②②
 7, 5,Ｋフロｰラルパタｰン, 36,嘉藤貴, 1.2, 51,  -3,  -8, 7, 50.3, ⑨⑧, 7, 6,Ｃヨイチイｰスト, 70,梶晃啓, 0.9, 63,   3,   1, 3,  7.7,⑨④④, 7, 2,Ｅクリプトゾｰン, 64,的場勇, 0.9, 59,   2,  -7, 6, 16.4, ④③, 7,12,Ａエヴァシャイン, 75,石橋脩, 1.2, 63,*  6,   0, 1,  1.9,③③⑤
 8,12,Ｇレゴンダンス, 46,北村友, 1.4, 47,  -4, -10, 8, 54.2, ⑩⑨, 8, 4,Ｈヘンメイレン, 66,的場勇, 0.9, 65,*  5,   2, 9, 37.0,④③③, 8,10,Ｈタカラブネ, 63,上村洋, 1.1, 59,*  6, -14, 5,  7.8, ①①, 8, 9,Ｋナイキバリアント, 61,田中博, 1.4, 62,   1,   5,12, 76.5,⑩⑪⑩
 9,14,Ｐノボマリｰン,-22,大庭和, 1.6, 45, -24,*  7,12,118.5, ⑮⑮, 9,12,Ｉバｰニングラブ, 64,郷原洋, 1.3, 62,   3,   0,13,126.5,④④⑥, 9,16,Ｍプラネットビｰナス, 50,長谷川, 1.1, 58,*  5, -13,10, 48.9, ③③, 9, 2,Ｉバｰチャルウォｰズ, 68,丸田恭, 1.7, 59,   2,   1, 7, 35.6,⑦⑦⑧
10, 3,Ｆアバトルフジザクラ, 46,黛弘人, 1.8, 41,  -5, -15,11,115.9, ⑩⑪,10, 9,Ｊジュセトゥ, 60,田中博, 2.0, 55,*  5, -11, 8, 21.7,①②②,10,14,Ｏユキノハナカイドウ, 41,西田雄, 1.1, 58,   0,  -8,14,214.4, ⑦⑨,10, 3,Ｊヒットミｰアゲイン, 65,大庭和, 1.8, 61,   0,   4, 9, 37.8,⑪⑫⑪
11, 2,Ｉコｰド, 42,田面木, 2.1, 38,  -4, -19,10,106.6, ⑩⑪,11, 7,Ｋヒルノナタリｰ, 60,丹内祐, 3.2, 48,   2, -13,14,163.1,⑩⑧⑪,11, 9,Ｉアルファジュリア, 63,大庭和, 1.2, 55,   2, -11,12, 66.3, ④⑥,11,11,Ｂマイネルカンタｰレ, 75,津村明, 2.3, 55,   2,  -3, 6, 20.4,⑪⑨⑨
12, 9,Ｃマイネブルｰム, 52,丸田恭, 2.1, 38,  -4, -19, 9, 69.4, ⑩⑨,12,15,Ｌハッピｰラベンダｰ, 58,荻野琢, 3.4, 49,  -3, -11,12,116.2,⑩⑭⑫,12,12,Ｌカシマゼロワン, 61,宮崎北, 1.3, 56,  -5,  -4,11, 60.2, ⑪⑩,12,14,Ｍシルクシャングリラ, 50,草野太, 4.0, 46,   0, -13,13,262.2,⑪⑬⑬
