08年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,太秦ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａエｰシンビｰセルズ, 64,安藤勝,, 56,*  1,   1, 1,  1.3, ①①, 1, 8, スｰニ,---,内田博,, 72,*  8,* -1, 1,  2.5, ①①, 1,11,Ｂアドマイヤゴルゴ, 78,安藤勝,, 73,   1,* 14, 4,  5.7, ⑨⑧, 1, 8,Ｂダイショウジェット, 86,橋本美,, 83,   5,* 14, 7, 15.7, ⑦⑥
 2,10,Ｂリバｰサルブロｰ, 64,四位洋, 0.2, 54,  -3,*  3, 2,  4.3, ③②, 2, 9, ピサノロダン,---,岩田康, 1.1, 60,   5,  -9, 2,  2.9, ③③, 2, 2,Ｌマサヤマト, 64,四位洋, 0.4, 69,   0,* 11, 7, 27.9, ⑪⑥, 2,15,Ｃオネストジョン, 86,小牧太, 0.1, 81,   7,  12, 1,  2.5, ③③
 3, 8,Ｃメイショウシンドウ, 48,浜中俊, 1.4, 43,  -7,  -4, 3, 16.7, ⑤④, 3, 4, アプレンデｰル,---,渡辺薫, 1.6, 58,*  8, -15, 5, 10.7, ②②, 3, 6,Ａスリｰアリスト, 80,小牧太, 0.6, 67,   3,   6, 1,  2.6, ⑥⑥, 3,11,Ｄフィｰルドオアシス, 84,安藤勝, 0.2, 82,   2,* 17, 3,  6.7, ⑭⑪
 4,11,Ｆマイネスタｰライト, 45,内田博, 1.4, 44,  -9,  -1, 6, 44.5, ⑦⑦, 4, 7, シュンリキ,---,田中健, 2.8, 44, -15,* -4, 9,139.7, ⑧⑧, 4, 8,Ｈエイシンキャップ, 68,藤岡康, 0.6, 68,   0,   9, 9, 30.1, ⑪⑫, 4, 5,Ａスｰサンライダｰ, 87,和田竜, 0.5, 79,*  8,   6, 2,  4.4, ②②
 5, 2,Ｊマルタカテイオｰ, 32,田中克, 1.6, 43, -12,   0,11,197.0, ⑨⑨, 5, 5, ドリｰムプライマル,---,北村友, 3.3, 38, -12, -11, 7, 67.2, ⑦⑦, 5,10,Ｊトウショウクエスト, 67,田村太, 0.7, 66,*  4,   3, 5, 15.0, ②②, 5, 6,Ｐミッキｰフォルテ, 77,長谷川, 0.7, 78,   6,   6, 5, 10.8, ③④
 6, 7,Ｄアスカノユタカ, 48,田中健, 1.7, 42,  -2, -11, 8, 97.9, ②②, 6, 1, ニホンピロロムルス,---,酒井学, 3.5, 38,   0, -24, 3,  4.9, ⑤⑥, 6,12,Ｅメイショウセンゴク, 70,船曳文, 0.8, 66,   3,   4,10, 31.7, ⑤③, 6, 1,Ｆヘイロｰフジ, 82,飯田祐, 0.8, 76,   6,   7, 4,  9.3, ⑤⑧
 7, 4,Ｉウォリナｰイモン, 34,太宰啓, 1.8, 39, -16,   1, 5, 30.9, ⑪⑪, 7, 2, チョウキレル,---,太宰啓, 3.6, 38,   3, -28, 6, 41.8, ④④, 7,13,Ｋヒシインペリアル, 66,浜中俊, 0.9, 65,   2,   4,14,104.7, ⑥⑧, 7, 9,Ｌセレスケイ, 80,石橋守, 0.9, 77,   4,   8, 8, 25.1, ⑨⑧
 8, 9,Ｋマルコｰドリｰム, 24,田村太, 2.1, 38,  -9,  -8, 9,111.6, ⑦⑦, 8, 3, ラブアンドピｰス,---,浜中俊, 3.9, 35,   1, -28, 4,  6.3, ⑤⑤, 8, 7,Ｄナムラフュｰチャｰ, 71,幸英明, 1.2, 62,*  5,  -2, 2,  4.9, ①①, 8,10,Ｉミスタｰモナルコス, 81,佐藤哲, 0.9, 77,   1,  12, 6, 12.7, ⑭⑯
 9, 1,Ｅワンパクタイショウ, 46,川島信, 2.3, 37, -10,  -7,10,167.7, ⑨⑨, 9, 6, マｰロンバロｰズ,---,角田晃, 4.1, 36, -19, -11, 8, 73.9, ⑨⑨, 9, 4,Ｉメモリｰジャグラｰ, 67,和田竜, 1.2, 64,   2,   4,13, 87.2, ⑪⑫, 9, 4,Ｈナリタブラック, 81,生野賢, 1.1, 74,   4,   6,14,112.2, ⑨⑪
