08年 8月 3日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 3日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊栄特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂオキサキサマ, 47,柴山雄,, 63,*  3,*  3, 1,  2.5,①②②, 1, 7,Ａメイスンファｰスト, 70,田中勝,, 64,   4,  -3, 1,  3.0,⑦⑥③, 1, 8,Ａサマｰアクトレス, 63,松岡正,, 62,   8,  -2, 1,  2.8,⑤⑤④, 1,15,Ｂシャイナムスメ, 80,松岡正,, 82,   6,* 11, 5,  7.4,⑥⑥⑤
 2, 4,Ｈムラマサノメイトｰ, 39,小林淳, 1.1, 52,*  3,  -8, 3,  5.2,①①①, 2,11,Ｄミンナデワンダｰ, 66,吉田豊, 0.2, 62,*  7,  -9, 2,  3.5,①①①, 2, 4,Ｄディｰエスファジｰ, 60,石橋脩, 0.1, 63,* 12,  -9, 5, 11.9,②②②, 2, 3,Ｅマイネルクラッチ, 75,田中博, 0.2, 79,*  7,   5, 2,  5.3,③③③
 3,11,Ｃシブン, 44,後藤浩, 1.3, 50,   1,  -7, 5, 10.4,④③③, 3, 4,Ｋゴｰルデンストｰム, 56,柴田善, 0.2, 64,   2,*  1, 4,  7.2,⑬⑨⑨, 3, 1,Ｃサトノロｰズヒップ, 60,後藤浩, 0.1, 62,* 13, -10, 2,  3.0,①①①, 3,14,Ａディｰプスピリット, 83,田中剛, 0.4, 79,   2,* 13, 4,  6.9,⑮⑪⑪
 4, 1,Ｇロｰドクリムゾン, 42,石橋脩, 1.4, 48,  -8,   0, 9, 58.2,⑨⑨⑨, 4, 1,Ｉベルリンガｰ, 57,福永祐, 0.2, 63,   0,*  4,11, 60.5,⑬⑬⑪, 4,14,Ｇスプリングルｰシｰ, 54,福永祐, 0.2, 58,   2,*  4, 6, 15.9,⑬⑫⑨, 4, 2,Ｌストｰルンブライド, 71,福永祐, 0.6, 75,   4,   5, 9, 25.7,⑧⑧⑧
 5, 8,Ａロトスカイブルｰ, 47,吉田豊, 1.4, 49,  -5,  -3, 4,  6.7,⑧⑧⑥, 5,14,Ｃエルアラメイン, 66,江田照, 0.9, 56,*  5, -13, 5, 14.7,④②②, 5,15,Ｆフェアｰムｰラン, 57,田中博, 0.2, 59,   7,  -3, 8, 38.0,⑤⑥⑥, 5, 8,Ｐタマモスクワｰト, 65,石橋脩, 0.6, 74,*  8,  -4,12, 74.8,②②②
 6, 5,Ｅワスラフ, 44,松岡正, 1.4, 49,  -1,  -6, 7, 29.8,③④④, 6, 2,Ｇトウショウフォｰス, 63,中舘英, 1.0, 54,*  5, -14, 3,  5.6,⑤②③, 6,12,Ｂバリュアブルズ, 63,柴山雄, 0.2, 59,* 10,  -7, 4,  9.0,④④④, 6, 1,Ｇゴｰルドアグリ, 74,勝浦正, 0.7, 75,   1,   6, 3,  5.9,⑭⑪⑪
 7, 3,Ｆエｰシンサラマンダ, 43,中舘英, 1.5, 46, -13,*  3, 6, 11.5,⑪⑪⑪, 7, 6,Ｅヤワタサンデｰ, 64,小野次, 1.1, 54,   2,  -8, 7, 19.4,⑨⑧⑦, 7,11,Ｅスズヨコジｰン, 59,柴田善, 0.3, 56,  -1,*  6, 3,  7.8,⑭⑭⑬, 7,10,Ｊメイショウアサガオ, 72,吉田豊, 0.7, 74,   1,   7, 6,  8.8,⑬⑪⑪
 8, 6,Ｄウォｰエレファント, 44,勝浦正, 1.6, 47,  -3,  -7, 2,  4.4,⑤⑥⑥, 8, 9,Ｂタｰフドラゴン, 67,黛弘人, 1.1, 56,   2,  -7,10, 51.5,⑪⑨⑦, 8, 7,Ｈパラディフルｰル, 54,村田一, 0.3, 57,   3,   0, 7, 32.9,⑩⑩⑨, 8, 7,Ｉスイｰトカルタゴ, 73,鷹野宏, 0.8, 70,* 10,  -9, 8, 22.4,①①①
