10年 1月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 1月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａサックアクロア, 68,藤岡佑,, 66,   3,*  0, 2,  2.3,④④④, 1, 5, バトｰドｰル,---,ルメｰ,, 68,* -3,*  9, 1,  1.5,④④③, 1,14,Ａサンライズスカイ, 78,浜中俊,, 79,   3,* 14, 1,  3.7,⑬⑫⑫, 1, 5,Ｂヒルノダムｰル, 74,藤田伸,, 94,  -9,* 32, 2,  3.4,⑥⑧⑤
 2, 5,Ｂユメミルテｰラｰ, 66,武豊  , 0.2, 66,*  4,* -4, 1,  1.9,③③③, 2,14, マｰブルドｰン,---,熊沢重, 0.5, 67,* -3,*  5,11, 82.1,⑦⑥⑥, 2, 2,Ｌエイシンサクセス, 67,藤岡佑, 0.2, 74,   6,   2,12, 51.1,⑥⑥⑤, 2, 2,Ｇルｰラｰシップ, 67,岩田康, 0.2, 87,  -8,  25, 1,  1.7,④④④
 3,12,Ｋネオスペチアｰレ, 44,秋山真, 1.8, 53,*  5, -19, 5, 27.2,②②②, 3,12, ニホンピロアワｰズ,---,幸英明, 0.6, 63,* -2,   2,12, 85.4,①①①, 3, 5,Ｍブラストダッシュ, 66,秋山真, 0.2, 73,*  9,  -3, 2,  5.0,②②②, 3, 6,Ｄエクセルサス, 70,川田将, 0.8, 80,  -6,  15, 5, 25.7,⑦③③
 4, 3,Ｄグスベリｰ, 55,小林徹, 2.0, 54,*  4, -21, 3,  9.7,①①①, 4, 9, グランスカイ,---,和田竜, 1.3, 60,  -3,  -1, 2,  8.0,⑥⑦⑧, 4, 9,Ｇドリｰムリフレクト, 70,ルメｰ, 0.3, 72,*  7,  -1, 4,  7.4,⑤⑤⑥, 4, 7,Ｉファイブイｰグル, 64,川島信, 0.8, 76,* -5,  11, 7,114.1,①①①
 5, 9,Ｇコスモマリｰスタｰ, 50,和田竜, 2.3, 54,   0, -12,12,187.1,⑪⑪⑩, 5, 4, トウショウカズン,---,岩田康, 1.4, 58,  -4,   0, 9, 69.5,⑧⑧⑦, 5, 1,Ｄグロｰリｰシｰズ, 74,岩田康, 0.3, 73,   4,   5, 5,  8.8,⑨⑨⑧, 5, 3,Ａダノンスパシｰバ, 77,佐藤哲, 1.0, 78, -11,  21, 4, 16.3,⑩⑨⑨
 6, 1,Ｉトワオンワｰド, 47,石橋守, 3.0, 49,   1, -22,13,190.6,⑧⑥⑤, 6,13, クレバｰシチｰ,---,石橋守, 2.1, 55,* -3, -10,15,245.0,③③⑤, 6,16,Ｋガンズオブナバロン, 67,安藤勝, 0.8, 69,   3,  -1, 3,  5.6,⑫⑪⑩, 6, 9,Ｆゴｰルスキｰ, 67,ルメｰ, 1.0, 78,  -9,  17, 3,  4.9,⑧⑦⑦
 7,10,Ｈスウィｰプイン, 50,渡辺薫, 3.0, 49,  -1, -19, 7, 57.4,⑨⑩⑨, 7, 2, スゴイ,---,藤田伸, 2.3, 52,  -4,  -8, 3,  9.9,⑨⑨⑨, 7,12,Ｉタクティクス, 67,福永祐, 0.8, 71,   2,   5, 6, 10.0,⑮⑭⑭, 7, 8,Ｅビｰチランデブｰ, 68,武豊  , 1.5, 67,* -5,   2, 6, 25.9,②②②
 8, 2,Ｅプランテｰション, 52,幸英明, 3.6, 45,   0, -25,10,101.3,⑩⑨⑧, 8,11, ブリｰジｰデイズ,---,安藤勝, 2.3, 50,  -5,  -6, 6, 22.8,⑩⑩⑪, 8, 3,Ｅトムウィンズ, 73,渡辺薫, 0.9, 68,   3,  -2, 9, 26.5,⑪⑩⑪, 8,10,Ｊパラダイスラビｰダ, 51,安部幸, 1.6, 69,  -8,   6, 9,351.2,③⑤⑥
