10年 7月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 7,Ｏカレンマｰガレット, 37,北村友, 1.0, 48,  -6,*  3,11, 36.1, ⑮⑮,13, 7, カシノラム,---,川須栄, 4.0, 12,  -8, -46, 8, 32.6, ⑥⑨,13, 7,Ｎマウンテンサムオｰ, 45,川須栄, 3.4, 39,   0, -25,13,248.5,⑦⑭⑭,,,,,,,,,,,,
14,14,Ｈシップｰナカヤマ, 51,高倉稜, 1.1, 52,* 12, -15, 5, 10.9, ③③,14,10, リッシンカッポレ,---,赤木高, 4.0,-17, -49,* -7,16,120.1, ⑯⑯,14, 9,Ｍカシノアベベ, 48,加藤士, 4.1, 34,   7, -50,15,377.9,⑤⑤⑪,,,,,,,,,,,,
15,18,Ｅスｰパｰレディｰ, 53,小牧太, 1.2, 48,   6, -11, 2,  6.6, ⑦⑪,15,11, スズノウルフ,---,熊沢重, 4.3,  3, -12, -46,13, 59.0, ⑩⑩,15,11,Ｐライクロフト, 38,真島正, 7.0, 12, -21, -27,10, 86.3,⑮⑮⑮,,,,,,,,,,,,
16,11,Ｐミスズアムｰル, 28,安藤光, 1.2, 45,  -8,*  4,18,357.8, ⑯⑯,16, 2, カシノテンザン,---,酒井学, 5.1, -6, -12, -56,12, 54.3, ⑨⑫,,,,,,,,,,,,,,,,,,,,,,,,
17,10,Ｎキングオブゼット, 43,国分恭, 1.5, 42,  -8,  -1,14,110.0, ⑰⑰,17,16, テイエムヒットンダ,---,和田竜, 5.5,-36, -50, -25, 6, 18.8, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
18,16,Ｑヴェロア, 21,小坂忠, 2.9, 28, -10, -15,17,222.8, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-3),,,,,,,,,,,
"単勝:2,140円 複勝:04=580円 03=540円 12=150円 枠連:17,290円",,,,,,,,,,,,"単勝:190円 複勝:03=140円 12=2,320円 05=180円 枠連:4,070円",,,,,,,,,,,,単勝:370円 複勝:03=130円 08=110円 15=130円 枠連:380円,,,,,,,,,,,,単勝:420円 複勝:05=170円 09=170円 01=160円 枠連:450円,,,,,,,,,,,
"馬連:14,560円 ワイド:03-04=4,000円 04-12=1,170円 03-12=790円",,,,,,,,,,,,"馬連:13,370円 ワイド:03-12=4,920円 03-05=340円 05-12=8,470円",,,,,,,,,,,,馬連:370円 ワイド:03-08=180円 03-15=340円 08-15=190円,,,,,,,,,,,,"馬連:1,130円 ワイド:05-09=510円 01-05=420円 01-09=410円",,,,,,,,,,,
"馬単:29,120円 3連複:14,910円 3連単:162,750円",,,,,,,,,,,,"馬単:17,680円 3連複:25,550円 3連単:135,970円",,,,,,,,,,,,"馬単:870円 3連複:510円 3連単:2,580円",,,,,,,,,,,,"馬単:2,060円 3連複:1,560円 3連単:7,950円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,有田特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃヤマニンギモｰヴ, 54,渡辺薫,, 57,* 10,  -5, 5,  8.5,③②②, 1, 8, ブラウンワイルド,---,浜中俊,, 79,   4,*  7, 9, 66.3, ④④, 1, 2,Ｇタムロウイング, 68,国分恭,, 75,* 15,  -2, 1,  2.3, ①①, 1, 6,Ｎチャｰムペンダント, 58,北村友,, 72,*  6,   7,11, 40.7, ①①
 2, 6,Ａピサノアウロｰラ, 61,小牧太, 0.0, 55,   8,* -2, 1,  2.5,⑦④③, 2, 4, キミニアエタキセキ,---,小牧太, 1.0, 66,   4,  -6, 1,  2.1, ③③, 2,14,Ｍアヤナルベルス, 60,真島正, 0.4, 70,* 15,  -6,11, 39.0, ②②, 2,13,Ｅスペシャルポケット, 69,浜中俊, 0.0, 72,*  5,   9, 3,  6.7, ②②
 3,14,Ｂダイシンベｰル, 55,幸英明, 1.4, 46,* 10, -17, 3,  5.6,①①①, 3, 9, カノヤキャプテン,---,和田竜, 1.1, 66,*  7, -10, 3,  3.8, ②②, 3,10,Ｊアキノジャブ, 65,藤岡康, 0.5, 64,   3,   2,13, 88.9, ⑦⑥, 3, 7,Ｃシルクナデシコ, 71,藤岡康, 0.1, 72,   2,  12,12, 44.5, ⑦⑦
 4, 5, ウィステリアアｰチ,---,船曳文, 1.6, 45,   5, -11, 2,  5.0,④⑤⑤, 4, 2, テイエムキュｰバ,---,田嶋翔, 1.3, 64,*  8, -13, 4, 11.8, ①①, 4, 8,Ｃシゲルシゲザネ, 69,幸英明, 0.5, 63,   4,   1, 4, 11.4, ⑤⑤, 4,14,Ｆエイシンフェアリｰ, 69,和田竜, 0.1, 71,   4,   9, 2,  5.4, ⑤④
 5, 1,Ｉジョｰパフュｰム, 40,高倉稜, 1.8, 45,   2,  -6,11, 66.2,⑧⑧⑨, 5,10, フレイムヘイロｰ,---,福永祐, 1.7, 54,  -3,  -8, 2,  3.5, ⑥⑥, 5, 1,Ｆペプチドルパン, 68,佐藤哲, 0.6, 61,   1,   2, 5, 13.8, ⑧⑦, 5,10,Ｄドリｰムバレンチノ, 70,国分恭, 0.2, 69,   1,  10, 4,  8.5, ⑧⑧
 6,11,Ｈピｰスデピュティ, 42,太宰啓, 2.0, 43,   1,  -7,10, 52.1,⑭⑪⑧, 6, 3, クリノドスコイ,---,幸英明, 1.9, 49, -15,*  1, 8, 54.3, ⑫⑪, 6, 9,Ｅジョウショｰムテキ, 68,川須栄, 0.7, 62,   7,  -3, 6, 22.4, ④③, 6, 4,Ｋリッピアピンク, 66,鮫島良, 0.2, 69,  -4,* 15, 9, 28.6, ⑫⑫
 7, 3,Ｋスカイノリン, 28,国分恭, 2.0, 43,*  9, -20, 4,  7.2,②③④, 7, 1, キョウワオリオン,---,黒岩悠, 2.1, 46, -11,  -6,10,120.3, ⑨⑨, 7, 3,Ｄエｰティｰショパン, 69,田中健, 0.7, 60,  -5,*  5,12, 78.8, ⑬⑫, 7, 2,Ａシャルマンレｰヌ, 78,佐藤哲, 0.2, 68,   4,   7, 1,  2.7, ④⑤
 8, 2,Ｄメイショウフント, 50,飯田祐, 2.3, 42,  -3,* -1,12, 69.9,⑫⑬⑫, 8,13, カシノエイト,---,高野容, 2.5, 42,  -6, -16,14,231.1, ⑦⑦, 8, 4,Ｂピサノロダン, 71,岩田康, 0.8, 60,   1,   0, 3,  9.0, ⑨⑧, 8, 5,Ｊフェブスカイ, 66,幸英明, 0.3, 68,  -2,  11, 8, 19.2, ⑩⑩
 9,10,Ｇライクキャロット, 46,高橋亮, 2.4, 42,   4, -13,13, 75.8,⑨⑦⑦, 9, 7, シゲルペイペイ,---,佐藤哲, 2.5, 41, -12, -10, 7, 47.0, ⑪⑩, 9, 5,Ｉシゲルスペランツァ, 65,北村友, 0.9, 58,  -2,   1, 9, 31.8, ⑩⑬, 9, 3,Ｂビスカヤ, 75,小牧太, 0.3, 68,   0,  10, 7, 16.4, ⑨⑨
10, 4,Ｅテイエムアミｰゴ, 50,佐久間, 2.5, 41,  -5,* -1, 8, 39.3,⑬⑭⑭,10,14, カシノウィンド,---,藤岡康, 2.7, 39,  -6, -19, 6, 40.4, ⑧⑧,10, 6,Ｌヴィｰナススマイル, 63,小林久, 0.9, 56,  -5,*  3,14,107.7, ⑭⑭,10, 1,Ｌクリンゲルベルガｰ, 65,田中健, 0.3, 68,  -5,* 15,10, 32.1, ⑪⑪
11,12,Ｌポリシｰ, 20,川須栄, 2.5, 40,  -2,  -6,14, 99.4,⑩⑫⑬,11,12, ラストエンペラｰ,---,国分恭, 3.6, 30, -12, -24,11,123.3, ⑩⑫,11,13,Ｋメイショウアｰチャ, 64,熊沢重, 1.2, 55,  -2,  -2, 8, 31.4, ⑪⑨,11, 9,Ｉフェリスホイｰル, 66,福永祐, 0.7, 63,   2,   2, 6, 12.4, ⑥⑥
12, 9,Ｊスカラムｰシュ, 36,真島正, 3.6, 32,   2, -21, 9, 46.4,⑥⑨⑩,12,11, コウエイボルト,---,小坂忠, 4.0, 24,  -3, -39, 5, 28.6, ⑤⑤,12, 7,Ｈクｰルジャズ, 66,赤木高, 1.8, 50,   3, -10,10, 37.3, ⑥⑪,12,11,Ｇフォレストルｰラｰ, 68,渡辺薫, 0.8, 62,*  5,  -2,14, 77.4, ③③
13, 7,Ｆホンマキセキ, 47,松田大, 3.8, 34,   4, -27, 7, 26.4,⑤⑥⑥,13, 6, ホワイトシャｰク,---,高橋亮, 4.5,  9, -16, -32,13,157.6, ⑭⑬,13,12,Ａトシキャンディ, 85,太宰啓, 2.0, 45,  -2,  -9, 2,  3.2, ⑫⑩,13,12,Ｍクレイジｰドライブ, 64,川田将, 1.0, 59,  -5,   4,13, 68.9, ⑬⑬
14, 8, サワノパルファン,---,福永祐, 3.9, 30,   0, -22, 6, 14.3,⑪⑩⑪,14, 5, カシノドルチェ,---,安藤光, 5.5, -5, -16, -45,12,128.2, ⑬⑭,14,11,Ｎフェブムｰビング, 55,和田竜, 2.6, 46,   9, -22, 7, 25.9, ③④,14, 8,Ｈキュｰトシルフ, 68,飯田祐, 1.7, 51, -11,   2, 5,  9.4, ⑭⑭
