10年10月31日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月31日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小野川湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａシゲルカンサヤク, 55,国分優,, 56,* -5,* 10, 4,  6.8,①①①, 1,14,Ｂクリミナルコｰド, 72,国分優,, 70,*  0,* 11, 1,  2.6,③③③, 1,12,Ａセレナプレジｰル, 71,丸山元,, 71,*  3,* 13, 1,  2.2,①①①, 1, 5,Ｇスナｰクツバサ, 72,石橋脩,, 75,*  6,  11, 2,  3.2,①①①
 2,14,Ｂスズカマジェスタ, 51,古川吉, 1.0, 49,  -7,*  4, 2,  6.2,⑥⑤③, 2, 9,Ａクリノマックス, 72,小野寺, 0.5, 67,  -2,* 10,11, 26.7,⑧⑧⑥, 2,11,Ｂヤマニンフリスキｰ, 71,小島太, 0.8, 67,   0,* 11, 4,  8.1,⑫⑦⑧, 2, 4,Ａヤマニンシャスｰル, 80,田中健, 0.0, 79,   2,* 18, 4,  8.8,⑥⑥⑥
 3, 6,Ｇトｰセンレラ, 39,丸田恭, 1.0, 48,  -7,*  5, 5, 11.9,⑤⑥⑤, 3, 4,Ｉビコｰペグｰ, 62,中谷雄, 0.5, 67,  -1,*  8, 5, 10.9,⑥⑥④, 3, 3,Ｅホッコｰキングオｰ, 69,国分優, 0.9, 64,*  2,   6, 3,  5.9,④②②, 3, 1,Ｊビジュアルショック, 66,鮫島良, 0.7, 71,   1,  13, 8, 40.8,⑧⑦⑤
 4, 3,Ｎブラジルジャクｰ, 26,丸山元, 1.7, 44,* -6,  -3,10, 43.0,②②②, 4,13,Ｎピカピカジョオｰ, 45,平野優, 0.8, 64,*  1,   3,15,281.5,②②②, 4,15,Ｆエミネムシチｰ, 66,水口優, 1.0, 64,*  1,   7, 8, 35.2,⑤③④, 4, 2,Ｄサトノロマネ, 74,丸山元, 0.8, 70,*  5,   7, 1,  2.5,④②②
 5,12,Ｊバｰチャルトラック, 34,大野拓, 1.9, 41,  -7,  -1,14,101.8,⑧⑦⑦, 5, 1,Ｃオメガリトルスタｰ, 70,丸山元, 1.0, 63,*  0,   2, 2,  5.5,①①①, 5, 1,Ｇナンヨｰスラッガｰ, 63,田中健, 1.1, 66,  -1,   8, 2,  4.2,③⑤⑤, 5, 6,Ｅシルクエステｰト, 73,中舘英, 0.9, 70,   4,   8, 6, 10.7,⑤⑤④
 6, 2,Ｍエドノリｰジェント, 31,上村洋, 2.0, 43,  -7,  -4, 9, 33.1,③③④, 6,11,Ｅヴィトンクイｰン, 68,江田照, 1.0, 64,  -3,   8, 8, 17.6,⑪⑪⑩, 6, 5,Ｈカシノピストン, 62,池崎祐, 1.1, 64,   0,   8,12,102.3,⑧⑥⑦, 6,10,Ｂイｰサンジャンパｰ, 76,田辺裕, 1.2, 67,   1,  10, 5,  9.1,⑩⑩⑦
 7, 4,Ｃスズノウルフ, 50,鮫島良, 3.1, 36, -11,  -6, 7, 16.3,⑬⑭⑬, 7, 7,Ｄマチカネナツノジン, 70,中舘英, 1.3, 61,  -1,   2, 3,  8.8,④⑤⑦, 7, 8,Ｌハンドクラッピング, 53,草野太, 1.2, 63,   0,   6,15,201.8,⑥④③, 7, 3,Ｉマックスドｰズ, 67,丸田恭, 1.3, 65,*  5,   2, 7, 15.0,②③③
 8,13,Ｄマイネルパラダイム, 46,丹内祐, 3.1, 37,  -8,  -8,11, 43.0,⑭⑪⑪, 8, 2,Ｈピサノシャルロット, 64,古川吉, 1.4, 61,  -2,   4,12, 47.7,⑨⑨⑨, 8,14,Ｊマイティｰクラウン, 60,小野寺, 1.4, 65,  -5,* 14, 5, 17.6,⑮⑮⑨, 8, 9,Ｆチュウワキング, 73,荻野琢, 1.5, 68,   0,   8,10, 99.8,⑨⑧⑨
