10年11月20日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月20日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥多摩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａトウカイシャンテ, 67,内田博,, 69,*  3,*  3, 1,  3.3, ①①, 1, 8,Ａコスモリゾルヴ, 56,松岡正,, 63,  -8,*  4, 1,  2.5, ⑧⑨, 1,16,Ｃマスタｰコｰク, 77,武豊  ,, 72,*  7,   6, 1,  2.1, ③②, 1, 6,Ｈアンシェルブルｰ, 81,内田博,, 88,   6,  10, 3,  7.3, ④④
 2, 5,Ｄグリｰンファイヤｰ, 57,クラス, 0.3, 65,*  2,*  2, 4,  6.8, ②②, 2,11,Ｃダノンハロｰ, 52,スミヨ, 0.1, 61,  -8,*  3, 2,  3.7, ⑩⑧, 2,12,Ｊアルファアップル, 66,勝浦正, 0.2, 73,   3,*  9,14,278.5, ⑪⑪, 2, 3,Ｆキタノリュｰオｰ, 82,柴田善, 0.2, 88,   0,* 16, 5,  8.4, ⑫⑪
 3,11,Ｂキンショｰユウジャ, 67,勝浦正, 0.9, 60,*  1,  -3, 3,  4.2, ④④, 3,16,Ｈリンゴット, 50,後藤浩, 0.3, 57,  -7,* -4, 6, 18.1, ⑥⑦, 3, 8,Ｎレインボｰハｰト, 62,ルメｰ, 0.2, 71,   4,*  8, 3,  6.3, ⑦⑧, 3, 8,Ｅボｰダレスワｰルド, 82,ルメｰ, 0.2, 86,   4,  11, 2,  6.1, ⑧⑦
 4,13,Ｃモンク, 63,スミヨ, 1.0, 58,  -2,  -1, 2,  4.2, ⑥⑥, 4, 7,Ｆラブミｰダン, 51,ルメｰ, 0.6, 54,* -3, -15, 5, 11.9, ①①, 4, 5,Ｂプラチナルｰプ, 77,松岡正, 0.4, 71,   2,* 10,10, 49.5, ⑭⑭, 4,18,Ｃラドラｰダ, 84,北村宏, 0.3, 85,   5,   9, 1,  3.8, ⑦⑧
 5, 2,Ｉフレンチサマｰ, 44,北村宏, 1.3, 57,*  1,  -6, 8, 26.6, ③③, 5, 1,Ｊマイネシェリｰ, 48,クラス, 0.8, 51,* -4, -15, 9, 39.8, ②③, 5, 4,Ｈヘリオポｰズ, 69,池添謙, 0.5, 70,   4,   7, 8, 32.7, ⑩⑩, 5, 2,Ｂユキノハリケｰン, 86,後藤浩, 0.4, 83,   5,   7, 7, 10.8, ⑥⑥
 6, 4,Ｊマレンカヤ, 44,中谷雄, 1.5, 54,  -4,  -2,15,222.0, ⑧⑧, 6, 6,Ｂビリｰヴマイン, 54,内田博, 1.1, 51, -11,  -7, 3,  4.4, ⑬⑬, 6,14,Ａチャレンジフラッグ, 79,北村宏, 0.6, 66,*  6,   1, 2,  4.2, ⑥⑤, 6,11,Ｋスｰパｰワシントン, 79,勝浦正, 0.5, 83,   0,  12,17,194.5, ⑪⑫
 7, 6,Ｅコスモハンサム, 54,蛯名正, 2.4, 46,  -4,  -9, 6, 13.0, ⑨⑨, 7,13,Ｅクリノドスコイ, 51,伊藤工, 1.3, 47,* -4, -22,10, 53.4, ④④, 7,13,Ｄニシノフェミニン, 75,内田博, 0.7, 69,   4,   4, 5, 11.3, ⑨⑨, 7,10,Ｄゴｰルドアグリ, 83,蛯名正, 0.6, 81,   3,   8,10, 25.6, ⑨⑩
 8,14,Ｆゴガツノカゼ, 51,三浦皇, 2.5, 44, -14,*  1,11,141.4, ⑭⑭, 8,17,Ｇナンヨｰルｰジュ, 50,蛯名正, 1.3, 46, -10, -14, 7, 33.8, ⑪⑪, 8, 7,Ｆオネスト, 72,田中博, 0.8, 71,   5,   2, 9, 35.1, ⑤⑦, 8,14,Ｊツルマルジュピタｰ, 79,四位洋, 0.6, 78,* 10,  -2, 4,  7.5, ①①
 9, 8,Ｏアイランズギフト, 24,松岡正, 2.9, 41,  -6, -12, 7, 16.7, ⑪⑪, 9, 9,Ｄシｰズアップルズ, 52,柴田善, 1.4, 45,* -3, -25, 8, 39.3, ③②, 9, 6,Ｅホワイトジュエル, 75,菅原隆, 0.8, 68,   1,   7,11, 51.2, ⑮⑮, 9,15,Ａサングレアズｰル, 87,クラス, 0.6, 78,*  9,  -1, 8, 15.9, ②②
