10年 7月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,灘ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂラバｰフロｰ, 51,酒井学,, 51,* -3,  -9, 3,  6.7, ①①, 1, 7,Ｃシゲルコイヒメ, 61,高倉稜,, 71,*  8,  -4, 6, 14.1, ①①, 1, 8,Ａステキナシャチョウ, 71,和田竜,, 70,*  2,*  9, 1,  1.6,①①①, 1, 7,Ｂメンデル, 89,小牧太,, 83,   7,  17, 6, 12.6,⑨⑨⑦
 2, 2,Ａビッグスマイル, 53,岩田康, 0.0, 51,  -7,* -5, 1,  1.3, ③③, 2, 4,Ａキクノフェｰデ, 64,和田竜, 0.2, 66,   1,*  1, 1,  2.2, ⑧⑤, 2,14,Ｃサダルメリク, 68,幸英明, 0.3, 67,*  1,*  8, 2,  5.0,④③③, 2,13,Ｈメイショウイッキ, 84,石橋守, 0.0, 88,   6,* 20, 7, 27.4,⑫⑫⑪
 3, 7,Ｃマイネマオ, 47,和田竜, 0.4, 45, -10,  -8, 5, 14.9, ⑤⑤, 3,10,Ｍウインガルｰダ, 31,松田大, 0.3, 70,*  6,  -5,10, 35.9, ②②, 3,11,Ｅビジュアルショック, 64,川田将, 0.3, 68,*  2,   7, 4, 13.7,②②②, 3, 9,Ｍビッグバン, 81,岩田康, 0.1, 85,   6,* 17, 4,  6.3,⑩⑩⑩
 4, 1,Ｅドリｰムスパ, 34,高倉稜, 0.7, 40, -14,  -8, 4, 12.3, ⑥⑥, 4, 2,Ｅメイショウアルグン, 59,松山弘, 0.4, 66,*  5,  -5, 3,  6.0, ③③, 4, 3,Ｂタｰンベリｰ, 69,福永祐, 1.1, 62,  -1,   7, 3,  7.2,⑨⑩⑥, 4, 1,Ａインバルコ, 90,川田将, 0.1, 84,   8,  15, 2,  4.2,⑦⑧⑥
 5, 6,Ｄエイシンピンキｰ, 44,福永祐, 0.7, 41,  -7, -14, 2,  6.7, ④④, 5,11,Ｋキョウワサムライ, 45,小坂忠, 1.4, 53,  -7,  -1,16,193.2, ⑫⑫, 5,10, アサクサミツボシ,---,国分恭, 1.3, 60,  -1,   3, 5, 16.6,⑦④⑤, 5,10,Ｃアコニットライアン, 88,幸英明, 0.3, 80,  10,   9, 5, 10.9,⑤④③
 6, 4,Ｆアサヒチェリｰ, 33,国分恭, 1.3, 33,* -5, -25, 6, 48.3, ②②, 6, 5,Ｉサンレイランキング, 50,難波剛, 1.5, 54,  -1,  -8,14,122.6, ⑨⑨, 6, 7,Ｇトウケイウッドマン, 58,赤木高, 1.3, 62,  -3,*  8, 7, 30.6,⑭⑭⑩, 6, 5,Ｆプラチナメｰン, 85,ウィリ, 0.4, 78,* 11,   6, 1,  3.0,②②②
 7, 5,Ｇレッツマンボウ, 27,赤木高, 3.3,  8, -24, -31, 7, 66.1, ⑦⑦, 7,16,Ｇヤマニンブｰスタｰ, 55,福永祐, 1.6, 53,   0, -10, 5, 11.6, ⑦⑧, 7,12,Ｄナスムネタカ, 66,高倉稜, 1.4, 60,  -2,   5, 9, 54.3,⑬⑪⑨, 7,12,Ｎコウジンアルス, 77,熊沢重, 0.7, 79,* 12,   2,13, 77.0,①①①
,,,,,,,,,,,, 8, 9,Ｈキングタキシｰド, 53,小牧太, 1.7, 53,   2, -13, 7, 20.2, ⑤⑥, 8,15,Ｉメイケイオｰシャン, 52,渡辺薫, 1.9, 59,   0,  -1,11,209.3,⑩⑧④, 8,11,Ｄディアプリンシパル, 87,太宰啓, 1.0, 75,   9,   5, 3,  5.2,⑥⑥④
