10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10,10, ハマノツｰステップ,,難波剛,207.3,,,,10, 39.2,⑧⑨⑩,10,10,Ｐキｰアピｰル, 42,熊沢重, 0.6, 57,  -7,  -9,11,109.8, ⑦⑥,10,10,Ｄメイショウイッキ, 85,石橋守, 1.4, 79,   0,  14, 7, 31.5,⑨⑧⑨,10,12,Ｇハイフィｰルド, 69,太宰啓, 0.8, 69,   2,   3, 8, 18.5, ⑭⑭
,,,,,,,,,,,,11,15,Ｑヤマニンティアモ, 41,デュプ, 0.7, 58, -11,  -2, 8, 64.1, ⑫⑪,,,,,,,,,,,,,11, 4,Ｉイサミチェリｰ, 65,国分恭, 1.0, 67,   5,  -2,11, 74.8, ⑬⑬
,,,,,,,,,,,,12, 3,Ｄキガチャン, 55,北村友, 0.8, 57, -11,  -3, 4, 16.4, ⑧⑫,,,,,,,,,,,,,12, 8,Ｋルアｰズストリｰト, 64,松山弘, 1.2, 67,* 16, -21, 5,  9.1, ①①
,,,,,,,,,,,,13,14,Ｈチュウワミラクル, 52,小牧太, 1.1, 54, -14,  -3, 9, 79.6, ⑮⑭,,,,,,,,,,,,,13, 3,Ｊダノンフィｰバｰ, 64,川田将, 1.2, 66,  14, -18, 3,  6.5, ③④
,,,,,,,,,,,,14, 6,Ｇキクノシャンティ, 52,幸英明, 1.1, 54, -14,  -3, 5, 21.7, ⑭⑮,,,,,,,,,,,,,14, 1,Ｍスズカサクセス, 61,幸英明, 1.5, 63,  13, -19,12, 83.3, ④③
,,,,,,,,,,,,15,11,Ｃオオトリフクムスメ, 62,田嶋翔, 1.5, 49, -15,  -8, 3,  9.0, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 1,Ｎティアップダイヤ, 47,藤岡佑, 2.5, 32,* -3, -45,12,130.0, ①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,
"単勝:430円 複勝:01=170円 02=200円 04=200円 枠連:1,160円",,,,,,,,,,,,"単勝:160円 複勝:17=110円 16=810円 09=4,490円 枠連:1,530円",,,,,,,,,,,,単勝:630円 複勝:02=210円 08=110円 03=390円 枠連:420円,,,,,,,,,,,,"単勝:730円 複勝:13=200円 11=780円 02=200円 枠連:1,970円",,,,,,,,,,,
"馬連:1,490円 ワイド:01-02=540円 01-04=610円 02-04=770円",,,,,,,,,,,,"馬連:2,960円 ワイド:16-17=1,260円 09-17=6,870円 09-16=62,840円",,,,,,,,,,,,"馬連:540円 ワイド:02-08=280円 02-03=1,610円 03-08=520円",,,,,,,,,,,,"馬連:16,360円 ワイド:11-13=4,140円 02-13=620円 02-11=2,820円",,,,,,,,,,,
"馬単:2,630円 3連複:3,060円 3連単:16,900円",,,,,,,,,,,,"馬単:4,350円 3連複:173,860円 3連単:573,460円",,,,,,,,,,,,"馬単:1,440円 3連複:2,640円 3連単:17,240円",,,,,,,,,,,,"馬単:26,100円 3連複:23,910円 3連単:158,270円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
