10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 5,Ｆフェブストｰリｰ, 46,野元昭, 2.3, 35,  -3, -25,14,196.3, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｊコパノオｰシャンズ, 80,藤岡佑, 0.6, 80,  -5,* 12,12, 23.7, ⑭⑮
13,13,Ｌブルｰライトマリｰ, 38,小牧太, 2.6, 33,   5, -38, 8, 27.0, ⑥⑨,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｏエｰシンエフダンズ, 70,藤岡康, 0.8, 75,   2,   1,14,117.0, ⑥⑦
14,14,Ｏシゲルリジ, 30,川島信, 2.7, 33,  -8, -23,13,192.6, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｇケイティラブ, 82,野元昭, 0.8, 74,*  8,  -4,13, 32.6, ①①
15,12,Ｎテイエムキラｰズ, 31,国分恭, 4.9, 13,   7, -70,15,244.5, ③⑤,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｎシゲルハスラット, 72,川島信, 0.8, 77,  -3,   7,15,122.5, ⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-31 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-4),,,,,,,,,,,
"単勝:360円 複勝:01=150円 04=560円 09=170円 枠連:3,880円",,,,,,,,,,,,単勝:310円 複勝:03=130円 10=140円 07=140円 枠連:570円,,,,,,,,,,,,"単勝:360円 複勝:05=170円 03=660円 02=280円 枠連:8,570円",,,,,,,,,,,,"単勝:960円 複勝:11=320円 01=260円 06=390円 枠連:3,790円",,,,,,,,,,,
"馬連:4,030円 ワイド:01-04=1,110円 01-09=330円 04-09=1,610円",,,,,,,,,,,,馬連:740円 ワイド:03-10=280円 03-07=280円 07-10=370円,,,,,,,,,,,,"馬連:7,910円 ワイド:03-05=2,050円 02-05=530円 02-03=3,910円",,,,,,,,,,,,"馬連:3,700円 ワイド:01-11=1,610円 06-11=2,070円 01-06=1,680円",,,,,,,,,,,
"馬単:5,140円 3連複:4,420円 3連単:23,910円",,,,,,,,,,,,"馬単:1,130円 3連複:860円 3連単:3,530円",,,,,,,,,,,,"馬単:11,000円 3連複:15,130円 3連単:85,220円",,,,,,,,,,,,"馬単:7,900円 3連複:14,010円 3連単:88,570円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新涼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄアルゴリズム, 50,福永祐,, 59,   1,*  1, 1,  3.3, ⑨⑦, 1, 5,Ｈハナノシンノスケ, 51,酒井学,, 67,   3,* -2, 7, 22.4, ④④, 1, 9,Ｄスマｰトグリッド, 72,小牧太,, 82,   8,*  8, 5, 12.0,⑧⑧⑧, 1, 3,Ｉクイックメｰル, 73,渡辺薫,, 80,* 11,  10, 8, 20.2, ②②
 2,16,Ｈダｰトムｰア, 41,川田将, 0.2, 59,   3,* -3, 2,  3.8, ⑦⑥, 2, 8,Ｅカワカミショコラ, 58,高橋亮, 0.1, 64,   1,*  0, 9, 32.7, ⑧⑥, 2, 4,Ｂセキサンダンスイン, 74,高倉稜, 0.1, 81,   9,   4, 3,  7.9,⑦⑦⑤, 2,13,Ｇプリンセスペスカ, 74,幸英明, 0.0, 80,   6,* 15, 5, 11.5, ⑦⑦
 3, 3,Ｂトｰホウジャパン, 52,太宰啓, 0.3, 55,  -3,*  3, 7, 17.2, ⑭⑧, 3, 4,Ａマジンプロスパｰ, 65,川田将, 0.2, 66,*  8,  -9, 1,  2.1, ①①, 3, 2,Ａトロワプレジｰル, 76,福永祐, 0.4, 77,* 12,  -8, 1,  1.5,①①①, 3, 6,Ａスガノメダリスト, 84,四位洋, 0.5, 76,   5,  12, 2,  3.9, ⑨⑧
 4, 9,Ｃタビト, 51,和田竜, 1.0, 52,   2, -10, 3,  5.4, ⑥⑤, 4,13,Ｂナムラジョイ, 62,渡辺薫, 0.4, 62,   1,* -2, 2,  6.2, ⑨⑧, 4, 6,Ｃカネトシパサｰジュ, 73,川島信, 0.5, 78,   5,*  5, 4,  9.0,⑪⑪⑨, 4,10,Ｅペガサスヒｰロｰ, 76,浜中俊, 0.6, 76,   4,* 13, 4,  5.4, ⑪⑪
 5, 7,Ｉシゲルカンサヤク, 40,北村友, 1.0, 52,   3, -10,10, 51.9, ⑤④, 5,16,Ｌアドマイヤドラマ, 45,福永祐, 0.6, 59,  -3,*  2,12, 61.4, ⑮⑪, 5,11,Ｆヴィジレ, 66,川田将, 0.8, 73,* 10, -12, 7, 27.0,②②②, 5, 7,Ｃペプチドアトム, 79,和田竜, 0.7, 75,   7,   8, 3,  5.2, ⑥⑤
 6,10,Ａノｰザンソング, 57,幸英明, 1.3, 50,*  5, -16, 5, 10.6, ①①, 6,14,Ｆキンショｰガッツ, 53,幸英明, 0.8, 59,   3,  -9, 6, 16.5, ⑦⑤, 6, 5,Ｈワシャモノタリン, 63,中村将, 1.2, 69,   8, -11, 8, 47.4,⑤⑥⑦, 6, 1,Ｌミッシングナンバｰ, 67,国分恭, 1.0, 72,   9,   3, 6, 13.2, ③③
 7, 4,Ｅネバｰプリンス, 46,田中克, 2.1, 44,*  5, -22, 4,  6.6, ②②, 7,15,Ｎテイエムゴッド, 44,田嶋翔, 0.9, 60,*  8, -14,10, 33.9, ③③, 7,10,Ｇガウディ, 65,北村友, 1.3, 69,   9, -15, 2,  6.5,⑥⑤④, 7, 2,Ｈビッグロｰズ, 73,高倉稜, 1.3, 70,   2,   9,10, 66.1, ⑫⑫
 8,12,Ｇブロンドスキｰ, 44,高倉稜, 2.1, 42,   0, -16, 6, 13.1, ⑩⑩, 8,11,Ｄマイルストｰン, 59,藤岡佑, 1.5, 57,*  8, -19, 5, 11.4, ②②, 8, 7,Ｅセイピｰシｰズ, 68,幸英明, 1.5, 66,* 11, -21, 6, 26.0,④③③, 8, 9,Ｊウォｰタｰリング, 72,酒井学, 1.4, 69,   4,   5,12,169.6, ⑩⑩
