10年 8月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,10,Ｌクｰクｰダダ, 34,古川吉, 1.3, 45, -18,  -6,11,162.0,⑬⑫⑪,12, 3,Ｌタイサフララ, 40,藤岡佑, 4.6, 42,  -8, -13,10,147.2,⑬⑫⑫,12, 5,Ｆスイｰトバイカル, 69,吉田隼, 2.1, 64,   9, -22,11, 62.8,⑫⑫⑫,12, 9,Ｌビバロングライフ, 64,藤岡佑, 3.4, 56,   3, -12,12,166.0,⑬⑬⑫
13,12,Ｊヒタタレ, 40,横山典, 1.7, 32,*-13, -23, 8, 46.4,②④⑥,13, 9,Ｍベネディクシオン, 34,伊藤直, 9.3, 13, -11, -47,11,204.5,⑨⑬⑬,,,,,,,,,,,,,13,10,Ｋスコッツブラフ, 67,池添謙, 6.5, 35,   9, -48, 5, 28.7,④⑥⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,
"単勝:1,590円 複勝:08=350円 05=180円 01=260円 枠連:1,650円",,,,,,,,,,,,"単勝:1,400円 複勝:02=340円 05=130円 11=340円 枠連:1,320円",,,,,,,,,,,,"単勝:210円 複勝:07=140円 04=490円 12=190円 枠連:4,190円",,,,,,,,,,,,"単勝:18,780円 複勝:05=3,540円 12=1,500円 03=700円 枠連:460円",,,,,,,,,,,
"馬連:1,930円 ワイド:05-08=580円 01-08=1,060円 01-05=630円",,,,,,,,,,,,"馬連:1,880円 ワイド:02-05=680円 02-11=2,430円 05-11=650円",,,,,,,,,,,,"馬連:3,920円 ワイド:04-07=1,300円 07-12=420円 04-12=2,380円",,,,,,,,,,,,"馬連:102,790円 ワイド:05-12=22,720円 03-05=16,810円 03-12=6,340円",,,,,,,,,,,
"馬単:5,660円 3連複:3,570円 3連単:29,360円",,,,,,,,,,,,"馬単:5,030円 3連複:6,400円 3連単:45,300円",,,,,,,,,,,,"馬単:6,680円 3連複:9,960円 3連単:46,230円",,,,,,,,,,,,"馬単:173,770円 3連複:335,190円 3連単:1,896,140円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 8R  ダ1000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,噴火湾特別,,,,,,,,,,,,八雲特別,,,,,,,,,,
