10年 9月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐世保ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａハピシン, 59,酒井学,, 53,*-10,*  5, 1,  1.8, ②②, 1, 4,Ｂホッコｰイェｰガｰ, 70,松山弘,, 72,*  6,   3, 2,  5.0, ①①, 1, 4,Ａゴｰゲッタｰ, 71,和田竜,, 63,*  6, -13, 1,  1.9,④④②, 1, 8,Ｂブライドルアップ, 82,北村友,, 86,* 17,   1, 5,  7.7, ②②
 2, 2,Ｃシゲルチョウカン, 52,熊沢重, 0.2, 51, -13,*  5, 3,  6.4, ③③, 2, 8,Ｆウインラスタｰ, 61,佐藤哲, 0.2, 71,*  5,   3, 5, 12.2, ③③, 2, 5,Ｄサトノサウザｰ, 60,松山弘, 0.0, 64,  -3,*  3, 5, 11.3,⑫⑫⑫, 2,11,Ｆユメイッポ, 78,赤木高, 0.0, 82,  10,*  7, 9, 23.8, ⑧⑤
 3, 5,Ｄカラフルデイズ, 48,福永祐, 0.7, 44, -16,   1, 2,  3.7, ⑤⑥, 3,10,Ｄルｰニｰ, 64,渡辺薫, 0.2, 71,*  6,   2, 3,  6.5, ②②, 3,10,Ｆマルティニｰク, 59,小牧太, 0.1, 63,  -1,*  0, 4,  7.9,⑯⑬⑩, 3, 3,Ａツルマルジュピタｰ, 83,佐藤哲, 0.2, 80,  13,   2, 1,  4.2, ③③
 4, 4,Ｆタムロプリンセス, 38,幸英明, 0.7, 44, -17,   2, 4,  6.7, ⑦⑤, 4, 1,Ｇグランデボス, 59,太宰啓, 0.3, 68,   1,   4, 6, 28.4, ⑥⑤, 4,13,Ｃダノンゲットウィン, 65,佐藤哲, 0.1, 61,   4, -12, 3,  5.4,⑧⑤③, 4,17,Ｍオｰルタイムベスト, 74,幸英明, 0.3, 78,   9,*  5, 3,  6.2, ⑩⑧
 5, 9,Ｂキャンベル, 52,高橋亮, 1.0, 40, -16,  -3, 6, 27.3, ⑥⑧, 5, 7,Ａルクｰルダンジェ, 73,高倉稜, 0.8, 63,  -1,   1, 1,  1.7, ⑦⑥, 5,16,Ｊロマンスアンダルザ, 53,幸英明, 0.3, 60,   3, -12, 8, 57.4,⑪⑧⑥, 5, 4,Ｃエｰシンリジル, 82,国分恭, 0.4, 77,   8,   3, 2,  5.9, ⑨⑪
 6, 8,Ｋシゲルカンリカン,  5,渡辺薫, 1.0, 40,* -9, -10,10,270.0, ①①, 6,12,Ｈスプリングオスロ, 56,国分恭, 1.0, 62,*  5,  -5, 9, 66.9, ④④, 6,11,Ｂエルキャンディｰ, 66,高倉稜, 0.4, 59,   3, -13, 2,  4.5,⑩⑨⑦, 6,16,Ｇヤマカツマリリン, 78,田嶋翔, 0.4, 77,  11,   1,14, 49.5, ⑥⑦
 7, 1,Ｈメモリｰ, 27,国分恭, 1.4, 35, -18,  -5, 7, 41.7, ⑧⑦, 7,13,Ｊカシノカルミア, 52,幸英明, 1.0, 62,   0,  -1, 8, 34.7, ⑧⑧, 6, 1,Ｈニシノロコペリ, 55,渡辺薫, 0.4, 63,   1,  -7,13,187.1,⑨⑩⑨, 7,15,Ｋユキノハボタン, 74,酒井学, 0.4, 78,  11,   1, 8, 22.5, ⑤⑥
 8,10,Ｅレディダイヤ, 40,高倉稜, 1.7, 31, -11, -16, 5, 26.1, ④④, 8,14,Ｉクｰルクラｰジュ, 55,鮫島良, 1.3, 59,   3,  -6, 4, 11.0, ⑤⑦, 8,14,Ｇナムラフォエバｰ, 58,松田大, 0.4, 59,   3, -13, 6, 31.4,⑦⑦⑤, 8,18,Ｄエイシンパンサｰ, 79,福永祐, 0.5, 76,   9,   2, 4,  6.6, ⑪⑨
