10年 8月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩室温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄコルノグランデ, 51,吉田豊,, 66,* -5,*  9, 2,  4.1, ②②, 1, 6, スティングマリｰ,,平沢健,,,,, 4,  6.0,⑥④②, 1, 8,Ｈシルクファルシオン, 69,北村宏,, 71,   4,   7, 3,  5.3, ⑥⑥, 1,15,Ｂステイドリｰム, 83,大庭和,, 77,  -1,  16, 4, 11.7, ⑥⑤
 2, 5,Ａマイネルメダリスト, 53,蛯名正, 0.3, 63,* -5,*  3, 1,  3.5, ①①, 2, 1, スズマｰシャル,,横山義,189.4,,,, 3,  4.6,⑤⑥⑥, 2,12,Ｃニシノブイシェｰプ, 73,田辺裕, 0.1, 71,   8,   2, 4, 12.4, ④④, 2,11,Ｊメイショウアツヒメ, 75,石橋脩, 0.1, 78,*  7,   8, 3, 11.6, ①①
 3, 4,Ｆマイネルリｰプ, 42,津村明, 1.2, 53,  -6,  -7, 5,  7.8, ④④, 3, 8, ヨイチセレブ,,五十嵐,190.0,,,, 9, 26.5,②②③, 3, 7,Ｄミスタｰレンチ, 73,石橋脩, 0.1, 71,  -5,* 14, 5, 13.9, ⑩⑩, 3, 7,Ｅペプチドアトム, 82,柴田善, 0.2, 76,   1,  13, 2,  5.1, ④④
 4, 7,Ｃアルゴリズム, 52,松岡正, 1.7, 48,  -6, -13, 4,  4.4, ⑥⑤, 4,10, クリノラブゴｰルド,,柴田未,190.0,,,, 1,  3.4,④③④, 4,10,Ａラヴリｰドリｰム, 78,木幡初, 0.3, 70,* 10,  -1, 2,  4.2, ③③, 4, 4,Ｈトｰセンベルファム, 76,伊藤工, 0.4, 74,  -4,  17, 7, 18.6, ⑩⑩
 5, 9,Ｂファストカラｰ, 53,北村宏, 1.8, 48,  -8, -12, 3,  4.2, ⑦⑧, 5, 9, クイックステップ,,金子光,190.6,,,, 7, 17.2,⑫⑩⑩, 5, 1,Ｂエイコオミリオン, 75,村田一, 0.4, 69,* 11,  -3, 1,  2.3, ①①, 5,13,Ｇブラックカシミｰル, 78,田中博, 0.4, 76,*  3,   9,10, 37.3, ③③
 6, 3,Ｉマイネシェリｰ, 33,石橋脩, 1.9, 47,  -9, -12, 8, 80.0, ⑨⑦, 6,13, リｰチマイドリｰム,,石神深,190.6,,,, 8, 17.7,③⑤⑤, 6, 5,Ｋフレｰトライナｰ, 64,吉田豊, 0.5, 66,  -7,* 13,12,190.4, ⑫⑫, 6, 2,Ａデイトユアドリｰム, 86,松岡正, 0.5, 74,  -3,  15, 1,  1.8, ⑧⑧
 7,11,Ｅトｰアクリスタル, 49,小林淳, 2.1, 42,  -7, -21, 6, 13.2, ⑤⑥, 7,11, マイネルハヤト,,草野太,190.9,,,, 2,  4.4,⑦⑦⑦, 7,13,Ｍカレンベルナルド, 57,津村明, 0.6, 66,   3,   2,10, 47.6, ⑦⑦, 7, 5,Ｉスマｰトリｰズン, 76,田辺裕, 0.5, 74,*  5,   7,13,310.7, ②②
 8, 6,Ｊピｰスワンレディ, 29,西田雄, 2.1, 44,  -9, -13,10,172.5, ⑩⑪, 8, 5, ナイトスズラン,,山本康,191.1,,,,13,131.9,⑧⑧⑧, 8,15,Ｆサンタｰナズギフト, 70,伊藤工, 1.1, 62,   8,  -6, 8, 22.4, ⑤⑤, 8, 3,Ｃフキラウソング, 83,吉田豊, 0.6, 72,  -2,  12, 6, 13.9, ⑦⑦
 9, 1,Ｈニチリンヒカリ, 38,武士沢, 2.2, 43, -10, -13, 7, 52.8, ⑪⑩, 9, 2, カントリｰドｰタｰ,,水出大,194.5,,,,11, 62.8,⑩⑨⑨, 9,11,Ｇダノンアスコット, 69,柴田善, 1.1, 62,  -1,   1, 6, 16.9, ⑨⑧, 9,12,Ｎケｰジｰアメリカン, 69,蛯名正, 0.6, 74, -10,* 20, 8, 24.9, ⑭⑭
10,10,Ｇマサデパン, 38,伊藤工, 2.2, 42,  -8, -18, 9,101.6, ⑧⑨,10,12, リｰサムカイト,,穂苅寿,197.1,,,,14,171.3,⑨⑪⑪,10, 9,Ｌティティチャｰム, 62,国分優, 2.0, 54,  -1,  -7,13,371.4, ⑧⑨,10, 6,Ｄゼンノベラｰノ, 83,武士沢, 0.7, 70,  -8,  16, 5, 12.4, ⑫⑪
11, 2,Ｋルｰナピエｰナ, 19,木幡初, 3.2, 33,  -6, -35,11,208.8, ③③,11, 3, ホクテンミラｰ,,高野和,197.7,,,,12,119.1,⑬⑫⑫,11, 2,Ｎアイティアビｰ, 43,蛯名正, 2.0, 55, -12,   4, 9, 33.3, ⑬⑬,11,14,Ｋブルｰアイガｰ, 72,木幡初, 0.8, 71, -11,* 19,14,447.1, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｅトロイオンス, 71,田中博, 2.1, 55,* 11, -18, 7, 17.8, ②②,12, 9,Ｆベストオブミｰ, 80,北村宏, 1.0, 69,  -7,  14, 9, 32.4, ⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｏホウザンドラゴン, 40,西田雄, 2.2, 53,  -4,  -5,14,416.5, ⑪⑪,13,10,Ｍハイデフィニション, 70,村田一, 1.6, 64,  -5,   6,12,182.5, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｉトｰセンディケム, 67,松岡正, 2.8, 47, -15,   0,11, 73.4, ⑭⑭,14, 1,Ｌマイネアルデュｰル, 72,津村明, 2.8, 53,   0,  -9,11, 96.6, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 8, パリスフォンテン,---,郷原洋, 3.6, 46, -15,  -2,15,598.9, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:重(指数:-5),,,,,,,,,,,
単勝:410円 複勝:08=140円 05=140円 04=190円 枠連:310円,,,,,,,,,,,,"単勝:600円 複勝:06=220円 01=190円 08=550円 枠連:1,830円",,,,,,,,,,,,"単勝:530円 複勝:08=220円 12=350円 07=410円 枠連:2,640円",,,,,,,,,,,,"単勝:1,170円 複勝:15=320円 11=420円 07=220円 枠連:3,730円",,,,,,,,,,,
馬連:630円 ワイド:05-08=270円 04-08=510円 04-05=400円,,,,,,,,,,,,"馬連:1,690円 ワイド:01-06=680円 06-08=2,220円 01-08=1,240円",,,,,,,,,,,,"馬連:3,380円 ワイド:08-12=1,040円 07-08=1,280円 07-12=2,340円",,,,,,,,,,,,"馬連:4,460円 ワイド:11-15=1,320円 07-15=790円 07-11=910円",,,,,,,,,,,
"馬単:1,340円 3連複:1,480円 3連単:6,490円",,,,,,,,,,,,"馬単:3,370円 3連複:12,710円 3連単:74,470円",,,,,,,,,,,,"馬単:5,460円 3連複:14,570円 3連単:72,320円",,,,,,,,,,,,"馬単:9,590円 3連複:7,620円 3連単:72,700円",,,,,,,,,,,
■ 2R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,天の川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａショウナンスマイル, 71,柴田善,, 69,   0,*  5, 3,  5.6, ⑨⑨, 1,17, ニシノクエｰサｰ,---,津村明,, 50, -19,*  2,11, 26.4, ⑩⑩, 1, 1,Ａディアビリｰヴ, 78,吉田豊,, 73,*  3,  11, 1,  2.2,①①①, 1, 2,Ｉミステリアスライト, 81,蛯名正,, 82,* 13,   6, 1,  3.3, ②②
 2,16,Ｇグァンタナメラ, 59,張田京, 0.0, 68,  -5,* 13, 8, 19.9, ⑰⑰, 2, 4, ニシノジャブラニ,---,北村宏, 0.0, 48,*-16,  -3,10, 23.4, ③④, 2,12,Ｂゴｰルドモｰル, 75,木幡初, 0.0, 74,*  2,* 14, 2,  4.2,②②②, 2,13,Ａリクエストソング, 86,北村宏, 0.0, 85,   9,  15, 3,  4.5, ⑥⑥
 3,10,Ｆトｰセンカルツェ, 61,吉田豊, 0.0, 68,  -2,*  9, 4,  6.4, ⑭⑭, 3, 8, ノｰスランド,---,吉田豊, 0.2, 44,*-13,  -9, 9, 20.4, ①①, 3,13,Ｃヤマニンパソドブル, 72,伊藤工, 0.3, 72,   1,* 13, 4,  8.6,④④⑤, 3, 1,Ｅシングライクバｰド, 83,石橋脩, 0.6, 84,   3,* 22, 6, 13.4, ⑯⑯
 4, 9,Ｅマレｰネ, 65,北村宏, 0.2, 69,   3,   0, 5, 10.5, ⑧⑥, 4,15, ドラゴンライズ,---,蛯名正, 0.3, 45, -17,  -4, 1,  4.0, ⑧⑦, 4,14,Ｄドラゴンアルテマ, 72,田辺裕, 0.3, 73,   1,* 14, 6, 22.0,⑥⑤③, 4,11,Ｂスノｰクラッシャｰ, 85,松岡正, 0.6, 83,   6,* 19, 2,  4.4, ⑮⑮
 5, 4,Ｈエクセリオン, 57,蛯名正, 0.2, 67,  -1,   4, 7, 12.9, ⑩⑪, 5,18, ショウナンガｰデン,---,柴田善, 0.3, 46, -19,  -1, 6, 12.4, ⑨⑥, 5, 5,Ｎメジロベンハｰ, 60,石橋脩, 1.1, 69,  -1,  10,12,161.0,⑧⑦⑥, 5, 3,Ｊスズジュピタｰ, 80,田中勝, 0.6, 78,   9,   8, 5, 12.1, ⑧⑧
 6,11,Ｄケイビイテルマ, 67,田中博, 0.5, 63,  -1,   1, 2,  4.7, ⑬⑩, 6, 1, コウヨウロイヤル,---,武士沢, 0.4, 48, -29,*  9, 7, 14.7, ⑱⑱, 6, 8,Ｊドリｰムハッチ, 66,平野優, 1.3, 66,   1,   4, 5, 12.8,③③④, 6, 9,Ｐシゲルタック, 73,伊藤工, 0.7, 76,   9,   5, 8, 26.4, ⑦⑦
 7,12,Ｃニｰニョデルシエロ, 67,村田一, 0.6, 62,  -4,   2, 6, 12.6, ⑮⑮, 7, 2, メジロツボネ,---,田中博, 0.5, 44, -20,  -3, 2,  4.8, ⑫⑫, 7,11,Ｅヤマニンフリスキｰ, 70,中村将, 1.8, 65,  -2,   6,10, 44.5,⑩⑨⑧, 7, 4,Ｇジェントルフォｰク, 81,田辺裕, 0.7, 78,   7,  14, 9, 33.3, ⑬⑬
 8, 5,Ｍコスモスルス, 48,伊藤工, 0.8, 61,   3,  -8,10, 35.3, ⑥⑦, 8,14, カトルズリップス,---,江田照, 0.5, 42,*-16,  -9, 3,  7.2, ④③, 8,15,Ｈジャストザシｰズン, 67,張田京, 2.0, 64,  -3,   7, 7, 22.5,⑭⑩⑩, 8, 6,Ｌカレイジャスミン, 76,木幡初, 0.9, 73,  11,  -3,14, 84.8, ④③
 9, 6,Ｊヤマニンピトレスク, 56,江田照, 0.9, 63,* 11, -20, 9, 25.6, ①①, 9, 3, チェルビアット,---,石橋脩, 0.6, 42, -17,  -8, 4,  7.7, ⑥⑧, 9, 7,Ｌモアスマイル, 63,北村宏, 2.4, 60,  -4,   5, 9, 42.6,⑪⑪⑪, 9,12,Ｈアサヒバロン, 81,柴田善, 1.1, 72,   6,   5,12, 65.7, ⑫⑫
10, 3,Ｋガリンペイロ, 51,石橋脩, 1.2, 58,*  5, -17,11, 53.3, ④③,10,11, サトノヴィクトリア,---,田中勝, 0.7, 39, -17, -11, 5,  9.2, ⑤⑤,10, 2,Ｆキクジロウ, 68,青木芳, 2.7, 58,  -2,  -2,11,100.8,⑦⑧⑨,10,10,Ｃマチカネカミカゼ, 85,吉田豊, 1.1, 74,   4,  12, 7, 14.3, ⑭⑭
11, 1,Ｂコスモピクシｰ, 68,松岡正, 1.4, 56,*  8, -23, 1,  3.6, ②②,11,12, ラブバｰボン,---,郷原洋, 0.9, 40, -25,  -3,15,101.2, ⑰⑯,11, 6,Ｉシルキｰチュチュ, 66,江田照, 3.0, 58,  -5,   3,14,259.7,⑨⑫⑬,11, 7,Ｍロｰドキャニオン, 76,小林淳, 1.2, 72,   8,   1,15,150.7, ⑩⑩
12, 8,Ｉトｰアティアレ, 57,田辺裕, 1.5, 51,  -1, -13,13, 83.7, ⑪⑫,12, 7, ウルトラファイン,---,小野寺, 0.9, 37, -18, -11, 8, 15.0, ⑦⑨,12, 3,Ｇピｰスオブラック, 67,蛯名正, 3.4, 55,  -5,  -1, 3,  5.5,⑮⑬⑫,12,14,Ｄワンダｰムシャ, 84,西田雄, 1.4, 66,* 14, -16,11, 49.7, ①①
13,18,Ｏサｰストンムｰン, 47,木幡初, 1.5, 53,   3, -18,15,262.0, ⑤⑤,13,16, ストロングレグナム,---,伊藤工, 1.0, 37, -22,  -7,12, 42.5, ⑭⑭,13, 9,Ｋシルバｰビｰト, 65,小野寺, 3.7, 53,  -6,  -2,15,314.5,⑬⑮⑮,13, 5,Ｏベンチャｰナイン, 74,武士沢, 1.5, 69,   7,  -1,10, 37.8, ⑪⑪
14, 2,Ｌトレノジャイアント, 48,小野寺, 1.9, 47,  -5, -13,14,156.3, ⑯⑯,14, 9, マイプレシャス,---,小林淳, 1.0, 39, -21,  -6,18,248.5, ⑬⑬,14,10,Ｏガイアボルケｰノ, 55,村田一, 5.3, 40,  -1, -26, 8, 40.0,⑤⑥⑦,14,15,Ｋドリｰムノクタｰン, 79,津村明, 1.7, 66,  11, -13,13, 75.1, ③④
