10年 5月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 5月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｋフレイムヴェイン, 36,横山典,, 60,  -1,   0, 1,  3.7, ④④, 1, 6, アツキオモイ,,平沢健,,,,, 6, 15.2,②③③, 1, 1,Ａマイウエイ, 77,福永祐,, 83,* 13,* -3, 1,  1.7,①①①, 1,11,Ｋスマｰトステｰジ, 80,村田一,, 89,  -5,* 21, 5, 10.6,⑯⑯⑮
 2, 4,Ａレッドプラネット, 63,武士沢, 0.2, 56,*  3,  -7, 4,  7.5, ②②, 2, 4, クランエンブレム,,金子光,202.8,,,, 1,  2.7,⑦⑥⑤, 2,10,Ｂサクラルｰラｰ, 74,内田博, 0.9, 73,  10, -11, 3,  5.2,⑧⑦⑥, 2, 8,Ａラフィナｰル, 85,蛯名正, 0.1, 85,  -5,* 18,13, 53.6,⑬⑪⑬
 3, 2,Ｂタマノリテラシｰ, 60,吉田豊, 0.2, 59,  -2,*  1, 6, 11.5, ⑦⑦, 3, 2, パゴダ,,高野和,203.5,,,, 4,  6.9,⑪⑪⑪, 3, 8,Ｇシンセサイザｰ, 63,戸崎圭, 1.0, 73,   8,* -6, 6, 27.5,⑦⑨⑨, 3,10,Ｌトウショウデザｰト, 80,吉田豊, 0.3, 80,  -4,  13, 6, 10.9,⑩⑫⑨
 4,12,Ｉサントワマミｰ, 52,柴田善, 0.4, 57,  -1,  -1, 2,  4.8, ⑧⑧, 4, 9, プラクシス,,石神深,203.9,,,, 2,  3.8,⑥⑦⑧, 4, 5,Ｈベストプロジェクト, 62,田中勝, 1.2, 70,   8,  -9, 5, 19.7,⑨⑧⑧, 4,14,Ｂフィニステｰル, 85,内田博, 0.3, 87,  -6,* 21, 3,  7.6,⑮⑱⑱
 5, 3, メイビｰズエイム,---,松岡正, 0.4, 58,  -3,*  1, 7, 15.3, ⑨⑨, 5, 7, テイエムサプライズ,,浜野谷,204.0,,,, 7, 16.2,⑤①①, 5, 2,Ｄフライバイワイヤｰ, 71,蛯名正, 1.2, 69,* 13, -19, 2,  4.2,②②②, 5, 7,Ｉヤマタケディガｰ, 81,武士沢, 0.4, 79,  -3,  11,17,116.3,⑤⑤⑦
 6,11,Ｃオンマイマインド, 57,蛯名正, 0.5, 58,  -1,  -4, 3,  5.8, ⑥⑤, 6, 1, オンワｰドシェルタ,,穂苅寿,204.3,,,,12,136.9,⑫⑧⑥, 6, 4,Ｃエアキリヤン, 71,後藤浩, 1.3, 68,  11, -16, 4, 15.3,⑤⑤⑤, 6,16,Ｑレインフォｰレスト, 74,池添謙, 0.4, 81,  -2,  10,11, 33.2,⑨⑨⑩
 7, 5,Ｆエミネンスグリｰズ, 55,三浦皇, 0.5, 58,  -4,*  2,10, 28.3, ⑫⑪, 7, 5, ボｰマンド,,江田勇,204.6,,,,10,111.8,④④④, 7, 9,Ｅモエレオフィシャル, 64,江田照, 2.5, 55,  12, -37, 7, 42.1,④④③, 7,17,Ｅエオリアンハｰプ, 84,田中勝, 0.4, 83,  -5,  16, 1,  3.4,⑭⑮⑰
 8, 9, ヴィエナトウショウ,---,内田博, 1.1, 53,*  1, -11, 5,  8.0, ③③, 8,11, トウショウライド,,水出大,205.2,,,, 8, 66.3,⑩⑩⑩, 8, 7,Ｉダイワカレン, 59,武士沢, 2.7, 54,  11, -35, 9,109.8,⑥⑥⑦, 8, 1,Ｆアグネスエナジｰ, 83,勝浦正, 0.5, 76,* -1,   4, 2,  5.7,①①①
