10年11月 7日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月 7日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京洛ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｆワイルドビｰト, 58,藤岡佑,, 62,  -5,*  4, 3,  4.3, ⑤⑤, 1, 6, マｰベラスパレｰド,,岩崎祐,,,,, 5, 14.5,⑤④④, 1, 8,Ｆアクティビュｰティ, 69,熊沢重,, 80,   4,* 12, 4, 10.6, ③③, 1, 8,Ｃアｰバンストリｰト, 81,幸英明,, 85,  -3,* 15, 5, 10.4, ⑩⑩
 2,10,Ａナムラドリｰミｰ, 71,北村友, 0.2, 60,  -2,  -1, 1,  2.3, ③③, 2, 1, ビｰビｰスカット,,西谷誠,198.0,,,, 1,  2.2,⑥⑥⑤, 2,10,Ｅトウカイレジｰナ, 69,古川吉, 0.9, 71,   4,   5, 3,  8.7, ⑤④, 2,11,Ｆヤマカツマリリン, 79,小林徹, 0.1, 81,*  2,   8, 9, 23.4, ②②
 3, 1,Ｂショウナンタスク, 67,幸英明, 0.3, 60,*  0,  -3, 2,  2.8, ①①, 3, 8, ハマノツｰステップ,,難波剛,198.1,,,, 6, 19.9,③③①, 3,13,Ｂトップオブザヘヴン, 72,川須栄, 1.0, 71,  -2,* 11, 2,  4.3, ⑫⑩, 3, 9,Ｇケイアイアストン, 77,秋山真, 0.1, 83,  -1,* 12, 6, 12.2, ⑧⑦
 4, 2,Ｅエｰシンラッシング, 59,和田竜, 0.7, 56,  -3,  -4, 8, 69.7, ④④, 4, 9, ジェンティリティｰ,,林満明,198.2,,,, 2,  3.8,②②③, 4, 4,Ａピサノプリヴェ, 77,福永祐, 1.2, 69,   5,   2, 1,  1.9, ④⑤, 4, 7,Ａエｰシンダックマン, 83,四位洋, 0.1, 82,*  4,   7, 1,  3.3, ①①
 5, 5,Ｉマンテンマックス, 47,佐久間, 1.1, 52,  -6,  -4,11,224.6, ⑥⑥, 5,11, リアルヴィクトリｰ,,白浜雄,198.8,,,, 4,  7.5,⑧⑧⑧, 5, 3,Ｍヴンダｰゾンネ, 61,藤岡佑, 1.3, 69,  -5,* 12, 8, 28.5, ⑮⑫, 5, 5,Ｂシンボリグラン, 82,川田将, 0.2, 82,  -3,* 12, 3,  6.2, ⑨⑨
 6, 9,Ｇシゲルトウカツカン, 50,川須栄, 1.3, 50,  -9,  -3, 7, 55.1, ⑧⑧, 6, 5, テイエムリュウジン,,佐久間,199.8,,,, 3,  6.4,①①②, 6, 9,Ｄフェイズシフト, 71,和田竜, 1.3, 69,*  7,  -1, 5, 12.9, ②②, 6, 4,Ｉエイシンタイガｰ, 77,池添謙, 0.2, 81,   1,   8, 2,  3.4, ③③
 7, 6,Ｃブラウンシュガｰ, 63,小坂忠, 1.4, 49, -12,  -2, 4,  9.9, ⑩⑩, 7,10, ゴｰカイフォンテン,,横山義,200.2,,,, 9, 51.5,⑦⑦⑦, 7,15,Ｃワンダｰフウラン, 71,高倉稜, 1.3, 67,   0,   7, 6, 18.7, ⑨⑧, 7,12,Ｈシャウトライン, 77,浜中俊, 0.3, 79,   1,   7, 7, 18.6, ④④
 8,11,Ｋユメノアイリス, 26,高倉稜, 1.6, 46,  -7,  -9, 5, 19.7, ⑦⑦, 8,14, テンシノアスタｰ,,中村将,200.6,,,,11, 84.7,④⑤⑥, 8, 6,Ｇマストバイアイテム, 68,幸英明, 1.9, 63,*  7,  -7, 9, 29.3, ①①, 8, 6,Ｊショウナンカザン, 77,小牧太, 0.4, 78,   0,   7, 4,  9.4, ⑤⑤
 9, 3,Ｄニュｰセレクト, 61,小林徹, 1.7, 48,* -1, -14, 6, 51.0, ②②, 9, 4, ゴｰルデンダニエル,,石神深,203.2,,,,12,113.1,⑫⑪⑪, 9,14,Ｉメイショウフェｰヴ, 67,難波剛, 1.9, 63,   1,   0,13,109.0, ⑧⑦, 9, 3,Ｄダイシングロウ, 81,福永祐, 0.6, 77,  -6,  10,10, 25.7, ⑪⑪
10, 7,Ｊホクザンヴィリル, 31,野元昭, 3.2, 33, -10, -19,10,191.3, ⑨⑨,10, 7, スズカフェロｰ,,高野容,204.3,,,,10, 76.6,⑨⑩⑩,10, 2,Ｌスズカスコｰル, 63,田島裕, 2.1, 62,  -1,   1,14,278.7, ⑩⑨,10,10,Ｌステラリｰド, 68,芹沢純, 0.8, 72,   0,   2,11, 42.1, ⑥⑥
,,,,,,,,,,,,11,13, オンワｰドフレスコ,,今村康,205.7,,,,14,121.2,⑩⑨⑨,11, 5,Ｏスウィングダンス, 34,石橋守, 2.2, 63,   2,  -3,10, 76.8, ⑥⑥,11, 1,Ｋエフテｰストライク, 76,高倉稜, 0.9, 72,  -8,   8,12,101.5, ⑫⑫
,,,,,,,,,,,,12,12, テイエムロウラン,,黒岩悠,209.2,,,, 7, 35.0,⑪⑫⑫,12,11,Ｈピエナリリｰ, 68,後藤浩, 2.5, 58,  -3,   1,11, 77.5, ⑬⑮,12, 2,Ｅトレノジュビリｰ, 81,後藤浩, 1.2, 67,  -3,  -1, 8, 21.7, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｊスナｰクチェリｰ, 64,浜中俊, 2.8, 57,   1,  -7,12, 85.5, ⑦⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｋオリオンザドｰタｰ, 63,北村友, 2.9, 56,  -3,  -3,15,342.4, ⑭⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｎキタサンスズラン, 59,小牧太, 3.6, 49,  -2, -11, 7, 24.5, ⑪⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,
単勝:430円 複勝:04=120円 10=110円 01=110円 枠連:380円,,,,,,,,,,,,"単勝:1,450円 複勝:06=310円 01=130円 08=320円 枠連:490円",,,,,,,,,,,,"単勝:1,060円 複勝:08=330円 10=380円 13=210円 枠連:2,800円",,,,,,,,,,,,"単勝:1,040円 複勝:08=380円 11=660円 09=380円 枠連:1,320円",,,,,,,,,,,
馬連:400円 ワイド:04-10=160円 01-04=200円 01-10=140円,,,,,,,,,,,,"馬連:1,330円 ワイド:01-06=540円 06-08=1,770円 01-08=610円",,,,,,,,,,,,"馬連:4,390円 ワイド:08-10=1,550円 08-13=680円 10-13=860円",,,,,,,,,,,,"馬連:14,590円 ワイド:08-11=3,350円 08-09=1,550円 09-11=2,860円",,,,,,,,,,,
"馬単:1,000円 3連複:270円 3連単:2,220円",,,,,,,,,,,,"馬単:4,440円 3連複:4,330円 3連単:25,910円",,,,,,,,,,,,"馬単:11,320円 3連複:8,370円 3連単:61,090円",,,,,,,,,,,,"馬単:22,270円 3連複:30,360円 3連単:190,250円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,みやこｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂツカサリボン, 61,小牧太,, 63,  -2,*  2, 1,  4.8, ⑬⑫, 1, 5, タナトス,---,武豊  ,, 60,  -9,* 10, 1,  3.5,⑤⑦⑦, 1, 1,Ｅプリンセスペスカ, 79,池添謙,, 79,  10,*  7, 3,  5.1,④④④, 1, 2,Ｂトランセンド, 93,藤田伸,, 96,* 18,  14, 2,  3.1,①①①
 2,14,Ｇプリティアクィｰン, 52,川須栄, 0.1, 63,   3,  -8, 2,  5.7, ④⑦, 2, 3, テｰオｰブユウデン,---,福永祐, 0.7, 53,* -1, -11, 2,  3.7,②②②, 2, 6,Ｃアイアムピカイチ, 81,川田将, 0.3, 79,   9,   6, 1,  2.5,⑧⑧⑧, 2, 4,Ｃキングスエンブレム, 93,福永祐, 0.2, 96,  15,* 18, 1,  2.9,⑨⑦⑧
 3, 9,Ｋマイネエレｰナ, 49,津村明, 0.2, 59, -10,*  8,14,109.6, ⑱⑰, 3, 8, ホワイトアルバム,---,幸英明, 1.0, 51,  -2, -12, 6, 21.7,⑥⑤⑤, 3, 5,Ｇコウユｰヒｰロｰ, 78,浜中俊, 0.4, 78,   8,*  7, 8, 43.3,⑨⑨⑨, 3,14,Ｆサクラロミオ, 91,藤岡佑, 0.4, 94,  13,* 18, 9, 34.0,⑬⑫⑪
 4,11,Ｈコウエイオトメ, 51,福永祐, 0.5, 58,   1, -12, 6, 11.4, ⑦⑥, 4, 4, カネトシマｰシャル,---,後藤浩, 1.2, 48,  -2, -14, 4,  5.4,③④④, 4, 2,Ｆタイキジャガｰ, 78,後藤浩, 0.5, 76,   9,   5, 7, 20.9,⑦⑥⑤, 4,13,Ｈアドマイヤスワット, 90,古川吉, 0.6, 91,* 17,  10,14,147.9,⑤④④
 5,18,Ｌアンクレット, 48,武豊  , 0.6, 58,   1, -10, 5,  8.9, ⑧⑧, 5, 1, フィオリア,---,高倉稜, 1.4, 46,*  0, -19, 3,  4.5,①①①, 5, 8,Ｂキンショｰダンデｰ, 83,北村友, 0.6, 77,  10,   3, 4,  7.9,⑤⑤⑥, 5, 9,Ｊパワｰストラグル, 89,後藤浩, 0.7, 89,  15,  12, 6, 14.1,⑧⑧⑦
 6,15,Ｉチアフルアイズ, 49,藤岡佑, 0.7, 59,*  6, -18, 3,  6.0, ②②, 6, 9, ロｰレルマキバオｰ,---,熊沢重, 2.1, 48,  -7, -12, 7, 31.2,⑦⑥⑥, 6, 3,Ａオｰスミイレブン, 85,四位洋, 0.6, 75,* 12,  -1, 2,  3.6,①①①, 6,12,Ｎワンダｰアキュｰト, 87,和田竜, 0.7, 92,  16,  11, 7, 22.1,⑦⑥⑥
 7, 8,Ｄミヤジメｰテル, 55,後藤浩, 0.8, 56,*  5, -19, 8, 15.7, ①①, 7, 6, ドリｰムマキシマム,---,藤岡佑, 3.1, 38,* -1, -32, 5,  5.6,④③③, 7, 4,Ｄアストレｰション, 79,福永祐, 1.7, 70,   9,  -6, 5, 11.3,⑥⑦⑦, 7, 3,Ｋクリｰン, 88,北村友, 0.8, 90,  14,  14,16,230.2,⑫⑩⑩
 8, 2,Ｒディアアプロｰズ, 33,池添謙, 0.8, 53,  -9,* -1,13, 73.7, ⑮⑮, 8, 2, クｰルファルコン,---,小林徹, 3.1, 40, -10, -16, 9, 84.0,⑨⑨⑨, 8, 7,Ｉベルモントサｰガ, 76,武豊  , 2.1, 65,* 11, -12, 6, 14.2,②②②, 8, 6,Ａドリｰムライナｰ, 93,秋山真, 1.0, 88,* 17,   6, 8, 27.4,②②②
 9, 5,Ａメジロマリシテン, 63,四位洋, 0.8, 55,   0, -13, 7, 14.9, ⑨⑩, 9, 7, ホッコｰキングダム,---,飯田祐, 3.2, 38, -10, -16, 8, 44.5,⑧⑧⑧, 9, 9,Ｈトップジャイアンツ, 77,和田竜, 2.2, 67,* 11, -13, 9, 55.4,③③③, 9,15,Ｄクリｰルパッション, 92,津村明, 1.1, 87,  14,  11, 5, 13.4,⑩⑨⑨
10,12,Ｏキッスオブドラゴン, 41,浜中俊, 1.1, 50,  -2, -14,12, 31.8, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,10,16,Ｉワンダｰスピｰド, 90,小牧太, 1.3, 86,  12,  14,10, 37.7,⑪⑭⑬
11,16,Ｅツナミ, 53,高倉稜, 1.2, 50,   0, -18, 9, 19.7, ⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,,11, 7,Ｅダイシンオレンジ, 92,川田将, 1.7, 84,* 17,   0, 3,  7.2,③③③
12, 1,Ｆマルデデルマ, 52,古川吉, 1.7, 45,   2, -27,11, 24.5, ⑥⑤,,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｇナニハトモアレ, 91,池添謙, 1.9, 82,  12,   8,11, 43.4,⑮⑮⑭
13, 3,Ｍルンディｰ, 42,渡辺薫, 1.7, 45,  -3, -19,18,224.1, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｏアドマイヤシャトル, 86,四位洋, 2.0, 82,  14,   5, 4,  9.9,⑭⑬⑫
14,17,Ｊシェイクラブハｰト, 49,藤田伸, 1.8, 45,*  4, -31,10, 19.9, ⑤④,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｍロｰルオブザダイス, 88,浜中俊, 2.1, 82,  16,  -1,12, 84.0,④⑤⑤
15, 4,Ｐウエスタンジェミｰ, 39,北村友, 1.8, 43,  -6, -17,17,199.4, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｐプレファシオ, 78,熊沢重, 4.9, 66,  12, -17,15,195.4,⑯⑯⑮
16,13,Ｃエｰシンマギｰ, 59,川田将, 1.9, 44,*  4, -32, 4,  6.2, ③③,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｌフサイチピｰジェイ, 88,幸英明, 5.3, 61,  13, -23,13,112.2,⑥⑪⑯
17, 7,Ｑメイショウモンシロ, 35,武幸四, 2.2, 38,  -9, -20,15,161.7, ⑯⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 6,Ｎクリノダイヤモンド, 42,幸英明, 2.8, 33,  -8, -29,16,167.4, ⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,
"単勝:480円 複勝:10=180円 14=210円 09=1,860円 枠連:500円",,,,,,,,,,,,単勝:350円 複勝:05=150円 03=130円 08=460円 枠連:690円,,,,,,,,,,,,単勝:510円 複勝:01=170円 06=120円 05=610円 枠連:550円,,,,,,,,,,,,単勝:310円 複勝:02=140円 04=140円 14=550円 枠連:480円,,,,,,,,,,,
"馬連:1,330円 ワイド:10-14=540円 09-10=7,380円 09-14=9,260円",,,,,,,,,,,,"馬連:590円 ワイド:03-05=270円 05-08=1,090円 03-08=1,030円",,,,,,,,,,,,"馬連:490円 ワイド:01-06=230円 01-05=1,740円 05-06=1,060円",,,,,,,,,,,,"馬連:470円 ワイド:02-04=230円 02-14=1,670円 04-14=1,290円",,,,,,,,,,,
