10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,12,Ｃノｰザンソング, 51,武幸四, 3.1, 39,   0, -23, 2,  6.9, ⑨⑪,,,,,,,,,,,,,12, 9,Ｉセイウンシグナル, 66,長谷川, 5.1, 38,   7, -36,10,112.7,⑧⑥⑨,12, 9,Ｎドリｰムマイスタｰ, 82,川島信, 1.1, 76,   7,   9,13, 85.3,⑦⑨⑪
13, 3,Ｄシゲルヒラトリ, 49,幸英明, 3.8, 32,   2, -33, 3,  9.2, ④⑦,,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｐアペリティフ, 77,幸英明, 1.1, 79,   3,  15,14,114.3,⑯⑯⑯
14, 2,Ｏシゲルペイペイ, 31,国分恭, 3.9, 32,   1, -30,14,217.3, ⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｏミッキｰバラｰド, 82,内田博, 1.2, 75,*  7,   6, 6, 10.8,⑧⑤⑦
15, 1,Ｋレディダイヤ, 39,高倉稜, 4.0, 28,  -6, -22,10, 99.4, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｇピｰスキｰパｰ, 86,藤岡康, 1.6, 73,   7,   4, 9, 38.6,③⑥③
16,15,Ｎタマモクロノス, 32,川須栄, 4.3, 28,*  5, -40,16,272.0, ②④,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｅパｰプルアカデミｰ, 87,太宰啓, 2.8, 64,   6,  -4,12, 85.2,⑪⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-5),,,,,,,,,,,
"単勝:1,290円 複勝:11=270円 09=110円 04=840円 枠連:330円",,,,,,,,,,,,単勝:550円 複勝:02=150円 07=170円 08=110円 枠連:420円,,,,,,,,,,,,単勝:190円 複勝:05=110円 01=130円 04=410円 枠連:300円,,,,,,,,,,,,単勝:240円 複勝:03=120円 14=230円 04=170円 枠連:660円,,,,,,,,,,,
"馬連:860円 ワイド:09-11=440円 04-11=5,120円 04-09=1,320円",,,,,,,,,,,,"馬連:1,750円 ワイド:02-07=450円 02-08=240円 07-08=220円",,,,,,,,,,,,馬連:290円 ワイド:01-05=170円 04-05=650円 01-04=960円,,,,,,,,,,,,"馬連:1,280円 ワイド:03-14=460円 03-04=280円 04-14=750円",,,,,,,,,,,
