10年 2月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀蹄ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆディアコトミ, 61,吉田豊,, 63,*  1,  -2, 7, 18.0, ①①, 1, 2,Ｈエムオｰハンズ, 56,吉田豊,, 69,* -4,   3,10, 49.7, ①①, 1, 3,Ｉペルｰサ, 62,横山典,, 82,  -6,* 20, 1,  1.6,⑧⑧⑩, 1, 8,Ｊセイカアレグロ, 83,津村明,, 86,*  6,* 18,10, 41.6, ⑤②
 2, 4,Ｇタマモメロディ, 60,勝浦正, 0.0, 63,  -3,*  3,10, 33.2, ⑦⑥, 2, 1,Ｉショウナンスマイル, 55,柴田善, 0.2, 70,  -9,*  9, 7, 28.6, ⑨⑤, 2, 2,Ａブルｰグラス, 69,松岡正, 0.1, 87,  -8,* 24, 3, 12.5,⑨⑪⑬, 2, 2,Ｂツクバホクトオｰ, 88,柴田善, 0.0, 87,*  8,  17, 4,  6.3, ①①
 3, 8,Ｈヤマイチテキｰラ, 58,伊藤工, 0.1, 61,  -3,*  2, 8, 21.0, ⑤⑦, 3, 5,Ｇレインボｰダリア, 58,蛯名正, 0.2, 68,* -7,   5, 2,  6.8, ⑤②, 3, 5,Ｂディアアレトゥｰサ, 69,藤田伸, 0.5, 74,  -4,   7, 5, 22.2,③④④, 3, 3,Ａファイナルスコアｰ, 90,後藤浩, 0.2, 85,*  6,  17, 3,  4.9, ②③
 4,15,Ｃシャイニイチカ, 65,柴田善, 0.3, 62,  -4,*  2, 2,  4.4, ⑧⑧, 4, 9,Ｆウォンビｰロング, 58,横山典, 0.5, 62,* -6,  -1, 1,  1.6, ②③, 4, 1,Ｇエｰブチェアマン, 63,北村宏, 0.6, 78,  -6,  14, 7, 25.4,⑦⑦⑧, 4,11,Ｆノｰリプライ, 84,横山典, 0.4, 84,   5,  18, 1,  3.3, ⑩⑨
 5, 2,Ｅジョウノパッション, 61,松岡正, 0.7, 56,  -2,  -6, 6, 16.8, ③③, 5, 3,Ｋセイントワンダｰ, 51,松岡正, 0.7, 64, -12,   5, 6, 21.0, ⑩⑨, 5,13,Ｃマイネルマグレブ, 68,伊藤工, 0.6, 68,*  0,  -4, 9, 65.8,①①①, 5, 9,Ｄギシアラバストロ, 85,北村宏, 0.6, 82,   1,* 21,12, 56.9, ⑯⑮
 6, 3,Ｋクサナギノツルギ, 49,蛯名正, 0.8, 58,  -5,  -1, 4,  9.3, ⑩⑩, 6, 7,Ｃティアレ, 60,後藤浩, 0.7, 62,  -8,   1, 3,  7.6, ⑥⑥, 6, 9,Ｅヒシカツジェｰムス, 67,蛯名正, 0.7, 77,  -8,  15, 2,  3.8,⑫⑩⑫, 6,10,Ｃダイワプリベｰル, 85,武士沢, 0.7, 82,   5,  15, 7, 27.6, ⑨⑧
 7, 6,Ｊタマモチャｰム, 55,菊沢隆, 1.0, 56,  -7,  -1, 9, 26.0, ⑫⑫, 7,10,Ｊタイセイスパンキｰ, 53,北村宏, 0.8, 62, -12,   5, 9, 38.7, ⑦⑪, 7, 8,Ｌニヨドサンデｰ, 55,勝浦正, 0.9, 67,*  0,  -5,13,351.6,④②②, 7,14,Ｅスピｰドアタック, 84,松岡正, 0.7, 81,   5,  14, 2,  4.2, ⑦⑩
 8,16,Ａトレノロｰザ, 73,北村宏, 1.0, 54,  -2,  -6, 5,  9.3, ⑥⑤, 8,14,Ｄスズカケノミチ, 59,武士沢, 0.8, 62, -13,   6,13,238.5, ⑪⑬, 8, 4,Ｈハシルヨミテテ, 62,大庭和, 1.0, 67,  -4,   0,12,129.9,②③③, 8,13,Ｋタマモグレアｰ, 82,蛯名正, 0.8, 81,*  6,  11, 5, 10.5, ④⑤
