10年 5月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 5月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1900m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桃山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａユメミルテｰラｰ, 66,藤田伸,, 62,*  4,*  7, 1,  1.6,②②②, 1, 9,Ｄニシノメルモ, 58,浜中俊,, 61,*-12,   0, 3,  6.3, ①①, 1, 4,Ｂバクシンポイント, 71,高倉稜,, 73,*  7,   4, 4, 10.6, ①①, 1, 1,Ａサクラロミオ, 88,藤岡佑,, 86,  10,* 18, 1,  3.3,③④④
 2, 1,Ｄリリｰストライカｰ, 62,浜中俊, 0.1, 60,*  6,   1, 2,  5.1,①①①, 2,16,Ｂネヴァｰフェイド, 61,藤岡佑, 0.2, 65, -17,*  9, 1,  2.1, ⑩⑦, 2, 6,Ａエｰシンヴァｰゴウ, 75,岩田康, 0.2, 71,   3,   6, 1,  1.8, ③④, 2, 3,Ｆドリｰムトラベラｰ, 84,太宰啓, 0.1, 87,   7,* 22, 3,  6.3,⑨⑧⑧
 3,10,Ｅシルクマッドネス, 62,幸英明, 0.8, 57,   4,   2, 3,  5.7,④④④, 3,10,Ｈツヨイキモチ, 50,幸英明, 0.3, 57,*-12,  -3, 4,  8.4, ②②, 3, 3,Ｎマイネルカリバｰン, 51,藤田伸, 0.3, 70,  -5,  12, 6, 19.3, ⑨⑨, 3, 9,Ｄボクノタイヨウ, 85,和田竜, 0.3, 84,   9,  17, 7, 18.5,⑤⑦⑤
 4, 8,Ｃダイナミックソング, 63,太宰啓, 0.8, 58,   1,*  6, 4,  8.9,⑥⑧⑦, 4, 1, サクラインスパイア,---,国分恭, 0.5, 63, -19,*  9, 5, 19.1, ⑪⑫, 4,15,Ｅトｰホウシンバル, 68,浜中俊, 0.3, 70,  -1,   9, 5, 14.6, ⑧⑧, 4, 4,Ｋアコニットライアン, 81,幸英明, 0.4, 82,* 12,  11, 6, 17.6,①①①
 5, 6,Ｇメイショウラリｰ, 59,ウィリ, 1.1, 55,   4,  -1, 6, 19.8,③③③, 5,14,Ｆアンティフリｰズ, 53,酒井学, 0.7, 57, -19,   4,13, 72.4, ⑬⑪, 5,13,Ｃラブキｰセキ, 70,酒井学, 0.4, 68,   2,   4, 7, 21.4, ⑥⑦, 5,10,Ｂピｰスキｰパｰ, 87,岩田康, 0.5, 83,  10,  12, 2,  3.3,④③③
 6, 4,Ｈシェルバレッタ, 53,小牧太, 1.4, 52,   2,   0, 7, 77.2,⑨⑦⑥, 6,15,Ａマルカシャルダン, 62,石橋守, 0.8, 59, -22,*  9, 2,  3.9, ⑮⑭, 6,11,Ｊダンツミラション, 60,国分恭, 0.5, 68,   0,   5,10, 72.5, ⑦⑤, 6, 7,Ｅラストアロｰ, 85,浜中俊, 0.9, 79,* 11,   8,11, 36.2,②②②
 7, 2,Ｊメイショウワダツミ, 42,田嶋翔, 1.6, 53,   2,  -2, 9,131.3,⑤⑥⑧, 7,12,Ｅクレバｰオペラ, 55,武幸四, 0.8, 53,*-13,  -8, 7, 29.3, ③③, 7, 1,Ｄダノンカスガ, 68,幸英明, 0.5, 67, -14,* 19, 3,  5.9, ⑭⑬, 7, 8,Ｈカネスラファｰル, 83,ウィリ, 1.2, 77,   9,   8, 9, 30.0,⑥⑥⑥
 8,11,Ｂゼロｰソ, 65,国分恭, 1.7, 51,   2,  -6, 5, 18.4,⑦⑤⑤, 8, 4,Ｃプリンセスメイク, 59,田嶋翔, 1.0, 49,*-13, -10, 8, 41.6, ⑤⑤, 8,12,Ｉケイエスケイト, 64,太宰啓, 0.6, 66,  -6,  10,12, 97.1, ⑩⑩, 8, 6,Ｉパｰフェクトラン, 83,渡辺薫, 1.4, 78,   6,  14,10, 33.4,⑩⑫⑫
 9, 3,Ｋヴァｰジンフライト, 41,高倉稜, 1.7, 52,  -2,   3,10,140.6,⑩⑩⑩, 9, 7,Ｌポリッシュアップ, 43,ウィリ, 1.1, 50, -16,  -7,12, 66.6, ⑦⑥, 9, 9,Ｈフライトハｰン, 64,飯田祐, 0.6, 66,  -9,  12, 8, 31.8, ⑪⑪, 9,11,Ｃグランプリサクセス, 86,小牧太, 1.5, 76,   8,  11, 8, 23.2,⑪⑪⑪
10, 7,Ｉラブグロｰリアス, 48,酒井学, 2.0, 52,   0,  -2, 8,115.0,⑧⑨⑨,10,17, ダイシンマジック,---,岩田康, 1.3, 53, -23,   4, 6, 24.6, ⑭⑮,10,14,Ｌワシリｰサ, 54,ウィリ, 0.6, 66, -11,* 15,11, 92.6, ⑫⑫,10, 2,Ｇフォｰティファイド, 84,武幸四, 1.5, 81,   7,  10, 5, 10.7,⑦⑨⑩
,,,,,,,,,,,,11, 6,Ｍミスセイラン, 40,上野翔, 1.5, 46, -18,  -9,18,507.7, ⑨⑩,11, 8,Ｆオレンジティアラ, 68,小牧太, 0.8, 63,*  5,  -3, 2,  5.8, ④③,11,12,Ｌアグネスネクタル, 81,国分恭, 1.6, 77,   6,  11,12,163.1,⑫⑩⑨
,,,,,,,,,,,,12, 2, テイエムアミｰゴ,---,佐久間, 1.6, 41,*-14, -19,15,150.7, ④④,12,10,Ｇショウナンナックル, 65,和田竜, 1.5, 55,   2, -10, 9, 64.6, ⑤⑥,12, 5,Ｊマイエンブレム, 82,藤田伸, 2.8, 66,  10,  -7, 4,  6.7,⑧⑤⑦
,,,,,,,,,,,,13, 8, トップココチャン,---,和田竜, 1.6, 54, -27,*  9,14,137.6, ⑱⑰,13, 7,Ｋデンコウワン, 54,武幸四, 1.8, 51, -15,   4,13,176.0, ⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,14,18,Ｊアグレッシブロｰズ, 44,太宰啓, 1.6, 43, -16, -13,11, 65.2, ⑧⑧,14, 5,Ｍコンゴウプリンセス, 53,小坂忠, 2.2, 45,*  6, -24,15,507.3, ②②,,,,,,,,,,,,
,,,,,,,,,,,,15, 3,Ｉマｰベラスマドンナ, 45,渡辺薫, 1.6, 45, -15, -14,16,458.0, ⑥⑨,15, 2, オットヒル,---,藤岡佑, 3.0, 35, -27,  -1,14,397.5, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,16,11,Ｇエアモンラッシェ, 51,藤田伸, 1.6, 46, -19,  -7, 9, 52.3, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 5, ドレスインブラック,---,高倉稜, 3.4, 28, -28, -18,10, 58.9, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,13,Ｋトワオンワｰド, 43,小林徹, 3.4, 26, -25, -23,17,490.0, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,
単勝:160円 複勝:05=110円 01=140円 10=130円 枠連:580円,,,,,,,,,,,,単勝:630円 複勝:09=180円 16=130円 10=200円 枠連:370円,,,,,,,,,,,,"単勝:1,060円 複勝:04=220円 06=110円 03=350円 枠連:780円",,,,,,,,,,,,"単勝:330円 複勝:01=170円 03=200円 09=370円 枠連:1,360円",,,,,,,,,,,
馬連:440円 ワイド:01-05=200円 05-10=170円 01-10=350円,,,,,,,,,,,,馬連:780円 ワイド:09-16=350円 09-10=640円 10-16=440円,,,,,,,,,,,,"馬連:730円 ワイド:04-06=300円 03-04=1,850円 03-06=620円",,,,,,,,,,,,"馬連:1,210円 ワイド:01-03=530円 01-09=1,020円 03-09=1,880円",,,,,,,,,,,
"馬単:680円 3連複:530円 3連単:1,770円",,,,,,,,,,,,"馬単:1,760円 3連複:1,460円 3連単:9,360円",,,,,,,,,,,,"馬単:2,590円 3連複:3,090円 3連単:25,020円",,,,,,,,,,,,"馬単:2,280円 3連複:9,200円 3連単:37,760円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,あやめ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8, マルカバッケン,---,武幸四,, 76,* -3,* 11, 5,  9.1, ①①, 1, 7,Ｊシャトｰコジｰン, 48,岩田康,, 65,  -6,*  7, 7, 20.0, ⑧⑦, 1,16,Ｊトｰセンピングス, 67,上野翔,, 77,*  0,* 14, 6, 20.9, ②②, 1, 6,Ｄディオメデス, 70,藤田伸,, 75,  -1,* 10, 3,  6.1, ⑧⑧
 2, 2,Ｄホッコｰイェｰガｰ, 60,国分恭, 0.9, 65,  -5,   6, 3,  7.6, ⑥④, 2,16,Ｉライブリシｰラ, 53,小坂忠, 0.2, 62,  -2,   1,15,536.8, ④④, 2, 4,Ｇブラックルｰラｰ, 70,和田竜, 0.4, 75,  -1,  13, 7, 42.8, ④③, 2, 1,Ｈシャイニｰブレｰヴ, 58,藤岡佑, 0.2, 76,  -3,* 15, 7, 52.8, ⑨⑨
 3, 6,Ａシゲルシゲザネ, 65,幸英明, 0.9, 65,  -5,   6, 2,  3.5, ⑦⑦, 3,10,Ｃシゲルソウウン, 59,田嶋翔, 0.5, 60,*  0,  -3, 4, 10.6, ②②, 3, 2,Ａクレスコワンダｰ, 83,浜中俊, 0.5, 75,  -4,* 16, 2,  2.6, ⑧⑥, 3, 3,Ｅヒットメｰカｰ, 69,国分恭, 0.3, 74,  -1,   6, 5,  7.8, ⑦⑦
 4,15,Ｈキセキ, 56,岩田康, 1.3, 62,  -8,   5, 4,  7.9, ⑩⑩, 4, 4,Ｇボｰンストｰン, 56,浜中俊, 0.6, 60,  -9,*  5,11,140.4, ⑫⑫, 4,12,Ｂフェイズシフト, 77,太宰啓, 0.9, 72,  -4,  12, 1,  2.6, ⑨⑦, 4, 7,Ｇバトルイグアス, 60,浜中俊, 0.5, 69,   2,  -1, 9, 69.8, ⑥⑥
 5, 1,Ｆタイセイグリッタｰ, 57,小牧太, 1.5, 59, -15,*  9, 7, 18.9, ⑫⑫, 5,12,Ｌエｰシンポルックス, 45,小牧太, 0.7, 59, -12,* 10, 8, 38.5, ⑭⑭, 5,11,Ｃマジックアロｰ, 76,幸英明, 1.1, 70,  -5,  13, 4,  9.7, ⑫⑫, 5, 8,Ｃウインブシドウ, 71,和田竜, 0.6, 66,   3,  -7, 4,  6.9, ③③
 6, 5,Ｅウインラスタｰ, 58,小坂忠, 1.8, 57,* -3,  -4, 6, 17.7, ②②, 6,11,Ｂディｰプハント, 59,藤田伸, 0.8, 58,  -5,  -1, 1,  1.8, ⑦⑥, 6, 5,Ｈベストルｰト, 69,小牧太, 1.3, 68,  -6,  11,11,169.2, ⑩⑨, 6, 2,Ｂサクラテンペスト, 72,小牧太, 0.8, 63,*  4, -13, 2,  3.0, ①①
 7, 9,Ｇスプリングオスロ, 57,高倉稜, 2.0, 55,  -7,  -2,11,106.8, ⑨⑨, 7, 8,Ｆオミヤゲ, 57,高倉稜, 1.0, 56,  -4,  -3, 5, 11.7, ⑤⑤, 7, 3,Ｆトｰホウリッチ, 70,高倉稜, 1.4, 68, -11,* 16, 5, 14.8, ⑮⑮, 7, 4,Ａヴィクトリｰマｰチ, 72,ウィリ, 0.9, 63,*  5, -13, 1,  2.9, ②②
 8,11,Ｍビコｰコルサコフ, 31,佐久間, 2.0, 55, -10,   0,16,665.1, ⑪⑪, 8, 6,Ｈシゲルノブツナ, 54,国分恭, 1.0, 58,  -6,   0,12,296.2, ⑪⑩, 8, 1,Ｌリザウンドエコウ, 61,国分恭, 1.4, 67,  -4,   8,12,175.2, ⑦⑧, 8, 5,Ｉオｰスミカイエン, 47,幸英明, 1.2, 60,   3, -15, 8, 53.9, ④④
 9, 7,Ｊヤマカツテンリュウ, 47,酒井学, 2.2, 55,* -4,  -8, 9, 31.2, ③③, 9,15,Ａヘッドザポｰル, 63,和田竜, 1.1, 55,  -2,  -7, 3,  6.2, ③③, 9, 6,Ｋオｰルブランニュｰ, 62,藤岡佑, 2.0, 63,  -6,   5,14,236.1, ⑪⑩, 9, 9,Ｆヤマカツハクリュウ, 69,岩田康, 1.2, 60,   2, -13, 6, 12.7, ⑤⑤
10,14,Ｃマイネルレガｰロ, 63,和田竜, 2.5, 51,* -4, -10, 1,  2.7, ⑤⑥,10, 2,Ｄメイショウアルグン, 59,飯田祐, 1.2, 54,*  0, -11, 2,  5.2, ①①,10, 7,Ｅリビングストン, 73,ウィリ, 2.0, 62,*  0,  -2, 3,  5.9, ③④,,,,,,,,,,,,
11, 4,Ｉキセキノウタ, 53,ウィリ, 2.8, 48,  -7,  -9,10, 66.3, ⑧⑧,11, 9,Ｋワンダｰストｰリリ, 46,渡辺薫, 1.3, 57,  -6,  -1, 9,108.5, ⑩⑪,11,13,Ｉトウカイインパクト, 67,石橋守, 2.2, 63,  -7,   4, 9, 63.4, ⑬⑭,,,,,,,,,,,,
12,10,Ｋシゲルネネ, 43,浜中俊, 2.8, 50, -13,  -2,13,263.2, ⑬⑬,12,13,Ｅシュンセイ, 59,幸英明, 1.3, 54,  -5,  -5, 6, 16.2, ⑥⑧,12,15,Ｐデュｰクストロング, 31,高橋亮, 2.4, 60,  -8,   5,15,296.5, ⑭⑬,,,,,,,,,,,,
13,13,Ｂメイショウヴァルナ, 65,太宰啓, 3.0, 48,* -3, -14, 8, 20.1, ④⑤,13, 3,Ｍビップレジェンド, 41,ウィリ, 1.5, 54,  -6,  -4,10,120.0, ⑨⑨,13, 9,Ｍラヴソｰスウィｰト, 57,小林徹, 2.6, 58,  -2,  -5, 8, 52.6, ⑤⑤,,,,,,,,,,,,
14, 3,Ｌウィズインチｰフ, 37,高野容, 3.4, 44, -23,   2,12,186.3, ⑭⑭,14, 5,Ｐウォｰタｰセオドア, 29,佐久間, 2.1, 49, -14,   0,14,404.2, ⑯⑯,14,14,Ｎアｰスファイヤｰ, 54,渡辺薫, 3.2, 54,  -3,  -8,13,233.9, ⑥⑪,,,,,,,,,,,,
15,16,Ｎマイアイルｰキｰ, 23,飯田祐, 5.9, 23, -34,  -9,15,470.4, ⑮⑮,15, 1,Ｏメイショウマハロ, 35,石橋守, 2.2, 50, -14,  -2,13,304.6, ⑮⑬,15,10,Ｏグリｰンストｰン, 36,武幸四, 3.7, 51,*  3, -19,10,112.0, ①①,,,,,,,,,,,,
16,12, チョウマンボ,---,渡辺薫,12.7,-41, -63, -43,14,397.8, ⑯⑯,16,14,Ｎユウタｰエｰル, 38,岩崎祐, 3.4, 39, -10, -16,16,633.8, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,
"単勝:910円 複勝:08=280円 02=210円 06=150円 枠連:1,880円",,,,,,,,,,,,"単勝:2,000円 複勝:07=500円 16=7,690円 10=300円 枠連:2,330円",,,,,,,,,,,,"単勝:2,090円 複勝:16=480円 04=610円 02=150円 枠連:8,440円",,,,,,,,,,,,"単勝:610円 複勝:06=210円 01=1,060円 03=270円 枠連:10,870円",,,,,,,,,,,
"馬連:3,530円 ワイド:02-08=1,180円 06-08=720円 02-06=400円",,,,,,,,,,,,"馬連:191,340円 ワイド:07-16=59,790円 07-10=2,400円 10-16=30,690円",,,,,,,,,,,,"馬連:17,610円 ワイド:04-16=3,050円 02-16=1,190円 02-04=1,350円",,,,,,,,,,,,"馬連:10,630円 ワイド:01-06=3,020円 03-06=740円 01-03=2,480円",,,,,,,,,,,
"馬単:7,060円 3連複:3,590円 3連単:28,360円",,,,,,,,,,,,"馬単:254,780円 3連複:499,030円 3連単:4,734,010円",,,,,,,,,,,,"馬単:39,630円 3連複:18,410円 3連単:143,820円",,,,,,,,,,,,"馬単:18,410円 3連複:20,900円 3連単:138,650円",,,,,,,,,,,
■ 3R  芝2910m 4歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,紫野特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12, ラッキｰリップス,,北沢伸,,,,, 1,  1.6,③③③, 1,12,Ｇアラビアｰタ, 48,石橋守,, 57,*-15,   2, 4,  9.1, ③③, 1,11,Ｂナリタトルネｰド, 80,幸英明,, 81,* 20,  -6, 1,  2.3, ①①, 1, 3,Ｆマイネルプロｰトス, 69,ウィリ,, 71,   0,  12, 7, 13.9,③④④
