10年 2月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅオメガブルｰライン, 55,三浦皇,, 61,  -7,*  6, 3,  4.5, ③④, 1, 8, ブルｰポラリス,,大庭和,,,,, 3,  5.2,①①①, 1,10,Ｂバトｰドｰル, 73,ルメｰ,, 73,  -3,* 15, 1,  1.7, ⑦⑦, 1, 8,Ｄコロンバスサｰクル, 82,田中勝,, 86,   4,* 21, 2,  4.5,⑨⑧⑧
 2,14,Ｂピｰコックブルｰ, 60,ルメｰ, 0.0, 60,* -6,*  3, 1,  3.6, ②②, 2, 2, コｰド,,蓑島靖,203.3,,,, 7, 20.5,⑤②②, 2, 7,Ｈギャザｰロｰジズ, 66,柴山雄, 0.1, 72,  -3,* 16, 7, 23.1, ⑨⑧, 2,12,Ｃリバｰスモｰド, 84,木幡初, 0.0, 85,   4,* 21, 9, 56.9,⑩⑨⑨
 3,11,Ｈレッドスピネル, 51,木幡初, 0.3, 57,  -9,*  5, 5,  9.2, ⑦⑤, 3, 7, カシマレジェンド,,高野和,203.7,,,, 4,  7.6,⑨④④, 3,11,Ｄシルクタｰンベリｰ, 71,後藤浩, 0.4, 68,* -1,   9, 2,  5.8, ⑤③, 3, 3,Ｂスピリタス, 84,ルメｰ, 0.1, 86,   6,  19, 1,  2.0,⑦⑦⑥
 4,12,Ｄウィッシュアゲン, 56,蛯名正, 0.5, 56,* -6,   0, 4,  5.4, ④③, 4,10, アツキオモイ,,平沢健,206.6,,,, 9,103.8,⑦⑥⑥, 4,12,Ｌバルデッツァ, 59,柴田善, 0.7, 67,*  1,   4, 9, 65.3, ①①, 4,10,Ｇゴｰルディｰロック, 79,勝浦正, 0.3, 85,   2,* 21,11, 86.5,⑧⑪⑪
 5, 8,Ｇオンワｰドチアフル, 52,郷原洋, 0.7, 54,* -6,  -3,10, 47.6, ①①, 5, 1, ホッコｰテイオｰ,,山本康,207.3,,,,11,111.6,②③③, 5,13,Ｇサトノサンダｰ, 66,北村宏, 0.7, 65,* -1,   6, 5, 12.1, ②②, 5,11,Ｅアドバンスヘイロｰ, 81,柴山雄, 0.3, 82,*  6,  11, 4,  9.9,④④③
 6,10,Ｆチェリｰブランデｰ, 53,田中勝, 1.3, 50, -10,  -2, 8, 24.2, ⑥⑧, 6,11, ヨイチセレブ,,柴田大,207.3,,,,12,135.0,⑪⑩⑦, 6, 9,Ｅロジシンボリ, 69,三浦皇, 1.2, 65,  -1,   4, 4,  9.4, ④⑤, 6, 2,Ｉショウナンライジン, 77,吉田豊, 0.4, 82,   2,  18, 7, 33.4,⑪⑩⑩
 7,16,Ｉポイントアフタｰ, 50,吉田隼, 1.5, 48,  -9,  -6, 7, 23.5, ⑧⑥, 7, 4, アキクサクイン,,石神深,207.9,,,, 5, 13.3,⑧⑧⑧, 7, 5,Ｃセイウンシェンロン, 72,勝浦正, 1.2, 64,  -1,   4, 6, 13.3, ③④, 7, 6,Ｆケイアイドウソジン, 80,蛯名正, 0.4, 80,*  8,   8, 3,  5.5,①②②
 8, 6,Ａエアモｰジョｰ, 65,柴田善, 2.0, 46, -12,  -4, 2,  4.0, ⑫⑪, 8,13, ブルｰフォｰチュン,,大江原,208.9,,,, 8, 42.3,⑥⑤⑤, 8, 8,Ｍカネサスタｰマイン, 52,伊藤工, 1.7, 60,  -4,   4,10, 88.4, ⑧⑨, 8, 1,Ａツバサドリｰム, 87,後藤浩, 0.5, 80,   4,  14, 5, 11.5,⑥⑥⑦
