10年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,斑鳩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,16,Ｌグッドボクスタｰ, 43,川島信, 1.5, 43,  -8,  -5,15,122.9, ⑪⑪,,,,,,,,,,,,,12, 4,Ｌグランプリチェリｰ, 68,藤岡佑, 1.7, 57,  -9,   2,10, 43.0, ⑫⑨,12, 5,Ｐマンテンハット, 67,佐久間, 1.2, 75,  -7,  13,15,226.9, ⑯⑯
13, 4,Ｋライクキャロット, 47,高橋亮, 1.6, 44, -10,  -2,16,142.5, ⑬⑫,,,,,,,,,,,,,13,11,Ｎタケデンヴィｰナス, 63,津村明, 2.0, 54,  -6,  -3,14,403.6, ⑧⑦,13,14,Ｊショウナンカッサイ, 77,幸英明, 1.4, 66,*  5,  -8,10, 47.2, ③④
14, 3,Ｊミスズファンシｰ, 47,角田晃, 2.2, 40, -16,  -2, 9, 48.7, ⑯⑯,,,,,,,,,,,,,14,13,Ｍワンダｰルシデス, 67,野元昭, 2.3, 52,  -5,  -9,15,596.9, ⑤⑤,14,12,Ｎミレニアムカｰスル, 70,池添謙, 1.6, 66,  -1,  -2,11, 57.4, ⑬⑬
15,14,Ｆカノヤキントキ, 52,安部幸, 2.7, 34,  -8, -15, 5, 12.6, ⑩⑬,,,,,,,,,,,,,15, 1,Ｄピュアチャプレット, 74,川田将, 8.2,  5, -14, -49, 2,  3.2, ⑮⑮,15,15,Ｏニホンピロコナユキ, 68,熊沢重, 1.6, 64,*  5, -11,12,110.8, ④⑤
16,12,Ｏスズカパルサｰ, 24,浜中俊, 3.2, 30, -11, -16,14,120.3, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｌルルパンブルｰ, 74,石橋守, 1.8, 62,   3, -10,13,153.8, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,
"単勝:290円 複勝:15=120円 07=270円 10=210円 枠連:1,720円",,,,,,,,,,,,単勝:150円 複勝:08=110円 02=140円 01=420円 枠連:390円,,,,,,,,,,,,"単勝:1,250円 複勝:12=370円 14=1,060円 08=220円 枠連:8,170円",,,,,,,,,,,,"単勝:1,130円 複勝:03=280円 10=130円 16=230円 枠連:1,060円",,,,,,,,,,,
"馬連:1,600円 ワイド:07-15=500円 10-15=440円 07-10=1,140円",,,,,,,,,,,,馬連:370円 ワイド:02-08=190円 01-08=640円 01-02=700円,,,,,,,,,,,,"馬連:20,150円 ワイド:12-14=5,160円 08-12=1,310円 08-14=2,740円",,,,,,,,,,,,"馬連:1,420円 ワイド:03-10=540円 03-16=1,390円 10-16=570円",,,,,,,,,,,
"馬単:2,580円 3連複:2,850円 3連単:17,070円",,,,,,,,,,,,"馬単:540円 3連複:1,920円 3連単:4,330円",,,,,,,,,,,,"馬単:46,490円 3連複:48,860円 3連単:387,310円",,,,,,,,,,,,"馬単:3,720円 3連複:4,080円 3連単:28,030円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1900m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■11R  ダ1400m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,すばるｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂヒラボクキング, 65,藤岡佑,, 69,   4,*  7, 1,  1.7,④③③, 1,12,Ｄテイエムキングダム, 58,和田竜,, 63,* -5,* -2, 2,  4.8, ③②, 1,14,Ｏヤマイチタイキ, 65,田嶋翔,, 74,* 13,  -7,12, 55.5,③③③, 1, 4,Ｆアンクルリｰサム, 88,渡辺薫,, 87,* 13,   6, 8, 20.5, ①①
 2, 7,Ａニホンピロアワｰズ, 67,幸英明, 0.3, 66,*  7,  -1, 2,  7.5,①①①, 2,13,Ｃジョｰヴァリアント, 59,安藤勝, 0.1, 65,  -6,*  0, 1,  3.0, ⑤③, 2, 5,Ｍワキノブライアン, 68,和田竜, 0.6, 72,   7,*  1,14, 82.3,⑭⑭⑬, 2, 9,Ｄセレスハント, 91,ルメｰ, 0.2, 84,  11,   8, 3,  4.7, ④③
