10年 7月31日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月31日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:-2),,,,,,,,,,,
"単勝:1,990円 複勝:03=560円 05=110円 07=710円 枠連:0円",,,,,,,,,,,,"単勝:2,370円 複勝:08=460円 10=260円 01=130円 枠連:2,960円",,,,,,,,,,,,単勝:270円 複勝:09=140円 11=190円 03=200円 枠連:510円,,,,,,,,,,,,単勝:270円 複勝:08=140円 03=230円 02=200円 枠連:0円,,,,,,,,,,,
"馬連:2,190円 ワイド:03-05=840円 03-07=2,610円 05-07=1,010円",,,,,,,,,,,,"馬連:9,840円 ワイド:08-10=2,290円 01-08=1,040円 01-10=440円",,,,,,,,,,,,馬連:680円 ワイド:09-11=320円 03-09=450円 03-11=750円,,,,,,,,,,,,"馬連:1,040円 ワイド:03-08=380円 02-08=350円 02-03=630円",,,,,,,,,,,
"馬単:6,440円 3連複:8,340円 3連単:48,860円",,,,,,,,,,,,"馬単:24,410円 3連複:6,540円 3連単:76,430円",,,,,,,,,,,,"馬単:1,330円 3連複:2,230円 3連単:8,050円",,,,,,,,,,,,"馬単:1,480円 3連複:1,940円 3連単:7,730円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,北洋特別,,,,,,,,,,,,七重浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄミアコルサ, 62,勝浦正,, 57,   2,*  7, 8, 28.5,⑩⑨⑦, 1,12,Ｇセレスマジェスティ, 55,柴山雄,, 67,   3,   6, 8, 18.4, ⑧⑧, 1, 8,Ｃタッチミｰノット, 73,四位洋,, 87,  -2,* 26, 1,  2.1,④④③, 1, 9,Ｉアンシェルブルｰ, 72,横山典,, 81,  -1,* 14, 4,  8.8, ⑤⑥
 2, 3,Ａオｰプンシャッセ, 65,武英智, 0.1, 58,   5,   2, 5, 11.9,⑫⑦⑥, 2,10,Ｐフレデフォｰト, 40,古川吉, 0.2, 63,  -3,* 10, 7, 17.8, ⑫⑩, 2, 1,Ｅアドマイヤロイヤル, 72,安藤勝, 0.0, 89,  -2,* 27, 4,  7.2,③③④, 2,11,Ｆサトノディライト, 75,ホワイ, 0.3, 78,   0,   9, 1,  2.6, ④④
 3, 8,Ｊネオスペチアｰレ, 55,秋山真, 0.2, 56,*  6,  -1, 9, 28.9,③③③, 3, 4,Ｅメイショウオリビア, 59,吉田隼, 0.4, 61,   2,   3, 5,  9.6, ⑨⑨, 3, 3,Ｄマルラニビスティｰ, 73,ホワイ, 0.3, 81,*  1,  16, 2,  4.6,②②①, 3, 1,Ｄランブルジャンヌ, 76,藤岡佑, 0.3, 78,*  6,   4, 6, 11.6, ①①
 4,13,Ｇハラップクｰ, 58,大野拓, 0.3, 53,   5,   0, 6, 15.8,⑦⑤⑤, 4,13,Ａキャニオンビュｰ, 65,横山典, 0.6, 60,   7,  -5, 3,  5.1, ⑥⑤, 4, 2,Ｂマスタｰウィンド, 74,丸田恭, 0.8, 78,  -5,  20, 5, 10.3,⑥⑥⑥, 4, 2,Ａシャドウストライプ, 81,丸山元, 0.4, 77,  -9,* 16, 9, 18.2, ⑫⑫
 5,12,Ｌフレシｰタ, 48,上村洋, 0.4, 58,   3,   3,10, 63.5,⑨⑩⑨, 5,11,Ｂドリｰムヒｰロｰ, 64,池添謙, 0.6, 64,* 13,  -9, 1,  3.1, ③③, 5, 6,Ｆラｰクキャロル, 71,勝浦正, 1.0, 78,  -4,  18, 3,  5.0,⑤⑦⑦, 5, 4,Ｃモモフク, 76,勝浦正, 0.6, 75, -10,* 15,10, 33.9, ⑬⑬
