10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1,Ｈマオイモン, 40,国分優, 3.6, 31, -18, -17,11,161.9, ⑨⑩,12,11, リワｰドザイオン,---,池添謙, 3.6, 23, -18, -23, 6, 24.0, ⑫⑫,,,,,,,,,,,,,12,10,Ｎメトロシュタイン, 76,岡部誠, 1.3, 79,  12,   2,13,145.0,⑪⑬⑭
13, 2,Ｆコウユｰネガイ, 43,藤岡佑, 6.6,  6, -15, -46,10,155.3, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｄニュｰビギニング, 84,藤岡佑, 1.6, 76,  12,  -2,11, 60.1,⑬⑭⑬
14, 8,Ｎアイファｰマｰルシ,-36,酒井学, 6.7,  7, -17, -43,12,243.9, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｃミッキｰペトラ, 84,武豊  , 1.7, 74,  14, -10, 2,  5.2,⑫⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｏマサライト, 74,古川吉, 2.1, 72,* 16, -22,17,324.0,③③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｐアヴェンティｰノ, 72,藤田伸, 2.7, 68,  12, -18,12,126.2,⑯⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｑナリタキングパワｰ, 69,酒井学, 3.3, 63,   8, -15,14,209.4,⑰⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:3),,,,,,,,,,,
"単勝:2,300円 複勝:14=340円 06=100円 03=130円 枠連:1,310円",,,,,,,,,,,,"単勝:390円 複勝:02=250円 07=420円 12=1,670円 枠連:2,110円",,,,,,,,,,,,単勝:530円 複勝:11=150円 10=110円 01=130円 枠連:670円,,,,,,,,,,,,単勝:230円 複勝:09=130円 03=180円 12=720円 枠連:680円,,,,,,,,,,,
"馬連:1,480円 ワイド:06-14=410円 03-14=860円 03-06=130円",,,,,,,,,,,,"馬連:2,590円 ワイド:02-07=620円 02-12=2,560円 07-12=3,960円",,,,,,,,,,,,馬連:640円 ワイド:10-11=250円 01-11=250円 01-10=170円,,,,,,,,,,,,"馬連:680円 ワイド:03-09=330円 09-12=1,600円 03-12=3,160円",,,,,,,,,,,
