10年 4月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 4月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1400m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺｰﾗﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｈロスグラシアレス, 40,荻野琢,, 56,  -5,*  3,10, 38.8, ⑧⑧, 1, 4, ライブリシュロム,,小坂忠,,,,, 3,  5.2,④②②, 1, 1,Ｇメイショウモネ, 70,古川吉,, 77,   3,* 17, 8, 34.0, ⑪⑦, 1, 7,Ｇナムラタイタン, 88,熊沢重,, 93,   7,* 22, 1,  2.0, ⑦⑤
 2, 7,Ｌマヤラブソング, 36,酒井学, 0.0, 59,  -2,*  0, 8, 24.8, ⑥⑥, 2, 1, スプリングカエサル,,白浜雄,200.4,,,, 1,  1.6,①①①, 2,12,Ａフェイズシフト, 79,太宰啓, 0.3, 74,   5,  11, 1,  2.9, ⑧④, 2,15,Ｃワンダｰポデリオ, 90,福永祐, 0.6, 89,   3,* 23, 6, 14.8, ⑬⑪
 3,13,Ｂトロワリヴィエｰル, 59,武幸四, 0.1, 59,*  0,  -2, 1,  3.2, ③③, 3, 6, マッハジュウクン,,西谷誠,200.8,,,, 4, 13.1,②③③, 3, 6,Ｄブラッシュアップ, 76,浜中俊, 0.5, 72,   3,* 12, 3,  4.6, ⑨⑩, 3, 5,Ｄセイクリムズン, 89,岩田康, 0.6, 88,   5,  19, 2,  5.5, ⑧⑥
 4,15,Ｉティンクルチャｰミ, 38,岩田康, 0.2, 57,*  1,  -4, 6, 18.1, ②①, 4, 8, ファンドリリｰダｰ,,出津孝,202.8,,,, 7, 63.0,⑨⑦⑦, 4, 3,Ｃザドライブ, 76,和田竜, 0.6, 71,   4,  11, 2,  3.5, ⑤⑨, 4, 9,Ｋナムラハンタｰ, 86,藤岡佑, 0.8, 86,   3,  20, 7, 15.6, ⑫⑬
 5, 6,Ｄサクラシュプｰル, 53,福永祐, 0.3, 55,  -1,  -3, 3,  4.0, ⑤④, 5,13, ワイズプロロｰグ,,北沢伸,203.0,,,, 5, 15.8,⑦⑤⑤, 5,14,Ｂマジックアロｰ, 77,幸英明, 0.6, 72,*  7,   7, 5,  9.5, ④③, 5,13,Ｅビクトリｰテツニｰ, 89,小牧太, 0.9, 86,   1,* 23, 5, 12.2, ⑮⑮
 6,14,Ａラブコマドリｰ, 62,渡辺薫, 0.9, 48,  -2,  -8, 2,  3.5, ⑦⑦, 6, 5, メイショウデイジｰ,,黒岩悠,203.5,,,,12,164.1,⑭⑬⑩, 6, 9,Ｍオｰシャンハンタｰ, 62,上村洋, 1.2, 70,   0,  11,13,185.8, ⑭⑭, 6, 3,Ｂセレスハント, 90,四位洋, 1.1, 83,* 11,   9, 8, 19.9, ③②
 7,16,Ｃビュｰティスｰザン, 55,松山弘, 0.9, 48,  -1,  -9, 4, 10.6, ④⑤, 7,10, カシノダンク,,高野容,203.8,,,,13,179.5,⑪⑪⑨, 7,10,Ｅノボレインボｰ, 72,福永祐, 1.3, 66,   4,   4, 4,  9.0, ⑦⑥, 7, 4,Ｈセイカアレグロ, 87,浜中俊, 1.1, 83,   9,  10, 9, 44.2, ⑤③
 8, 3,Ｆアビリティック, 46,池添謙, 1.5, 41,  -7,  -8, 7, 19.0, ⑨⑨, 8, 9, ハナゴロモ,,林満明,204.1,,,,14,197.3,⑩⑩⑫, 8, 4,Ｈエｰティｰショパン, 69,熊沢重, 1.5, 65,   5,   1, 9, 34.9, ⑥⑤, 8,12,Ｉタガノエクリプス, 87,池添謙, 1.2, 83,   1,  19,12, 82.9, ⑭⑭
