10年 3月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 3月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,あざみ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂリュンヌ, 58,渡辺薫,, 61,*  5,  -7, 2,  3.3, ①①, 1,10,Ｇトｰセンアドミラル, 58,上村洋,, 74,*  7,*  4, 5,  8.2,②②②, 1, 1,Ｈヴンダｰゾンネ, 64,中舘英,, 83,* 11,*  0, 2,  5.6, ①①, 1,13,Ａエｰシンダックマン, 70,中舘英,, 90,* 16,*  4, 1,  2.5, ①①
 2, 4,Ａケイアイドリｰム, 58,田辺裕, 0.8, 50, -11,* -4, 1,  2.9, ⑥⑥, 2,14,Ｃフェアリｰレイ, 60,藤岡康, 0.3, 69,*  6,   3, 6, 12.1,③③③, 2,15,Ｄブルｰホリゾン, 68,鮫島良, 0.5, 70,  -3,*  7, 3,  8.0, ⑭⑫, 2,14,Ｊレオパステル, 62,上村洋, 0.7, 81,* 13,  -1, 8, 20.7, ⑤⑤
 3,15,Ｌブライティアモア, 40,中舘英, 0.9, 51,*  2, -13, 5, 16.4, ③②, 3,13,Ｆサベラｰジュ, 59,西村太, 0.8, 65,*  7,  -6, 4,  8.1,①①①, 3,16,Ｏヴァリアントレディ, 57,田中博, 0.7, 70,   2,*  0,13, 65.7, ⑩⑨, 3, 5,Ｌマンゴプディング, 60,柴原央, 0.9, 77,* 13,  -3, 2,  6.0, ④④
 4, 8,Ｅアポロプレシャス, 47,丹内祐, 0.9, 48, -14,* -3,10, 29.5, ⑩⑧, 4, 2,Ｄテルミｰホワイ, 59,梶晃啓, 0.9, 65,   5,  -2, 7, 14.2,④④④, 4, 3,Ｋメイショウヨリトモ, 63,長谷川, 1.0, 68,*  9, -10, 8, 26.6, ③③, 4, 9,Ｅジョディｰズライン, 66,鮫島良, 0.9, 71,  -2,* 10, 3,  6.1, ⑰⑭
 5,11,Ｃパシャ, 48,黛弘人, 1.1, 49, -10,  -6,16,120.5, ⑦⑦, 5,17,Ａロｰドホｰリｰ, 68,小野寺, 0.9, 68,  -1,* 12, 3,  7.7,⑱⑯⑬, 5,14,Ｉシルクマタドｰル, 64,田辺裕, 1.1, 63,   1,  -4,12, 50.9, ⑪⑭, 5,18,Ｇアｰリｰデイズ, 65,秋山真, 1.0, 73,   9,  -1, 4, 11.7, ⑧⑦
 6,16,Ｈコウエイマドンナ, 44,西田雄, 1.3, 46,  -1, -15, 7, 20.9, ⑤⑤, 6, 6,Ｂヤマニンエルブ, 63,鮫島良, 1.0, 66,   2,   3, 2,  4.8,⑫⑩⑦, 6,17,Ｃダブルフレｰバｰ, 72,秋山真, 1.2, 62,  -2,  -3, 4,  8.2, ⑬⑪, 6,15,Ｉクロワラモｰ, 62,小林徹, 1.5, 64,   1,   0,12, 50.6, ⑭⑰
 7,10,Ｄプレザンサプライズ, 47,上村洋, 1.3, 47,  -3, -14, 6, 17.9, ④④, 7,16,Ｍバンダムロｰレル, 47,古川吉, 1.4, 66,   0,*  6,17,212.7,⑯⑰⑪, 7,10,Ｑアドマイヤランサム, 53,上村洋, 1.3, 62,  -6,*  2,15,128.1, ⑱⑯, 7,12,Ｈトレモロ, 64,丸田恭, 1.5, 64,   2,  -1,10, 24.9, ⑬⑫
 8, 6,Ｆナイト, 47,吉田稔, 1.8, 38, -18,  -9, 8, 21.4, ⑪⑪, 8, 8,Ｈウインベルカント, 57,吉田稔, 1.9, 56,   2,  -8, 8, 14.7,⑪⑪⑨, 8, 9,Ａキングオブザベスト, 73,村田一, 1.3, 63,   5, -10, 6, 10.7, ⑥⑦, 8, 3,Ｄモエレシノノメ, 67,宮崎北, 1.5, 63,  -3,*  4,15,183.9, ⑯⑯
 9, 3,Ｇテイエムヨカゲナ, 46,田嶋翔, 1.9, 38, -14, -12, 9, 25.8, ⑧⑨, 9,15,Ｌシルクウェッジ, 47,秋山真, 2.0, 56,   0,  -5, 9, 24.8,⑬⑬⑩, 9, 5,Ｂナスザン, 72,丸田恭, 1.4, 61,   5, -11, 5,  8.6, ⑤⑥, 9,10,Ｎケイエスケイト, 59,松田大, 1.6, 65,   5,  -5,13, 51.2, ⑩⑪
10, 7,Ｋグランプリオｰジｰ, 41,藤岡康, 1.9, 40,   0, -22, 4,  8.8, ②③,10,11,Ｋグランドチャペル, 48,村田一, 2.2, 55,  -3,  -1,10, 34.7,⑰⑱⑯,10,12,Ｌラガｰキセキ, 61,川島信, 1.5, 62,   6, -13, 9, 31.4, ④④,10, 4,Ｂフェブスカイ, 69,藤岡康, 1.7, 65,   9, -10, 9, 24.0, ⑥⑥
11, 5,Ｍイッツオｰルライト, 39,秋山真, 2.1, 35, -24,  -6,12, 82.6, ⑭⑫,11, 9,Ｅスカイフォレスト, 59,中舘英, 2.3, 53,   5, -20, 1,  3.4,⑤⑤⑥,11,13,Ｆブルｰスバロｰズ, 66,藤岡康, 1.6, 58,   3, -13, 1,  2.6, ⑨⑧,11, 1,Ｃエトピリカ, 67,村田一, 1.8, 66,* 13, -15, 5, 12.4, ③③
12, 9,Ｊドリｰムコンコルド, 42,丸田恭, 2.2, 34, -12, -16, 3,  6.8, ⑨⑩,12, 4,Ｉダンシングムｰン, 51,丸田恭, 2.6, 48,   4, -21,12, 49.1,⑥⑥⑤,12,11,Ｒエレガントステｰジ, 53,大野拓, 1.8, 55,  -6,  -5,16,149.3, ⑰⑰,12, 8,Ｆシｰズバレンタイン, 66,大野拓, 1.9, 65,* 14, -17, 6, 13.1, ②②
13, 2,Ｉスズカオリオン, 44,小野寺, 2.2, 34, -25,  -8,13, 87.0, ⑫⑬,13, 3,Ｎツルマルホクト, 46,酒井学, 2.9, 45,   1, -19,11, 44.2,⑩⑫⑭,13, 7,Ｍマヤノアンズ, 60,吉田稔, 1.9, 53,  -4,  -8,14,110.0, ⑮⑱,13, 7,Ｍニュｰブラウン, 59,吉田稔, 1.9, 59,   2,  -6,11, 27.2, ⑫⑮
14, 1,Ｎホウショウコスモス, 24,宮崎北, 2.3, 33, -40,*  2,15,111.6, ⑮⑮,14, 7,Ｏダンツペリオッド, 44,小林徹, 3.2, 44,  -1, -20,14, 75.7,⑮⑭⑮,14, 8,Ｅラッシュモア, 66,松田大, 2.2, 50,  -4, -12, 7, 16.1, ⑯⑬,14,16,Ｏマイシャロｰナ, 55,田辺裕, 2.0, 59,   1,  -6,16,213.8, ⑮⑬
15,13,Ｏテンカラット, 21,村田一, 2.6, 31, -24, -10,14, 91.5, ⑬⑭,15,18,Ｊコスモマリｰスタｰ, 49,川島信, 3.6, 42,   4, -34,16,119.7,⑨⑦⑧,15, 6,Ｎメイプルスペシャル, 58,丸山元, 2.4, 48,   3, -23,17,219.7, ⑧⑩,15,17, コンゴウプリンセス,---,川島信, 2.1, 58,   5, -11,17,310.0, ⑪⑨
16,12, アスタｰクイｰン,---,田中博, 4.8,  2, -59, -10,11, 66.7, ⑯⑯,16, 5,Ｐヒカルトップガン, 41,大野拓, 4.9, 34,   2, -49,13, 63.9,⑧⑨⑫,16,18,Ｐコスモブリｰズ, 57,丹内祐, 2.9, 44,   5, -29,18,301.3, ⑦⑤,16, 6,Ｐリネンパズル, 49,南田雅, 2.3, 56,   6, -15,18,361.4, ⑨⑩
,,,,,,,,,,,,17,12,Ｒアスカシンノウ, 27,西田雄, 5.0, 31,   0, -43,18,551.7,⑭⑮⑱,17, 2,Ｇハッシャバイ, 65,西村太, 3.3, 40,*  8, -38,10, 47.8, ②②,17, 2,Ｑマルタカルｰキｰ, 41,丹内祐, 2.6, 52,  -9,  -3,14,126.1, ⑱⑱
,,,,,,,,,,,,18, 1,Ｑケイエスショｰクン, 40,芹沢純, 5.3, 31,   3, -53,15, 95.7,⑦⑧⑰,18, 4,Ｊフェバリットガｰル, 63,小林徹, 3.3, 37,  -1, -28,11, 50.0, ⑫⑮,18,11,Ｋゴｰルドオリｰブ, 61,古川吉, 2.9, 51,   8, -25, 7, 19.1, ⑦⑧
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:不良(指数:18),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:18),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:不良(指数:18),,,,,,,,,,,
単勝:330円 複勝:14=130円 04=120円 15=340円 枠連:510円,,,,,,,,,,,,単勝:820円 複勝:10=360円 14=300円 13=310円 枠連:510円,,,,,,,,,,,,"単勝:560円 複勝:01=240円 15=290円 16=1,850円 枠連:550円",,,,,,,,,,,,"単勝:250円 複勝:13=140円 14=420円 05=240円 枠連:1,460円",,,,,,,,,,,
馬連:500円 ワイド:04-14=270円 14-15=950円 04-15=930円,,,,,,,,,,,,"馬連:4,520円 ワイド:10-14=1,990円 10-13=1,470円 13-14=1,370円",,,,,,,,,,,,"馬連:3,250円 ワイド:01-15=1,060円 01-16=7,880円 15-16=8,760円",,,,,,,,,,,,"馬連:2,270円 ワイド:13-14=860円 05-13=490円 05-14=2,020円",,,,,,,,,,,
"馬単:1,130円 3連複:2,630円 3連単:11,170円",,,,,,,,,,,,"馬単:10,520円 3連複:15,300円 3連単:91,610円",,,,,,,,,,,,"馬単:5,890円 3連複:85,500円 3連単:371,720円",,,,,,,,,,,,"馬単:3,260円 3連複:6,090円 3連単:26,420円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1700m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊勢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃアイノグロｰ, 59,吉田稔,, 57,*  8,  -6, 2,  4.3,⑩③③, 1,15,Ｆベルシャルル, 69,荻野琢,, 72,* 11,  -5, 6, 15.2, ①①, 1, 6,Ｉアストレｰション, 69,平野優,, 79,*  6,* 13, 7, 20.0,②①①, 1,10,Ａジェネラルノブレス, 89,上村洋,, 82,* 12,   7, 2,  3.5,①①①
 2, 7,Ｂヤマイチジャパン, 59,田嶋翔, 0.2, 56,*  8,  -8, 3,  4.3,①①①, 2,12,Ａメジロシｰゴｰ, 73,丸山元, 0.0, 68,   5,* -1, 2,  4.6, ⑦⑦, 2,16,Ａネオレボルｰション, 79,中舘英, 0.2, 78,*  5,* 13, 1,  1.8,⑨④③, 2,14,Ｂナムラフュｰチャｰ, 86,藤岡康, 0.0, 80,* 12,   8, 5, 11.3,②②②
 3, 2,Ｆデンゼルバロｰズ, 55,古川吉, 0.4, 56,   2,*  0, 7, 12.4,⑭⑪⑨, 3, 9,Ｈコロナ, 65,国分優, 0.2, 67,   9,  -5,12, 85.2, ⑤④, 3, 4,Ｂコスモナダル, 78,丹内祐, 1.0, 73,   3,* 11, 6, 15.3,⑦⑨⑦, 3,12,Ｃタマモスクワｰト, 82,村田一, 0.3, 78,* 11,   7,10, 25.8,⑥④④
 4,12,Ｈフェアリｰトゥリｰ, 54,丸山元, 0.8, 55,   6, -10, 5,  9.9,⑤⑤⑤, 4, 6,Ｅグレンチェック, 70,松田大, 0.2, 69,   9,  -5, 1,  3.0, ③②, 4,12,Ｃイマカツタイガｰ, 78,松田大, 1.2, 74,*  5,   5, 2,  6.1,⑧③②, 4, 1,Ｄロｰレルレガリス, 81,中舘英, 0.3, 78,  11,   9, 1,  3.4,③③③
 5, 5,Ａスｰザ, 60,田辺裕, 0.8, 52,*  8, -12, 1,  3.6,④④④, 5, 8,Ｄライカｰト, 71,中舘英, 0.5, 64,   9,  -8, 4,  5.9, ④③, 5, 8,Ｄクオン, 75,芹沢純, 1.9, 65,   3,   2, 3,  7.8,⑩⑦⑥, 5, 2,Ｈマイネルパルティア, 80,丹内祐, 0.5, 76,  10,   7, 6, 13.4,⑩⑥⑥
 6,11,Ｄフライングブイ, 57,上村洋, 1.1, 54,   6, -11, 4,  7.3,⑧⑦⑦, 6, 5,Ｇワンダｰジュｰル, 66,小野寺, 0.6, 58,  -2,* -1, 7, 19.2, ⑫⑪, 6,13,Ｌソヴリン, 58,宮崎北, 1.9, 65,   1,   4,12,107.7,⑬⑪⑨, 6, 7,Ｊセイウンマル, 79,大野拓, 0.6, 74,   9,   8,14, 65.8,⑤⑦⑤
 7, 3,Ｉシゲルタカカゲ, 54,小林徹, 1.5, 50,   2,  -7, 8, 35.3,⑬⑬⑫, 7, 7,Ｏカシノレッド, 59,大江原, 0.8, 55,  -1,  -4,16,201.8, ⑩⑨, 7, 9,Ｆヤサシイキモチ, 73,田中博, 2.0, 64,*  5,  -2, 4,  8.3,④②④, 7,15,Ｌホｰマンクラフト, 78,古川吉, 0.6, 79,   5,* 15,12, 34.3,⑭⑭⑭
 8, 1,Ｏコウガ, 40,宮崎北, 1.7, 46,   4, -13,12, 77.6,⑨⑨⑧, 8,11,Ｂイグナイトカフェ, 72,郷原洋, 0.8, 59,   5,  -8, 3,  5.4, ⑥⑥, 8, 3,Ｅホトダｰ, 74,大江原, 2.3, 63,   0,   2,11, 91.7,⑥⑭⑬, 8,16,Ｇメイクアダッシュ, 81,吉田稔, 0.7, 76,   7,* 11, 9, 25.3,⑯⑫⑩
 9,14,Ｐプレトリアン, 36,中村将, 1.8, 45,   6, -18, 9, 64.9,⑥⑥⑥, 9, 2,Ｍホリノティアラ, 60,田辺裕, 0.9, 54,  -3,  -4,10, 48.7, ⑪⑩, 9, 7,Ｋシルクランサム, 59,大野拓, 2.3, 60,   3,  -2,13,145.9,⑤⑥⑤, 9,11,Ｏマｰブルデイビｰ, 76,宮崎北, 0.7, 74,   8,   8,13, 59.7,⑦⑨⑨
10, 6,Ｎセトウチリｰダｰ, 44,小野寺, 2.0, 44,   2, -14,15,167.2,⑦⑩⑩,10, 1,Ｋムｰヴ, 60,古川吉, 1.1, 52, -11,*  0,15,195.9, ⑮⑮,10,11,Ｇアルフェラッツ, 73,西田雄, 2.4, 63,   1,   0,10, 82.4,⑯⑬⑫,10, 3,Ｋベロｰチェ, 79,田辺裕, 0.9, 74,   8,   8,15,101.6,⑧⑩⑪
11,10,Ｇビジュアルフライト, 55,秋山真, 2.1, 44,  -4,* -3,11, 69.6,⑯⑯⑮,11, 4,Ｃキョウエイエルメス, 72,宮崎北, 1.4, 55,   9, -16, 5,  9.5, ②⑤,11, 2,Ｐマイプレファランス, 53,小野寺, 2.6, 61,   3,  -3,15,249.5,③⑧⑩,11, 8,Ｐスズカスコｰピオン, 70,松田大, 1.2, 75,   6,   8,11, 31.2,⑬⑬⑬
12,15,Ｌカネトシビｰンズ, 50,柴原央, 2.4, 43,  -3,  -8,14,137.3,⑮⑭⑭,12, 3,Ｉヴィトンクイｰン, 63,丹内祐, 1.4, 49,   0, -11, 8, 39.9, ⑨⑧,12,10,Ｎキングデオキシス, 56,郷原洋, 2.9, 59,   0,  -1,16,388.1,⑫⑮⑮,12, 6,Ｅヒカリコｰズウェｰ, 81,安藤光, 1.2, 69,   9,   3, 7, 15.7,⑨⑧⑧
13,16,Ｊビッグヒｰロｰ, 54,中舘英, 2.4, 41,*  8, -27, 6, 11.9,②②②,13,14,Ｊキタサンハナミチ, 62,芹沢純, 1.5, 47, -14,  -2,13,159.5, ⑯⑯,13, 5,Ｏコスモエルベン, 56,川島信, 3.8, 52,   0,  -9, 9, 75.2,⑮⑯⑯,13, 5,Ｍハジメレンジャｰ, 78,鮫島良, 1.4, 72,   8,   4, 8, 17.1,⑪⑪⑫
