10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟｰﾄｱｲﾗﾝﾄﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｑヴァリアントレディ, 55,渡辺薫, 1.6, 65,  10,  -9,17,139.7, ⑨⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｋエイシンダヴィンチ, 68,石橋脩, 1.8, 60,   4,  -3,15,115.6, ⑮⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,18,Ｆメモリｰパフィア, 76,浜中俊, 1.8, 63,* 15, -19, 7, 12.0, ②④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｍサンヴァンサン, 64,国分恭, 1.9, 60,   8,  -9,16,131.4, ⑭⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｒハｰトランドフェロ, 46,藤岡康, 5.4, 25,  12, -60,18,379.7, ⑥⑫,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:0),,,,,,,,,,,
"単勝:1,070円 複勝:10=250円 02=110円 08=230円 枠連:980円",,,,,,,,,,,,"単勝:2,720円 複勝:03=360円 01=120円 07=110円 枠連:5,510円",,,,,,,,,,,,"単勝:1,040円 複勝:09=310円 06=150円 03=200円 枠連:850円",,,,,,,,,,,,"単勝:350円 複勝:01=140円 10=230円 03=150円 枠連:1,490円",,,,,,,,,,,
馬連:930円 ワイド:02-10=340円 08-10=800円 02-08=310円,,,,,,,,,,,,"馬連:4,170円 ワイド:01-03=1,040円 03-07=890円 01-07=150円",,,,,,,,,,,,"馬連:1,610円 ワイド:06-09=710円 03-09=1,580円 03-06=540円",,,,,,,,,,,,"馬連:1,800円 ワイド:01-10=570円 01-03=280円 03-10=600円",,,,,,,,,,,
"馬単:2,680円 3連複:1,740円 3連単:13,110円",,,,,,,,,,,,"馬単:12,740円 3連複:2,300円 3連単:35,100円",,,,,,,,,,,,"馬単:3,770円 3連複:4,840円 3連単:30,720円",,,,,,,,,,,,"馬単:2,950円 3連複:2,120円 3連単:14,810円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■11R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兵庫特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｊノヴァグロリア, 34,佐藤哲,, 56,* -6,* 11, 2,  3.9, ②②, 1,15,Ｄトップオブザヘヴン, 63,太宰啓,, 65,  -6,*  8, 4,  7.0, ⑧⑦, 1,11,Ｃキンショｰダンデｰ, 74,北村友,, 81,   4,* 17, 2,  4.9,⑥⑤④, 1, 3,Ｅビｰトブラック, 77,浜中俊,, 75,  12, -14, 5,  6.9,④④④
 2,14,Ｉセイカプリコｰン, 35,和田竜, 0.0, 58,* -6,* 11, 1,  3.5, ③③, 2,16,Ａマザｰウェル, 72,藤岡康, 0.3, 62,  -5,*  3, 1,  2.0, ③③, 2,16,Ｈダノンフィｰバｰ, 67,鮫島良, 0.2, 78,*  7,   8, 1,  3.2,①①①, 2, 8,Ｂブレイクアセオリｰ, 78,和田竜, 0.1, 75,  10,*-13, 2,  3.8,⑤⑤⑤
 3, 3,Ｄミエノスペシャル, 48,川島信, 0.7, 53, -10,* 10, 8, 22.1, ⑧⑧, 3, 6,Ｆカピオラニ, 57,中村将, 0.4, 63,  -7,*  6, 8,128.6, ⑦⑨, 3, 5,Ａヤマニンシャスｰル, 81,田中健, 0.8, 80,   0,* 16, 3,  5.0,⑧⑧⑧, 3, 4,Ｃナリタシャトル, 78,太宰啓, 0.2, 72,* 14, -26, 8, 33.4,②②②
