10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟｰﾄｱｲﾗﾝﾄﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,道頓堀ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, ジョｰベルスタｰ,,五十嵐,,,,, 8, 32.8,⑤④③, 1,14,Ｄパミｰナ, 75,北村友,, 78,*  4,* 11, 5, 14.9,③③②, 1, 1,Ｃサワヤカラスカル, 82,浜中俊,, 87,   0,* 17, 3,  7.2, ⑧⑦, 1,15,Ｄアデュラリア, 79,藤岡康,, 78,*  6,  16, 2,  4.1, ②②
 2,12, アイアングリｰン,,林満明,198.8,,,, 1,  2.9,②②①, 2, 9,Ｃベリｰフ, 77,浜中俊, 0.6, 74,*  4,   7, 4,  9.1,⑤④③, 2, 8,Ａツルマルジュピタｰ, 84,佐藤哲, 0.1, 82,*  5,   8, 1,  2.3, ①①, 2, 8,Ｈペガサスヒｰロｰ, 77,浜中俊, 0.2, 77,   4,* 18, 1,  3.4, ⑦⑥
 3, 4, ファイトシｰン,,植野貴,200.0,,,,12, 94.7,⑪⑧⑧, 3, 7,Ｆミルフィアタッチ, 73,石橋脩, 0.8, 75,  -1,* 14, 6, 19.7,⑬⑭⑨, 3,10,Ｊアスドゥクｰル, 76,和田竜, 0.2, 82,*  4,   8, 6, 14.4, ②②, 3, 5,Ｇファンドリカップ, 77,村田一, 0.3, 75,   3,* 18, 4,  7.8, ⑨⑩
 4,11, ヒカリアライブ,,高野容,200.4,,,, 2,  3.5,⑦⑦⑥, 4, 8,Ｅカスガ, 74,佐藤哲, 0.9, 75,  -1,* 13, 7, 23.7,⑪⑫⑩, 4, 4,Ｈユキノハボタン, 77,松田大, 0.4, 80,   1,   9,12, 76.1, ⑥⑤, 4, 7,Ｍナショナルヒｰロｰ, 72,鮫島良, 0.3, 77,   5,  16, 8, 18.8, ⑤⑤
 5, 8, シュウホｰサンデｰ,,金折知,200.4,,,,13,159.3,①①②, 5, 3,Ｋアルデュイナ, 63,和田竜, 1.1, 72,   2,   6, 8, 35.5,⑨⑩⑦, 5, 3,Ｅユメイッポ, 82,赤木高, 0.4, 79,   2,   8, 8, 22.9, ⑤④, 5, 1,Ｂミッシングナンバｰ, 79,高倉稜, 0.6, 70,* 11,   5, 6, 11.2, ①①
 6,13, ツルマルビビッド,,白浜雄,201.0,,,, 6, 11.3,⑩⑨⑨, 6, 6,Ａアドマイヤインディ, 78,福永祐, 1.1, 70,   2,   5, 2,  5.4,⑦⑦⑥, 6, 5,Ｋパドトロワ, 76,藤岡康, 0.4, 81,   0,* 12, 5, 13.4, ⑨⑧, 6, 9,Ｉホクセツキングオｰ, 76,和田竜, 0.8, 72,   2,  15, 5,  9.6, ⑩⑬
 7, 1, プリンセスメイク,,佐久間,201.7,,,,11, 91.6,⑥⑥④, 7, 4,Ｂピｰスエンブレム, 77,小牧太, 1.6, 63,*  4,  -5, 1,  1.9,①①①, 7, 2,Ｆキョウワマグナム, 81,小牧太, 0.7, 78,  -4,* 12, 2,  5.2, ⑪⑬, 7,14,Ｎトムトム, 71,国分恭, 0.9, 71,   2,  14,10, 50.2, ⑫⑮
 8, 7, セレスクラブ,,北沢伸,201.8,,,, 5,  9.8,④⑤⑦, 8,10,Ｇクリノソｰニャ, 71,太宰啓, 2.3, 62,   1,  -3,11,157.7,⑫⑨⑧, 8, 6,Ｉオｰルタイムベスト, 76,石橋脩, 0.7, 78,  -3,  10, 4,  8.8, ⑫⑪, 8, 3,Ｃハｰドウォン, 79,福永祐, 1.0, 70,   6,   9, 7, 13.7, ③③
 9,10, メイショウアルグン,,今村康,203.0,,,, 4,  8.5,③③⑤, 9,13,Ｊツヨイキモチ, 67,国分恭, 2.4, 62,   3,  -8, 3,  5.7,⑥⑤④, 9,12,Ｇエｰシンリジル, 78,国分恭, 1.0, 73,*  4,  -1, 9, 24.3, ③③, 9, 4,Ｅテンザンモビｰル, 78,川島信, 1.0, 70,   4,  12,16,208.0, ⑧⑨
10, 2, ワンダｰルシデス,,西谷誠,204.2,,,, 9, 66.8,⑫⑪⑪,10, 1,Ｉフィロンルｰジュ, 68,高倉稜, 3.0, 55,  -1,  -5,10, 81.0,⑩⑪⑬,10,14,Ｌマヤノロシュニ, 76,熊沢重, 1.1, 72,   0,   2,11, 69.6, ⑦⑨,10,11,Ｆテイエムフルパワｰ, 77,太宰啓, 1.1, 70,   1,  14,14,119.3, ⑮⑫
11, 3, メイショウアｰチャ,,仲田雅,204.5,,,, 3,  6.0,⑨⑩⑩,11,11,Ｍトシザノンリｰ, 47,鮫島良, 3.6, 56,  -2,  -7,13,317.6,⑭⑬⑭,11,11,Ｍオリオンスタｰズ, 75,鮫島良, 1.1, 73,  -4,   8,10, 39.3, ⑮⑭,11, 6,Ｌタカノキング, 73,安藤光, 1.2, 67,   1,  12,15,121.8, ⑭⑭
12,14, サンレイランキング,,難波剛,205.0,,,,10, 80.0,⑬⑫⑫,12,12,Ｌメイショウマナ, 51,中村将, 4.3, 52,   1, -19,14,412.2,⑧⑧⑪,12,16,Ｂアドマイヤヘッド, 83,北村友, 1.2, 71,   0,   0, 7, 15.6, ⑩⑩,12,16,Ｏトウカイインパクト, 68,石橋守, 1.3, 69,   3,   9,13,117.4, ⑬⑧
13, 5, アラタマポケット,,出津孝,207.1,,,,14,162.9,⑭⑭⑬,13, 2,Ｈサダムセシボン, 69,藤岡康, 4.4, 49,   1, -22, 9, 44.4,④⑥⑫,13,15,Ｄシｰクエスト, 82,村田一, 1.4, 68,   2,  -5,14,177.8, ④⑥,13,12,Ｊベンティスカ, 74,石橋脩, 1.3, 68,   3,  10, 9, 33.9, ⑪⑪
14, 9, ゼットカｰク,,小坂忠,211.4,,,, 7, 16.6,⑧⑬⑭,14, 5,Ｎインテレス, 40,村田一, 4.6, 47,*  4, -27,12,270.7,②②⑤,14,13,Ｐワンダｰクラフティ, 69,太宰啓, 1.5, 67,  -3,   0,13,167.8, ⑬⑫,14,13,Ａウィズインライアン, 83,赤木高, 1.5, 66,   5,   6, 3,  6.4, ⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｎジョイントスタｰズ, 75,高倉稜, 2.2, 59,  -5,  -5,15,208.9, ⑭⑮,15, 2,Ｋショウリュウアクト, 73,小牧太, 1.7, 63,   5,   3,11, 52.8, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｐタガノバロナｰク, 63,北村友, 2.4, 60,  -5,  10,12, 77.6, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:重(指数:-2),,,,,,,,,,,
"単勝:3,280円 複勝:06=850円 12=160円 04=1,600円 枠連:2,980円",,,,,,,,,,,,"単勝:1,490円 複勝:14=460円 09=250円 07=430円 枠連:1,400円",,,,,,,,,,,,単勝:720円 複勝:01=210円 08=130円 10=320円 枠連:330円,,,,,,,,,,,,単勝:410円 複勝:15=150円 08=140円 05=190円 枠連:450円,,,,,,,,,,,
"馬連:7,700円 ワイド:06-12=1,980円 04-06=14,340円 04-12=3,920円",,,,,,,,,,,,"馬連:5,460円 ワイド:09-14=1,490円 07-14=2,540円 07-09=1,490円",,,,,,,,,,,,"馬連:860円 ワイド:01-08=400円 01-10=1,260円 08-10=620円",,,,,,,,,,,,馬連:600円 ワイド:08-15=230円 05-15=470円 05-08=410円,,,,,,,,,,,
"馬単:17,960円 3連複:84,730円 3連単:409,190円",,,,,,,,,,,,"馬単:14,460円 3連複:16,250円 3連単:123,810円",,,,,,,,,,,,"馬単:2,190円 3連複:3,270円 3連単:17,170円",,,,,,,,,,,,"馬単:1,320円 3連複:1,360円 3連単:6,370円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
