10年 2月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雲雀ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａジルコニア, 62,江田照,, 54,*  0,  -6, 2,  5.8, ②③, 1, 8, ツインダイヤ,,柴田未,,,,, 9, 55.4,④②②, 1, 7,Ｅブレｰヴゴｰルド, 74,幸英明,, 77,   3,* 11, 5, 11.9, ⑫⑫, 1, 2,Ａテイエムアタック, 87,後藤浩,, 90,   1,  22, 5, 12.8, ⑧⑧
 2, 8,Ｈマｰシュハリアｰ, 55,浜中俊, 0.1, 54,*  0,  -9, 1,  2.6, ①①, 2,12, ハクサン,,石神深,204.0,,,, 2,  6.2,③③③, 2, 3,Ｃハクバドウジ, 76,吉田隼, 0.0, 77,   6,*  7, 6, 12.6, ④⑥, 2, 4,Ｅロｰドバリオス, 83,ルメｰ, 0.1, 86,*  5,  15, 1,  2.1, ②③
 3,15,Ｂディｰエスブリスク, 59,田中勝, 0.1, 53,  -8,*  1, 6, 12.4, ⑪⑩, 3,11, トミケンコウテイ,,穂苅寿,204.1,,,, 4, 10.7,⑥⑤④, 3, 6,Ａタイキドゥカティ, 81,ルメｰ, 0.2, 77,* 11,   0, 1,  2.0, ①①, 3,14,Ｂアロマンシェス, 87,勝浦正, 0.1, 90,  -3,* 24, 3,  6.8, ⑪⑪
 4, 1,Ｆサトノホクト, 55,北村宏, 0.1, 52,  -3,  -4, 7, 14.9, ⑤⑥, 4, 6, プラクシス,,横山義,204.7,,,, 3,  6.8,⑤⑥⑥, 4,10,Ｈディパｰチャｰズ, 72,横山典, 0.5, 72,   1,* 10, 2,  6.1, ⑭⑭, 4, 7,Ｃコアレスコジｰン, 85,田中勝, 0.2, 90,  -5,* 27, 8, 23.6, ⑬⑫
 5,14,Ｍメガフェリｰチェ, 37,木幡初, 0.1, 53,  -3,  -4, 9, 29.2, ⑧⑦, 5, 4, クイックステップ,,金子光,204.9,,,, 8, 38.9,⑪⑧⑦, 5,16,Ｋアップカントリｰ, 63,武豊  , 0.6, 73,   6,   3, 7, 14.2, ⑩⑦, 5, 5,Ｆアドマイヤヘッド, 82,吉田豊, 0.2, 88,  -3,* 23,11, 41.6, ⑩⑩
 6, 7,Ｃグランブリｰズ, 59,川島信, 0.2, 53,*  1,  -9, 4,  7.0, ③②, 6, 3, モエレエキスパｰト,,浜野谷,205.9,,,, 1,  1.6,②④⑤, 6, 9,Ｄルナロッソ, 75,後藤浩, 0.6, 70,   5,   4, 8, 23.8, ⑧⑨, 6, 1,Ｏツｰデイズノｰチス, 73,北村宏, 0.5, 82,   1,  14, 7, 20.8, ⑦⑦
 7,10,Ｄマイネルリファイン, 59,松岡正, 0.5, 50,  -7,  -1, 3,  6.7, ⑬⑪, 7, 2, ブラボｰデイ,,山本康,206.0,,,, 7, 24.9,⑨⑩⑩, 7, 4,Ｂノボレインボｰ, 79,大庭和, 0.7, 68,   4,   4, 4,  9.9, ⑪⑪, 7, 6,Ｌアグネストカチ, 78,松岡正, 0.5, 81,*  7,   6, 9, 25.7, ①①
 8,16,Ｏレジスタンス, 29,横山典, 0.6, 50,  -9,*  0, 5,  8.7, ⑮⑫, 8, 9, ヒシポラリス,,大江原,206.0,,,, 6, 17.1,⑩⑪⑪, 8, 5,Ｆモエレジンダイコ, 73,伊藤工, 0.8, 69,   5,   2, 3,  9.3, ⑦⑧, 8,13,Ｇドリｰムスカイラブ, 82,吉田隼, 0.6, 81,   2,  11, 2,  6.1, ⑥⑥
