10年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12,10, ウエストハｰバｰ,---,藤岡康, 2.3, 33,  -9, -26, 5, 17.8, ④⑤,12,16,Ｋパワｰオブゴｰルド, 55,太宰啓, 1.6, 54,   1, -17, 9, 69.0,⑤⑤⑥,12,14,Ｅドリｰムマイスタｰ, 84,幸英明, 2.2, 76,   5,  11,10, 62.2,⑪⑫⑫
,,,,,,,,,,,,13,12, エメラルスカイ,---,小牧太, 2.6, 29, -11, -27, 7, 18.8, ⑧⑨,13,12,Ｄサクシｰド, 62,佐藤哲, 1.9, 50,   0, -19, 5,  8.7,⑦⑦⑦,13, 8,Ｏグランプリヒｰロｰ, 74,高田潤, 2.5, 74,   3,  11,14,214.7,⑩⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｌシップｰナカヤマ, 53,高倉稜, 1.9, 50,*  4, -27,10, 97.6,①①②,14,11,Ｍノワｰルシチｰ, 81,高橋智, 2.5, 74,   2,  14,15,284.4,⑮⑯⑭
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｏサチノトランセンド, 32,川須栄, 2.5, 47,  -6, -15,16,536.5,⑭⑮⑮,15, 3,Ｐホｰマンアラシ, 74,福永祐, 3.6, 66,   3,   3,13,107.5,⑭⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,16,10, アスタｰハウス,---,小林慎,13.2,-64, -49, -79,15,358.9,⑯⑯⑯,16, 7,Ｄハｰドシｰキング, 85,松山弘, 4.0, 64,   2,   0,11, 67.4,⑯⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,
"単勝:610円 複勝:07=160円 05=260円 10=110円 枠連:2,820円",,,,,,,,,,,,単勝:350円 複勝:07=130円 11=110円 06=410円 枠連:320円,,,,,,,,,,,,"単勝:450円 複勝:07=150円 05=160円 03=120円 枠連:1,110円",,,,,,,,,,,,単勝:250円 複勝:01=110円 13=130円 12=250円 枠連:320円,,,,,,,,,,,
"馬連:3,120円 ワイド:05-07=620円 07-10=180円 05-10=380円",,,,,,,,,,,,"馬連:340円 ワイド:07-11=180円 06-07=1,030円 06-11=810円",,,,,,,,,,,,"馬連:1,130円 ワイド:05-07=390円 03-07=210円 03-05=270円",,,,,,,,,,,,馬連:350円 ワイド:01-13=160円 01-12=550円 12-13=640円,,,,,,,,,,,
