10年12月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葉牡丹賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆジャｰグラット, 56,柴田善,, 60,* -3,   4, 6, 14.6, ②②, 1, 8,Ｅヒズラストノｰト, 56,デムｰ,, 62,  -7,*  9, 4,  5.8,⑮⑨④, 1, 2,Ｏワンモアジョｰ, 63,勝浦正,, 77,   0,* 15, 8, 28.4, ⑨⑧, 1, 4,Ｃショウナンパルフェ, 69,内田博,, 69,   2,  -4, 2,  4.6,⑤⑤⑤
 2,13,Ａキンショｰユウジャ, 66,勝浦正, 0.0, 59,  -4,*  4, 3,  4.2, ④③, 2,16,Ａメディテｰション, 62,内田博, 0.3, 59,* -5,   3, 2,  4.0,④③③, 2, 7,Ｋミッキｰデジタル, 74,デムｰ, 0.0, 77,   8,   8, 4,  7.0, ④③, 2, 7,Ｈマイネルメダリスト, 64,クラス, 0.0, 68,   2,  -3,10, 29.2,⑥⑥⑥
 3, 6,Ｃトｰセンナスクラ, 61,横山典, 0.2, 58,  -4,   3, 1,  2.5, ③④, 3,14,Ｈディｰエスラムｰル, 51,柴山雄, 0.6, 56,  -6,   2,10, 50.9,⑤④⑤, 3,16,Ａチャンピオンラブ, 82,蛯名正, 0.2, 75,   7,   6, 1,  3.2, ⑥④, 3, 8,Ｅトｰセンケイトゥｰ, 68,柴田善, 0.1, 68,  -2,*  4, 4,  6.7,⑭⑫⑦
 4, 2,Ｅヘラルドリｰ, 60,内田博, 0.3, 57,* -2,   0, 4,  7.7, ①①, 4,11,Ｄトキノサコン, 58,平野優, 0.7, 56,* -5,   0, 6, 18.2,②②②, 4, 5,Ｇトｰセンベルファム, 77,伊藤工, 0.3, 74,  -4,* 15, 3,  4.5, ⑪⑪, 4, 1,Ｄピュアブリｰゼ, 68,北村宏, 0.2, 66,   3,  -8, 7, 15.6,④④④
 5,11,Ｄデイブレイク, 60,柴田大, 0.3, 57,  -7,*  4, 2,  4.0, ⑦⑤, 5,15,Ｃハヤブサアビオン, 58,吉田隼, 0.7, 60,  -7,   4,14,125.4,⑨⑧⑩, 5, 9,Ｄタンジブルアセット, 77,江田照, 0.4, 74,   7,   4, 7, 25.6, ③⑤, 5,14,Ｋマイネジャンヌ, 59,三浦皇, 0.3, 67,   1,  -3,11, 47.7,⑨⑧⑩
 6, 4,Ｇジパングファｰスト, 49,武士沢, 1.2, 48, -10,  -1,10, 91.4, ⑨⑧, 6,10,Ｂオｰダｰアゲン, 61,岩部純, 0.7, 59,  -8,*  6, 9, 50.4,⑫⑩⑦, 6, 4,Ｅスマｰトリｰズン, 77,武士沢, 0.4, 72,   1,  10,14,319.5, ⑩⑨, 6,11,Ｊヴァルナビスティｰ, 59,勝浦正, 0.5, 62,   1,  -8,12, 58.3,⑦⑦⑧
 7, 8,Ｈディアフロイデ, 48,北村宏, 1.2, 49, -15,*  5, 9, 78.9, ⑫⑫, 7, 2,Ｎホワイトホｰプ, 37,後藤浩, 0.8, 55,  -7,   3, 1,  3.2,⑦⑦⑨, 7,15,Ｎジｰトップキセキ, 69,三浦皇, 0.5, 72,  -4,* 14, 9, 32.8, ⑬⑫, 7, 2,Ａメイショウオオゾラ, 71,武幸四, 0.5, 62,*  5, -16, 1,  4.4,①①①
 8, 9,Ｂコスモワッチミｰ, 61,津村明, 1.3, 47,  -7,  -5, 5, 11.5, ⑥⑥, 8, 6,Ｇマイネルマルゴｰ, 51,津村明, 0.8, 57,  -8,   5, 8, 49.4,⑧⑪⑪, 7, 1,Ｊタマモワルツ, 75,後藤浩, 0.5, 71,   2,   7, 6, 16.2, ⑧⑥, 8, 3,Ｉバンスタンウォルツ, 64,横山典, 0.7, 58,*  4, -17, 5,  7.3,②②②
 9, 5,Ｍアポロレディバｰド, 25,中谷雄, 2.1, 41, -14,  -5,12,258.9, ⑪⑪, 9, 5,Ｊブラジルジャクｰ, 48,北村宏, 1.3, 51,* -5,  -5,12, 95.5,①①①, 9,10,Ｍプリモロｰズ, 69,石橋脩, 1.0, 68,  -5,  10,15,330.1, ⑫⑬, 9, 6,Ｇゲットハッピｰ, 67,松岡正, 0.8, 61,   0,  -8, 8, 23.9,⑩⑩⑫
10, 7,Ｌリネントワイニング, 30,柴山雄, 2.3, 38, -15,  -7,13,273.7, ⑩⑩,10,12,Ｋサツマノホシ, 48,的場勇, 1.4, 57,  -7,  -2,11, 92.3,③⑥⑧,10, 8,Ｉアプロｰズヒｰロｰ, 75,クラス, 1.1, 67,  -7,  11,13,123.1, ⑭⑭,10, 9,Ｆアッパｰイｰスト, 68,蛯名正, 1.0, 58,   0, -11, 6,  8.1,⑪⑪⑪
11,12,Ｋオリオンザシルバｰ, 32,村田一, 2.4, 37, -19,  -4, 8, 47.1, ⑬⑬,11, 1,Ｆマイネルマｰク, 55,松岡正, 2.5, 46, -10,  -6, 5,  9.0,⑩⑫⑫,11, 3,Ｐアグネスレイザｰ, 48,内田博, 1.1, 67,*  9,  -4,10, 62.5, ①①,11,13,Ｍジャンナ, 55,後藤浩, 1.2, 55,   1, -16,13,115.8,⑧⑨⑨
12, 1,Ｊオリオンザガロ, 33,小林淳, 2.5, 37, -10, -13,11,173.5, ⑧⑨,12, 7,Ｉグランドジョラス, 48,伊藤工, 2.8, 43, -11,  -8, 7, 29.1,⑭⑬⑭,12,11,Ｆレッツゴｰヒチョリ, 77,柴田善, 1.2, 64, -11,* 13,12,113.8, ⑮⑮,12, 5,Ｂメジロミドウ, 69,黛弘人, 1.4, 55,  -1, -13, 9, 25.7,⑫⑬⑬
13, 3,Ｉブルボンノキセキ, 44,大庭和, 4.1, 21,  -7, -29, 7, 41.3, ⑤⑦,13,13,Ｌハッピｰティア, 48,柴田善, 3.1, 39,  -6, -19, 3,  4.7,⑥⑤⑥,13,13,Ｂボｰドメンバｰ, 80,松岡正, 1.2, 66,   7,  -3, 5, 12.2, ⑤⑦,13,10,Ｎスピｰドサクラ, 51,江田照, 1.7, 52,*  4, -31,14,148.5,③③③
,,,,,,,,,,,,14, 9,Ｍリサｰチアゲン, 45,江田照, 3.7, 38, -10, -15,16,308.3,⑪⑭⑮,14, 6,Ｈバイラオｰラ, 76,吉田隼, 1.8, 62,*  9,  -9, 2,  3.7, ②②,14,12,Ｌプルスウルトラ, 59,デムｰ,12.4,-68,  -7, ---, 3,  5.8,⑬⑭⑭
,,,,,,,,,,,,15, 3,Ｏサンゴッデス, 32,田中勝, 4.0, 37, -11, -16,13,124.3,⑬⑮⑬,15,14,Ｌツウカイヤスナム, 73,村田一, 2.9, 50,   3, -15,11, 63.3, ⑦⑩,,,,,,,,,,,,
,,,,,,,,,,,,16, 4,Ｐボルトンシチｰ, 22,大庭和,14.1,-23, -44, -39,15,150.9,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,460円 複勝:10=320円 13=160円 06=130円 枠連:520円",,,,,,,,,,,,"単勝:580円 複勝:08=220円 16=170円 14=830円 枠連:1,050円",,,,,,,,,,,,"単勝:2,840円 複勝:02=500円 07=220円 16=160円 枠連:2,890円",,,,,,,,,,,,単勝:460円 複勝:04=190円 07=600円 08=250円 枠連:850円,,,,,,,,,,,
"馬連:2,580円 ワイド:10-13=660円 06-10=640円 06-13=270円",,,,,,,,,,,,"馬連:1,090円 ワイド:08-16=470円 08-14=2,700円 14-16=2,060円",,,,,,,,,,,,"馬連:8,900円 ワイド:02-07=1,900円 02-16=1,400円 07-16=540円",,,,,,,,,,,,"馬連:6,910円 ワイド:04-07=1,810円 04-08=590円 07-08=2,140円",,,,,,,,,,,
"馬単:5,510円 3連複:2,160円 3連単:21,420円",,,,,,,,,,,,"馬単:2,370円 3連複:11,880円 3連単:47,510円",,,,,,,,,,,,"馬単:19,580円 3連複:8,560円 3連単:85,630円",,,,,,,,,,,,"馬単:9,820円 3連複:13,570円 3連単:73,500円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝3600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾎﾟｰﾂﾆｯﾎﾟﾝ賞ｽﾃｲﾔｰｽﾞｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃレイナカスタｰニャ, 57,デムｰ,, 53,  -2,*  1, 4,  7.2,⑥⑤②, 1, 1, モンサンアポロ,---,蛯名正,, 45,* -7, -16, 3,  5.9, ①①, 1, 4,Ａバルｰン, 82,蛯名正,, 77,   1,* 18, 1,  3.4,⑦⑤⑥, 1, 1,Ｆコスモヘレノス, 86,松岡正,, 89,* 14,   2, 5, 14.9,②③③
 2, 1,Ｈウインジュビリｰ, 48,北村宏, 0.0, 52,*  0,  -2, 3,  6.9,①①①, 2, 6, ペルック,---,津村明, 0.5, 39, -10, -20,10,104.6, ④④, 2,14,Ｊマイネルオベリスク, 71,クラス, 0.0, 78,   1,* 18,12, 53.1,⑥⑥④, 2, 9,Ｂジャミｰル, 90,安藤勝, 0.1, 91,  12,* 11, 2,  4.5,⑪⑧⑦
 3,14,Ａピュアマインド, 67,柴田善, 0.5, 49,  -2,  -3, 1,  2.2,⑩⑥⑥, 3, 2, ゴｰルドエタンセル,---,後藤浩, 0.5, 38,* -9, -21, 1,  2.6, ②②, 3, 8,Ｋダイビングキャッチ, 70,勝浦正, 0.3, 75,*  2,  14, 4,  8.1,④③③, 3, 7,Ａネヴァブション, 93,後藤浩, 0.3, 87,  13,   4, 3,  4.6,⑥⑥⑥
 4, 5,Ｆカフェロｰレル, 51,松岡正, 0.6, 51,  -5,*  3, 8, 22.6,⑫⑪⑩, 4, 4, タイキフロｰリス,---,武士沢, 0.6, 38, -19,*-11,11,111.5, ⑤⑤, 4,11,Ｂタイキジャガｰ, 79,後藤浩, 0.3, 74,   1,  17, 2,  3.7,⑫⑦⑦, 4,13,Ｅモンテクリスエス, 87,内田博, 0.3, 87,  13,   1, 6, 16.6,⑤⑤⑤
 5,16,Ｅギンザグラマラス, 54,三浦皇, 0.7, 50,  -3,  -1, 6, 15.6,⑪⑨⑧, 5, 7, エスパドン,---,吉田隼, 1.3, 31, -23, -14, 5, 11.8, ⑧⑦, 5,12,Ｎタイガｰマスク, 66,三浦皇, 0.3, 74,*  3,  12, 5,  9.4,①①①, 5, 4,Ｄフォゲッタブル, 87,デムｰ, 0.5, 84,* 15,  -7, 4,  4.8,⑦②②
