10年10月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝2880m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｎサンバホイッスル, 15,田中博,, 64,*  6,*  1,14,272.1, ①①, 1, 2, リｰチマイドリｰム,,石神深,,,,, 1,  2.7,④③③, 1, 9,Ａダイワファルコン, 78,後藤浩,, 75,   4,*  7, 1,  1.7,⑨⑥⑤, 1, 5,Ｂケンブリッジエル, 79,柴田善,, 79,* 13,   1, 1,  3.7, ①①
 2, 1,Ｄアンジュヴォレ, 50,後藤浩, 0.9, 53,   2,  -2, 5, 10.1, ⑥⑤, 2, 1, ピサノシンボル,,五十嵐,194.6,,,, 2,  3.3,③②②, 2,12,Ｃムｰビｰハウス, 72,柴田善, 0.4, 70,*  5,   0, 2,  3.8,④③③, 2, 9,Ｇタｰニングポイント, 75,後藤浩, 0.0, 80,   8,   6, 2,  3.9, ③③
 3, 3,Ｃコスモハンサム, 55,石橋脩, 1.0, 51,  -2,*  0, 4,  6.3, ⑪⑪, 3, 4, ブルｰフォｰチュン,,大江原,195.0,,,, 4,  7.3,①①①, 3, 8,Ｄアルマトゥｰラ, 70,石橋脩, 0.5, 72,   3,   3, 5, 13.3,⑭⑨⑧, 3, 7,Ｉロｰドバロック, 73,田辺裕, 0.1, 78,   2,  12,10, 51.6, ⑧⑦
 4, 5,Ａデイブレイク, 57,柴田大, 1.0, 53,   4,  -5, 2,  4.0, ⑤⑥, 4, 5, ナドレ,,穂苅寿,195.2,,,, 5,  9.1,⑥⑤④, 4, 4,Ｈユｰピロンユｰ, 64,田辺裕, 0.5, 68,*  7,  -4, 8, 55.3,①①①, 4, 6,Ｍアポロラムセス, 69,内田博, 0.2, 78,   5,   6, 5, 14.3, ⑤⑥
 5,16,Ｆアップルジャック, 40,吉田豊, 1.1, 49,  -1,* -2, 1,  3.6, ⑨⑨, 5,10, キングマジック,,浜野谷,197.4,,,, 7, 23.4,⑦⑦⑥, 5, 3,Ｂアポロストｰム, 72,西田雄, 0.7, 67,   3,   0, 7, 34.5,⑦⑦⑥, 5, 8,Ｈタマニュｰホｰプ, 74,吉田豊, 0.2, 77,   2,  10, 8, 27.5, ⑨⑨
 6,13,Ｅコスモアイボリｰ, 41,木幡初, 1.2, 49,   0,  -3, 8, 30.7, ⑧⑧, 6, 8, ナイトスズラン,,山本康,197.5,,,, 6, 23.3,②④⑤, 6, 5,Ｇコスモマクスウェル, 66,津村明, 0.7, 68,   4,  -3, 3,  9.7,③④④, 6, 1,Ａエｰシンブイムｰド, 79,伊藤工, 0.3, 75,  -6,* 17, 6, 14.4, ⑬⑪
 7, 2,Ｊコスモケンジ, 34,津村明, 1.2, 51,*  6,  -9, 7, 23.6, ③③, 7, 3, ヨイチセレブ,,横山義,198.1,,,, 3,  5.6,⑤⑥⑦, 7, 7,Ｋロックフルマｰク, 58,木幡初, 0.7, 73,   0,* 11,10, 83.8,⑬⑬⑭, 7, 4,Ｎエスユｰグランド, 68,小林淳, 0.3, 75,  -1,  11,14,371.5, ⑩⑩
 8,10,Ｂエンジンゼンカイ, 56,内田博, 1.5, 49,*  6, -11, 3,  4.2, ④④, 8, 7, ヒシフロンティア,,柴田大,199.0,,,, 9, 53.9,⑧⑧⑧, 8, 1,Ｌクリアキｰ, 55,村田一, 0.7, 71,   0,*  8,13,244.3,⑩⑫⑫, 8,12,Ｄサングレアズｰル, 76,津村明, 0.4, 74,   8,   1, 3,  3.9, ④④
