10年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ゆめ半島千葉国体･千葉大会開催記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1,Ｎヘイセイレジェンド, 25,武士沢, 1.6, 32, -16, -19,11,175.8,⑫⑭⑭,12, 9, タケデンブラウン,---,嘉藤貴, 2.0, 33, -26,  -5,16,412.1, ⑫⑬,12, 9,Ｉマイベストソング, 62,村田一, 1.6, 56,  -8,   4,14,168.3, ⑭⑮,12, 7,Ｄエンシャントアｰツ, 76,戸崎圭, 1.4, 65, -23,  15, 6, 10.8, ⑫⑫
13, 9,Ｌガナッシュ, 27,中舘英, 1.9, 30, -11, -32, 7, 35.5,⑨⑧⑧,13,16, アフリｰトギャル,---,伊藤工, 2.5, 28, -11, -23, 4, 11.9, ⑤⑨,13,14,Ｋフィｰルドスピカ, 60,田中勝, 1.6, 55,   1,  -6, 7, 51.8, ⑨⑨,13,10,Ｍトラベルシチｰ, 63,西田雄, 2.1, 53, -23,   6,13,225.3, ⑬⑬
14, 8,Ｏレモンマｰトル, 13,柴田大, 2.5, 23, -11, -41,15,407.4,⑧⑦⑦,14, 7, サクラピュアハｰト,---,北村宏, 2.7, 27, -11, -24, 7, 17.2, ⑦⑧,14, 6,Ｃフラワｰウィンド, 71,伊藤工, 1.7, 54,   4, -10, 5, 14.5, ⑤⑦,,,,,,,,,,,,
,,,,,,,,,,,,15,10, デリｰル,---,津村明, 4.1, 14, -32, -18,12, 97.5, ⑯⑯,15,15,Ｏクリノモンブラン, 52,小野寺, 1.9, 51,  -8,  -1,16,635.7, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,16, 6, キセツノオキテ,---,小林淳, 4.7, 10, -30, -25,11, 78.5, ⑮⑮,16,16,Ｅクインズプレイヤｰ, 69,郷原洋, 2.2, 48,   0, -12, 6, 28.4, ⑪⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-5),,,,,,,,,,,
"単勝:1,650円 複勝:02=630円 12=250円 10=840円 枠連:530円",,,,,,,,,,,,単勝:250円 複勝:05=120円 13=120円 15=160円 枠連:360円,,,,,,,,,,,,単勝:210円 複勝:01=110円 07=140円 12=120円 枠連:430円,,,,,,,,,,,,"単勝:430円 複勝:03=150円 05=210円 02=140円 枠連:1,670円",,,,,,,,,,,
"馬連:3,310円 ワイド:02-12=890円 02-10=2,440円 10-12=990円",,,,,,,,,,,,馬連:340円 ワイド:05-13=160円 05-15=360円 13-15=410円,,,,,,,,,,,,馬連:480円 ワイド:01-07=220円 01-12=190円 07-12=290円,,,,,,,,,,,,"馬連:1,630円 ワイド:03-05=640円 02-03=260円 02-05=490円",,,,,,,,,,,
