10年12月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美浦ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｋアユミチャン, 34,蛯名正,, 66,* 13,* -2, 3,  8.7, ①①, 1, 4, ナドレ,,穂苅寿,,,,, 3,  5.3,④④③, 1, 2,Ａカフェヒミコ, 72,柴田善,, 61,  -2,*  9, 1,  1.2, ⑥⑥, 1, 4,Ｄモエレビクトリｰ, 85,的場勇,, 79,* 10,   2, 1,  2.5,①①①
 2, 5,Ａグリｰンファイヤｰ, 68,横山典, 0.8, 56,* 10,  -7, 1,  1.6, ③③, 2, 2, ハツカリ,,高野和,196.8,,,, 5,  9.2,②②②, 2, 4,Ｅコスモオウガイ, 58,津村明, 0.8, 55,   1,  -1, 4, 16.2, ③③, 2, 3,Ｂスズジュピタｰ, 85,三浦皇, 0.0, 82,   7,   8, 3,  6.8,④⑤③
 3,12,Ｂゴｰルドエンジュ, 58,北村宏, 0.9, 54,   6,  -3, 4, 14.3, ⑥⑥, 3, 9, モリノミヤコ,,大庭和,196.9,,,, 1,  2.6,⑩⑧⑦, 3, 7,Ｂサンバホイッスル, 65,幸英明, 0.8, 56,*  3,  -3, 2,  6.3, ①①, 3,11,Ｊキングスパｰク, 77,村田一, 0.2, 79,   6,   7, 7, 18.4,⑨⑧⑧
 4, 6,Ｈトｰセンミネルバ, 41,三浦皇, 1.0, 52,   3,* -2, 2,  5.1, ⑦⑤, 4, 7, キングマジック,,浜野谷,196.9,,,, 6, 20.8,⑦⑥⑥, 4, 1,Ｆコｰリンハッピｰ, 56,伊藤工, 0.9, 54,  -6,   4, 5, 31.4, ⑦⑦, 4,10,Ｍクリスタルウイング, 74,横山典, 0.2, 81,   3,* 15, 9, 31.6,⑩⑪⑫
 5, 9,Ｌエイコオウイング, 33,柴田善, 1.1, 49,   1,* -1, 6, 21.2, ⑩⑨, 5,13, リワｰドクラウン,,五十嵐,197.1,,,, 4,  6.8,⑤⑤⑤, 5, 3,Ｄアンジュヴォレ, 60,石橋脩, 1.1, 53,  -1,  -1, 6, 41.9, ④④, 5, 2,Ａエオリアンハｰプ, 88,柴田善, 0.2, 81,   5,  11, 2,  3.8,⑧⑨⑨
 6,14,Ｅミスモトヒメサン, 52,石橋脩, 1.7, 44,  -2,  -3, 9, 30.9, ⑬⑫, 6, 6, ショウナンサミット,,江田勇,197.3,,,,10, 46.0,①①①, 6, 5,Ｃブルｰミングメイン, 62,北村宏, 1.1, 52,*  2,  -4, 3, 10.8, ②②, 6, 6,Ｅロッソトウショウ, 82,浜中俊, 0.3, 82,   0,* 17,12, 73.5,⑬⑫⑪
 7, 8,Ｃコスモアイボリｰ, 54,津村明, 1.7, 44,   1,  -6, 7, 22.5, ⑪⑪, 7,11, アラタマポケット,,林満明,197.8,,,,12, 95.5,⑨⑨⑧, 7, 6, アｰトオブプライド,---,平野優, 1.3, 51,  -1,  -3, 7, 75.7, ⑤⑤, 7, 9,Ｇワルキュｰレ, 79,幸英明, 0.3, 80,   3,  13,10, 33.7,⑪⑩⑩
 8,11,Ｎサマｰマリブ, 31,小野寺, 2.1, 42,   4, -12,10, 80.9, ⑨⑧, 8, 1, プリティゴｰルド,,金子光,197.9,,,, 7, 30.6,⑧⑪⑪,,,,,,,,,,,,, 8,12,Ｋオリオンザドンペリ, 76,勝浦正, 0.5, 78,   2,  13,13,118.6,⑫⑬⑬
