10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1300m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,13,Ｈリズムボｰイ, 38,大野拓, 1.8, 38,  -4, -10,11, 93.6, ⑭⑭,12,16, テイエムヒナマツリ,---,武士沢, 3.9, 16, -17, -30,13, 88.3, ⑫⑬,12,15,Ｊキャプテンハッチ, 68,平野優, 1.3, 65,   2,   0, 7, 28.4,⑩⑨⑨,12, 5,Ｅカネスラファｰル, 85,北村宏, 1.4, 73,   5,   9, 7, 26.2, ⑫⑫
13, 6,Ｎマキノスペシャル, 23,吉田豊, 2.5, 33,  -3, -18,12,172.2, ⑧⑩,13, 4, スカイポンポｰソ,---,菅原隆, 5.1,  0, -23, -35,12, 74.8, ⑭⑭,13,13,Ｂダイワモｰスト, 76,小野寺, 1.5, 69,  -2,  13,15,175.8,⑮⑮⑯,13,14,Ｎリオサンバシチｰ, 79,勝浦正, 1.4, 73,   7,   5,16,342.5, ⑦⑦
14, 5,Ｋコスモノｰズアｰト, 37,丹内祐, 2.5, 36,  -5, -12,14,209.3, ⑬⑯,14, 6, クリスタルブロｰチ,---,水口優, 5.1,  3, -14, -45,15,151.1, ⑩⑩,14,10,Ｍディミｰタ, 65,伊藤工, 1.6, 60,   5, -11,11, 48.0,⑧⑦⑦,14, 6,Ｌミスタｰモナルコス, 81,江田照, 2.1, 70,   5,   2,13,211.8, ⑩⑩
15,15,Ｐマスタｰサイプレス, 20,吉田隼, 2.9, 33,  -2, -23,15,301.9, ⑨⑧,15, 8, マスイルベッロ,---,中谷雄, 8.8,-39, -46, -41,16,171.9, ⑯⑯,15,14,Ｐサトノサｰガ, 61,北村宏, 1.9, 64,   0,   3,13,147.7,⑭⑭⑭,15, 7,Ｍデイフラッシュ, 79,小野次, 3.0, 62,   3,  -2,14,274.4, ⑭⑮
16, 2,Ｌタケデンブラウン, 35,嘉藤貴, 5.0, 18,  -6, -34,16,398.7, ⑮⑮,16, 7, タマモドラムセット,---,松岡正, 9.0,-42, -46, -43,10, 70.1, ⑮⑮,16, 8,Ｑトｰセンボｰ, 52,江田照, 1.9, 63,   0,   0,17,254.1,⑫⑫⑫,16, 2,Ｐフロｰライゼ, 65,伊藤工, 3.8, 55,   6, -13,12, 90.0, ⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｋマｰベラスブレイド, 67,丹内祐, 2.2, 61,   1,  -7,14,172.3,⑨⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:280円 複勝:08=130円 16=1,450円 14=220円 枠連:4,890円",,,,,,,,,,,,"単勝:400円 複勝:11=150円 03=270円 15=290円 枠連:1,080円",,,,,,,,,,,,単勝:150円 複勝:06=110円 02=230円 12=500円 枠連:770円,,,,,,,,,,,,単勝:360円 複勝:15=160円 04=190円 09=390円 枠連:320円,,,,,,,,,,,
"馬連:8,720円 ワイド:08-16=2,270円 08-14=390円 14-16=5,530円",,,,,,,,,,,,"馬連:1,550円 ワイド:03-11=680円 11-15=1,100円 03-15=1,620円",,,,,,,,,,,,"馬連:740円 ワイド:02-06=310円 06-12=820円 02-12=2,800円",,,,,,,,,,,,"馬連:1,110円 ワイド:04-15=460円 09-15=1,300円 04-09=1,520円",,,,,,,,,,,
