10年 9月26日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月26日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1700m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｶｼﾔ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, アスタｰウィング,---,勝浦正,, 58,  -8,*  3, 2,  7.2, ⑤⑤, 1, 3,Ａアドマイヤマリン, 75,上村洋,, 74,  11,*  4, 1,  2.8,④④④, 1,10,Ｅプリマベｰラシチｰ, 67,古川吉,, 69,*  8,  -1, 3,  6.9, ②②, 1,12,Ａリアルヴィクトリｰ, 81,武幸四,, 80,   6,*  9, 7, 11.2,⑬⑫⑨
 2,11,Ｉマルデデルマ, 30,古川吉, 0.3, 55,  -7,  -2, 7, 19.7, ⑥⑥, 2, 5,Ｃマスタｰコｰク, 69,武幸四, 0.1, 75,  11,   3, 2,  3.7,③③②, 2,12,Ｂキクノアルバ, 68,荻野琢, 0.1, 64,   0,*  3, 1,  3.1, ⑥④, 2, 2,Ｉトキノフウジン, 75,柴原央, 0.2, 74,* 10,   0, 4,  6.4,②②②
 3, 8,Ｅヤマノサファイア, 45,中舘英, 0.4, 54,  -9,   0, 3,  7.2, ⑨⑨, 3, 9,Ｂロｰザレｰヌ, 74,秋山真, 0.6, 69,   8,*  5, 4,  6.3,⑪⑩⑦, 3, 6,Ｃトゥインクルスノｰ, 67,服部茂, 0.4, 60,  -1,*  1, 4,  7.9, ⑧⑥, 3,13,Ｍサイモントルナｰレ, 74,中舘英, 0.2, 74,   9,   3, 8, 13.8,⑧⑥④
 4,10,Ａダイアンスマイル, 60,三浦皇, 0.4, 54,* -1,  -8, 1,  1.9, ②②, 4, 6,Ｆピロｰトｰク, 65,勝浦正, 0.6, 68,  11,   0, 7, 32.8,⑥⑤⑤, 4, 7,Ｆアｰムズトウショウ, 66,上村洋, 0.6, 63,   6,  -5, 5,  8.0, ④③, 4,10,Ｈバアゼルリバｰ, 76,宮崎北, 0.2, 73,   7,*  5,10, 30.5,⑪⑨⑧
 5, 3,Ｈコアヨカ, 35,丹内祐, 0.6, 51,  -4,  -8, 6,  9.6, ③③, 5, 1,Ｄエリモレインボｰ, 68,芹沢純, 0.7, 66,   7,*  4, 8, 41.2,⑫⑪⑨, 5, 4,Ｇキタサンハナミチ, 66,西村太, 0.7, 56,  -3,  -1, 6,  8.4, ⑪⑨, 5, 9,Ｅヘリオスシチｰ, 79,秋山真, 0.4, 73,   9,   1, 2,  5.2,⑤④⑤
 6, 6,Ｂレナキックス, 50,丸山元, 0.8, 47,  -9,  -6, 5,  9.5, ⑧⑧, 6, 2,Ｅキララチュｰル, 65,長谷川, 1.3, 61,   9,  -3, 6, 16.4,⑦⑦⑥, 6, 3,Ｉノボニョ, 65,三浦皇, 0.9, 55,  -2,  -2,10, 28.6, ⑩⑫, 6, 1,Ｃサクラキングオｰ, 80,丸山元, 0.5, 73,   7,   1, 3,  5.4,④⑦⑦
 7, 4,Ｇヤマニンアルシェ, 36,小林徹, 0.8, 47,*  0, -15,11, 85.8, ①①, 7, 4,Ｌディアコトミ, 57,丸田恭, 2.0, 58,   7,  -7,11,130.0,⑩⑨⑩, 7, 8,Ａエスジｰナミ, 68,吉田隼, 0.9, 60,   6,  -7, 7, 16.9, ③⑤, 7, 5,Ｇアドマイヤプレミア, 76,上村洋, 0.7, 76,   6,*  6, 6, 10.2,⑫⑬⑪
 8, 2,Ｃオｰミリバティｰ, 49,丸田恭, 0.8, 47, -11,  -4, 8, 30.8, ⑩⑩, 8, 8,Ｈタイキエイワン, 63,丸山元, 2.2, 57,* 12, -16, 3,  4.5,②②①, 8, 2,Ｄツｰピｰスルｰラｰ, 67,丸山元, 0.9, 62,* 10, -10, 2,  4.9, ①①, 8,11,Ｄリｰガルスキｰム, 80,勝浦正, 0.8, 70,   9,  -3, 5,  9.6,⑦⑤③
 9, 1,Ｆメイショウトカチ, 40,吉田隼, 1.0, 44,  -9,  -8, 4,  9.5, ⑦⑦, 9,11,Ｉルｰシエン, 62,古川吉, 2.8, 54,  10, -16, 9, 45.3,⑧⑧⑪, 9, 1,Ｈアンロｰランサン, 66,秋山真, 1.0, 54,  -1,  -4, 8, 26.0, ⑦⑪, 9, 4,Ｆヌｰサ, 77,柴山雄, 1.0, 68,   8,  -2,12, 60.8,③⑧⑬
10, 9,Ｄアｰスワンラシアン, 46,秋山真, 1.0, 45, -13,  -4,10, 65.4, ⑪⑪,10, 7,Ｊアイティアビｰ, 61,丹内祐, 3.1, 51,  11, -22,12,239.7,⑤⑥⑧,10,11,Ｊエリザベスムｰン, 65,中舘英, 1.2, 51,  -1,  -6,11, 29.2, ⑨⑦,10, 3,Ｂタイキジャガｰ, 80,吉田隼, 1.4, 67,* 10, -10, 1,  4.2,①①①
11, 5,Ｊカシマホクト, 26,黛弘人, 1.7, 36,  -4, -23, 9, 35.1, ④④,11,10,Ｇスマｰトパルス, 63,中舘英, 3.6, 46,* 14, -33, 5, 13.1,①①③,11, 9,Ｌクィンビｰクイｰン, 52,国分優, 1.3, 48,  -7,  -3, 9, 26.3, ⑫⑩,11, 6,Ｌミスタｰルイス, 74,丸田恭, 1.5, 65,   6,  -4, 9, 25.8,⑥⑪⑫
