10年 6月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,さくらんぼ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃダイナミズム, 62,後藤浩,, 64,*  4,   5, 1,  3.6, ①①, 1, 4, トキノナスティア,,浜野谷,,,,, 1,  1.7,④①①, 1, 5,Ａマイネルドルチェ, 60,蛯名正,, 61,  -6,*  9, 1,  2.6,⑦⑥④, 1,12,Ａパドトロワ, 82,松岡正,, 77,*  7,   4, 1,  3.4, ①①
 2, 8, レオｰネバンダム,---,内田博, 0.1, 65,   0,*  8, 8, 25.1, ⑥④, 2, 7, マイネルカｰロ,,草野太,179.8,,,, 8, 33.6,⑧⑥⑤, 2, 8,Ｇリッツィｰスタｰ, 48,柴田善, 0.0, 61,* -5,   7, 6, 31.3,③③③, 1,10,Ｋダイワナイト, 68,北村宏,, 76,   0,* 10, 8, 19.4, ⑥④
 3,10,Ｈヤマニンアストレア, 52,蛯名正, 0.3, 64,*  4,   3, 6, 10.7, ②③, 3, 9, アイズオブゾロ,,穂苅寿,180.0,,,, 2,  5.0,⑦⑤④, 3, 4,Ｂトレノユｰボウ, 57,後藤浩, 0.1, 61,  -7,* 10, 2,  3.2,⑧⑦⑥, 3, 1,Ｌバロンダンス, 68,田中博, 0.3, 74,   2,   6, 9, 20.5, ③⑤
 4, 3,Ｂカゼノマイヒメ, 65,伊藤工, 0.3, 62,  -3,* 10, 2,  4.3, ⑨⑦, 4, 5, テイエムサプライズ,,大庭和,181.3,,,, 3,  6.0,①②②, 4,12,Ｄハイレイヤｰ, 51,田中勝, 0.1, 59,* -5,   4, 3,  4.3,②②②, 4, 2,Ｄコンプリｰトラン, 76,柴田善, 0.5, 70,  -1,   5,13, 38.8, ⑦⑥
 5,12,Ｅビコｰペグｰ, 60,吉田豊, 0.7, 58,  -1,   4, 5, 10.2, ⑦⑧, 5,11, ボｰマンド,,江田勇,182.7,,,, 5, 16.1,③③③, 5, 2,Ｊレオアビリティ, 43,江田照, 0.3, 59,  -9,* 10, 8, 45.1,⑪⑧⑧, 5,14,Ｃシェリルピンク, 79,田中勝, 0.7, 68, -13,* 14, 3,  5.9, ⑬⑬
 6,14,Ｆメガフェリｰチェ, 58,北村宏, 1.1, 54,*  3,  -3, 4,  7.1, ④⑤, 6, 6, ナスノオｰ,,金子光,183.5,,,, 9, 91.5,⑥⑦⑧, 6, 1,Ｆヘッドラインレディ, 48,水口優, 0.9, 49,  -6,  -4, 7, 44.5,④⑤⑤, 6, 7,Ｉアグネスハッピｰ, 71,蛯名正, 0.7, 67,  -8,*  9, 7, 18.6, ⑫⑪
 7, 2,Ｊミサノハナミズキ, 38,田辺裕, 1.1, 57,  -5,   6,12,100.9, ⑪⑩, 7,14, シルクパナシア,,五十嵐,183.7,,,, 4, 14.8,②④⑥, 7,16,Ｍルｰジュビクトリｰ, 42,小林淳, 1.1, 51,  -8,   0,13,107.3,⑨⑩⑨, 7, 9,Ｅスワン, 73,村田一, 0.9, 65,   2,  -3,11, 31.3, ⑤③
 8, 7,Ａトｰホウブエナス, 65,嘉藤貴, 1.2, 55,*  3,  -4, 7, 13.7, ③②, 8, 2, アコガレノダンス,,柴田未,183.8,,,,14,230.9,⑤⑧⑦, 8, 9,Ｅヤサワ, 48,西田雄, 1.4, 43,* -3, -15,11, 68.5,①①①, 8, 3,Ｇビンチェロ, 72,内田博, 0.9, 65,  -2,   1, 4,  8.4, ⑨⑨
 9, 5,Ｇカエラチャン, 56,国分優, 1.3, 54,  -5,   2,10, 54.8, ⑫⑪, 9, 1, ゴｰストライタｰ,,水出大,185.2,,,,12,171.2,⑫⑪⑪, 9,14,Ｏトッププライス, 40,北村宏, 1.5, 47, -12,  -1, 9, 49.7,⑩⑫⑪, 9,13,Ｊカｰリアンダンス, 70,西田雄, 1.4, 58,  -1,  -7,15,102.1, ⑧⑧
10,11, アピｰルタイム,---,松岡正, 1.5, 52, -13,*  8, 9, 34.3, ⑭⑭,10, 8, トウショウヴォイス,,高野和,186.8,,,, 6, 17.9,⑩⑨⑨,10, 7,Ｌペスタロッチ, 42,田辺裕, 1.8, 41, -11,  -5,16,149.5,⑫⑪⑩,10,16,Ｂゴｰルデンリング, 81,田辺裕, 1.4, 58,*  7, -14, 5, 13.4, ②②
