10年 9月 4日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月 4日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
 9, 8,Ｊランドヘラクレス, 40,柴山雄, 1.3, 42,  -8, -19,11,138.2,⑪⑨⑦,,,,,,,,,,,,, 9,12,Ｃホクトスワン, 74,藤岡佑, 1.4, 62,   2,   5, 8, 26.9,⑫⑩⑨, 8,12,Ｈエイシンワｰルド, 71,丸田恭, 2.3, 63,   4,  -4, 9, 30.8,⑬⑪⑩
10, 2,Ｆノブサプライズ, 50,藤田伸, 1.5, 42, -10, -16, 3, 12.0,⑨⑪⑪,,,,,,,,,,,,,10,13,Ｂレオキュｰト, 75,黛弘人, 1.7, 60,   1,   4, 9, 29.6,⑬⑬⑫, 9, 6,Ｌオメガブルｰグラス, 67,三浦皇, 2.7, 58,  11, -20, 5, 14.4,④④④
11, 6,Ｍソウルオブエイチ, 32,四位洋, 1.6, 40, -11, -16, 6, 20.5,⑫⑫⑫,,,,,,,,,,,,,11, 2,Ｍベルモントダイヤ, 58,中谷雄, 2.4, 54,   3,  -7, 7, 23.9,⑧⑦⑧,10, 4,Ｉアドマイヤワｰルド, 71,勝浦正, 2.7, 58,   5, -10,12, 43.3,⑨⑨⑪
12, 3,Ｌコスモノｰズアｰト, 32,丹内祐, 1.8, 40,  -8, -26,13,385.7,③⑥⑩,,,,,,,,,,,,,12, 1,Ｇハエヌキ, 68,中舘英, 3.2, 49,   1,  -8,11, 55.5,⑩⑫⑬,11,10,Ｄピエナミッチｰ, 73,古川吉, 3.1, 57,   4, -10,11, 40.5,⑪⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｈプリンセスミカ, 66,秋山真, 3.8, 44,   6, -23,12, 66.9,②③⑪,13, 9,Ｍダノンマスタｰズ, 64,横山典, 3.1, 56,   6, -14,10, 38.5,⑥⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,
単勝:130円 複勝:10=110円 12=990円 11=340円 枠連:410円,,,,,,,,,,,,単勝:400円 複勝:03=220円 04=230円 枠連:0円,,,,,,,,,,,,"単勝:490円 複勝:06=240円 04=220円 08=480円 枠連:1,000円",,,,,,,,,,,,"単勝:300円 複勝:07=160円 13=210円 08=1,410円 枠連:640円",,,,,,,,,,,
"馬連:3,250円 ワイド:10-12=1,530円 10-11=410円 11-12=4,820円",,,,,,,,,,,,馬連:850円 ワイド:03-04=330円 03-06=350円 04-06=420円,,,,,,,,,,,,"馬連:1,100円 ワイド:04-06=480円 06-08=1,430円 04-08=1,450円",,,,,,,,,,,,"馬連:1,020円 ワイド:07-13=470円 07-08=4,080円 08-13=8,690円",,,,,,,,,,,
"馬単:4,440円 3連複:9,090円 3連単:37,340円",,,,,,,,,,,,"馬単:1,800円 3連複:1,370円 3連単:7,900円",,,,,,,,,,,,"馬単:2,070円 3連複:5,310円 3連単:21,580円",,,,,,,,,,,,"馬単:1,610円 3連複:27,100円 3連単:90,750円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,富良野特別,,,,,,,,,,,,日高特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃカメリアビジュ, 65,横山典,, 66,*  7,  -3, 2,  3.8,⑧①①, 1,11,Ａダイビングキャッチ, 68,勝浦正,, 67,  -3,* 11, 1,  3.9,⑤④③, 1, 3,Ｃマストハブ, 70,四位洋,, 75,   9,  -4, 3,  5.5,⑦⑤②, 1, 5,Ｃリリエンタｰル, 79,横山典,, 77,   4,   7, 3,  3.3,④④③
 2, 7,Ａネオスペチアｰレ, 67,秋山真, 0.0, 68,*  7,  -2, 3,  5.7,⑥②②, 2, 5,Ｅグｰテデロワ, 57,黛弘人, 0.5, 65,  -4,*  8, 8, 11.8,⑥⑥④, 2,11,Ｋファイアレッド, 66,池添謙, 0.1, 75,  10,  -5, 5,  8.7,⑥⑥④, 2, 3,Ｂエジソン, 80,藤田伸, 0.1, 75,   5,   2, 5, 13.7,③③④
 3, 5,Ｇセイカミカワ, 61,柴山雄, 0.7, 62,   4,  -2, 9, 37.6,⑬⑨⑦, 3, 9,Ｈラプリマステラ, 53,上村洋, 0.7, 65,* -2,   4, 6,  9.7,③③②, 3, 5,Ｉトミケンプライム, 67,丸山元, 0.3, 76,  10,  -2,11, 44.0,⑩⑧⑤, 3, 4,Ｄエナｰジバイオ, 79,丸田恭, 0.1, 77,   1,* 11, 4,  8.2,⑧⑦⑦
 4, 8,Ｆポロメリア, 63,藤田伸, 0.7, 65,   2,*  1, 5,  8.3,⑪⑪⑨, 4,12,Ｂナンヨｰドリｰム, 66,丸田恭, 1.2, 58,* -2,  -1, 2,  4.8,②②①, 4,10,Ａメジロジョン, 75,三浦皇, 0.3, 74,   7,*  0, 1,  4.1,⑫⑪⑧, 4, 7,Ｆマヤノゴクウ, 74,古川吉, 0.2, 77,   2,   7, 7, 47.6,⑥⑤⑤
 5, 4,Ｄチェックユアハｰト, 64,丸山元, 0.8, 65,   4,  -2, 7, 19.8,⑦⑧⑧, 5, 1,Ｊカサドｰルバンダム, 49,竹之下, 1.4, 59,  -5,   3,10, 48.7,⑫⑩⑧, 5, 1,Ｂコスモメドウ, 73,丹内祐, 0.4, 73,* 13, -22, 4,  5.6,①①①, 5, 9,Ｅアマファソン, 75,丸山元, 0.3, 73,   3,   4, 2,  3.0,⑦⑥⑥
 6, 9,Ｈハラップクｰ, 59,大野拓, 0.9, 60,   5,  -6, 8, 21.7,⑨⑥⑥, 6, 6,Ｋネオフェリｰク, 42,秋山真, 1.4, 59,  -4,   2, 9, 44.3,⑨⑧⑥, 6,14,Ｊアクアブルｰフライ, 66,長谷川, 0.5, 72,  11, -12, 7, 13.9,④③③, 6, 6,Ｈサムデイシュアｰ, 68,丹内祐, 0.5, 77,  -1,*  8, 9,204.6,⑨⑧⑧
 7, 2,Ｉメイプルリボｰン, 59,芹沢純, 1.0, 63,   2,*  1,11, 64.1,⑫⑫⑩, 7, 4,Ｄレッドガルｰダ, 58,丸山元, 1.8, 56,  -4,  -3, 5,  8.0,④⑤⑤, 7, 6,Ｈピエナファンタスト, 67,武幸四, 0.5, 73,   8,  -4, 2,  4.9,⑪⑩⑨, 7, 2,Ａデルフォイ, 81,藤岡佑, 0.7, 69,*  6,  -8, 1,  2.8,②②②
 8, 1,Ｂジュンノアスカ, 66,中谷雄, 1.4, 58,*  6, -13, 1,  3.6,⑤③③, 8, 2,Ｉスマｰトクロノス, 50,丹内祐, 1.9, 56,  -6,   0,13,186.8,⑬⑬⑩, 8, 8,Ｆブリｰジｰデイズ, 68,丸田恭, 0.6, 70,   9, -10, 8, 17.6,⑤⑦⑦, 8, 1,Ｇアｰスマリン, 68,三浦皇, 1.0, 66,*  6, -14, 6, 29.9,①①①
 9,10,Ｅキャニオンルナ, 64,勝浦正, 2.3, 51,*  6, -20, 4,  6.6,②⑤⑤, 9, 7,Ｇオンマイマインド, 55,武幸四, 2.9, 51,  -4, -13, 4,  7.3,⑦⑦⑦, 9,12,Ｄバイタルシチｰ, 70,柴山雄, 1.0, 68,  10, -15,10, 30.6,⑨⑨⑥, 9, 8,Ｉサワヤカスマイル, 66,勝浦正, 1.3, 64,   1,  -4, 8, 89.7,⑤⑨⑨
10,13,Ｍアイディンワルツ, 44,川須栄, 3.0, 47,*  6, -27,12, 94.9,①④④,10,13,Ｃディアシｰクレット, 61,藤田伸, 3.1, 47,  -5, -12, 3,  5.3,⑩⑨⑫,10,13,Ｇタガノアブシンベル, 68,古川吉, 1.3, 67,   7, -12, 9, 21.3,⑬⑫⑫,,,,,,,,,,,,
11, 6,Ｋキョウワフェアリｰ, 46,武幸四, 3.1, 53,  -1, -14,10, 58.0,⑩⑬⑬,11,10,Ｆアｰスジェガｰ, 57,三浦皇, 4.3, 37,  -5, -22, 7, 11.3,⑪⑪⑪,11, 4,Ｌスマｰトファントム, 64,中舘英, 1.4, 66,   7, -11,12, 78.1,⑭⑭⑪,,,,,,,,,,,,
12,12,Ｌレッドマシェリ, 44,池添謙, 3.4, 45,   3, -23,13,145.1,④⑩⑫,12, 8,Ｌクリノハイビｰト, 40,宮崎北, 4.4, 36,* -2, -28,12,115.6,①①⑨,12, 7,Ｅタガノガブリエル, 69,藤岡佑, 2.1, 60,* 13, -44, 6, 13.3,②②⑩,,,,,,,,,,,,
13, 3,Ｊネオヴェリｰフェズ, 56,藤岡佑, 4.2, 40,   4, -32, 6, 10.6,③⑦⑪,13, 3,Ｍエニｰデイ, 32,中谷雄, 5.1, 34,  -5, -27,11,115.0,⑧⑫⑬,13, 2,Ｍエピックジャｰニｰ, 59,荻野琢, 3.5, 54,   5, -39,13,137.1,⑧⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｎファンキｰラッシュ, 50,宮崎北, 4.2, 54,   9, -62,14,177.0,③④⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
単勝:380円 複勝:11=180円 07=180円 05=370円 枠連:660円,,,,,,,,,,,,単勝:390円 複勝:11=160円 05=340円 09=300円 枠連:630円,,,,,,,,,,,,"単勝:550円 複勝:03=250円 11=260円 05=900円 枠連:1,800円",,,,,,,,,,,,"単勝:330円 複勝:05=150円 03=310円 04=180円 枠連:2,480円",,,,,,,,,,,
"馬連:1,060円 ワイド:07-11=390円 05-11=2,110円 05-07=1,830円",,,,,,,,,,,,"馬連:2,380円 ワイド:05-11=890円 09-11=990円 05-09=1,830円",,,,,,,,,,,,"馬連:2,360円 ワイド:03-11=920円 03-05=3,570円 05-11=2,420円",,,,,,,,,,,,"馬連:2,420円 ワイド:03-05=700円 04-05=360円 03-04=930円",,,,,,,,,,,
"馬単:1,910円 3連複:7,590円 3連単:34,620円",,,,,,,,,,,,"馬単:3,100円 3連複:7,080円 3連単:35,860円",,,,,,,,,,,,"馬単:3,460円 3連複:25,570円 3連単:114,560円",,,,,,,,,,,,"馬単:3,390円 3連複:3,140円 3連単:17,690円",,,,,,,,,,,
■ 3R  ダ1700m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  芝1500m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,HBC賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, シヴァルリｰ,---,池添謙,, 52,*  2,*-13, 2,  3.7,③③②, 1, 4,Ｅノトｰリアス, 59,古川吉,, 65,   4,  -1, 3,  7.2, ④④, 1,16,Ｄティファニｰケイス, 75,藤岡佑,, 83,* 18,  -2, 5,  7.6, ①①, 1, 7,Ｃアドマイヤテンバ, 69,藤岡佑,, 69,   1,*  7, 2,  4.9,⑪⑩⑪
 2, 4, ヨイチサｰクル,---,大野拓, 0.5, 48,*  4, -19, 7, 16.6,①①①, 2,11,Ａジェラルドエビス, 72,勝浦正, 0.0, 67,*  8,  -3, 1,  2.4, ②②, 2,15,Ａアラマサロｰズ, 77,勝浦正, 0.2, 76,   8,   6, 1,  4.2, ⑩⑨, 2, 4,Ｌヤマカツマヤリス, 54,荻野琢, 0.0, 70,   6,  -1, 9, 42.8,②②②
 3,10, ウォｰタｰデュｰク,---,武幸四, 1.9, 47,  -6,*-13, 6, 11.4,⑫⑫⑨, 3, 2,Ｆバンダムシュロｰム, 56,丸山元, 0.4, 57,  -6,*  2, 6, 12.9, ⑧⑧, 3, 5,Ｉリキサンシンオｰ, 72,藤田伸, 0.3, 74,   6,   6, 2,  4.6, ⑧⑥, 3, 8,Ｍナリタブルｰスタｰ, 53,池添謙, 0.0, 71,*  8,  -2, 6, 11.6,③③③
 4,13, イチニノサンシロウ,---,丸田恭, 2.3, 38,   1, -30, 5, 10.3,⑦⑤③, 4, 3,Ｉエクスプロｰジョン, 46,池添謙, 0.5, 62,*  8,  -8, 9, 41.8, ①①, 4, 6,Ｃアスタｰエンペラｰ, 75,中舘英, 0.3, 79,* 16,  -5, 3,  5.8, ②②, 4, 1,Ｇエステｰラブ, 64,宮崎北, 0.3, 67,   5,  -2, 8, 15.6,⑥⑤④
 5,12, ヘラルドリｰ,---,三浦皇, 3.4, 32,   1, -40, 1,  3.1,⑤⑥④, 5, 8,Ｈライジングタイド, 49,三浦皇, 0.9, 54,   0,  -6,10, 54.0, ⑥⑤, 5,14,Ｍフェｰルクｰクｰ, 69,三浦皇, 0.4, 73,   6,   4,13, 60.7, ⑨⑩, 5,13,Ｄリズミカルステップ, 68,三浦皇, 0.4, 66,   5,  -5, 4,  7.2,⑤⑥⑥
 6, 5, マルデデルマ,---,藤田伸, 3.7, 32,   0, -38, 8, 26.6,⑥⑦⑥, 6, 1,Ｄキｰマン, 60,宮崎北, 0.9, 51,  -9,*  0, 4, 11.0, ⑪⑨, 6, 3,Ｈピエナブラヴ, 72,古川吉, 0.4, 71,   2,*  8,10, 32.5, ⑪⑪, 6, 3,Ｅマルタｰズクリス, 68,勝浦正, 0.4, 64,   2,   0, 5,  9.3,⑩⑨⑦
 7, 1, バｰチャルトラック,---,勝浦正, 3.7, 31,  -9, -23,12, 84.6,⑬⑬⑪, 7,12,Ｂケイエスジャパン, 66,藤岡佑, 1.1, 55,   5, -12, 2,  3.7, ③③, 7, 1,Ｇゼットオｰラ, 73,池添謙, 0.4, 76,* 14,  -3, 4,  6.1, ③③, 7, 9,Ｈショウグンエｰス, 64,国分優, 0.4, 67,* 10, -11,13,118.5,①①①
 8, 3, アルマニャック,---,丸山元, 3.9, 30,  -3, -38, 4,  9.3,⑩⑨⑧, 8,10,Ｇメイショウセキトバ, 54,武幸四, 1.2, 54,   1, -10, 5, 11.0, ⑤⑦, 8, 8,Ｅナリタシリカ, 74,上村洋, 0.4, 74,   9,   2, 6, 11.4, ⑥⑦, 8,10,Ｆトｰホウカクテル, 65,横山典, 0.5, 63,  -2,*  7, 3,  6.8,⑭⑭⑭
 9,11, カシマホクト,---,黛弘人, 4.9, 25,   1, -53,13,189.6,④④⑤, 9, 9, バトルウィｰキャン,---,川須栄, 1.8, 43, -23,*  0,11,242.0, ⑫⑫, 9,12,Ｆラヴァｰズテｰラｰ, 74,荻野琢, 0.5, 72,  10,  -1, 7, 19.7, ⑦⑧, 9, 6,Ｋヴィトンクイｰン, 55,川須栄, 0.6, 63,   6,  -9,12, 71.4,④④⑤
10, 8, タツタヒメ,---,宮崎北, 5.7, 21,  -4, -48,11, 67.3,⑪⑪⑬,10, 6,Ｊライスヴェス, 40,荻野琢, 1.9, 44,  -5, -11,12,244.3, ⑩⑪,10, 7,Ｏアグネスティンクル, 67,四位洋, 0.7, 66,  -4,* 11, 8, 23.8, ⑭⑮,10,11,Ｂシセイオウジ, 70,丸田恭, 0.8, 60,   3,  -6, 7, 13.6,⑧⑧⑨
11, 6, グロｰバルチャｰジ,---,藤岡佑, 5.9, 21,  -3, -54,10, 49.3,⑨⑩⑩,11, 7,Ｃダリムｰ, 61,藤田伸, 2.0, 44,   0, -16, 7, 13.0, ⑦⑥,11, 9,Ｊヌｰサ, 72,丹内祐, 0.7, 73,  13,  -6,14,105.3, ④⑤,11, 5,Ａタニノネグロｰニ, 80,丸山元, 0.9, 59,   4,  -9, 1,  2.8,⑦⑦⑧
12, 2, ウォｰタｰリンドン,---,横山典, 6.4,  7,  -1, -61, 3,  5.0,⑧⑧⑦,12, 5, メジログロｰバｰ,---,小林徹, 3.3, 29,  -6, -25, 8, 22.8, ⑨⑩,12,13,Ｌカツヨトワイニング, 71,秋山真, 0.7, 66,  -7,* 14, 9, 25.8, ⑯⑯,12, 2,Ｊフォｰレイカｰ, 56,秋山真, 0.9, 59,   0,  -2,11, 69.7,⑬⑫⑩
13, 9, ネオファンシｰ,---,国分優, 9.2,-14,*  2, -92, 9, 43.0,②②⑫,,,,,,,,,,,,,13, 2,Ｂアモｰレヴォレ, 75,丸山元, 0.8, 68,  10,  -5,12, 52.9, ⑤④,13,12,Ｉブラストクロノス, 62,丹内祐, 1.1, 58,   0,  -6,10, 63.8,⑫⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｎバロンダンス, 69,武幸四, 0.8, 67,   1,   5,11, 33.3, ⑫⑫,14,14,Ｎステファナイト, 47,西村太, 3.0, 37,   2, -33,14,312.4,⑨⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｐフランシｰル, 59,丸田恭, 1.0, 62,  -2,   4,15,117.8, ⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｋサンマルチｰフ, 72,柴山雄, 1.0, 62,  -3,   5,16,207.1, ⑮⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-24 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,
"単勝:370円 複勝:07=150円 04=400円 10=280円 枠連:1,950円",,,,,,,,,,,,単勝:720円 複勝:04=250円 11=130円 02=260円 枠連:750円,,,,,,,,,,,,"単勝:760円 複勝:16=270円 15=160円 05=190円 枠連:1,450円",,,,,,,,,,,,"単勝:490円 複勝:07=220円 04=750円 08=290円 枠連:1,840円",,,,,,,,,,,
"馬連:3,830円 ワイド:04-07=1,350円 07-10=810円 04-10=2,300円",,,,,,,,,,,,"馬連:1,080円 ワイド:04-11=480円 02-04=810円 02-11=460円",,,,,,,,,,,,"馬連:1,490円 ワイド:15-16=600円 05-16=850円 05-15=420円",,,,,,,,,,,,"馬連:8,350円 ワイド:04-07=2,670円 07-08=1,190円 04-08=3,820円",,,,,,,,,,,
"馬単:5,970円 3連複:12,300円 3連単:61,010円",,,,,,,,,,,,"馬単:2,710円 3連複:2,780円 3連単:15,680円",,,,,,,,,,,,"馬単:3,280円 3連複:2,320円 3連単:15,490円",,,,,,,,,,,,"馬単:12,970円 3連複:26,640円 3連単:140,810円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
