10年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,宝塚記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄナリタシルエット, 62,渡辺薫,, 65,*  8,  -2, 3,  4.9, ④③, 1, 9, ホｰマンルッツ,---,池添謙,, 55,   1,  -9, 1,  2.9, ③③, 1, 9,Ｇレッドサｰパス, 72,小牧太,, 70,  11,* -8, 1,  5.1,⑭⑩⑧, 1,17,Ｈナカヤマフェスタ, 91,柴田善,, 90,  17,*  3, 8, 37.8,⑫⑨⑨
 2,16,Ａトップオブザヘヴン, 63,太宰啓, 0.2, 62,   6,* -1, 6,  9.7, ⑧⑦, 2,10, ヒュｰストニア,---,福永祐, 1.3, 42,  -3, -18, 2,  3.9, ⑤④, 2,15,Ａアイノグロｰ, 76,佐藤哲, 0.3, 69,  12, -12, 8, 12.2,⑪⑧⑤, 2, 8,Ｂブエナビスタ, 98,横山典, 0.1, 89,* 19,  -4, 1,  2.4,③⑤④
 3, 4,Ｅクラヴィコｰド, 56,ウィリ, 0.2, 62,   5,* -1, 7,  9.7, ⑨⑨, 3, 7, プレストリガｰ,---,太宰啓, 1.5, 42, -25,*  3, 9, 30.6, ⑩⑩, 3,14,Ｊスタｰサイクル, 71,川須栄, 0.5, 67,  11, -13,15,137.3,⑩⑨⑦, 3, 2,Ｇアｰネストリｰ, 92,佐藤哲, 0.2, 87,* 20,  -9, 3,  6.4,②②②
 4, 3,Ｃザッハトルテ, 62,浜中俊, 0.3, 62,   6,  -2, 2,  4.9, ⑤⑤, 4,11, ダイシンワイルド,---,川田将, 1.7, 39,  -4, -19, 3,  6.1, ⑥⑥, 4,13,Ｅラピッドボｰイ, 74,横山典, 0.6, 65,  14, -19, 4,  8.0,③④③, 4,18,Ｃドリｰムジャｰニｰ, 97,池添謙, 0.3, 92,  17,*  2, 4,  7.8,⑪⑫⑫
 5, 7,Ｆプリンセスメイク, 54,田嶋翔, 1.3, 52,   3,  -8,11, 72.8, ⑪⑩, 5, 8, ブｰケパルフェ,---,北村友, 1.8, 42,*  4, -28, 4,  7.5, ①①, 5, 3,Ｆスマイルミッキｰ, 73,藤岡佑, 0.7, 67,  14, -20, 3,  7.0,⑥⑤④, 5, 3,Ｉネヴァブション, 91,後藤浩, 0.5, 86,  18,  -6,12, 48.4,⑦⑪⑥
 6,15,Ｂショウナンカラット, 62,岩田康, 1.5, 53,*  8, -17, 1,  4.1, ②②, 6, 2, ランギット,---,藤田伸, 1.8, 41,*  3, -27, 6, 13.8, ②②, 6, 4,Ｃフィｰルドウイナｰ, 75,小坂忠, 0.7, 66,   8,* -7,12, 30.2,⑫⑬⑩, 6,12,Ｎメイショウベルｰガ, 87,幸英明, 0.5, 87,  15,*  1,13, 75.5,⑭⑮⑭
 7, 5,Ｇニホンピロエリナ, 53,酒井学, 1.5, 53,   6, -13, 4,  6.2, ⑦⑧, 7, 6, マイネルデフィ,---,和田竜, 2.0, 38,  -1, -25, 5,  7.7, ④⑤, 7,11,Ｏムｰンライトソｰド, 65,国分恭, 1.1, 63,* 15, -24, 9, 15.4,②③②, 7, 4,Ｋスマｰトギア, 89,和田竜, 0.7, 86,  14,*  2,14,125.6,⑰⑰⑮
 8,11,Ｊスウィｰプイン, 50,小林慎, 1.6, 48,  -3,  -3,16,204.6, ⑮⑫, 8, 5, ボｰフォｰト,---,浜中俊, 2.4, 34, -19, -11, 8, 25.1, ⑨⑨, 8, 5,Ｄウインザモチ, 75,高倉稜, 1.3, 64,   6, -10,14, 55.4,⑨⑭⑬, 8,10,Ａジャガｰメイル, 98,ウィリ, 0.7, 84,  16,  -7, 2,  5.1,⑧⑧⑩
 9,13,Ｉトゥｰファン, 51,国分恭, 1.6, 51,   5, -14, 8, 27.9, ⑥⑥, 9, 3, フレンドハｰバｰ,---,幸英明, 2.7, 29,  -7, -26,10, 58.0, ⑧⑦, 9, 6,Ｈナカヤマスウェプト, 72,鷹野宏, 1.4, 62,   9, -16,13, 48.0,⑬⑫⑫, 9, 5,Ｍナムラクレセント, 88,小牧太, 0.8, 83,* 20, -19, 9, 46.4,①①①
