10年 3月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 3月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名古屋城ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｇブライティアカｰサ, 51,丸山元,, 60,* -2,  -3, 6, 25.9, ①①, 1,16,Ｃクレバｰロッシｰ, 66,丸山元,, 71,*  3,*  3, 3,  6.1,①①①, 1, 9,Ｅチュウワプリンス, 69,川田将,, 82,  13,   0, 4,  8.3,⑤⑤③, 1, 7,Ａタマモクリエイト, 88,幸英明,, 83,   5,* 18, 4,  7.6,⑧⑧⑦
 2,12,Ｄルナドリｰム, 53,酒井学, 0.3, 57,  -5,  -4, 5,  8.0, ④⑥, 2, 7,Ｄロｰドホｰリｰ, 65,岩田康, 0.8, 66,  -1,*  3, 6, 11.1,⑫⑫⑫, 2,16,Ｇコパノカミ, 68,岩田康, 0.1, 81,   8,*  8, 5, 13.2,⑬⑪⑪, 2, 3,Ｄコロナグラフ, 86,池添謙, 0.2, 77,* 12,   6, 5,  8.1,③②②
 3, 7,Ｃケイツｰノｰス, 57,岩田康, 0.4, 55,  -5,  -5, 2,  3.1, ③③, 3,10,Ａフェアリｰレイ, 69,秋山真, 0.8, 64,*  2,  -4, 1,  4.1,⑧④④, 3,10,Ｄロｰレルエルヴェル, 70,田辺裕, 0.4, 75,   9,*  2, 7, 18.2,⑩⑩⑩, 3, 8,Ｆメイショウラッシｰ, 85,柴田善, 0.3, 78,* 10,   8, 6, 19.0,②③③
 4,11,Ａキクノアルバ, 61,幸英明, 0.6, 53,  -6,  -5, 3,  5.1, ⑦⑤, 4,14,Ｂファｰストグロｰス, 67,吉田豊, 0.8, 63,*  3,  -7, 5,  7.1,③②②, 4, 7,Ｈカネトシスラｰヴァ, 68,石橋脩, 0.4, 78,  11,  -2, 2,  4.4,⑧⑧⑨, 4, 9,Ｉカネスラファｰル, 83,吉田豊, 0.4, 79,   5,* 18,15,250.2,⑪⑫⑪
 5, 9,Ｂトップオブザヘヴン, 58,川須栄, 0.7, 50, -28,*  8, 4,  7.4, ⑭⑭, 5, 5,Ｆタガノアブシンベル, 59,池添謙, 0.9, 66,   1,  -1, 4,  6.7,⑬⑨⑨, 5, 3,Ｃゲｰムコンセプト, 71,田中勝, 0.6, 74,   5,*  5, 1,  2.7,⑫⑫⑫, 5, 4,Ｂキングオブヘイロｰ, 88,岩田康, 0.6, 77,* 13,   1, 2,  3.5,①①①
 6, 6,Ｅティファニｰケイス, 52,佐藤哲, 0.7, 51,  -6,  -6, 1,  2.8, ⑥④, 6,13,Ｊリヴィアロｰズ, 53,四位洋, 0.9, 65,  -2,*  5,10, 45.7,⑯⑭⑬, 6,11,Ａシルクドルフィン, 74,宮崎北, 0.6, 74,   9,  -2, 3,  5.5,⑪⑨⑦, 6, 1,Ｃスタッドジェルラン, 87,佐藤哲, 0.6, 79,   7,  12, 1,  2.5,⑭⑦⑧
 7,13,Ｆサンレイキャロル, 52,難波剛, 0.8, 49, -13,  -3, 7, 29.1, ⑧⑧, 7,12,Ｅサベラｰジュ, 62,西村太, 1.0, 62,*  2,  -7, 8, 23.5,②③③, 7,13,Ｆデュｰン, 69,北村友, 0.9, 72,  12, -12,10, 53.2,③④⑤, 7,11,Ｇアルバレスト, 84,田辺裕, 0.8, 79,   4,* 16,13,143.7,⑬⑮⑭
 8,16,Ｈパシャ, 49,黛弘人, 0.8, 52, -13,  -1,11,205.7, ⑨⑨, 8, 3,Ｇセブンライタｰズ, 56,柴田善, 1.2, 62,  -3,*  3, 9, 45.3,⑰⑰⑯, 8,15,Ｉエアキリヤン, 67,小野寺, 1.0, 69,  11, -12, 8, 20.1,⑥⑥⑥, 8,12,Ｅニュｰイチトク, 85,小牧太, 0.8, 75,   8,   7, 3,  7.4,④④④
 9, 3,Ｉコウエイマドンナ, 47,西田雄, 1.0, 49,* -3, -11, 9,115.5, ②②, 9, 1,Ｏリュウシンドラゴン, 44,大野拓, 1.3, 61,   1,  -7,17,231.8,⑤⑦⑦, 9,12,Ｋキャニオンブラウン, 62,池添謙, 1.2, 68,* 18, -29, 9, 20.4,①①①, 9, 6,Ｊケイジｰジュニアｰ, 83,伊藤直, 0.8, 77,   5,  13, 8, 39.1,⑤⑩⑩
10,15,Ｊコパサンスマイル, 47,大野拓, 1.2, 46,  -4, -11,16,410.4, ⑤⑦,10, 6,Ｈキタサンボルケｰノ, 56,小牧太, 1.3, 59,   0,  -7, 7, 14.4,⑩⑩⑩,10, 6,Ｎヒルノラディアン, 61,松田大, 1.4, 66,  11, -16,12,109.5,⑦⑦⑧,10,13,Ｋグランドバイオ, 83,石橋脩, 0.8, 78,   5,  13,11, 80.5,⑩⑪⑫
11,14, メイショウアリス,---,小島太, 1.4, 44, -21,  -2,10,193.6, ⑪⑪,11, 2,Ｋビッグラジャｰ, 53,酒井学, 1.4, 61,  -2,  -1,13, 69.4,⑮⑮⑮,11, 5,Ｏトｰセンマルゴｰ, 57,幸英明, 1.4, 66,   4,  -4,15,193.9,⑮⑮⑭,11,15,Ｍロリンザｰユｰザｰ, 82,秋山真, 0.8, 76,   7,   9,14,150.1,⑦⑥⑥
12, 2, シゲルオイチ,---,古川吉, 1.6, 41, -20,  -5,12,266.8, ⑩⑩,12, 9,Ｍジュｰダ, 51,幸英明, 1.4, 59,*  2, -11, 2,  4.3,⑥⑤⑤,12,14,Ｍトｰホウホｰプ, 62,秋山真, 1.8, 62,* 14, -28,14,120.6,④③②,12, 2,Ｏシャｰペンエッジ, 80,川田将, 1.2, 75,   5,  11, 7, 37.5,⑮⑬⑬
13, 8,Ｋメイショウコズエ, 33,飯田祐, 1.8, 39, -22,  -5,15,373.7, ⑬⑬,13,17,Ｌホッコｰブリット, 53,川須栄, 1.6, 57,  -1,  -8,11, 46.9,⑪⑪⑪,13, 2,Ｌコスモタイムマシン, 62,丹内祐, 2.2, 59,   6, -16,11, 97.0,⑭⑭⑬,13, 5,Ｎウインプレミアム, 81,北村友, 1.3, 76,   4,  12,10, 54.8,⑨⑭⑮
14, 4, オオシマエリス,---,渡辺薫, 1.9, 39, -24,  -5, 8, 98.4, ⑫⑫,14,11, ジョリｰロジャｰ,---,古川吉, 2.3, 52,*  2, -24,15,137.5,⑦⑥⑥,14, 1,Ｂサマｰレプタンサ, 72,丸山元, 3.2, 48,* 14, -47,13,117.1,②②④,14,10,Ｈデンコウヤマト, 84,四位洋, 1.4, 74,   2,  14, 9, 48.7,⑯⑯⑯
