10年11月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵｰﾛｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａブラウブリッツ, 61,デムｰ,, 58,* -3,* -1, 3,  7.8, ①①, 1,11,Ｈラテアｰト, 52,松岡正,, 70, -16,* 14, 1,  3.7, ⑪⑪, 1, 5,Ｃソルモンタｰレ, 76,小林慎,, 77,* 18, -15, 2,  3.1,①①①, 1, 5,Ａリビアｰモ, 91,三浦皇,, 91,   1,* 18, 1,  5.3, ⑮⑮
 2,11,Ｂバリサイト, 59,松岡正, 0.5, 55,* -4,* -3, 1,  1.6, ④③, 2, 5,Ｋタカラバクシンオｰ, 47,後藤浩, 0.0, 66, -11,   6, 2,  4.3, ⑤⑤, 2, 9,Ｇリキサンヒｰロｰ, 68,勝浦正, 0.6, 73,  11,* -3,10, 84.6,⑦⑦⑦, 2,18,Ｄムラマサノヨｰトｰ, 86,田中勝, 0.2, 86,   5,  10, 9, 24.7, ⑫⑪
 3, 9,Ｃザストロンシチｰ, 54,吉田豊, 1.2, 49,* -3,  -9, 4, 14.5, ②②, 3, 4,Ｇデルマガネｰシャ, 52,内田博, 0.2, 62,  -7,  -2, 5, 10.0, ④④, 3, 1,Ｆウイントランザム, 70,蛯名正, 0.9, 71,  12,  -9, 5, 12.6,⑥⑥⑥, 3,12,Ｆテイエムアタック, 82,津村明, 0.2, 88,   0,* 16,10, 32.0, ⑱⑰
 4, 1,Ｋアカウンタビリティ, 35,横山典, 1.3, 49,  -6,  -8, 5, 16.9, ③④, 4, 6,Ｌノアフェアリｰ, 33,勝浦正, 0.3, 55,*  5, -20,11,102.7, ①①, 4, 2,Ｂトｰセンルｰチェ, 78,伊藤工, 0.9, 70,   8,*  1, 3,  4.9,⑩⑩⑩, 4,11,Ｌファリダット, 81,デムｰ, 0.2, 90,   0,* 18, 5,  6.7, ⑰⑱
 5,14,Ｅコスモキズナ, 50,内田博, 1.5, 49,  -7,  -7, 9, 51.7, ⑨⑧, 5, 3,Ａブルｰスタｰ, 59,田中勝, 0.3, 65, -15,*  9, 7, 12.1, ⑩⑩, 5, 8,Ａガｰトモンテス, 78,吉田豊, 1.0, 69,* 16, -21, 1,  2.8,③②②, 5, 3,Ｈロｰドバリオス, 82,後藤浩, 0.2, 83,* 12,   1, 3,  5.9, ①①
 6, 7,Ｊディｰエスラムｰル, 43,柴山雄, 1.5, 48, -10,* -3, 8, 34.2, ⑬⑬, 6, 2,Ｂサニｰヘイロｰ, 58,蛯名正, 0.3, 59,  -5,  -6, 3,  5.0, ②②, 6, 6,Ｈアサクサマリンバ, 66,柴山雄, 1.3, 68,  13, -14, 4, 11.5,⑤⑤⑤, 6,10,Ｉキョウエイアシュラ, 81,内田博, 0.4, 83,   8,   4, 6, 11.0, ⑦⑤
 7, 4,Ｄマイネルマルゴｰ, 52,津村明, 1.6, 47,  -9,  -5, 6, 27.4, ⑪⑩, 7, 8,Ｅベルモントセブン, 53,津村明, 0.5, 60, -12,   2, 9, 31.4, ⑧⑦, 7, 7,Ｅマジェスティバイオ, 71,村田一, 1.6, 66,  10, -11, 8, 22.5,⑧⑧⑧, 7, 8,Ｇアｰバニティ, 82,松岡正, 0.4, 81,* 12,  -1, 2,  5.8, ②②
 8, 3,Ｆマイネロｰドナイト, 50,伊藤工, 1.6, 47,  -6,  -9, 7, 32.7, ⑤⑥, 8, 9,Ｄオメガロｰズマリｰ, 54,三浦皇, 0.5, 61, -14,   3, 4,  6.8, ⑨⑨, 8, 4,Ｉレオアラシ, 66,北村宏, 2.0, 64,  15, -26, 7, 18.5,②③③, 8, 6,Ｊゲイルスパｰキｰ, 81,北村宏, 0.4, 83,   6,   6,11, 39.1, ⑥⑨
 9,13,Ｇファストカラｰ, 49,蛯名正, 1.6, 47,  -5, -10, 2,  4.8, ⑥⑤, 9, 7,Ｆルｰビンシュタイン, 53,吉田豊, 0.6, 60, -13,   3, 8, 20.8, ⑦⑧, 9, 3,Ｄヴィｰヴァレジｰナ, 72,内田博, 2.1, 66,  14, -21, 6, 15.9,④④④, 9,16,Ｐファルカタリア, 78,柴田善, 0.5, 83,   4,   9,13, 58.3, ⑬⑭
10,12,Ｍプレシャスマリン, 26,後藤浩, 2.2, 43,  -9, -10,11,134.5, ⑩⑪,10,10,Ｊバタｰスコッチ, 47,江田照, 0.8, 59, -19,   6,12,145.0, ⑫⑫,10,10,Ｊドリｰムヘリテｰジ, 66,田中博, 2.2, 65,  10, -14, 9, 40.8,⑨⑨⑨,10,13,Ｒギンザボナンザ, 76,池添謙, 0.5, 80,* 10,  -1, 8, 13.0, ④④
11, 2,Ｈリサｰチアゲン, 47,江田照, 2.5, 42,  -8, -15,12,169.8, ⑦⑨,11,12,Ｉジャストザヒロイン, 52,吉田隼, 1.7, 43, -11, -15,10, 33.6, ⑥⑥,,,,,,,,,,,,,11, 1,Ｑマルタカエンペラｰ, 76,江田照, 0.5, 84,   4,   9,16,164.2, ⑩⑫
12, 5,Ｉナムラハニｰ, 44,勝浦正, 2.9, 39,  -7, -19,13,195.0, ⑧⑦,12, 1,Ｃロイヤルサルｰト, 55,柴田善, 3.7, 19,  -8, -48, 6, 10.1, ③③,,,,,,,,,,,,,12, 9,Ｃヤマニンエマイユ, 86,伊藤工, 0.5, 84,   0,  13,14, 84.2, ⑯⑯
13,10,Ｌケイオｰステップ, 28,大庭和, 3.7, 31, -11, -20,10,101.3, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｅショウナンアルバ, 85,蛯名正, 0.6, 80,   5,   5, 4,  6.6, ⑪⑩
14, 8,Ｎボｰルドホワイト, 25,渡辺薫, 5.0, 25,  -9, -34,14,247.7, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｎダイワマックワン, 80,田中博, 0.6, 80,*  9,  -1,12, 42.5, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｏスピｰドタッチ, 79,大庭和, 0.7, 80,   4,   6,18,198.3, ⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｂエｰブダッチマン, 89,吉田隼, 0.8, 76,   8,  -2, 7, 12.1, ⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｋダイシングロウ, 81,吉田豊, 1.0, 73,   8,  -5,15, 86.7, ⑧⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｍタマモホットプレイ, 80,渡辺薫, 1.2, 72,   8,  -7,17,189.6, ⑤⑦
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,
単勝:780円 複勝:06=160円 11=110円 09=220円 枠連:460円,,,,,,,,,,,,単勝:370円 複勝:11=170円 05=170円 04=270円 枠連:850円,,,,,,,,,,,,"単勝:310円 複勝:05=150円 09=1,150円 01=330円 枠連:3,000円",,,,,,,,,,,,"単勝:530円 複勝:05=210円 18=800円 12=770円 枠連:1,930円",,,,,,,,,,,
馬連:470円 ワイド:06-11=240円 06-09=660円 09-11=310円,,,,,,,,,,,,馬連:930円 ワイド:05-11=380円 04-11=880円 04-05=930円,,,,,,,,,,,,"馬連:11,470円 ワイド:05-09=2,930円 01-05=690円 01-09=8,250円",,,,,,,,,,,,"馬連:6,600円 ワイド:05-18=2,860円 05-12=2,990円 12-18=8,210円",,,,,,,,,,,
"馬単:1,570円 3連複:1,080円 3連単:6,750円",,,,,,,,,,,,"馬単:1,590円 3連複:3,760円 3連単:14,150円",,,,,,,,,,,,"馬単:14,600円 3連複:25,790円 3連単:122,200円",,,,,,,,,,,,"馬単:14,590円 3連複:64,860円 3連単:341,810円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1300m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1400m 2 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,京王杯2歳ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａコスモケンジ, 63,柴山雄,, 58,  -3,* -2, 1,  2.1, ④④, 1, 8, ウインマｰベリック,---,内田博,, 56,  -4,* -2, 4,  6.8, ⑧⑦, 1,10,Ａナムラカクレイ, 82,内田博,, 82,* 10,* 10, 1,  2.7, ⑤④, 1, 6,Ｊグランプリボス, 65,デムｰ,, 77,  -3,* 13, 7, 12.3, ⑤⑤
 2, 1,Ｂトｰセンナスクラ, 57,伊藤工, 0.0, 59,  -5,*  1, 4,  6.7, ⑤⑤, 2, 2, プライドワン,---,池添謙, 0.1, 56,*  0,  -8, 1,  2.0, ①①,10, 4,Ｆセイリオス, 75,横山典, 0.0, 81,   9,* 10, 2,  3.1, ③③, 2, 3,Ｇリアルインパクト, 69,後藤浩, 0.1, 76,  -5,* 15, 2,  3.4, ⑧⑦
