10年 2月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,琵琶湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 9,Ｍライオネス, 44,大下智, 2.4, 45, -14,  -2,13,344.8, ⑮⑬,12, 9, シルクレガリア,---,浜中俊, 2.6, 41, -16,  -9, 6, 27.2, ⑪⑪,12,16,Ｅチキリムｰディｰ, 66,幸英明, 2.3, 57,  -5,  -2, 9, 38.0, ⑬⑬,12, 9,Ｌフラワｰタキシｰド, 60,幸英明, 2.3, 68,* 13, -31,11,139.1,①①③
13, 7,Ｏキョウワキララ, 41,武幸四, 2.4, 49, -13,  -3, 9, 52.5, ⑭⑮,13, 6, トップヴィｰナス,---,渡辺薫, 2.7, 41, -15, -10,14,108.2, ⑩⑩,13,11,Ｋマルフクギガ, 54,小林徹, 2.5, 56,  -6,  -4,12, 69.7, ⑫⑫,,,,,,,,,,,,
14, 5,Ｋテイエムホホエミ, 47,荻野要, 2.7, 44,  -5, -12,14,377.8, ⑧⑨,14,13, ヒャクネンニイチド,---,ルメｰ, 2.8, 38, -27,   0,10, 32.7, ⑯⑯,14, 3,Ｐサンレイコンサｰト, 37,難波剛, 2.6, 54,  -7,  -3,15,130.3, ⑭⑭,,,,,,,,,,,,
15,14,Ｊシルクエロｰジュ, 49,金折知, 2.8, 43, -10,  -8,12,250.7, ⑫⑭,15, 4, ラヴアンドサンクス,---,武豊  , 3.1, 38,*  3, -31, 2,  3.3, ①①,15, 1,Ｎマｰベラスリリｰ, 50,浜中俊, 3.5, 47,   2, -20,14,124.2, ⑤⑤,,,,,,,,,,,,
16,16,Ｐアシュラノカゼ, 39,小林徹, 3.2, 41, -14,  -6,16,609.5, ⑯⑯,16, 1, サンレイファントム,---,岩崎祐, 3.9, 29,  -6, -30,12, 71.0, ⑤⑤,16, 4,Ｌグレイシス, 50,横山義, 3.9, 43,  -4, -18,16,295.0, ⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:5),,,,,,,,,,,
"単勝:600円 複勝:13=140円 15=130円 12=110円 枠連:1,150円",,,,,,,,,,,,単勝:270円 複勝:05=140円 11=190円 16=520円 枠連:650円,,,,,,,,,,,,単勝:150円 複勝:02=110円 10=350円 05=250円 枠連:940円,,,,,,,,,,,,単勝:210円 複勝:03=110円 11=230円 07=170円 枠連:260円,,,,,,,,,,,
"馬連:1,180円 ワイド:13-15=340円 12-13=270円 12-15=210円",,,,,,,,,,,,"馬連:810円 ワイド:05-11=350円 05-16=1,160円 11-16=1,620円",,,,,,,,,,,,"馬連:1,050円 ワイド:02-10=530円 02-05=310円 05-10=1,690円",,,,,,,,,,,,馬連:820円 ワイド:03-11=360円 03-07=260円 07-11=950円,,,,,,,,,,,
"馬単:2,170円 3連複:910円 3連単:7,090円",,,,,,,,,,,,"馬単:1,520円 3連複:4,550円 3連単:15,530円",,,,,,,,,,,,"馬単:1,540円 3連複:2,990円 3連単:10,400円",,,,,,,,,,,,"馬単:1,330円 3連複:1,510円 3連単:6,190円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  芝3790m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1900m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,淀ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｱﾙﾃﾞﾊﾞﾗﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｇマコトヴォイジャｰ, 53,ルメｰ,, 67,  -2,* 12, 3,  6.8,⑤⑦⑤, 1, 4,Ａセイルラｰジ, 71,デムｰ,, 75,  -3,* 16, 1,  1.5, ⑦⑥, 1, 9, テイエムハリアｰ,,熊沢重,,,,, 1,  3.0,①①①, 1, 8,Ｂトランセンド, 94,安藤勝,, 89,* 19,  12, 2,  3.5,③③②
 2, 6,Ｅメイショウエバモア, 61,池添謙, 0.1, 66,* -1,*  9, 2,  3.6,④④③, 2,15,Ｈシャイニｰナイト, 54,川田将, 0.2, 73,* -1,   9, 8, 42.3, ④③, 2, 7, ショウリュウケン,,植野貴,258.5,,,, 2,  4.4,⑦③③, 2,16,Ａフサイチセブン, 97,四位洋, 0.2, 90,* 20,   9, 1,  1.7,②②①
 3, 1,Ｂウインシュヴァルツ, 67,浜中俊, 0.9, 62,* -1,   3, 1,  2.5,③③④, 3, 8,Ｂカネトシパサｰジュ, 69,藤岡佑, 0.4, 71,  -5,* 14, 3,  7.0, ⑩⑨, 3, 3, トｰセンジョｰカｰ,,横山義,259.5,,,, 5,  7.7,②②②, 3, 7,Ｃマイネルアワグラス, 93,ルメｰ, 0.7, 89,  14,* 15, 4, 15.7,⑬⑫⑩
 4,10,Ｎサｰノ, 43,川原正, 1.6, 58,  -6,*  7,13,189.8,⑯⑯⑭, 4, 2,Ｃハｰドダダンダン, 65,武豊  , 0.4, 69,  -2,   9, 5, 12.6, ③④, 4, 1, イコｰルパｰトナｰ,,金折知,259.7,,,, 8, 30.4,⑥⑦⑥, 4,14,Ｈインバルコ, 89,デムｰ, 0.8, 88,  14,* 15, 3,  8.2,⑮⑬⑪
 5,11,Ｉチェンジストリｰム, 52,福永祐, 2.0, 53,*  0,  -9,11,128.2,②②②, 5, 5,Ｅスマイルタイム, 58,ルメｰ, 0.5, 66,  -2,   7, 2,  6.9, ⑤⑤, 5,10, ゴｰルドリｰズン,,西谷誠,260.7,,,, 6, 13.8,⑨⑨⑦, 5, 4,Ｊピイラニハイウェイ, 89,和田竜, 1.1, 85,  18,   4, 5, 16.7,④④④
 6, 7,Ｋシンボリカンヌ, 49,幸英明, 2.0, 54,  -4,  -2, 9, 46.1,⑪⑭⑬, 6, 7,Ｆアドマイヤツバサ, 57,岩田康, 0.9, 66,  -4,   7, 4, 10.4, ⑧⑧, 6,13, タマモヴィグラス,,岩崎祐,261.6,,,, 9, 35.3,⑬⑪⑪, 6, 6,Ｅクリｰン, 91,小牧太, 1.4, 84,  13,  11,11,196.9,⑫⑭⑮
 7, 2,Ｄテイエムバゴオｰ, 62,小牧太, 2.0, 53,  -3,  -4, 5, 10.5,⑩⑧⑥, 7, 9,Ｇヤマニンパソドブル, 55,酒井学, 1.1, 58,* -1,  -6,12,133.1, ②②, 7,12, アザンクｰル,,今村康,261.7,,,,13,220.3,③④④, 7,12,Ｋスタｰシップ, 87,浜中俊, 1.5, 85,  14,  11, 8, 65.2,⑭⑮⑭
 8, 4,Ｏロｰジｰクラウド, 41,武豊  , 2.8, 50,  -4,  -9, 8, 44.9,⑭⑪⑩, 8,14,Ｄセイウンホルス, 62,小牧太, 1.5, 60,  -9,   6, 6, 28.7, ⑭⑭, 8, 4, スｰパｰマｰクン,,高田潤,261.8,,,, 3,  5.0,④⑤⑤, 8,11,Ｄトｰセンアｰチャｰ, 91,岩田康, 1.7, 82,  16,   4, 6, 19.7,⑨⑨⑦
 9, 8,Ｍロｰブブランシュ, 48,藤岡佑, 3.2, 47,  -5,  -9,16,307.0,⑮⑮⑮, 9, 1,Ｌサｰクルステｰジ, 47,石橋守, 1.6, 57,  -5,  -4,14,397.0, ⑥⑦, 9,14, マイサンシャイン,,穂苅寿,261.9,,,,10, 60.5,⑩⑩⑩, 9, 9,Ｉユウキタイティ, 89,幸英明, 1.9, 80,  18,  -2,10,130.5,⑤⑤⑤
10,12,Ｈジョｰアイデア, 52,小林徹, 3.3, 46,  -4, -14,14,202.7,⑬⑩⑨,10,12,Ｋマルサンサムライ, 47,幸英明, 1.7, 56,  -6,  -3, 9, 75.9, ⑫⑫,10, 2, アンクルトップ,,佐久間,262.0,,,, 7, 25.2,⑧⑧⑧,10,13,Ｇポｰトラヴ, 90,川原正, 2.1, 78,  17,  -2,16,429.2,⑥⑦⑧
11,16,Ａマｰブルドｰン, 70,熊沢重, 3.4, 45,  -2, -18, 4,  7.1,⑨⑥⑦,11,11,Ｉキョウジ, 53,池添謙, 1.9, 57,  -5,  -4, 7, 32.2, ⑨⑩,11, 8, ホウライブライアン,,出津孝,263.0,,,, 4,  6.7,⑤⑥⑨,11, 2,Ｌフリｰトアドミラル, 86,池添謙, 2.3, 77,  17,  -4, 9,114.4,⑦⑥⑥
12,14,Ｌテイエムブユウデン, 48,和田竜, 3.4, 45,  -2, -15,12,164.0,⑫⑨⑫,12, 6,Ｍリュウシンゴｰルド, 45,川原正, 2.3, 48,*  0, -23,13,239.5, ①①,12, 6, ウォｰタｰトリトン,,菊地昇,263.4,,,,14,220.7,⑭⑬⑫,12, 5,Ｆメイショウシャフト, 90,難波剛, 2.4, 77,  16,  -2,12,228.9,⑧⑧⑨
13, 9,Ｐウェイアヘッド, 21,石橋守, 3.6, 43,*  0, -24,10,106.9,①①①,13,13,Ｊシルクマッドネス, 49,熊沢重, 2.6, 48,  -9, -10,10,118.8, ⑬⑬,13,11, スリｰアトラス,,小坂忠,263.5,,,,11,136.3,⑪⑫⑬,13,15,Ｎキングトップガン, 85,川田将, 2.9, 74,  14,  -4,13,257.4,⑪⑪⑬
14, 5,Ｆレイブラン, 54,梶晃啓, 3.8, 41,  -4, -18,15,289.0,⑦⑫⑪,14,16,Ｐトロピカルスイｰツ, 13,浜中俊, 3.8, 34,  -5, -34,11,132.7, ⑪⑪,14, 5, キクノインプルｰブ,,北沢伸,264.5,,,,12,173.8,⑫⑭⑭,14,10,Ｍキングブレｰヴ, 86,藤岡佑, 3.1, 73,  14,  -5,15,322.3,⑩⑩⑫
15,13,Ｃファンキｰラッシュ, 64,川田将, 4.4, 38,  -5, -21, 6, 17.6,⑥⑬⑯,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｏユノナゲット, 84,福永祐, 5.3, 61,   6,  -5,14,314.6,⑯⑯⑯
16,15,Ｊブルガリアンロｰズ, 49,デムｰ, 6.9, 24,  -2, -48, 7, 18.4,⑧⑤⑧,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｐトシナギサ, 71,小林徹, 6.2, 55,* 20, -45, 7, 47.0,①①③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:-4),,,,,,,,,,,
"単勝:680円 複勝:03=220円 06=140円 01=130円 枠連:1,610円",,,,,,,,,,,,"単勝:150円 複勝:04=110円 15=530円 08=150円 枠連:2,010円",,,,,,,,,,,,単勝:300円 複勝:09=140円 07=140円 03=230円 枠連:330円,,,,,,,,,,,,単勝:350円 複勝:08=130円 16=110円 07=220円 枠連:250円,,,,,,,,,,,
"馬連:1,800円 ワイド:03-06=500円 01-03=400円 01-06=210円",,,,,,,,,,,,"馬連:2,390円 ワイド:04-15=850円 04-08=180円 08-15=1,390円",,,,,,,,,,,,馬連:670円 ワイド:07-09=280円 03-09=530円 03-07=610円,,,,,,,,,,,,馬連:330円 ワイド:08-16=170円 07-08=550円 07-16=410円,,,,,,,,,,,
"馬単:3,390円 3連複:1,240円 3連単:13,410円",,,,,,,,,,,,"馬単:2,920円 3連複:2,470円 3連単:12,830円",,,,,,,,,,,,"馬単:1,110円 3連複:1,830円 3連単:6,540円",,,,,,,,,,,,"馬単:800円 3連複:1,050円 3連単:5,010円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1800m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,寒桜賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂビｰチパｰティｰ, 61,岩田康,, 62,* -1,  -1, 2,  3.6, ②②, 1, 9, ハｰトビｰトソング,---,岩田康,, 66, -11,* 14, 2,  3.9,⑥⑥⑥, 1, 5,Ｅツルマルライダｰ, 62,幸英明,, 69,* -8,   8, 3,  8.9, ①①, 1,12,Ｂシャｰペンエッジ, 81,川田将,, 74,   8,*  3, 1,  1.7,⑤⑤⑤
 2, 5,Ｃシンコｰプリンス, 57,熊沢重, 0.3, 62,  -4,*  1, 4,  5.8, ⑦⑥, 2, 7, レッドスティング,---,小牧太, 0.1, 66, -12,* 16, 1,  2.0,⑧⑨⑦, 2, 4,Ａカネトシディオス, 75,藤岡佑, 0.0, 75, -15,* 19, 1,  1.8, ⑧⑧, 2, 6,Ｃアドマイヤインディ, 80,福永祐, 0.5, 71,   7,   0, 3,  5.4,⑦⑦⑧
 3,16,Ｎプロスビｰト, 37,小牧太, 0.6, 58, -13,*  9,14,169.8, ⑯⑯, 3, 1, トｰセンディオｰル,---,四位洋, 1.2, 51,* -8,  -8, 4,  7.3,①①①, 3, 1,Ｆアイビｰフォｰルド, 61,川田将, 0.1, 71, -10,  11, 7, 13.6, ③③, 3,11,Ｆロｰザレｰヌ, 75,幸英明, 0.6, 71,   7,*  2, 7, 24.7,⑫⑨⑨
 4, 3,Ｋリリｰレインジャｰ, 44,池添謙, 1.0, 54,* -2,  -8, 9, 63.9, ③③, 4, 6, トウカイユニバｰス,---,幸英明, 1.8, 44,* -9, -15, 6, 24.0,③③③, 4, 7,Ｄトロンプルイユ, 63,小牧太, 0.1, 70,* -9,  10, 4, 10.4, ②②, 4, 1,Ｇジュモｰ, 73,ルメｰ, 0.7, 70,   8,  -1, 6, 23.3,⑧⑧⑥
 5, 7,Ｄヒシミステリｰ, 57,福永祐, 1.2, 53,  -6,  -5, 5, 17.8, ⑩⑨, 5, 4, ダンツペリオッド,---,池添謙, 2.0, 45, -12, -11, 5,  8.4,⑨⑧⑨, 5,10,Ｃブラックイレブン, 64,金折知, 0.3, 68, -10,   8, 9, 29.7, ⑤⑤, 5, 9,Ｄサンコロネット, 78,岩田康, 0.7, 69,* 10,  -6, 4, 14.6,②②②
 6, 6,Ｈテイエムジパング, 50,佐久間, 1.4, 52,  -8,  -4,12,163.3, ⑫⑪, 6, 3, ユウタｰエｰル,---,岩崎祐, 2.4, 41, -12, -16, 9, 91.6,⑦⑦⑧, 6, 2,Ｂエトピリカ, 66,武幸四, 0.3, 70, -11,  11, 5, 11.8, ⑥⑥, 6, 2,Ａヤマノロｰラ, 81,デムｰ, 0.7, 69,   8,  -3, 2,  5.2,④④③
 7, 8,Ａルナドリｰム, 61,武豊  , 1.6, 50,  -4, -11, 3,  3.6, ⑥⑦, 7, 2, ケイツｰピンガ,---,渡辺薫, 2.9, 34, -11, -28, 7, 24.6,④④④, 7, 8,Ｇリンデンバウム, 59,デムｰ, 0.5, 69, -15,  14, 8, 15.5, ⑨⑨, 7, 3,Ｅヒミノプリンセス, 76,藤岡佑, 0.8, 69,   6,   0, 8, 28.9,⑩⑩⑩
 8,12,Ｇスマｰトグリッド, 50,藤岡佑, 1.6, 50, -10,  -4, 8, 43.6, ⑮⑭, 8, 8, スズカコネクション,---,武豊  , 3.3, 30,* -9, -37, 3,  6.7,②②②, 8, 6,Ｈトｰコｰブロンコ, 58,武豊  , 0.7, 63, -13,   7, 2,  7.7, ⑦⑦, 8, 5,Ｋグリッタｰエルフ, 65,和田竜, 1.3, 65,* 10, -11,10,189.3,①①①
 9,15,Ｆマイネルイｰガｰ, 53,デムｰ, 1.8, 47,  -4, -13, 1,  3.0, ⑤⑤, 9, 5, ミスタｰスズカ,---,浜中俊, 3.7, 29, -11, -38, 8, 89.3,⑤⑤⑤, 9, 3, モエレネイション,---,川原正, 1.8, 53, -23,   6,10,204.1, ⑩⑩, 9, 8,Ｉスマｰトダズル, 70,横山義, 1.6, 64,   5,  -4,12,194.3,⑪⑫⑫
10,10,Ｐコｰリングオブラブ, 35,浜中俊, 2.0, 48,  -9,  -8,11,136.9, ⑭⑩,,,,,,,,,,,,,10, 9,Ｉエアフュｰジョン, 55,福永祐, 1.8, 48, -10, -11, 6, 12.5, ④④,10, 7,Ｊマドンナブラボｰ, 68,高井彰, 2.0, 61,   6,  -9,11,191.5,⑨⑪⑪
11, 9,Ｍメイショウラリｰ, 38,和田竜, 2.3, 44,  -7, -12,13,164.6, ⑪⑮,,,,,,,,,,,,,,,,,,,,,,,,,11,10,Ｈテｰオｰエンジェル, 71,武豊  , 2.3, 60,*  9, -18, 5, 20.2,③③④
12, 4,Ｊキングボｰイ, 49,酒井学, 2.3, 45,  -8, -11,16,234.4, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,12, 4,Ｌサンデｰロｰズ, 59,浜中俊, 2.6, 58,   8, -19, 9, 39.1,⑥⑥⑦
13,14,Ｉモンキｰマジック, 50,川田将, 2.3, 45,  -6, -14, 6, 38.7, ⑧⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,Ｏスナｰクトマホｰク, 37,渡辺薫, 2.4, 46,  -5, -14,10, 68.2, ⑨⑧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11,Ｅメイショウメドｰラ, 55,幸英明, 2.7, 41,  -3, -22, 7, 39.7, ④④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 1,Ｌマキハタピンナップ, 42,石橋守, 3.5, 36,*  0, -32,15,213.5, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
