10年 5月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 5月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上賀茂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃテイエムウミユキ, 64,高井彰,, 60,*  4,   0, 3,  5.7, ①①, 1,12,Ｄマルカゴクウ, 59,小牧太,, 61,*  0,  -8, 5, 14.9,①①①, 1, 7,Ｃロｰズリパブリック, 72,高倉稜,, 74,  11,* -4, 4, 14.1, ⑦⑦, 1, 1,Ｆアドマイヤスワット, 85,川田将,, 85,* 12,  10, 3,  6.8,③②②
 2, 8,Ａデンコウウインディ, 68,池添謙, 0.1, 57,*  2,   1, 2,  4.4, ②②, 2,14,Ａサクラエンブレム, 65,川田将, 0.0, 62,* -1,* -7, 2,  4.0,④③③, 2, 6,Ｄロイヤルネックレス, 69,和田竜, 0.0, 74,  11,* -4, 5, 17.0, ⑥⑤, 2, 3,Ｃディアプリンシパル, 86,池添謙, 0.3, 83,  11,  10, 6, 11.8,⑤④③
 3,11,Ｄキクノアルバ, 61,小牧太, 0.1, 58,*  2,   1, 6,  9.0, ③③, 3,13,Ｃハリウッドスタｰ, 60,池添謙, 0.6, 56,* -1, -16, 1,  2.0,③②②, 3, 8,Ｅハンタｰキリシマ, 66,野元昭, 0.1, 74,  10,* -2, 3, 11.7, ⑨⑨, 3, 9,Ｊテイエムザエックス, 82,中村将, 0.4, 83,  10,  10,11, 57.0,⑥⑤⑤
 4, 9,Ｇマヤラブソング, 55,酒井学, 0.3, 59,   0,   1, 5,  7.8, ⑥⑥, 4, 5,Ｆトップオペラ, 53,国分恭, 0.8, 54,  -4, -11, 7, 26.6,⑤⑨⑧, 4, 3,Ａサンライズトラスト, 83,秋山真, 0.2, 71,* 12,  -9, 1,  1.5, ③③, 4, 7,Ｉシルクイｰグル, 83,国分恭, 0.5, 83,   9,  11, 4,  8.5,⑩⑧⑧
 5, 1,Ｆピアノボレロ, 55,武幸四, 0.3, 60,  -7,*  8, 8, 28.7, ⑫⑩, 5, 9,Ｉメイショウオスパｰ, 48,岩崎祐, 0.9, 53,  -2, -15,13,168.7,⑬⑧⑦, 5, 1,Ｂグリｰンイレブン, 76,国分恭, 0.6, 66,* 13, -19, 2,  3.7, ①①, 5, 5,Ｋメイショウブンブク, 79,渡辺薫, 0.5, 84,   8,* 13,12, 63.2,⑨⑨⑨
 6, 4,Ｂケイアイプレジャｰ, 68,上村洋, 0.4, 57,   1,  -1, 1,  3.2, ④④, 6,15,Ｂテンシノオリジナル, 64,高倉稜, 1.0, 53,  -7,* -7, 4, 13.1,⑮⑬⑬, 6,10,Ｉディｰプキッス, 61,小牧太, 0.7, 67,   5,* -3, 8, 60.0, ⑪⑪, 6, 8,Ｄアコニットライアン, 85,秋山真, 0.5, 82,  11,   7, 5,  9.0,④③④
 7, 6,Ｉクニサキロンチｰ, 46,国分恭, 0.4, 56,  -4,*  4, 9, 52.8, ⑧⑧, 7, 3,Ｍトウカイオｰロラ, 45,和田竜, 1.0, 52,* -1, -18, 3,  6.4,⑧⑤⑤, 7, 5,Ｆベッロカリｰノ, 66,安藤光, 0.7, 66,   9, -11, 6, 36.3, ⑧⑧, 7, 4,Ｇフロムジオリエント, 84,藤岡佑, 0.5, 82,* 13,   3, 7, 18.3,①①①
 8,12, ワンダｰビｰナス,---,佐藤哲, 0.7, 53,  -2,  -1, 7, 19.2, ⑦⑦, 8,10,Ｌコバルトインスカイ, 45,酒井学, 1.1, 50,  -4, -15,15,205.6,⑪⑩⑩, 8, 4,Ｊスペｰスオｰバｰ, 60,太宰啓, 0.8, 65,   8,  -9, 9,138.0, ⑩⑩, 8,10,Ｈグランプリサクセス, 83,和田竜, 0.6, 83,   9,  10, 8, 36.0,⑦⑦⑦
