10年 3月27日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 3月27日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾘｰｼﾞｱ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄフｰカットザチｰズ, 57,上村洋,, 63,*  1,* -4, 1,  1.5,⑫③③, 1,16,Ｅティキマハロ, 61,佐藤哲,, 58,*  7,* -6, 5, 10.2,⑥⑥⑥, 1,17,Ｋテイエムオｰロラ, 64,国分恭,, 80,*  5,*  6, 7, 13.2, ①①, 1, 4,Ａメイショウウズシオ, 79,飯田祐,, 80,   0,* 17, 4,  8.2,⑦⑦⑤
 2, 8,Ｆラブソネット, 56,中舘英, 0.6, 55,*  2, -11, 5, 11.9,③②②, 2, 5,Ｃヤマニンガｰゴイル, 64,松山弘, 0.2, 56,*  7, -10, 1,  2.9,⑤④⑤, 2,16,Ｄリキサンシンオｰ, 71,柴原央, 0.6, 71,*  1,   2, 1,  2.5, ⑤④, 2,10,Ｅブレイクアセオリｰ, 71,川島信, 0.0, 77,*  1,* 14, 3,  5.9,②③①
 3,14,Ｂネオスペチアｰレ, 59,秋山真, 0.9, 54,  -3,* -5, 3,  8.5,⑩⑫⑩, 3,12,Ｇナムラオスカル, 55,国分恭, 0.3, 59,   6,  -8, 7, 14.7,⑨⑧⑦, 3, 8,Ｅブルｰホリゾン, 69,鮫島良, 0.9, 68,  -4,   3, 2,  6.0, ⑬⑩, 3, 3,Ｂダノンスパシｰバ, 78,佐藤哲, 0.5, 73,  -1,  10, 1,  2.5,⑪⑧⑧
 4, 7,Ｌキュルミナン, 46,田辺裕, 0.9, 54,  -2,  -7, 8, 69.5,⑦⑨⑧, 4, 8,Ｆリヴィエラ, 60,平野優, 0.3, 57,   4,* -6, 3,  5.3,⑬⑨⑧, 4, 9,Ｆラヴインザダｰク, 68,松山弘, 0.9, 67,  -2,   1, 4,  7.8, ⑦⑦, 4,14,Ｍウインブシドウ, 58,北村友, 0.6, 73,*  1,   5, 5, 16.7,③②③
 5, 4,Ｇノアスカｰレット, 54,松山弘, 1.1, 51,  -6,* -4, 9, 74.5,⑭⑭⑭, 5,10,Ｂユキノサイレンス, 65,松田大, 0.4, 55,*  7, -13, 4,  5.6,④⑤③, 5,10,Ｂハｰトランドノリカ, 73,秋山真, 0.9, 67,  -7,*  6, 8, 14.2, ⑮⑭, 5, 9,Ｄデンコウオクトパス, 72,古川吉, 0.7, 75,   0,   8, 9, 29.6,⑧⑨⑨
 6,11,Ｅフェアリｰトゥリｰ, 56,丸山元, 1.1, 55,  -3,  -7, 2,  7.3,⑨⑪⑪, 6, 7,Ａテルミｰホワイ, 67,梶晃啓, 0.8, 51,*  9, -21, 6, 11.8,②②②, 6, 5,Ｃシルクドミニオン, 71,松田大, 0.9, 68,  -6,*  5, 3,  7.1, ⑫⑬, 6,11,Ｉナムラボルテｰジ, 68,松田大, 0.9, 70,*  1,   2,10, 30.0,④④⑥
 7,13,Ａモンスティル, 59,古川吉, 1.2, 51,  -1, -11, 4, 10.2,⑬⑦⑤, 7,15,Ｏコウギョウロブロイ, 28,小島太, 0.8, 52,   4, -12,16,309.2,⑫⑫⑪, 7,15,Ａミティｰク, 73,川島信, 1.0, 65,*  2,  -5, 6, 13.2, ③②, 7,12,Ｃタムロスカイ, 76,酒井学, 1.2, 67,  -2,   3, 2,  4.2,⑨⑪⑪
 8, 9,Ｉドナリベラ, 51,高倉稜, 1.2, 50,*  1, -16, 6, 15.3,①①①, 8, 1,Ｄマザｰウェル, 63,秋山真, 0.9, 50,*  7, -20, 2,  5.2,③③④, 8,11,Ｉバクシンミノル, 67,幸英明, 1.1, 65,  -3,  -1, 9, 26.0, ⑩⑨, 8, 7,Ｆアルティスト, 70,田辺裕, 1.2, 67,  -3,   6,11, 36.7,⑬⑭⑭
