10年 9月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝3210m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茨城新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄハワイアンシュガｰ, 43,吉田豊,, 50,  -4,  -6, 1,  3.7, ④②, 1,11, タマモグレアｰ,,林満明,,,,, 2,  4.0,②①①, 1, 1,Ｂマコトギャラクシｰ, 68,吉田豊,, 71,  -7,* 25, 2,  4.2,⑤④④, 1,16,Ｋガンドッグ, 78,蛯名正,, 83,*  9,  12, 8, 11.8, ④④
 2, 3,Ｂフィｰバｰフュｰ, 45,田中勝, 0.2, 47,*  1, -14, 3,  4.3, ①①, 2,13, マックスチャンプ,,高田潤,216.0,,,, 5, 14.8,⑤②②, 2, 5,Ａトｰセンルｰチェ, 84,伊藤工, 0.1, 71,  -7,* 25, 1,  1.7,⑥⑦⑤, 2, 7,Ｅサウンドアクシス, 81,松岡正, 0.0, 82,  -1,* 21, 7, 10.7, ⑬⑮
 3,14,Ｈメジロミョウホウ, 40,石橋脩, 0.2, 47,  -6,  -8, 2,  3.9, ⑥④, 3, 9, マイネルネオス,,柴田大,216.1,,,, 1,  3.8,⑨③③, 3, 8,Ｄウインシュヴァルツ, 64,松岡正, 0.2, 68,* -5,  20, 3,  5.8,①①①, 3, 3,Ｃブライトアイザック, 81,柴田善, 0.1, 82,   3,* 16, 6,  9.3, ⑨⑧
 4, 1,Ｃサンマルフェアｰ, 43,江田照, 0.3, 47,* -3, -11, 4,  9.0, ③③, 4, 3, バシケｰン,,蓑島靖,216.7,,,, 7, 19.7,⑦⑥⑤, 4, 7,Ｅニシノヴァンクｰル, 64,村田一, 0.6, 67,* -6,  19, 4,  6.5,④③③, 4,12,Ａナムラカクレイ, 90,安藤勝, 0.2, 80,   6,  13, 1,  4.8, ⑦⑦
 5, 5,Ｆドルフィンキック, 40,伊藤工, 0.3, 45, -12,  -4, 7, 19.4, ⑧⑨, 5, 4, モルフェサイレンス,,大江原,216.9,,,, 3,  4.3,⑧⑤④, 5, 6,Ｃレオアラシ, 67,北村宏, 1.2, 61,* -6,  12, 5, 18.3,②②②, 5, 6,Ｉシルクファルシオン, 79,北村宏, 0.3, 79,   4,  13, 2,  5.5, ⑩⑨
 6,13,Ａミサノグリｰン, 48,津村明, 0.3, 47, -10,  -5, 8, 19.5, ⑨⑧, 6,12, タカラボス,,大庭和,216.9,,,, 6, 18.1,⑥⑧⑨, 6, 2,Ｆピンクアリエス, 64,津村明, 1.3, 63,  -7,  17, 6, 47.4,⑦⑥⑥, 6, 2,Ｆコンフォｰコ, 80,田辺裕, 0.5, 78,  -1,* 17,12, 34.5, ⑯⑪
 7,10,Ｊコスモアスコット, 36,柴田大, 0.3, 46,  -9,  -6, 9, 28.3, ⑦⑤, 7, 2, ブラボｰデイ,,宗像徹,217.1,,,,10, 35.1,⑫⑩⑩, 7, 3,Ｇティアップメキラ, 54,江田照, 4.5, 42,  -6, -11, 7,120.7,③⑤⑦, 7,15,Ｈロｰブドヴルｰル, 79,柴田大, 0.6, 78,*  9,   7,10, 21.4, ③③
 8, 7,Ｇラブステラｰ, 40,西田雄, 0.5, 43, -14,  -4,10, 35.6, ⑩⑩, 8, 6, スティングマリｰ,,平沢健,217.2,,,,12, 40.5,④④⑥,,,,,,,,,,,,, 8, 9,Ｌミッキｰフォルテ, 77,石橋脩, 0.6, 78,*  9,   6, 5,  9.0, ②②
