10年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾌﾟﾛｰｽﾞ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａアイルトンバロｰズ, 64,北村宏,, 65,  -1,*  7, 1,  3.3, ⑩⑪, 1,11, クランエンブレム,,横山義,,,,, 1,  1.9,②②①, 1,12,Ｂガムラン, 73,蛯名正,, 74,* 10,  -1, 2,  5.6, ②②, 1, 3,Ａサクセスオネスティ, 88,北村宏,, 82,* 12,  10, 1,  3.0, ③③
 2, 4,Ｂテｰオｰブユウデン, 57,福永祐, 0.1, 66,*  1,*  2, 2,  3.8, ②②, 2,10, ドットコム,,穂苅寿,202.4,,,, 3,  7.5,⑤⑤⑤, 2, 7,Ｅイｰグルカザン, 67,吉田豊, 0.2, 72,   4,*  7,10, 41.2, ⑬⑫, 2,16,Ｂデイトユアドリｰム, 84,松岡正, 0.0, 83,  10,  12, 3,  3.7, ④⑥
 3,14,Ｅニシノジャブラニ, 53,ルメｰ, 0.4, 62,*  1,*  0, 3,  5.2, ⑥④, 3, 3, フサイチアソｰト,,五十嵐,202.5,,,, 7, 28.2,⑥⑦⑥, 3, 1,Ｉラヴィアンクレｰル, 62,松岡正, 0.4, 72,   3,*  7, 4, 14.5, ⑮⑬, 3,15,Ｊヘリオスシチｰ, 76,内田博, 0.2, 83,   8,* 14, 6, 30.6, ⑨⑩
 4, 6,Ｉルイｰズ, 44,勝浦正, 1.7, 54,  -3,  -5,14,186.7, ⑪⑫, 4,14, メルシｰゴｰルド,,山本康,202.6,,,, 2,  4.5,④③②, 4,11,Ａホｰクウォリアｰ, 75,ムｰア, 0.6, 70,*  9,  -5, 1,  1.5, ④③, 4, 6,Ｆタマモスクワｰト, 80,村田一, 0.2, 82,   7,* 13,10, 38.3, ⑪⑨
 5, 5,Ｊコスモソユｰズ, 40,丹内祐, 1.7, 55,  -1,  -7, 8, 53.9, ⑭⑩, 5, 1, ソリッドラヴ,,大庭和,204.5,,,, 9, 60.0,⑧⑧⑧, 5,13,Ｄサミットストｰン, 67,ウィリ, 0.7, 69,* 10,  -7, 7, 37.5, ③④, 5,10,Ｃオオトリオウジャ, 83,スミヨ, 0.3, 81,   9,  10, 2,  3.3, ⑧⑤
 6,16,Ｃオｰソリタティヴ, 55,ウィリ, 2.3, 49,  -1, -14, 6, 15.9, ⑧⑦, 6, 7, オンワｰドシェルタ,,浜野谷,204.7,,,, 6, 15.5,⑦⑥⑦, 6, 2,Ｇダイヤヘルメス, 63,後藤浩, 0.9, 67,   7,  -3,12, 69.4, ⑩⑦, 6, 1,Ｄリバｰアゲイン, 82,吉田豊, 0.6, 78,   6,  12, 8, 35.9, ⑬⑫
 7, 7,Ｌダンスビュｰティ, 38,田中勝, 2.4, 50,  -1, -13,10,115.6, ⑨⑨, 7,13, カシマレジェンド,,高野和,206.3,,,,10, 61.4,③④④, 7, 5,Ｈゲンパチマイラヴ, 63,柴田善, 1.0, 66,   2,*  3,15,175.3, ⑯⑮, 7,13,Ｍワンモアグリッタｰ, 75,藤岡佑, 1.0, 76,   4,  11,15,163.6, ⑭⑭
 8,13,Ｈミストラル, 44,田中博, 2.6, 50,  -1, -17,16,201.1, ⑦⑥, 8, 8, ディアマイホｰス,,江田勇,206.5,,,, 4,  8.5,⑪⑨⑨, 8, 3,Ｍホッコｰガンバ, 57,武英智, 1.1, 67,   6,  -3, 8, 37.8, ⑫⑪, 8, 7,Ｎヌｰサ, 73,杉村一, 1.0, 76,   9,   5,14,140.7, ⑦⑦
