10年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,農林水産省賞典 小倉記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,15,Ｋケｰジｰヨシツネ, 37,和田竜, 1.7, 34,   0, -28, 4, 18.1, ⑥④,12, 1, オウエイロブロイ,---,幸英明, 1.7, 42, -20,  -5, 7, 13.3,⑧⑧⑨,12,16,Ｉヒシミステリｰ, 54,福永祐, 2.6, 50,  -9,   1,11,101.8,⑮⑭⑪,12,13,Ａラインプレアｰ, 89,小牧太, 1.1, 71,   7,   6,11, 46.2,⑮⑬⑭
13,10,Ｎマギｰメイ, 27,野元昭, 1.9, 30, -17, -13,15,395.2, ⑭⑭,13, 7, ナムラカンタベリｰ,---,柴田善, 2.1, 36, -23,  -6, 9, 41.1,⑪⑬⑭,13, 7,Ｊチュウワミラクル, 52,安藤光, 2.8, 47,  -9,   0, 9, 64.6,⑩⑪⑬,13, 4,Ｐオｰスミスパｰク, 72,藤岡康, 1.3, 68,* 13,  -8, 6, 11.8,①①①
14,11,Ｌキリシマガｰル, 35,佐藤哲, 2.6, 20, -11, -29,13,288.6, ⑬⑬,14, 6, ラブイズゴッド,---,浜中俊, 3.8, 16, -19, -38,10, 57.5,⑦⑥⑬,14,14, ボッカデラヴェリタ,---,岩田康, 2.9, 51, -11,   3, 8, 54.2,⑭⑮⑮,14, 7,Ｏマキハタサイボｰグ, 72,国分恭, 1.4, 69,   7,   1,17,176.5,⑪⑫⑬
15, 4,Ｏリッシンカッポレ,-16,赤木高, 4.1,-13, -22, -38,14,339.5, ⑮⑮,15, 3, マイネソルシエｰル,---,赤木高, 4.8,  8, -31, -26,14,107.4,⑬⑮⑮,15, 2,Ｌタマモトップスタｰ, 48,川須栄, 4.3, 38,  -7, -16,15,255.8,④⑧⑫,15,14,Ｋゼンノグッドウッド, 80,松山弘, 1.5, 70,   3,  11,16,102.3,⑰⑰⑰
,,,,,,,,,,,,16,11, ビッグアスリｰト,---,熊沢重,14.4,-93, -55, ---,16,190.4,⑯⑯⑯,16,10,Ｎレッドクリスタル,-15,高田潤, 4.8, 38, -14,  -7,16,269.8,⑯⑯⑯,16,12,Ｄメイショウレガｰロ, 87,岩田康, 1.8, 64,  10, -11, 8, 18.3,③③⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｍトｰホウレｰサｰ, 76,浜中俊, 3.2, 50,  10, -31,14, 77.8,④④⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,
"単勝:4,880円 複勝:02=1,990円 06=260円 03=670円 枠連:1,710円",,,,,,,,,,,,"単勝:350円 複勝:09=150円 08=180円 05=170円 枠連:1,080円",,,,,,,,,,,,単勝:230円 複勝:08=120円 03=110円 12=160円 枠連:310円,,,,,,,,,,,,"単勝:1,970円 複勝:18=640円 11=230円 01=210円 枠連:1,040円",,,,,,,,,,,
"馬連:7,410円 ワイド:02-06=1,770円 02-03=3,420円 03-06=800円",,,,,,,,,,,,"馬連:1,170円 ワイド:08-09=430円 05-09=430円 05-08=610円",,,,,,,,,,,,馬連:330円 ワイド:03-08=180円 08-12=330円 03-12=250円,,,,,,,,,,,,"馬連:8,960円 ワイド:11-18=2,250円 01-18=2,160円 01-11=710円",,,,,,,,,,,
