10年11月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,醍醐ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａアドマイヤトリック, 62,デムｰ,, 59,*  3,* -2, 1,  1.1,⑤④③, 1,14, マサノブルｰス,,佐久間,,,,, 6, 17.6,⑤③③, 1,17,Ｄヒカルアカツキ, 78,武豊  ,, 76,* 17,  -8, 2,  4.7,⑩⑧⑤, 1, 4,Ｃユキノハボタン, 83,北村友,, 84,   0,  12, 4, 10.5, ⑦⑦
 2, 4,Ｂラインレグルス, 58,和田竜, 0.7, 56,   1,  -6, 2, 17.8,⑥⑦⑥, 2,11, キシュウグラシア,,中村将,195.4,,,, 7, 20.0,①①①, 2,16,Ｃナムラアｰガス, 78,古川吉, 0.1, 76,* 17,  -9, 7, 30.5,⑬⑫⑥, 2,13,Ｄサクラミモザ, 82,ボニヤ, 0.0, 85,  -1,  14, 3,  5.7, ⑧⑨
 3, 3,Ｄドリｰムガイド, 53,田中健, 0.9, 55,   0,  -6, 8, 44.9,⑪⑧⑧, 3,13, ヒカリアライブ,,高野容,196.1,,,, 3,  6.3,③②②, 3,15,Ａアドマイヤショット, 80,デムｰ, 0.1, 75,  14,  -5, 1,  1.5,⑨⑨⑩, 3, 1,Ｅケンブリッジエル, 82,佐藤哲, 0.2, 78,*  9,   0, 7, 16.4, ①①
 4, 1,Ｇハタノゼフィロス, 47,ボニヤ, 1.3, 51,  -1,  -7, 9, 55.8,⑨⑨⑨, 4, 6, ロｰドアルファｰド,,高田潤,196.5,,,, 5, 13.9,⑥⑥⑥, 4, 1,Ｐヒットメｰカｰ, 63,国分恭, 0.2, 75,  13,* -1, 6, 28.5,⑭⑭⑫, 4,16,Ｏプレンティフェスタ, 74,幸英明, 0.3, 80,   0,   9,14, 98.0, ⑨⑧
 5,10,Ｃホワイトアルバム, 55,幸英明, 1.6, 48,*  2, -16, 6, 29.4,④⑤⑤, 5,10, タガノブラックヒル,,北沢伸,196.5,,,, 8, 23.5,④④④, 5, 2,Ｅピエナファンタスト, 76,武幸四, 0.2, 76,  12,*  4, 9, 44.1,⑰⑯⑯, 5, 9,Ｂリｰチコンセンサス, 83,浜中俊, 0.3, 82,  -6,* 15, 1,  2.5, ⑭⑭
 6,14,Ｉエｰシンミラｰジュ, 43,浜中俊, 1.8, 48,   1, -16, 4, 20.1,⑦⑥⑦, 6, 3, ビｰビｰスカット,,西谷誠,196.8,,,, 1,  2.0,⑦⑦⑧, 6, 5,Ｆハｰトシュｰタｰ, 75,国分優, 0.3, 73,  14,  -5,13,101.3,⑧⑩⑪, 6,12,Ｆダブルウェッジ, 82,デムｰ, 0.3, 81,  -4,  12, 2,  5.5, ⑩⑪
 7, 2,Ｈラプスドｰル, 47,岩田康, 1.9, 47,*  2, -20, 7, 39.7,③③④, 7,12, リアルヴィクトリｰ,,白浜雄,196.8,,,, 2,  5.1,⑨⑨⑨, 7, 8,Ｑイコｰルパｰトナｰ, 61,中村将, 0.3, 74,  13,* -1,11, 63.2,⑫⑬⑭, 7,11,Ｍタイセイハニｰ, 76,江田照, 0.3, 82,  -9,* 18,15,134.6, ⑱⑰
 8,13,Ｌカリスマミッキｰ, 40,川須栄, 2.4, 46,  -5,  -9,11,167.0,⑫⑪⑪, 8, 5, ハマノツｰステップ,,難波剛,197.0,,,, 4, 11.0,⑧⑧⑦, 8,12,Ｋロッソネロ, 71,和田竜, 0.3, 74,* 17, -14, 5, 28.3,④⑤②, 8,17,Ｉセブンシｰクィｰン, 78,和田竜, 0.4, 78,*  5,   2, 5, 14.1, ③③
 9, 9,Ｊエｰシンビショップ, 43,藤岡康, 3.0, 40,*  3, -30, 5, 23.9,②②②, 9, 2, タラリア,,岩崎祐,197.5,,,,10, 43.5,⑩⑩⑩, 9, 3,Ｊメイショウベｰネ, 71,浜中俊, 0.6, 72,  13,  -5,17,283.9,⑮⑮⑮, 9, 5,Ｋゲットブラック, 78,鮫島良, 0.5, 80,  -9,* 15,12, 41.2, ⑰⑮
10, 6,Ｍアグネススコｰル, 36,国分優, 3.3, 37,*  3, -34,10,161.6,①①①,10, 8, シュウホｰサンデｰ,,金折知,198.0,,,, 9, 32.6,②⑤⑤,10,13,Ｏアイウォントユｰ, 65,幸英明, 0.6, 71,  14,  -9, 3, 13.5,⑪⑪⑬,10, 6,Ａマヤノロシュニ, 84,津村明, 0.5, 76,   3,   3, 9, 27.8, ④④
11, 5,Ｅテンベアハｰト, 52,上村洋, 3.9, 37,  -8, -16, 3, 18.1,⑭⑭⑭,11, 7, スズカオペック,,植野貴,200.4,,,,11, 54.5,⑪⑪⑪,11, 4,Ｇシャイニングデイ, 75,太宰啓, 1.0, 67,  15, -19,14,118.9,⑦⑥⑧,11, 7,Ｇスｰパｰワシントン, 82,石橋守, 0.5, 78,  -4,  10,10, 31.7, ⑬⑬
12, 8,Ｋレッドジュバ, 41,野元昭, 3.9, 35,  -7, -18,14,399.0,⑬⑬⑬,12, 9, メイショウワダツミ,,南井大,204.3,,,,14,191.8,⑫⑫⑫,12,10,Ｎドナフュｰジョン, 67,川須栄, 1.1, 66,  15, -21,15,176.1,⑥⑦⑨,12,15,Ｈギンゲイ, 80,秋山真, 0.6, 78,  -9,  14, 6, 15.1, ⑯⑱
13,11,Ｆクリノイメルダ, 50,渡辺薫, 4.1, 34,  -2, -29,13,341.8,⑩⑩⑩,13, 1, テイエムキャンドル,,黒岩悠,210.6,,,,12,118.9,⑬⑬⑬,13, 6,Ｍスナｰクスペイン, 68,秋山真, 1.3, 65,* 18, -31,10, 59.0,①①①,13, 2,Ｐヒシハイグレｰド, 74,酒井学, 0.6, 76,  -4,   8,17,204.0, ⑪⑩
14,12,Ｎコンペキノウミ, 31,江田照, 4.6, 31,  -6, -25,12,181.4,⑧⑫⑫,14, 4, トウケイトニｰ,,仲田雅,223.4,,,,13,181.1,⑭⑭⑭,14,11, マッキｰスチｰル,---,野元昭, 1.4, 65,   9,  -5,16,210.5,⑯⑰⑰,13, 8,Ｎエスカｰダ, 75,西田雄, 0.6, 74,   2,   3,16,154.4, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｌヴィジレ, 70,熊沢重, 1.5, 63,  15, -28,12, 82.1,⑤④⑦,15,10,Ｑリッタｰヴォルト, 71,上村洋, 0.6, 75,   3,   2,13, 85.8, ⑥⑤
,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｈメイショウユウシャ, 73,高倉稜, 1.8, 60,* 17, -35, 8, 35.7,③③④,16, 3,Ｒジョウショｰアロｰ, 68,渡辺薫, 0.9, 72,  -4,   4,18,225.9, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,17, 9,Ｉナリタジャングル, 73,北村友, 2.1, 59,* 17, -39, 4, 21.5,②②③,17,18,Ｊミスクリアモン, 78,中舘英, 1.2, 67,*  8, -11, 8, 27.3, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｌイセノスバル, 77,小林徹, 1.3, 66,  -7,   2,11, 34.9, ⑮⑯
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
単勝:110円 複勝:07=100円 04=170円 03=410円 枠連:330円,,,,,,,,,,,,"単勝:1,760円 複勝:14=490円 11=1,000円 13=210円 枠連:950円",,,,,,,,,,,,"単勝:470円 複勝:17=140円 16=280円 15=110円 枠連:2,900円",,,,,,,,,,,,"単勝:1,050円 複勝:04=270円 13=260円 01=430円 枠連:1,050円",,,,,,,,,,,
