10年 5月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 5月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ2100m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,丹沢ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃゴｰルドマッシモ, 59,吉田豊,, 61,  -7,*  7, 2,  3.2, ④④, 1,11, ドンヤマト,,山本康,,,,, 5,  8.8,①①①, 1,12,Ｊワンモアジョｰ, 58,勝浦正,, 72,*  0,   2, 8, 23.2, ④③, 1, 1,Ｃシｰダｰラック, 87,蛯名正,, 86,   8,* 20, 2,  4.1,⑤⑥⑦
 2,12,Ａホｰプダイナスティ, 62,勝浦正, 0.0, 62,  -7,*  8, 5, 17.8, ⑧⑥, 2, 4, サニｰネイティブ,,大庭和,199.5,,,, 3,  5.0,⑤⑤⑤, 2,13,Ｄテンエイエスプリ, 65,北村宏, 0.0, 73,  -3,   5, 3,  6.7, ⑦⑦, 2, 7,Ｂストロングバサラ, 87,北村宏, 0.1, 83,* 10,  16, 7, 19.2,⑥⑤③
 3,10,Ｂチャレンジフラッグ, 61,後藤浩, 0.1, 59,  -7,   6, 1,  1.9, ⑥⑤, 3, 6, ハクサン,,石神深,201.1,,,, 4,  5.3,④④④, 3, 4,Ｃラジャポネｰズ, 67,柴田大, 0.1, 73,  -4,*  6, 5,  8.1, ⑧⑧, 3,13,Ｏバロンビスティｰ, 80,勝浦正, 0.2, 82,   9,  16,12, 78.5,⑦⑧⑤
 4, 8,Ｉビジュｰトップス, 48,武士沢, 0.2, 59,  -8,*  8,10,178.3, ⑤⑦, 4, 8, アイズオブゾロ,,穂苅寿,201.7,,,, 1,  3.3,⑥⑥⑥, 4, 2,Ｌエンダｰズシャドウ, 53,田中勝, 0.2, 72,  -6,*  6,12,182.0, ⑩⑩, 4,16,Ｆベルモントガリバｰ, 85,吉田豊, 0.2, 84,   7,* 20, 6, 15.5,⑫⑩⑫
 5,13,Ｄライラックパンチ, 56,内田博, 0.3, 60,* -5,   2, 3,  5.2, ②②, 5,14, フェスティバルイヴ,,高野和,201.7,,,, 2,  4.1,⑦⑦⑦, 5, 5,Ｋインテグラルヘッド, 58,横山典, 0.2, 69,  -3,   2, 2,  4.4, ⑤④, 5, 3,Ｋフリソ, 84,戸崎圭, 0.2, 85,   8,  18, 1,  3.8,⑨⑦⑧
 6,14, カメリアビジュ,---,蛯名正, 0.9, 55,* -6,  -3, 4, 16.8, ③③, 6,12, クロスホｰリｰ,,柴田未,201.9,,,,14,205.6,②②②, 6, 7,Ａソルプリマベラ, 74,国分優, 0.3, 71,  -7,*  6, 1,  2.6, ⑪⑪, 6, 5,Ａエタｰナルスマイル, 87,柴山雄, 0.3, 83,   8,* 19,11, 70.9,⑧⑨⑨
 7, 7,Ｌキンショｰルビｰ, 35,柴山雄, 1.0, 54, -11,   5,11,212.7, ⑫⑫, 7, 1, メジロゲッタウェイ,,平沢健,203.2,,,, 9, 33.2,⑨⑧⑧, 7, 6,Ｇロジディオン, 61,後藤浩, 0.5, 65,  -3,  -2, 4,  7.5, ⑥⑥, 7, 8,Ｊピサノエミレｰツ, 85,横山典, 0.6, 81,   8,  16, 5,  8.1,⑯⑯⑪
 8, 2,Ｇヨイチクロｰン, 53,田中勝, 1.0, 54, -10,   2, 6, 31.3, ⑦⑧, 8, 9, ヨイチセレブ,,五十嵐,203.8,,,, 7, 29.8,③③③, 8,10, ドリｰムピｰチ,---,蛯名正, 0.5, 64,*  1,  -6,11,133.6, ②②, 8,12,Ｅメイショウゲンスイ, 86,後藤浩, 0.7, 77,* 10,   8, 8, 30.3,①①①
