10年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12, 5, アイファｰプルクラ,---,松山弘, 2.9, 10, -49, -12,12,244.9, ⑬⑫,12, 5,Ｎエリモヴィクトリｰ, 40,川田将, 1.3, 52,  -3, -12,12,164.6,③⑥⑧,12, 2,Ｅコウジンアルス, 87,高倉稜, 1.6, 70,* 10,   4, 7, 19.8,②②③
,,,,,,,,,,,,13, 7, ダイナミックワルツ,---,熊沢重, 4.5,-14, -43, -38, 9, 57.7, ⑪⑬,13, 1,Ｋダイシンボｰイ, 48,鮫島良, 3.3, 35, -16, -14,13,219.6,⑮⑯⑮,13,10,Ｃテイエムザエックス, 88,中村将, 1.7, 70,   7,   8, 8, 33.8,⑦⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｌワンダｰストラ, 42,渡辺薫, 3.4, 33, -12, -25,14,269.6,⑭⑭⑭,14,11,Ｈトｰホウアタック, 87,太宰啓, 2.4, 65,   5,   5, 9, 38.0,⑫⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｏロｰザグランデ, 25,高倉稜, 4.0, 26,  -3, -49, 9, 78.2,⑦⑩⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,11, ミルエンズパｰク,---,松山弘, 7.9,-22, -12, -88, 7, 19.2,⑯⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
単勝:220円 複勝:10=110円 07=170円 02=170円 枠連:220円,,,,,,,,,,,,単勝:160円 複勝:10=110円 04=180円 09=470円 枠連:440円,,,,,,,,,,,,単勝:170円 複勝:04=110円 15=170円 07=230円 枠連:250円,,,,,,,,,,,,"単勝:710円 複勝:09=180円 08=1,190円 04=120円 枠連:1,630円",,,,,,,,,,,
馬連:620円 ワイド:07-10=250円 02-10=240円 02-07=510円,,,,,,,,,,,,"馬連:470円 ワイド:04-10=230円 09-10=750円 04-09=1,550円",,,,,,,,,,,,"馬連:560円 ワイド:04-15=270円 04-07=320円 07-15=1,020円",,,,,,,,,,,,"馬連:38,330円 ワイド:08-09=7,580円 04-09=270円 04-08=2,620円",,,,,,,,,,,
