10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,彦島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1,Ｊカシノマリン, 32,水口優, 6.8, 17, -10, -44, 9,121.3,⑦⑪⑫,12,13, トｰホウオリｰブ,---,太宰啓, 3.2, 32,* -1, -34,13,119.8,⑤④⑤,12,13,Ｎケイツｰノｰス, 56,田中博, 1.8, 56,  -9,   5, 9, 35.0, ⑪⑫,12, 3,Ｉスペｰスシャトル, 68,田辺裕, 0.9, 72,  -3,  19, 8, 21.9,⑮⑯⑮
,,,,,,,,,,,,13,11, サマｰビｰチ,---,丸田恭, 4.1, 26,  -6, -34, 4, 12.1,④⑩⑬,13,11,Ｋチェリｰソウマ, 61,太宰啓, 2.1, 51, -13,   5,10, 35.8, ⑬⑪,13,13,Ｐアｰスコンシャス, 60,真島正, 1.0, 66,*  0,   7,16,157.4,⑯⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｍカシノダンク, 57,二本柳, 3.1, 41, -12,  -5,13,106.7, ⑫⑭,14,14,Ｍビルトミｰアップ, 65,宮崎北, 1.3, 63,  -1,   5,15,130.6,⑨⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｆマルカゴクウ, 70,鮫島良, 1.3, 63,*  0,   2, 4,  6.7,⑤④⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｊアマノスパイダｰ, 67,藤岡康, 1.4, 62,  -2,   3,13, 67.5,⑦⑨⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:2),,,,,,,,,,,
単勝:190円 複勝:11=110円 12=140円 06=210円 枠連:340円,,,,,,,,,,,,"単勝:170円 複勝:05=110円 03=690円 04=690円 枠連:4,970円",,,,,,,,,,,,単勝:460円 複勝:06=180円 12=140円 09=480円 枠連:380円,,,,,,,,,,,,"単勝:470円 複勝:02=170円 11=240円 10=190円 枠連:1,050円",,,,,,,,,,,
馬連:370円 ワイド:11-12=190円 06-11=490円 06-12=540円,,,,,,,,,,,,"馬連:4,230円 ワイド:03-05=1,340円 04-05=1,080円 03-04=10,890円",,,,,,,,,,,,"馬連:770円 ワイド:06-12=370円 06-09=1,590円 09-12=1,380円",,,,,,,,,,,,"馬連:2,150円 ワイド:02-11=820円 02-10=530円 10-11=610円",,,,,,,,,,,
