10年 4月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 4月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2500m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安房特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, マチカネユウビ,---,吉田豊,, 55,  -6,*  0,10, 97.9,⑬⑪⑩, 1, 7, コンフェルヴォｰレ,,浜野谷,,,,, 4, 11.6,②①①, 1, 6,Ｇクラブトゥギャザｰ, 70,三浦皇,, 78,*  9,* 10, 3,  6.9,⑤④③, 1, 6,Ａフェニコｰン, 83,内田博,, 85,* 11,* 21, 2,  3.7,⑩⑤②
 2,12,Ｈパラダイスモデル, 56,松岡正, 0.2, 53,* -3,  -9, 4,  7.7,⑤③③, 2,11, プラクシス,,横山義,195.7,,,, 1,  2.2,⑤⑤④, 2,11,Ｂフジヤマワカムシャ, 75,内田博, 0.6, 74,*  9,   3, 5,  9.8,④③②, 2, 5,Ｂトｰセンゴライアス, 79,蛯名正, 0.0, 84,* 11,* 21, 3,  4.6,④③④
 3, 4,Ｃレディスキッパｰ, 60,後藤浩, 0.2, 52,  -4,  -6, 3,  7.1,⑪⑧⑧, 3, 3, テイエムサプライズ,,草野太,196.5,,,,12, 94.6,④④②, 3, 4,Ａゴｰルデンハインド, 79,後藤浩, 0.8, 71,   8,   3, 1,  2.2,⑥⑤④, 3,13,Ｅミッキｰミラクル, 77,横山典, 0.1, 81,* 12,  16, 1,  3.6,①①①
 4, 2,Ｅドラゴンソニック, 58,田中勝, 0.3, 54,  -8,*  0, 7, 22.1,⑭⑬⑫, 4,13, ドレックセル,,山本康,197.0,,,,11, 94.4,③②③, 4, 5,Ｅサクセスヒュｰゴｰ, 72,的場勇, 0.8, 72,* 10,   0, 2,  3.2,③②①, 4, 2,Ｃトウショウデザｰト, 79,吉田豊, 1.0, 74,   8,  13, 4,  7.2,⑫⑪⑨
 5, 3,Ｄミアコルサ, 59,小林淳, 0.3, 54,  -6,  -4, 6, 17.2,⑫⑩⑥, 5, 9, シルクパナシア,,五十嵐,197.0,,,, 5, 18.2,⑧⑨⑧, 5,10,Ｄケイバズキ, 72,北村宏, 1.1, 72,   7,*  8, 8, 34.6,⑫⑨⑨, 5, 8,Ｊバｰジンフォレスト, 74,石橋脩, 1.0, 77,   8,  13,13,135.0,⑨⑩⑪
 6, 6,Ｂマイネルナロッサ, 61,中谷雄, 0.4, 53,  -3, -10, 2,  5.3,③④④, 6, 4, キングルｰキｰ,,穂苅寿,197.4,,,, 3,  5.1,⑪⑧⑨, 6, 9,Ｆフォｰジドスチｰル, 70,柴田善, 2.1, 65,   8,  -6, 7, 28.5,⑩⑦⑥, 6, 7,Ｆアイティトップ, 77,丹内祐, 1.1, 75,   8,  13, 7, 26.5,⑪⑫⑩
 7, 9,Ａトウカイカラｰ, 64,柴山雄, 0.9, 48,* -2, -15, 1,  2.0,①①①, 7,10, ダイワバイロン,,水出大,197.9,,,, 6, 24.7,⑦⑦⑦, 7, 2,Ｈドナプレミア, 66,中舘英, 2.3, 65,   8,  -7,12,142.2,⑦⑥⑤, 7, 3,Ｄパッシングマｰク, 77,中舘英, 1.3, 71,* 11,   0,10, 43.9,②②③
 8,14, ミステリｰクイｰン,---,吉田隼, 1.0, 49,  -5, -12,11,150.7,⑧⑦⑨, 8, 1, キフジン,,石神深,198.0,,,, 8, 50.3,⑩⑪⑩, 8, 1,Ｋスペｰスシャトル, 58,郷原洋, 2.6, 63,   8,  -8, 9, 83.1,⑨⑧⑧, 8,11,Ｈグリフィス, 74,田中勝, 1.5, 69,   9,   2, 8, 35.0,⑧⑥⑧
