10年11月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,嵯峨野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｃミヤジメｰテル, 59,後藤浩,, 58,*  6,* -6, 3,  7.2, ②②, 1,11,Ｂグラッツィア, 67,四位洋,, 71,*-12,  15, 2,  4.7, ④③, 1,12,Ａノルマンディｰ, 79,スミヨ,, 74,   6,*  3, 1,  2.9, ④⑤, 1, 9,Ｅメイショウウズシオ, 80,飯田祐,, 84,*  0,  11, 2,  4.3,②②②
 2,15,Ｂクィｰンオブライフ, 65,秋山真, 0.2, 57,*  5,* -7, 1,  1.7, ③③, 2,13,Ａダノンシャｰク, 75,スミヨ, 0.2, 70, -14,* 16, 1,  1.4, ⑨⑨, 2,14,Ｅシルバｰキセキ, 73,福永祐, 0.0, 75,*  8,   2, 3,  6.2, ②②, 2, 7,Ｊナリタシャトル, 71,岩田康, 0.2, 81,*  1,   7, 8, 18.4,①①①
 3, 3,Ｋプントバンコ, 37,藤岡佑, 0.7, 53,   2,* -6, 6, 21.8, ⑦⑦, 3, 6,Ｍゴットマスタング, 30,国分恭, 0.3, 69, -16,* 17,13,328.5, ⑫⑧, 3, 5,Ｉプリサイストップ, 70,高倉稜, 0.1, 73,*  8,   0, 7, 18.2, ①①, 3, 1,Ｃヒシセンチュリｰ, 81,武豊  , 0.2, 85,  -4,* 19, 1,  4.0,⑤⑥⑥
 4, 6,Ａグランス, 66,小牧太, 0.7, 52,   4, -10, 4,  8.3, ④④, 4, 5,Ｌロｰドエアフォｰス, 35,デムｰ, 0.4, 65, -13,  10, 4, 18.8, ③④, 4, 3,Ｄリバｰサルブロｰ, 73,川須栄, 0.4, 71,   4,   2, 9, 29.1, ⑥⑧, 4, 5,Ｇヤマニンガｰゴイル, 79,吉田稔, 0.2, 83,  -1,  14, 6, 10.7,③③④
 5, 5,Ｄスペシャルピｰス, 55,武豊  , 1.0, 49,   3, -12, 2,  4.7, ⑥⑥, 5,10,Ｉディアアプロｰズ, 50,蛯名正, 0.5, 64, -14,  10,10,124.9, ⑤⑤, 5, 7,Ｇフィｰルドシャイン, 72,酒井学, 0.4, 71,   5,   1, 2,  3.6, ⑦⑥, 5, 3,Ｉキンショｰオトヒメ, 73,酒井学, 0.4, 84,  -4,* 19,11, 67.6,⑪⑩⑩
 6,13,Ｅロイヤルネイチャｰ, 50,川島信, 1.2, 49,   4, -13,11,103.1, ⑤⑤, 6, 1,Ｆシゲルリジチョウ, 59,高倉稜, 0.8, 62, -19,  14, 7, 44.4, ⑭⑬, 6,13,Ｎグランプリヒトスジ, 65,ムｰア, 0.7, 65,  -2,*  4, 6, 17.1, ⑮⑯, 6, 4,Ｆカシノネロ, 80,渡辺薫, 0.5, 83,  -4,  14, 7, 13.0,⑥⑦⑨
 7,10,Ｌポｰトワイン, 35,国分恭, 1.3, 48,  -3,* -5,13,336.7, ⑬⑬, 7, 9,Ｈフィエラメンテ, 54,ルメｰ, 0.8, 59,*-12,   3, 6, 29.6, ②②, 7,11,Ｈエｰシンビッグシｰ, 71,藤岡佑, 0.8, 66,   3,  -1, 8, 26.1, ⑩⑦, 7, 6,Ｄキタサンアミｰゴ, 80,スミヨ, 0.6, 81,  -3,  13, 4,  6.7,⑧⑧⑦
 8, 2,Ｆキッスオブドラゴン, 47,デムｰ, 1.3, 46,  -1,  -8, 5, 19.4, ⑩⑫, 8, 3,Ｊボストンリョウマ, 45,和田竜, 1.1, 55,*-12,  -3, 8, 64.5, ①①, 8, 6,Ｌサクラシリアス, 66,武豊  , 0.8, 64,   0,*  3,10, 38.1, ⑭⑮, 8, 8,Ｋトウカイオｰロラ, 65,和田竜, 0.7, 82,  -4,  14,10, 29.1,⑩⑪⑪
 9, 4,Ｊサンキュｰフライト, 38,吉田稔, 1.4, 46,   1, -11,15,380.0, ⑧⑧, 9,12,Ｄゲティスバｰグ, 61,秋山真, 1.1, 56, -15,   2, 5, 21.0, ⑥⑥, 9, 4,Ｂワンダｰキラメキ, 77,佐藤哲, 0.9, 66,   4,  -3, 5, 11.2, ⑧⑨, 9,10,Ｂパｰプルタイヨｰ, 82,蛯名正, 0.8, 75,  -1,   4, 9, 18.9,④④③
10, 8,Ｉタガノランビｰ, 42,川田将, 2.2, 40,   0, -17, 8, 89.1, ⑨⑨,10, 8,Ｃムｰンパイロット, 66,浜中俊, 1.2, 57, -16,   5, 3,  9.0, ⑪⑫,10, 1,Ｋノトｰリアス, 67,古川吉, 1.0, 63,   1,  -1,12, 55.0, ⑪⑫,10,11,Ｈトゥリオンファｰレ, 74,川田将, 1.1, 73,  -3,   3, 5,  7.4,⑦⑤⑤
11, 9,Ｍアイファｰアプリル, 31,安部幸, 2.3, 42,  -1, -15,14,366.4, ⑪⑩,11, 7,Ｅコスモセンシティブ, 60,松岡正, 1.6, 53, -19,   2, 9, 90.8, ⑬⑭,11,15,Ｍマイネルレガｰロ, 65,松岡正, 1.0, 62,  -2,   1,15,121.3, ⑯⑭,11, 2,Ａナイスミｰチュｰ, 85,小牧太, 1.1, 72,  -3,   4, 3,  6.0,⑨⑨⑧
12,12,Ｈゲッカビジン, 43,川須栄, 2.4, 39,  -2, -17, 9,101.3, ⑫⑪,12, 4,Ｎエビスガオ, 29,川須栄, 1.7, 49, -16,  -3,12,226.6, ⑩⑪,12, 9,Ｐキクノベリｰタ, 55,川田将, 1.1, 66,*  7,  -7,13, 92.9, ③④,,,,,,,,,,,,
13,11,Ｇウエスタンジェミｰ, 43,高倉稜, 2.8, 34,  -5, -17,12,315.2, ⑭⑭,13, 2,Ｋアイズビット, 36,岩田康, 2.3, 41, -16, -12,11,162.0, ⑧⑩,13,16,Ｃフォレストルｰラｰ, 75,川島信, 1.5, 61,   6, -10,14, 95.8, ⑤③,,,,,,,,,,,,
14, 1,Ｎキタサンアマゾン, 28,古川吉, 3.1, 32,  -7, -17,10,101.7, ⑮⑮,14,14,Ｇタガノマルシェ, 58,安部幸, 2.3, 38, -13, -17,14,366.6, ⑦⑦,14, 8,Ｏホｰプホｰマン, 63,飯田祐, 1.5, 59,   2,  -7,16,213.9, ⑨⑩,,,,,,,,,,,,
15, 7,Ｏニュｰユニヴァｰス,-14,池添謙, 3.6, 30,*  6, -37, 7, 40.4, ①①,,,,,,,,,,,,,15,10,Ｆルナキッズ, 72,国分恭, 1.5, 60,   1,  -5, 4, 10.6, ⑬⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｊアクアバンブｰ, 69,北村友, 1.8, 57,   1,  -8,11, 53.4, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,
単勝:720円 複勝:14=170円 15=110円 03=350円 枠連:480円,,,,,,,,,,,,"単勝:470円 複勝:11=140円 13=110円 06=3,570円 枠連:220円",,,,,,,,,,,,単勝:290円 複勝:12=130円 14=200円 05=350円 枠連:470円,,,,,,,,,,,,単勝:430円 複勝:09=170円 07=400円 01=160円 枠連:970円,,,,,,,,,,,
"馬連:450円 ワイド:14-15=220円 03-14=1,230円 03-15=620円",,,,,,,,,,,,"馬連:280円 ワイド:11-13=160円 06-11=13,330円 06-13=6,920円",,,,,,,,,,,,"馬連:700円 ワイド:12-14=340円 05-12=780円 05-14=1,320円",,,,,,,,,,,,"馬連:4,010円 ワイド:07-09=1,260円 01-09=420円 01-07=1,170円",,,,,,,,,,,
"馬単:1,280円 3連複:2,430円 3連単:13,700円",,,,,,,,,,,,"馬単:1,070円 3連複:28,700円 3連単:139,440円",,,,,,,,,,,,"馬単:1,250円 3連複:3,290円 3連単:11,300円",,,,,,,,,,,,"馬単:7,880円 3連複:5,910円 3連単:36,190円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1900m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾏｲﾙﾁｬﾝﾋﾟｵﾝｼｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂボレアス, 62,藤岡佑,, 60,  -6,*  6, 1,  2.3,⑧⑧⑤, 1,12, ヒカリトリトン,---,小牧太,, 62, -15,*  7, 5, 11.2, ⑦⑦, 1, 9,Ａハギノリベラ, 82,ルメｰ,, 73,   9,* 13, 1,  1.7,⑨⑦③, 1,13,Ｐエｰシンフォワｰド, 81,岩田康,, 97,  25,   9,13, 52.4, ⑧⑦
 2, 3,Ａインペリアルピサ, 62,スミヨ, 0.7, 53,  -5,* -2, 3,  4.2,④⑥④, 2, 2, ウエスタンハピネス,---,岩田康, 0.0, 63,* -4,  -3, 2,  4.8, ①①, 2, 7,Ｂオｰスミイレブン, 82,四位洋, 0.1, 71,* 10,   7, 2,  3.7,①①①, 2, 8,Ｄダノンヨｰヨｰ, 89,スミヨ, 0.0, 97,  19,* 19, 1,  3.7, ⑰⑰
