10年11月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島2歳ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｋバｰチャルトラック, 43,大野拓,, 67,*  2,*  6,11, 75.3,①①①, 1,13,Ｅサトノタイガｰ, 48,的場勇,, 60,   5,*  3, 6, 15.8,⑩⑩⑧, 1, 5,Ａシルクタイタン, 77,村田一,, 79,   3,* 15, 5, 10.3,⑬⑫⑫, 1, 5,Ｂトキノゲンジ, 65,安藤光,, 68,  -5,* 11, 5, 14.1, ⑫⑪
 2,10,Ｂエラット, 56,的場勇, 1.3, 63,*  0,* -3, 2,  3.6,⑨⑥③, 2, 7,Ｆトｰセンコマンド, 46,水口優, 0.4, 55,   7,  -8,11,149.9,⑧⑧⑦, 2,10,Ｄゴｰルドスパｰクル, 74,的場勇, 0.0, 77,*  6,   7, 1,  3.9,⑤④⑤,14, 6,Ａスギノエンデバｰ, 73,丸山元, 0.0, 69,  -1,*  9, 1,  2.1, ⑧⑨
 3, 9,Ｇノｰザンソング, 49,安藤光, 2.0, 53,*  1, -10, 8, 18.8,②②②, 3,11,Ｂコｰラルビュｰ, 55,丸山元, 0.5, 52,* 10, -15, 4, 11.6,②②②, 3, 6,Ｋキクノトップラン, 66,松山弘, 0.4, 73,   4,   5,11, 51.7,④⑥④, 2,13,Ｅシｰグランディ, 61,菅原勲, 0.1, 68,   2,   4, 7, 17.4, ⑤⑤
 4,15,Ｄスズカマジェスタ, 52,中舘英, 2.0, 54,*  0,  -9, 1,  3.6,③⑤④, 4, 4,Ｃケンタッキｰツヨシ, 54,田辺裕, 0.5, 55,   2,*  3, 5, 15.8,⑫⑬⑬, 4, 3,Ｆオペラオｰカン, 70,吉田隼, 0.4, 75,   4,   8, 4,  8.8,⑧⑪⑩, 3,10,Ｍクラウンフィデリオ, 48,的場勇, 0.3, 64,*  8,  -4, 8, 27.9, ②②
 5, 3,Ａカシノウィンド, 56,赤木高, 2.3, 53,*  0, -11, 5,  7.8,⑫⑦⑤, 5,14,Ｉテｰオｰゼウス, 44,石橋脩, 0.5, 55,   9, -13, 2,  6.1,⑤⑤④, 5, 1,Ｅウォｰボネット, 73,江田照, 0.6, 74,   4,   5, 7, 11.8,⑫⑩⑥, 4, 3,Ｉマイネルマサムネ, 55,中谷雄, 0.4, 64,  -3,   5,13, 56.4, ⑪⑫
 6, 7,Ｅコスモミアモｰレ, 50,丹内祐, 2.5, 52,  -2,  -8,13,115.1,⑩⑩⑨, 6, 9,Ｇメジロアマギ, 44,菅原勲, 0.6, 54,   3,  -3, 7, 32.4,⑬⑫⑩, 6,12,Ｈメジロカトリｰヌ, 68,黛弘人, 0.7, 71,   4,   1, 6, 11.2,⑦⑧⑪, 5, 2,Ｄマルタカシクレノン, 63,丹内祐, 0.5, 63,  -8,*  9, 2,  5.5, ⑬⑬
 7, 4,Ｊエドノリｰジェント, 44,上村洋, 3.1, 49,*  0, -18,10, 69.8,④③⑥, 7, 1,Ｄウインラｰニッド, 54,中舘英, 0.9, 51,* 11, -23, 1,  1.6,①①①, 7, 2,Ｃトミケンプライム, 75,丸山元, 0.8, 73,   3,   7, 3,  4.7,⑩⑬⑬, 6,14,Ｆウルトラファイン, 59,江田照, 0.5, 63,*  7,  -7, 3, 10.3, ③③
 8, 8,Ｈブラジルジャクｰ, 46,丸山元, 3.3, 46,  -1, -19, 9, 22.5,⑥④⑦, 8, 2,Ｊミラクルアイヴァｰ, 42,村田一, 1.2, 47,   9, -22,10,143.7,③④⑤, 8,13,Ｉアｰスコンシャス, 67,柴山雄, 0.9, 68,*  5,  -5,13, 96.1,⑨⑤⑧, 7,11, マイウィン,---,宮崎光, 0.5, 63,  -7,   8,15, 80.7, ⑭⑭
