10年 2月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萌黄賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａテンシノアスタｰ, 65,国分恭,, 61,*  1,* -3, 1,  2.3,③⑤②, 1, 9,Ａユウキアックン, 75,梶晃啓,, 76,*  6,*  7, 1,  3.7, ①①, 1, 5,Ｃアイノカゼ, 75,草野太,, 80,   6,* 16, 7, 25.2,⑦⑥②, 1,14,Ｈカレンチャン, 64,鮫島良,, 71,   1,*  1, 2,  5.1, ⑥⑤
 2, 5,Ｆテンシノネオ, 52,中村将, 0.0, 60,   0,* -3, 7, 20.3,⑥④⑤, 2, 5,Ｂメジロシｰゴｰ, 72,丸山元, 0.3, 73,*  5,   6, 3,  4.9, ②②, 2, 2,Ｂエイシンダッシュ, 75,宮崎北, 0.8, 73,*  8,   6, 2,  4.4,⑩①①, 2,15,Ｃジョディｰズライン, 67,藤岡康, 0.2, 67,  -2,*  1, 5,  8.7, ⑨⑧
 3,10,Ｄアイノグロｰ, 56,吉田稔, 0.7, 55,  -2,  -6, 4,  9.1,⑬⑨⑥, 3, 8,Ｄベストフェット, 69,田辺裕, 0.8, 68,*  5,   1, 8, 17.3, ③③, 3, 9,Ａピｰスオブパワｰ, 80,松山弘, 1.0, 73,   6,*  8, 1,  1.9,⑤⑤⑥, 3, 5,Ｇトレモロ, 64,丸田恭, 0.4, 62, -11,*  7,10, 24.2, ⑯⑮
 4, 8,Ｇシゲルタカカゲ, 51,小林徹, 1.5, 52,  -3,  -8,10, 99.6,⑭⑩⑨, 4, 6,Ｅスモｰキｰタバｰン, 66,的場勇, 0.9, 64,  -3,   6, 7, 16.6, ⑧⑨, 4,11,Ｈワイドヒリュウ, 69,田中克, 1.8, 67,*  7,  -1, 6, 17.8,①②③, 4, 8,Ｊインタレスティング, 63,酒井学, 0.5, 61,  -5,*  1,11, 24.2, ⑫⑪
 5, 7,Ｊデルマドミティア, 43,丸田恭, 1.8, 50,  -6,  -7,13,112.5,⑨⑫⑫, 5,10,Ｃラスカルデュｰク, 71,古川吉, 0.9, 66,  -7,*  9, 2,  4.3, ⑫⑫, 5, 3,Ｆマイネルフォルザ, 70,丹内祐, 1.8, 68,   3,   5, 9, 78.1,⑨⑧⑦, 5,11,Ｂレオパステル, 68,黛弘人, 0.6, 65,   3,  -8, 8, 20.9, ⑤④
 6,14,Ｋダイワスピアｰ, 42,的場勇, 2.3, 42,  -2, -19,12,103.1,⑦⑦⑦, 6, 3,Ｆヤッパリツヨカッタ, 66,吉田稔, 1.0, 65,   0,   3, 4,  6.6, ⑤⑤, 6, 7,Ｊネイヴルトウショウ, 65,丸山元, 2.1, 65,   6,  -1, 4,  8.1,②④⑤, 6, 9,Ｅオクルス, 65,宮崎北, 0.9, 63,*  8, -17, 1,  4.7, ①①
 7,15,Ｂスペシャルマン, 63,中舘英, 2.5, 42,*  1, -26, 2,  3.1,④③①, 7,16,Ｇネバｰチェンジ, 64,飯田祐, 1.1, 64,  -2,   3, 5, 10.2, ⑦⑦, 7,14,Ｄキクノトップラン, 71,国分恭, 2.1, 66,*  7,  -3, 3,  7.8,④③④, 7, 6,Ｋベストブルｰム, 62,北村友, 0.9, 59,   0,  -9, 4,  8.4, ⑦⑦
 8,12,Ｌロングコロナ, 39,小野寺, 2.8, 41,  -5, -18,14,218.6,⑪⑪⑪, 8, 2,Ｎアスタｰクリス, 59,国分恭, 1.2, 64,   0,   1,10, 43.4, ④④, 8,13,Ｎガｰデンスタイル, 61,北村浩, 2.2, 65,   5,  -1,10, 85.6,③⑦⑧, 8, 4,Ｍケイエスケイト, 60,村田一, 0.9, 60,   1, -11,13, 35.6, ④⑥
 9, 6,Ｐロｰレルイグザルト, 31,松山弘, 2.9, 40,*  1, -30, 6, 16.8,②②④, 9, 7,Ｋワンダｰジュｰル, 62,小野寺, 1.2, 63,  -5,   5, 9, 27.1, ⑨⑧, 9, 1,Ｋミウラジェット, 64,千葉直, 2.3, 66,   2,   5,14,271.5,⑥⑪⑩, 9,10,Ｎコスモソルスティス, 56,丹内祐, 1.0, 57,  -3,  -8,16,145.9, ⑧⑨
10, 9,Ｈミスズエルドラド, 48,北村友, 3.2, 40,  -1, -26, 9, 48.8,⑧⑥⑧,10,14,Ｈメタリック, 62,田中博, 1.4, 61,  -5,   2,15,193.1, ⑩⑪,10,16,Ｌシルクファラオ, 63,田中博, 2.4, 64,   1,   3, 5, 17.1,⑭⑫⑫,10,17,Ａラガｰリンリン, 69,松山弘, 1.1, 59,*  8, -20, 7, 13.5, ③③
11, 1,Ｎクリノイマジン, 36,丸山元, 4.0, 34,  -6, -25,11,102.7,⑫⑬⑬,11, 1,Ｍフェルミオン, 60,黛弘人, 1.5, 62,  -6,   4, 6, 14.3, ⑪⑩,11, 8,Ｉエスジｰビンゴ, 67,荻野琢, 2.6, 66,   1,   3,12,108.2,⑫⑬⑭,11, 1,Ｌサマｰコｰド, 61,松田大, 1.2, 54,  -7,  -7, 6, 12.7, ⑭⑬
12,13,Ｍケイエスシンホノカ, 38,村田一, 4.2, 32,  -2, -35, 8, 26.3,⑤⑧⑩,12,11,Ｌリヒタｰ, 62,国分優, 1.6, 58, -14,*  6,12,135.5, ⑮⑮,12,12,Ｇデルマレグルス, 70,丸田恭, 2.8, 63,   0,   3,13,198.4,⑮⑭⑬,12, 2,Ｏランドスパウト, 47,大野拓, 1.3, 53,  -4, -11, 9, 23.9, ⑩⑩
13,11,Ｏドロシｰパｰキンス, 35,田辺裕, 4.4, 32,  -7, -28,15,241.4,⑩⑭⑭,13,15,Ｏカシノコロン, 55,荻野琢, 1.8, 58,  -8,   2,16,249.1, ⑬⑭,13, 6,Ｍマックスドｰズ, 63,黛弘人, 3.0, 61,   3,  -3,15,341.2,⑧⑩⑪,13,16,Ｄジンリッキｰ, 66,田辺裕, 1.5, 49,  -4, -13,12, 32.7, ⑪⑫
14, 2,Ｉスマイルバラッド, 48,黒岩悠, 4.4, 31,*  2, -43, 3,  9.0,①①③,14,12,Ｊヒロノバイオ, 62,東川公, 1.8, 56, -11,   3,13,149.2, ⑭⑬,14,15,Ｅドンダケｰ, 71,小野寺, 3.1, 60,  -1,   2,11,106.0,⑬⑯⑯,14,13,Ｐカンファｰネオ, 45,太宰啓, 1.6, 48,  -8, -11,14, 62.8, ⑮⑯
15, 4,Ｅサンライズビット, 53,田中博, 9.6, -3, -22, -45, 5, 16.4,⑮⑮⑮,15,13,Ｉブリリアントマリｰ, 62,中舘英, 2.1, 56,   1,  -6,11, 44.1, ⑥⑥,15,10,Ｏサイキョウヒカリ, 59,国分優, 3.4, 58,   4,  -8, 8, 41.8,⑪⑨⑨,15,18,Ｆドリｰムビスティｰ, 64,川島信, 2.3, 41,  -5, -22,15,105.2, ⑬⑭
,,,,,,,,,,,,16, 4,Ｐマルタカヴィグラス, 42,丹内祐, 2.9, 44, -16,  -4,14,190.5, ⑯⑯,16, 4,Ｐエイコｰロマン, 55,小島太, 4.3, 52,   0,  -8,16,374.1,⑯⑮⑮,16,12,Ｉアドマイヤサｰフ, 64,中舘英, 2.5, 43,*  8, -38, 3,  5.2, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｒフルサト, 26,東川公, 2.6, 40, -23,  -9,17,292.2, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｑフジノビッグマン, 39,吉田稔, 7.3,-49, -45, -48,18,293.7, ⑱⑱
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,
単勝:230円 複勝:03=120円 05=390円 10=240円 枠連:720円,,,,,,,,,,,,単勝:370円 複勝:09=210円 05=170円 08=490円 枠連:440円,,,,,,,,,,,,"単勝:2,520円 複勝:05=310円 02=140円 09=120円 枠連:5,090円",,,,,,,,,,,,"単勝:510円 複勝:14=200円 15=310円 05=690円 枠連:1,550円",,,,,,,,,,,
"馬連:1,460円 ワイド:03-05=530円 03-10=460円 05-10=1,880円",,,,,,,,,,,,"馬連:1,210円 ワイド:05-09=500円 08-09=1,460円 05-08=1,560円",,,,,,,,,,,,"馬連:4,050円 ワイド:02-05=780円 05-09=540円 02-09=190円",,,,,,,,,,,,"馬連:2,820円 ワイド:14-15=1,050円 05-14=2,900円 05-15=3,920円",,,,,,,,,,,
"馬単:1,940円 3連複:4,110円 3連単:15,910円",,,,,,,,,,,,"馬単:2,500円 3連複:7,290円 3連単:36,360円",,,,,,,,,,,,"馬単:14,630円 3連複:1,790円 3連単:27,610円",,,,,,,,,,,,"馬単:3,870円 3連複:25,030円 3連単:104,800円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  ダ2300m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,賢島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｄマンダリンスマイル, 56,小野寺,, 60,  -5,*  1, 3,  6.0, ⑥⑥, 1,16,Ｇアドマイヤジャガｰ, 51,藤岡康,, 60,   6, -11, 7, 15.6,⑫⑤⑤, 1, 1,Ｂウインスカイハイ, 79,中舘英,, 75,*  8,   4, 2,  4.1,③③③, 1,14,Ｂシセイカグヤ, 76,丸田恭,, 79,  -3,* 14, 2,  7.1, ⑭⑭
 2,11,Ａトｰセンキャッスル, 64,中舘英, 0.2, 59,*  4,  -6, 1,  2.9, ②②, 2, 7,Ｃアロマカフェ, 57,小島太, 0.0, 62,   2,* -1, 2,  3.7,⑮⑬⑫, 2,14,Ｃシルバｰフィｰルド, 78,吉田稔, 0.0, 75,*  9,   2, 7, 15.9,②②②, 2,18,Ｇトップオブピｰコイ, 74,北村友, 0.2, 77, -11,* 19,11, 28.9, ⑱⑱
 3, 5,Ｅケイツｰノｰス, 55,草野太, 0.4, 57,   0,  -5, 4,  7.0, ⑤⑤, 3, 5,Ｅマイネルグｰト, 55,石橋脩, 0.1, 59,*  9, -19, 4,  8.2,②②②, 3, 8,Ｆナリタチャレンジ, 77,国分恭, 0.2, 74,   7,*  5, 6, 15.2,⑨⑤⑥, 3, 2,Ｍアラマサスクワｰト, 70,的場勇, 0.3, 75,  -6,* 13,17, 86.6, ⑯⑯
 4, 1,Ｃミリオンハッピｰ, 61,村田一, 0.5, 57,*  4,  -9, 6, 15.8, ①①, 4, 8,Ｄキクカタキシｰド, 56,国分恭, 0.2, 61,   2,* -4, 6, 12.2,⑩⑪⑨, 4, 3,Ｄフラッグラッシュ, 77,鮫島良, 0.2, 74,   7,*  4, 1,  3.7,⑩⑦⑤, 4, 6,Ｐパパラチア, 67,古川吉, 0.4, 76,  -2,   7,15, 57.7, ⑬⑬
 5, 8,Ｐエｰシンクロアゲハ,-34,石橋脩, 0.7, 56,*  3, -10,10, 68.2, ③③, 5,17,Ａタガノアブシンベル, 59,太宰啓, 0.3, 58,   5, -11, 1,  3.3,⑭⑦⑦, 5, 2,Ｌコウヨウドリｰム, 66,太宰啓, 0.5, 72,*  9,  -3, 5,  9.6,①①①, 5, 9,Ｆコンプリｰトラン, 74,大野拓, 0.6, 73,   1,   2,13, 47.3, ⑫⑫
 6,10,Ｆサニｰエリザベス, 53,丸山元, 0.7, 54,  -7,* -3, 8, 24.5, ⑦⑦, 6, 3,Ｆマイネルダウザｰ, 53,丹内祐, 0.4, 55,   6, -18,10, 36.0,④④④, 6,12,Ａベルフリｰ, 80,酒井学, 0.6, 72,*  8,   0, 4,  7.3,⑦④④, 6,11,Ｊサクライダテン, 72,石橋脩, 0.6, 73,   5,  -2, 3,  7.5, ⑦⑦
